alt,dst,lat,lon,mdata
1497.800000,0.000000,40.347610,-121.596600,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Lassen-South-Mineral.tcx
1498.200000,40.894000,40.347760,-121.596160,
1500.700000,166.352000,40.348220,-121.594810,
1501.200000,248.139000,40.348520,-121.593930,
1503.300000,304.153000,40.348730,-121.593330,
1504.200000,357.712000,40.348920,-121.592750,
1504.400000,387.054000,40.349020,-121.592430,
1504.600000,400.944000,40.349070,-121.592280,
1504.800000,412.838000,40.349110,-121.592150,
1505.000000,426.320000,40.349150,-121.592000,
1505.100000,443.043000,40.349190,-121.591810,
1505.300000,463.334000,40.349240,-121.591580,
1505.300000,482.522000,40.349280,-121.591360,
1505.300000,501.710000,40.349320,-121.591140,
1505.400000,512.961000,40.349340,-121.591010,
1505.700000,528.593000,40.349370,-121.590830,
1506.100000,547.389000,40.349390,-121.590610,
1506.600000,567.028000,40.349410,-121.590380,
1507.100000,582.339000,40.349420,-121.590200,
1508.000000,600.294000,40.349440,-121.589990,
1510.000000,636.842000,40.349460,-121.589560,
1512.300000,677.624000,40.349480,-121.589080,
1515.300000,775.593000,40.349560,-121.587930,
1515.700000,799.761000,40.349600,-121.587650,
1515.800000,810.002000,40.349610,-121.587530,
1515.800000,824.806000,40.349640,-121.587360,
1515.700000,835.227000,40.349660,-121.587240,
1515.400000,856.069000,40.349700,-121.587000,
1513.800000,885.129000,40.349770,-121.586670,
1512.600000,904.952000,40.349830,-121.586450,
1512.300000,915.667000,40.349860,-121.586330,
1512.000000,924.784000,40.349890,-121.586230,
1511.500000,955.702000,40.349990,-121.585890,
1511.000000,985.483000,40.350100,-121.585570,
1510.800000,1005.923000,40.350190,-121.585360,
1510.200000,1034.666000,40.350310,-121.585060,
1509.800000,1057.131000,40.350410,-121.584830,
1509.500000,1076.109000,40.350500,-121.584640,
1509.100000,1099.756000,40.350620,-121.584410,
1508.700000,1117.317000,40.350710,-121.584240,
1508.600000,1134.871000,40.350810,-121.584080,
1508.300000,1149.716000,40.350890,-121.583940,
1508.200000,1170.005000,40.351010,-121.583760,
1507.800000,1207.943000,40.351240,-121.583430,
1506.200000,1281.960000,40.351700,-121.582800,
1503.700000,1328.796000,40.351990,-121.582400,
1503.400000,1361.524000,40.352200,-121.582130,
1503.200000,1378.431000,40.352300,-121.581980,
1503.100000,1389.950000,40.352370,-121.581880,
1503.200000,1402.250000,40.352450,-121.581780,
1503.000000,1421.823000,40.352560,-121.581600,
1503.000000,1434.722000,40.352640,-121.581490,
1503.000000,1448.226000,40.352710,-121.581360,
1503.000000,1457.003000,40.352760,-121.581280,
1503.100000,1467.800000,40.352820,-121.581180,
1503.100000,1480.693000,40.352880,-121.581050,
1503.500000,1504.452000,40.352990,-121.580810,
1503.800000,1522.129000,40.353070,-121.580630,
1503.900000,1532.468000,40.353110,-121.580520,
1504.000000,1546.839000,40.353170,-121.580370,
1503.900000,1557.179000,40.353210,-121.580260,
1503.800000,1566.760000,40.353250,-121.580160,
1503.600000,1581.430000,40.353300,-121.580000,
1503.600000,1602.440000,40.353370,-121.579770,
1503.500000,1619.492000,40.353420,-121.579580,
1503.400000,1627.445000,40.353440,-121.579490,
1503.800000,1641.730000,40.353480,-121.579330,
1505.700000,1677.925000,40.353570,-121.578920,
1507.800000,1713.637000,40.353670,-121.578520,
1510.400000,1757.785000,40.353780,-121.578020,
1511.700000,1787.971000,40.353860,-121.577680,
1512.200000,1797.088000,40.353890,-121.577580,
1512.500000,1805.859000,40.353910,-121.577480,
1513.000000,1814.192000,40.353940,-121.577390,
1513.600000,1823.309000,40.353970,-121.577290,
1514.400000,1834.022000,40.354000,-121.577170,
1515.200000,1851.469000,40.354060,-121.576980,
1516.000000,1870.631000,40.354140,-121.576780,
1516.600000,1889.045000,40.354220,-121.576590,
1517.100000,1910.227000,40.354310,-121.576370,
1517.600000,1940.599000,40.354470,-121.576080,
1517.800000,1958.879000,40.354580,-121.575920,
1518.100000,1979.917000,40.354710,-121.575740,
1518.300000,1994.200000,40.354800,-121.575620,
1519.100000,2021.853000,40.354990,-121.575410,
1519.600000,2037.248000,40.355100,-121.575300,
1520.200000,2054.570000,40.355220,-121.575170,
1521.300000,2088.160000,40.355460,-121.574930,
1522.300000,2125.949000,40.355730,-121.574660,
1523.000000,2149.741000,40.355900,-121.574490,
1530.200000,2307.008000,40.357020,-121.573360,
1536.700000,2469.871000,40.358180,-121.572190,
1540.200000,2548.763000,40.358740,-121.571620,
1545.100000,2660.726000,40.359540,-121.570820,
1544.600000,2757.811000,40.360230,-121.570120,
1546.200000,2887.455000,40.361160,-121.569200,
1547.300000,2929.960000,40.361460,-121.568890,
1548.000000,2980.343000,40.361820,-121.568530,
1548.300000,3014.135000,40.362050,-121.568270,
1548.400000,3035.367000,40.362190,-121.568100,
1548.600000,3065.923000,40.362380,-121.567840,
1549.000000,3095.720000,40.362560,-121.567580,
1551.000000,3129.458000,40.362740,-121.567260,
1551.700000,3157.159000,40.362880,-121.566990,
1551.600000,3191.220000,40.363030,-121.566640,
1551.500000,3211.134000,40.363110,-121.566430,
1551.400000,3242.432000,40.363250,-121.566110,
1551.500000,3270.134000,40.363390,-121.565840,
