alt,dst,lat,lon,mdata
1175.900000,0.000000,34.817760,-118.889760,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Pinos-Lebec.tcx
1176.300000,20.137000,34.817770,-118.889980,
1176.400000,26.534000,34.817770,-118.890050,
1178.500000,66.884000,34.817800,-118.890490,
1179.100000,80.637000,34.817810,-118.890640,
1179.600000,89.844000,34.817820,-118.890740,
1180.500000,102.687000,34.817830,-118.890880,
1183.300000,175.304000,34.817900,-118.891670,
1183.800000,189.968000,34.817910,-118.891830,
1184.000000,206.568000,34.817930,-118.892010,
1184.300000,247.934000,34.817970,-118.892460,
1184.900000,280.909000,34.817990,-118.892820,
1185.500000,310.239000,34.818010,-118.893140,
1186.700000,335.924000,34.818030,-118.893420,
1188.600000,369.757000,34.818040,-118.893790,
1190.500000,399.915000,34.818040,-118.894120,
1213.400000,953.745000,34.818070,-118.900180,
1214.100000,968.409000,34.818080,-118.900340,
1222.800000,1203.280000,34.818080,-118.902910,
1250.700000,1837.526000,34.818100,-118.909850,
1252.600000,1879.580000,34.818110,-118.910310,
1255.100000,1915.239000,34.818120,-118.910700,
1259.400000,1961.861000,34.818130,-118.911210,
1261.800000,1998.687000,34.818170,-118.911610,
1264.900000,2054.833000,34.818230,-118.912220,
1265.500000,2100.490000,34.818310,-118.912710,
1266.900000,2136.752000,34.818370,-118.913100,
1267.400000,2169.674000,34.818440,-118.913450,
1268.300000,2205.818000,34.818530,-118.913830,
1269.400000,2226.680000,34.818580,-118.914050,
1271.900000,2263.148000,34.818680,-118.914430,
1275.100000,2295.295000,34.818780,-118.914760,
1276.500000,2317.712000,34.818850,-118.914990,
1277.700000,2388.729000,34.819090,-118.915710,
1280.400000,2436.073000,34.819250,-118.916190,
1287.800000,2596.294000,34.819780,-118.917820,
1295.800000,2736.214000,34.820250,-118.919240,
1300.200000,2805.967000,34.820480,-118.919950,
1303.100000,2861.342000,34.820670,-118.920510,
1307.500000,2973.369000,34.821040,-118.921650,
1308.500000,3010.576000,34.821160,-118.922030,
1309.100000,3027.942000,34.821210,-118.922210,
1309.700000,3039.405000,34.821240,-118.922330,
1310.400000,3052.952000,34.821280,-118.922470,
1311.100000,3068.842000,34.821310,-118.922640,
1311.800000,3084.733000,34.821340,-118.922810,
1312.700000,3109.806000,34.821380,-118.923080,
1313.300000,3125.500000,34.821400,-118.923250,
1314.000000,3139.387000,34.821420,-118.923400,
1314.700000,3154.963000,34.821430,-118.923570,
1315.100000,3166.895000,34.821440,-118.923700,
1316.900000,3195.246000,34.821450,-118.924010,
1317.900000,3225.424000,34.821440,-118.924340,
1318.000000,3238.218000,34.821440,-118.924480,
1318.800000,3254.817000,34.821420,-118.924660,
1319.700000,3268.570000,34.821410,-118.924810,
1321.100000,3291.660000,34.821380,-118.925060,
1322.800000,3327.250000,34.821310,-118.925440,
1328.700000,3444.322000,34.821120,-118.926700,
1332.900000,3509.454000,34.821010,-118.927400,
1341.300000,3638.820000,34.820790,-118.928790,
1346.300000,3714.244000,34.820660,-118.929600,
1352.500000,3805.346000,34.820510,-118.930580,
1356.000000,3854.593000,34.820430,-118.931110,
1359.500000,3917.035000,34.820320,-118.931780,
1362.800000,3971.876000,34.820230,-118.932370,
1365.600000,4017.329000,34.820160,-118.932860,
1368.000000,4050.899000,34.820100,-118.933220,
1368.400000,4077.979000,34.820050,-118.933510,
1368.700000,4097.459000,34.820020,-118.933720,
1369.200000,4123.905000,34.819960,-118.934000,
1369.700000,4130.109000,34.820010,-118.934030,
1370.000000,4134.923000,34.820050,-118.934050,
1370.300000,4137.803000,34.820070,-118.934070,
1370.400000,4139.243000,34.820080,-118.934080,
1370.500000,4140.684000,34.820090,-118.934090,
1370.700000,4143.090000,34.820110,-118.934100,
1370.900000,4146.049000,34.820120,-118.934130,
1371.100000,4149.008000,34.820130,-118.934160,
1371.200000,4151.967000,34.820140,-118.934190,
1371.300000,4154.709000,34.820140,-118.934220,
1371.400000,4157.451000,34.820140,-118.934250,
1371.500000,4159.278000,34.820140,-118.934270,
1371.600000,4161.106000,34.820140,-118.934290,
1371.600000,4163.246000,34.820130,-118.934310,
1371.600000,4166.205000,34.820120,-118.934340,
1371.600000,4169.164000,34.820110,-118.934370,
1371.800000,4189.496000,34.820030,-118.934570,
1372.200000,4202.183000,34.819990,-118.934700,
1373.400000,4250.562000,34.819790,-118.935170,
1374.000000,4263.250000,34.819750,-118.935300,
1374.700000,4274.440000,34.819730,-118.935420,
1375.500000,4288.328000,34.819710,-118.935570,
1376.700000,4307.551000,34.819720,-118.935780,
1378.400000,4323.713000,34.819760,-118.935950,
1380.200000,4350.807000,34.819840,-118.936230,
1388.100000,4472.583000,34.820280,-118.937450,
1398.700000,4641.667000,34.820860,-118.939160,
1407.700000,4837.398000,34.821550,-118.941130,
1406.100000,4908.854000,34.821780,-118.941860,
1406.500000,4914.420000,34.821830,-118.941860,
1406.800000,4917.759000,34.821860,-118.941860,
1406.900000,4920.166000,34.821880,-118.941870,
1407.000000,4922.573000,34.821900,-118.941880,
1407.200000,4926.380000,34.821930,-118.941900,
1407.300000,4930.187000,34.821960,-118.941920,
1407.400000,4937.801000,34.822020,-118.941960,
1412.400000,5084.256000,34.823160,-118.942760,
1414.100000,5135.167000,34.823540,-118.943070,
1414.200000,5143.204000,34.823570,-118.943150,
1414.300000,5147.484000,34.823590,-118.943190,
1414.300000,5150.443000,34.823600,-118.943220,
1414.200000,5153.184000,34.823600,-118.943250,
1414.500000,5159.102000,34.823620,-118.943310,
1415.800000,5212.145000,34.823710,-118.943880,
1417.300000,5227.839000,34.823730,-118.944050,
1420.500000,5263.104000,34.823820,-118.944420,
1422.300000,5282.804000,34.823860,-118.944630,
1423.000000,5290.199000,34.823870,-118.944710,
1423.300000,5293.158000,34.823880,-118.944740,
1423.500000,5296.813000,34.823880,-118.944780,
1423.600000,5298.641000,34.823880,-118.944800,
1423.800000,5301.383000,34.823880,-118.944830,
1424.100000,5304.341000,34.823890,-118.944860,
1424.200000,5307.300000,34.823880,-118.944890,
1424.700000,5316.439000,34.823880,-118.944990,
1424.700000,5327.758000,34.823820,-118.945090,
1425.200000,5347.690000,34.823690,-118.945240,
1425.400000,5356.332000,34.823630,-118.945300,
1425.500000,5362.093000,34.823590,-118.945340,
1425.600000,5369.294000,34.823540,-118.945390,
1425.600000,5375.674000,34.823500,-118.945440,
1425.800000,5382.094000,34.823470,-118.945500,
1426.000000,5388.514000,34.823440,-118.945560,
1426.300000,5396.551000,34.823410,-118.945640,
1426.800000,5402.146000,34.823400,-118.945700,
1427.300000,5407.741000,34.823390,-118.945760,
1427.800000,5412.310000,34.823390,-118.945810,
1428.500000,5417.793000,34.823390,-118.945870,
1429.300000,5424.286000,34.823400,-118.945940,
1429.800000,5429.769000,34.823400,-118.946000,
1431.200000,5445.017000,34.823460,-118.946150,
1437.000000,5510.743000,34.823850,-118.946690,
1438.800000,5543.430000,34.824060,-118.946940,
1438.800000,5549.025000,34.824050,-118.947000,
1439.000000,5552.680000,34.824050,-118.947040,
1439.600000,5559.173000,34.824040,-118.947110,
1440.900000,5566.483000,34.824040,-118.947190,
1442.700000,5575.622000,34.824040,-118.947290,
1443.500000,5581.105000,34.824040,-118.947350,
1443.600000,5585.808000,34.824030,-118.947400,
1443.900000,5590.510000,34.824040,-118.947450,
1444.000000,5594.166000,34.824040,-118.947490,
1444.300000,5598.868000,34.824050,-118.947540,
1444.600000,5603.571000,34.824060,-118.947590,
1444.800000,5607.392000,34.824070,-118.947630,
1445.300000,5613.310000,34.824090,-118.947690,
1445.700000,5621.830000,34.824110,-118.947780,
1447.700000,5644.811000,34.824210,-118.948000,
1448.600000,5675.722000,34.824300,-118.948320,
1449.200000,5684.598000,34.824330,-118.948410,
1449.500000,5687.557000,34.824340,-118.948440,
1449.600000,5690.299000,34.824340,-118.948470,
1449.800000,5693.258000,34.824350,-118.948500,
1450.100000,5697.079000,34.824360,-118.948540,
1450.200000,5700.734000,34.824360,-118.948580,
1450.300000,5704.389000,34.824360,-118.948620,
1450.300000,5708.044000,34.824360,-118.948660,
1450.300000,5710.786000,34.824360,-118.948690,
1450.400000,5719.010000,34.824360,-118.948780,
1450.700000,5734.585000,34.824350,-118.948950,
1457.100000,5785.153000,34.824300,-118.949500,
1461.600000,5839.481000,34.824240,-118.950090,
1467.000000,5891.486000,34.824120,-118.950640,
