alt,dst,lat,lon,mdata
177.200000,0.000000,38.606743,-122.591652,E:\Dropbox\website\dev2\climbing\climbs\Mt.-St-Helena-Calistoga.tcx
177.000000,17.903000,38.606884,-122.591553,
177.000000,22.928000,38.606918,-122.591515,
177.200000,45.711000,38.607075,-122.591347,
176.600000,86.847000,38.607380,-122.591080,
177.200000,128.440000,38.607708,-122.590851,
177.600000,135.093000,38.607765,-122.590828,
178.000000,162.709000,38.608013,-122.590836,
178.200000,169.527000,38.608074,-122.590843,
178.600000,175.862000,38.608128,-122.590866,
177.800000,197.510000,38.608318,-122.590919,
179.400000,240.091000,38.608685,-122.591057,
179.800000,247.005000,38.608746,-122.591072,
180.600000,281.300000,38.609047,-122.591156,
180.600000,288.214000,38.609108,-122.591171,
181.200000,327.356000,38.609451,-122.591270,
181.200000,346.046000,38.609615,-122.591316,
180.800000,365.710000,38.609779,-122.591400,
181.800000,390.582000,38.609978,-122.591530,
183.000000,401.711000,38.610069,-122.591583,
184.200000,439.362000,38.610378,-122.591759,
184.600000,445.277000,38.610428,-122.591782,
185.800000,468.277000,38.610622,-122.591873,
185.600000,473.363000,38.610664,-122.591896,
186.400000,497.858000,38.610870,-122.591995,
187.000000,525.060000,38.611095,-122.592117,
188.000000,541.313000,38.611233,-122.592178,
189.400000,550.618000,38.611313,-122.592209,
189.400000,554.621000,38.611347,-122.592224,
189.200000,582.178000,38.611580,-122.592331,
191.400000,595.625000,38.611691,-122.592392,
192.400000,607.131000,38.611790,-122.592430,
191.600000,618.022000,38.611881,-122.592476,
190.600000,637.021000,38.612041,-122.592552,
190.400000,644.976000,38.612106,-122.592590,
190.200000,670.137000,38.612316,-122.592697,
189.600000,701.437000,38.612576,-122.592834,
190.200000,715.283000,38.612698,-122.592865,
192.200000,742.958000,38.612942,-122.592926,
192.600000,749.342000,38.612999,-122.592934,
193.200000,754.626000,38.613045,-122.592949,
194.600000,767.033000,38.613155,-122.592972,
194.400000,771.887000,38.613197,-122.592987,
196.200000,790.342000,38.613361,-122.593018,
196.200000,796.059000,38.613411,-122.593033,
195.800000,819.596000,38.613617,-122.593094,
195.200000,834.006000,38.613743,-122.593132,
194.800000,855.848000,38.613930,-122.593208,
196.400000,884.766000,38.614178,-122.593307,
197.600000,907.168000,38.614376,-122.593353,
197.200000,913.230000,38.614429,-122.593369,
199.200000,946.318000,38.614716,-122.593468,
200.000000,958.750000,38.614822,-122.593513,
199.800000,994.351000,38.615135,-122.593597,
201.000000,1005.696000,38.615234,-122.593628,
202.000000,1021.961000,38.615379,-122.593651,
201.600000,1028.112000,38.615433,-122.593666,
200.600000,1049.303000,38.615623,-122.593681,
200.600000,1064.665000,38.615761,-122.593681,
200.400000,1108.864000,38.616158,-122.593689,
200.600000,1116.023000,38.616222,-122.593681,
201.600000,1143.302000,38.616467,-122.593674,
202.200000,1149.648000,38.616524,-122.593674,
204.000000,1183.160000,38.616825,-122.593681,
