alt,dst,lat,lon,mdata
7.400000,0.000000,37.935070,-122.696970,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Tam-fm-Fairfax-Bolinas-Rd-Marin.tcx
8.700000,15.327000,37.935170,-122.696850,
9.400000,30.629000,37.935240,-122.696700,
9.700000,43.367000,37.935270,-122.696560,
10.300000,71.392000,37.935210,-122.696250,
11.000000,89.266000,37.935180,-122.696050,
11.900000,125.332000,37.935160,-122.695640,
11.400000,162.358000,37.935190,-122.695220,
11.300000,198.296000,37.935310,-122.694840,
8.300000,259.592000,37.935530,-122.694200,
9.200000,276.139000,37.935620,-122.694050,
9.900000,288.644000,37.935700,-122.693950,
10.600000,294.315000,37.935740,-122.693910,
11.200000,299.489000,37.935780,-122.693880,
11.600000,304.027000,37.935820,-122.693870,
12.300000,310.764000,37.935880,-122.693860,
21.300000,390.918000,37.936600,-122.693870,
20.700000,396.755000,37.936650,-122.693850,
20.900000,400.528000,37.936680,-122.693830,
21.500000,402.607000,37.936690,-122.693810,
24.300000,407.136000,37.936700,-122.693760,
27.000000,410.647000,37.936700,-122.693720,
29.200000,413.507000,37.936690,-122.693690,
31.100000,418.680000,37.936650,-122.693660,
36.300000,450.651000,37.936410,-122.693460,
34.700000,476.518000,37.936210,-122.693310,
33.700000,495.505000,37.936080,-122.693170,
32.900000,502.402000,37.936040,-122.693110,
32.900000,511.460000,37.936020,-122.693010,
32.600000,518.571000,37.936010,-122.692930,
32.400000,522.961000,37.936010,-122.692880,
31.900000,527.351000,37.936010,-122.692830,
31.100000,532.619000,37.936010,-122.692770,
30.500000,538.865000,37.936020,-122.692700,
32.400000,559.340000,37.936100,-122.692490,
34.400000,573.160000,37.936170,-122.692360,
34.700000,578.082000,37.936190,-122.692310,
34.700000,584.619000,37.936210,-122.692240,
34.800000,589.887000,37.936210,-122.692180,
35.600000,596.032000,37.936210,-122.692110,
36.500000,598.666000,37.936210,-122.692080,
38.300000,602.824000,37.936190,-122.692040,
42.500000,607.671000,37.936160,-122.692000,
47.200000,612.844000,37.936120,-122.691970,
50.000000,623.015000,37.936030,-122.691950,
48.700000,632.302000,37.935950,-122.691920,
47.700000,639.200000,37.935910,-122.691860,
47.500000,645.437000,37.935880,-122.691800,
47.000000,653.214000,37.935850,-122.691720,
46.700000,664.843000,37.935830,-122.691590,
46.500000,675.437000,37.935820,-122.691470,
47.200000,693.908000,37.935830,-122.691260,
49.000000,704.127000,37.935860,-122.691150,
52.200000,712.107000,37.935870,-122.691060,
56.300000,719.218000,37.935860,-122.690980,
59.400000,725.471000,37.935820,-122.690930,
60.700000,730.645000,37.935780,-122.690900,
61.200000,733.038000,37.935760,-122.690890,
61.600000,736.491000,37.935730,-122.690880,
59.800000,750.850000,37.935610,-122.690940,
59.900000,762.290000,37.935510,-122.690970,
60.200000,767.924000,37.935460,-122.690980,
