alt,dst,lat,lon,mdata
192.200000,0.000000,37.940100,-122.638460,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Tam-from-Alpine-Dam-Marin.tcx
190.900000,5.566000,37.940050,-122.638460,
189.300000,13.408000,37.939980,-122.638470,
189.900000,20.144000,37.939920,-122.638480,
190.600000,27.050000,37.939860,-122.638500,
192.000000,34.892000,37.939790,-122.638510,
191.200000,44.179000,37.939710,-122.638540,
191.500000,53.752000,37.939630,-122.638580,
193.400000,64.690000,37.939540,-122.638630,
195.300000,68.463000,37.939510,-122.638610,
196.100000,70.542000,37.939500,-122.638590,
197.000000,73.401000,37.939490,-122.638560,
198.100000,77.085000,37.939480,-122.638520,
198.300000,82.007000,37.939460,-122.638470,
198.300000,87.391000,37.939450,-122.638410,
198.100000,90.903000,37.939450,-122.638370,
198.000000,95.061000,37.939430,-122.638330,
198.000000,100.576000,37.939400,-122.638280,
198.100000,107.157000,37.939350,-122.638240,
198.100000,111.696000,37.939310,-122.638230,
198.200000,118.432000,37.939250,-122.638240,
198.200000,128.604000,37.939160,-122.638260,
198.600000,140.570000,37.939060,-122.638310,
200.400000,156.292000,37.938930,-122.638380,
200.700000,166.464000,37.938840,-122.638400,
200.900000,180.962000,37.938710,-122.638410,
200.900000,195.460000,37.938580,-122.638400,
201.100000,206.592000,37.938480,-122.638400,
201.900000,221.169000,37.938350,-122.638420,
202.100000,230.075000,37.938270,-122.638420,
201.400000,239.362000,37.938190,-122.638390,
200.600000,258.609000,37.938020,-122.638350,
201.600000,287.605000,37.937760,-122.638370,
201.700000,293.240000,37.937710,-122.638360,
201.800000,305.206000,37.937610,-122.638310,
200.600000,315.552000,37.937550,-122.638220,
199.500000,328.689000,37.937470,-122.638110,
199.800000,340.924000,37.937380,-122.638030,
200.400000,356.016000,37.937260,-122.637950,
200.800000,370.078000,37.937140,-122.637900,
201.200000,381.244000,37.937040,-122.637890,
201.900000,391.415000,37.936950,-122.637910,
202.800000,402.032000,37.936860,-122.637950,
203.300000,413.998000,37.936760,-122.638000,
203.100000,421.986000,37.936690,-122.638020,
203.000000,427.620000,37.936640,-122.638030,
202.900000,432.073000,37.936600,-122.638030,
202.900000,434.300000,37.936580,-122.638030,
203.500000,436.693000,37.936560,-122.638040,
204.500000,439.552000,37.936550,-122.638070,
204.900000,442.186000,37.936550,-122.638100,
205.100000,445.046000,37.936560,-122.638130,
205.300000,447.125000,37.936570,-122.638150,
205.600000,450.578000,37.936600,-122.638160,
206.300000,456.212000,37.936650,-122.638170,
206.900000,464.200000,37.936720,-122.638150,
