alt,dst,lat,lon,mdata
194.300000,0.000000,37.883480,-122.554610,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Tam-from-Hwy-1-(South)-Marin.tcx
194.700000,2.393000,37.883500,-122.554600,
195.500000,10.235000,37.883570,-122.554590,
195.800000,16.972000,37.883630,-122.554580,
195.900000,23.651000,37.883690,-122.554580,
196.200000,29.286000,37.883740,-122.554590,
196.900000,41.811000,37.883850,-122.554620,
198.200000,67.952000,37.884080,-122.554680,
199.400000,91.591000,37.884290,-122.554720,
200.300000,102.861000,37.884390,-122.554740,
201.000000,112.918000,37.884480,-122.554750,
201.100000,115.145000,37.884500,-122.554750,
201.800000,124.093000,37.884580,-122.554760,
202.300000,131.886000,37.884650,-122.554760,
203.700000,164.216000,37.884940,-122.554740,
205.200000,188.722000,37.885160,-122.554730,
208.300000,212.099000,37.885370,-122.554730,
209.500000,225.457000,37.885490,-122.554730,
210.200000,237.702000,37.885600,-122.554730,
211.300000,252.280000,37.885730,-122.554710,
211.900000,265.753000,37.885850,-122.554690,
212.800000,286.472000,37.886030,-122.554630,
213.900000,305.047000,37.886190,-122.554570,
214.600000,317.786000,37.886300,-122.554530,
215.100000,329.226000,37.886400,-122.554500,
216.000000,341.752000,37.886510,-122.554470,
217.700000,354.122000,37.886620,-122.554450,
220.100000,367.480000,37.886740,-122.554450,
221.300000,380.839000,37.886860,-122.554450,
221.600000,394.226000,37.886980,-122.554460,
221.700000,407.613000,37.887100,-122.554470,
223.000000,434.560000,37.887340,-122.554510,
223.300000,441.239000,37.887400,-122.554510,
225.100000,462.553000,37.887590,-122.554540,
227.300000,489.327000,37.887830,-122.554560,
227.700000,503.825000,37.887960,-122.554570,
228.200000,517.299000,37.888080,-122.554590,
228.500000,527.356000,37.888170,-122.554600,
229.000000,537.527000,37.888260,-122.554620,
229.700000,546.604000,37.888340,-122.554640,
230.400000,556.964000,37.888430,-122.554670,
231.200000,567.581000,37.888520,-122.554710,
233.400000,594.650000,37.888750,-122.554810,
