alt,dst,lat,lon,mdata
181.400000,0.000000,38.405290,-122.440930,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Veder-North-Glen-Ellen.tcx
181.700000,8.220000,38.405220,-122.440960,
181.900000,13.002000,38.405180,-122.440980,
182.100000,22.902000,38.405110,-122.441050,
182.300000,28.396000,38.405080,-122.441100,
182.900000,42.885000,38.404990,-122.441220,
185.600000,91.717000,38.404700,-122.441640,
186.100000,106.136000,38.404620,-122.441770,
186.700000,120.009000,38.404530,-122.441880,
186.900000,130.807000,38.404450,-122.441950,
187.000000,139.345000,38.404380,-122.441990,
187.300000,165.666000,38.404150,-122.442060,
187.400000,176.934000,38.404050,-122.442080,
187.500000,188.369000,38.403950,-122.442110,
188.700000,219.122000,38.403700,-122.442260,
191.300000,261.558000,38.403360,-122.442480,
192.200000,290.719000,38.403130,-122.442640,
192.400000,297.288000,38.403080,-122.442680,
192.700000,300.724000,38.403060,-122.442710,
192.900000,304.160000,38.403040,-122.442740,
193.400000,309.057000,38.403020,-122.442790,
193.900000,313.559000,38.403010,-122.442840,
194.800000,323.719000,38.402980,-122.442950,
195.700000,331.649000,38.402970,-122.443040,
197.500000,343.206000,38.402950,-122.443170,
198.300000,350.532000,38.402930,-122.443250,
198.900000,359.064000,38.402900,-122.443340,
200.500000,374.091000,38.402850,-122.443500,
202.400000,386.723000,38.402800,-122.443630,
203.700000,401.750000,38.402750,-122.443790,
204.300000,409.076000,38.402730,-122.443870,
205.700000,418.079000,38.402710,-122.443970,
207.900000,428.606000,38.402700,-122.444090,
209.500000,439.075000,38.402700,-122.444210,
211.600000,452.348000,38.402720,-122.444360,
213.700000,464.763000,38.402740,-122.444500,
216.300000,480.622000,38.402760,-122.444680,
218.700000,499.475000,38.402800,-122.444890,
220.600000,512.137000,38.402830,-122.445030,
221.800000,519.988000,38.402830,-122.445120,
222.600000,529.584000,38.402830,-122.445230,
222.600000,542.858000,38.402810,-122.445380,
222.800000,556.131000,38.402790,-122.445530,
223.600000,562.238000,38.402790,-122.445600,
224.700000,568.344000,38.402790,-122.445670,
226.700000,578.005000,38.402800,-122.445780,
229.300000,611.229000,38.402820,-122.446160,
230.100000,620.825000,38.402820,-122.446270,
230.900000,626.059000,38.402820,-122.446330,
232.100000,633.126000,38.402810,-122.446410,
233.300000,642.977000,38.402790,-122.446520,
233.800000,653.680000,38.402770,-122.446640,
234.700000,669.734000,38.402740,-122.446820,
236.300000,691.398000,38.402690,-122.447060,
237.700000,708.560000,38.402650,-122.447250,
238.800000,718.355000,38.402610,-122.447350,
240.000000,727.381000,38.402570,-122.447440,
240.900000,734.341000,38.402540,-122.447510,
241.500000,746.702000,38.402470,-122.447620,
242.000000,755.629000,38.402420,-122.447700,
242.600000,766.691000,38.402350,-122.447790,
242.700000,771.856000,38.402310,-122.447820,
242.800000,775.623000,38.402280,-122.447840,
242.800000,778.015000,38.402260,-122.447850,
242.800000,779.128000,38.402250,-122.447850,
242.800000,780.241000,38.402240,-122.447850,
242.800000,781.354000,38.402230,-122.447850,
242.800000,783.745000,38.402210,-122.447840,
242.800000,786.137000,38.402190,-122.447830,
242.700000,790.379000,38.402160,-122.447800,
242.700000,792.449000,38.402150,-122.447780,
242.700000,795.293000,38.402140,-122.447750,
242.700000,797.910000,38.402140,-122.447720,
242.700000,800.527000,38.402140,-122.447690,
242.800000,803.144000,38.402140,-122.447660,
243.400000,810.123000,38.402140,-122.447580,
243.900000,816.331000,38.402150,-122.447510,
244.800000,821.565000,38.402150,-122.447450,
245.700000,827.772000,38.402160,-122.447380,
246.600000,834.751000,38.402160,-122.447300,
246.900000,839.985000,38.402160,-122.447240,
247.000000,843.475000,38.402160,-122.447200,
247.200000,846.319000,38.402150,-122.447170,
247.500000,850.820000,38.402140,-122.447120,
247.900000,854.960000,38.402120,-122.447080,
248.500000,859.857000,38.402100,-122.447030,
249.200000,864.100000,38.402070,-122.447000,
249.900000,866.491000,38.402050,-122.446990,
250.400000,868.882000,38.402030,-122.446980,
251.100000,874.448000,38.401980,-122.446980,
251.600000,878.901000,38.401940,-122.446980,
252.000000,885.637000,38.401880,-122.446990,
252.300000,890.174000,38.401840,-122.447000,
253.000000,897.348000,38.401780,-122.447030,
253.600000,902.130000,38.401740,-122.447050,
255.800000,915.813000,38.401630,-122.447120,
260.800000,959.496000,38.401290,-122.447370,
263.200000,979.204000,38.401140,-122.447490,
264.600000,992.489000,38.401050,-122.447590,
265.600000,1001.539000,38.400990,-122.447660,
266.900000,1012.600000,38.400920,-122.447750,
268.100000,1023.588000,38.400860,-122.447850,
269.500000,1034.681000,38.400810,-122.447960,
272.100000,1047.314000,38.400760,-122.448090,
275.200000,1062.342000,38.400710,-122.448250,
277.000000,1076.262000,38.400650,-122.448390,
278.500000,1088.118000,38.400600,-122.448510,
279.600000,1096.397000,38.400560,-122.448590,
280.100000,1100.640000,38.400530,-122.448620,
280.700000,1104.883000,38.400500,-122.448650,
281.800000,1115.492000,38.400410,-122.448690,
283.000000,1127.793000,38.400310,-122.448750,
285.100000,1145.572000,38.400160,-122.448820,
285.900000,1153.558000,38.400090,-122.448840,
286.300000,1156.897000,38.400060,-122.448840,
286.700000,1160.237000,38.400030,-122.448840,
287.000000,1163.576000,38.400000,-122.448840,
287.500000,1165.968000,38.399980,-122.448830,
288.900000,1174.506000,38.399910,-122.448790,
290.400000,1186.716000,38.399820,-122.448710,
293.900000,1213.960000,38.399620,-122.448530,
295.500000,1230.858000,38.399490,-122.448430,
296.700000,1258.225000,38.399270,-122.448290,
296.700000,1271.908000,38.399160,-122.448220,
297.000000,1288.348000,38.399020,-122.448160,
297.700000,1303.054000,38.398890,-122.448130,
300.500000,1324.002000,38.398710,-122.448060,
301.000000,1333.567000,38.398630,-122.448020,
301.100000,1339.400000,38.398580,-122.448000,
301.000000,1347.385000,38.398510,-122.447980,
301.100000,1352.951000,38.398460,-122.447980,
301.000000,1358.585000,38.398410,-122.447970,
301.200000,1368.641000,38.398320,-122.447980,
301.400000,1389.864000,38.398130,-122.448000,
301.500000,1403.336000,38.398010,-122.448020,
301.700000,1416.807000,38.397890,-122.448040,
301.900000,1429.083000,38.397780,-122.448050,
302.000000,1433.536000,38.397740,-122.448050,
302.100000,1437.989000,38.397700,-122.448050,
302.000000,1455.488000,38.397550,-122.447990,
302.100000,1468.487000,38.397440,-122.447940,
302.000000,1480.153000,38.397340,-122.447900,
301.600000,1489.718000,38.397260,-122.447860,
301.200000,1495.551000,38.397210,-122.447840,
301.000000,1501.185000,38.397160,-122.447830,
300.800000,1504.636000,38.397130,-122.447820,
