alt,dst,lat,lon,mdata
111.200000,0.000000,38.333960,-122.371200,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Veder-South-Napa.tcx
113.300000,12.368000,38.334030,-122.371090,
111.000000,51.718000,38.334220,-122.371470,
110.100000,65.486000,38.334290,-122.371600,
110.100000,81.385000,38.334390,-122.371730,
110.300000,95.533000,38.334490,-122.371830,
110.500000,112.511000,38.334610,-122.371950,
111.000000,145.712000,38.334820,-122.372220,
115.400000,201.362000,38.335130,-122.372720,
115.600000,237.106000,38.335320,-122.373050,
115.600000,240.544000,38.335340,-122.373080,
116.100000,281.999000,38.335670,-122.373300,
115.700000,371.659000,38.336430,-122.373640,
116.000000,391.831000,38.336600,-122.373720,
116.500000,414.443000,38.336780,-122.373840,
117.000000,430.559000,38.336890,-122.373960,
116.600000,448.666000,38.337010,-122.374100,
116.700000,451.512000,38.337020,-122.374130,
117.600000,475.531000,38.337110,-122.374380,
119.800000,507.335000,38.337260,-122.374690,
119.900000,508.749000,38.337270,-122.374700,
119.700000,522.847000,38.337380,-122.374780,
119.600000,525.238000,38.337400,-122.374790,
118.500000,547.655000,38.337600,-122.374820,
120.200000,595.650000,38.338030,-122.374780,
124.800000,657.994000,38.338590,-122.374770,
124.900000,660.386000,38.338610,-122.374780,
124.300000,714.686000,38.339060,-122.375020,
124.300000,717.515000,38.339080,-122.375040,
125.600000,754.773000,38.339310,-122.375350,
126.100000,897.630000,38.340260,-122.376450,
126.100000,900.460000,38.340280,-122.376470,
126.300000,903.306000,38.340290,-122.376500,
129.800000,937.475000,38.340390,-122.376870,
130.000000,939.546000,38.340400,-122.376890,
131.100000,961.679000,38.340540,-122.377070,
130.800000,986.845000,38.340710,-122.377260,
130.900000,1008.209000,38.340840,-122.377440,
130.900000,1011.039000,38.340860,-122.377460,
130.500000,1036.656000,38.341070,-122.377580,
130.400000,1038.883000,38.341090,-122.377580,
130.600000,1057.807000,38.341260,-122.377580,
131.000000,1076.637000,38.341420,-122.377510,
131.100000,1098.704000,38.341590,-122.377380,
130.700000,1122.226000,38.341760,-122.377220,
130.600000,1125.678000,38.341790,-122.377210,
130.600000,1129.130000,38.341820,-122.377200,
130.600000,1131.356000,38.341840,-122.377200,
130.600000,1139.895000,38.341910,-122.377240,
131.700000,1195.856000,38.342350,-122.377550,
133.600000,1234.120000,38.342670,-122.377710,
134.000000,1240.856000,38.342730,-122.377720,
134.300000,1247.535000,38.342790,-122.377720,
134.400000,1250.986000,38.342820,-122.377710,
135.100000,1270.454000,38.342980,-122.377620,
136.900000,1302.007000,38.343250,-122.377510,
136.700000,1305.347000,38.343280,-122.377510,
136.100000,1326.784000,38.343470,-122.377550,
137.800000,1372.735000,38.343870,-122.377680,
137.900000,1374.961000,38.343890,-122.377680,
138.700000,1396.184000,38.344080,-122.377660,
138.700000,1398.575000,38.344100,-122.377650,
139.400000,1440.631000,38.344440,-122.377440,
139.200000,1468.395000,38.344640,-122.377250,
139.700000,1480.352000,38.344740,-122.377200,
141.000000,1506.352000,38.344960,-122.377100,
143.100000,1541.984000,38.345280,-122.377090,
143.100000,1609.055000,38.345880,-122.377160,
146.300000,1677.518000,38.346490,-122.377260,
146.600000,1712.036000,38.346790,-122.377360,
147.200000,1743.454000,38.347050,-122.377500,
148.200000,1790.483000,38.347420,-122.377760,
148.400000,1791.897000,38.347430,-122.377770,
148.800000,1812.105000,38.347610,-122.377800,
149.400000,1833.274000,38.347800,-122.377810,
150.700000,1851.276000,38.347960,-122.377840,
150.100000,1864.010000,38.348070,-122.377880,
150.100000,1865.424000,38.348080,-122.377890,
149.700000,1869.193000,38.348110,-122.377910,
149.800000,1870.066000,38.348110,-122.377920,
149.900000,1872.137000,38.348120,-122.377940,
151.800000,1887.890000,38.348130,-122.378120,
155.000000,1914.977000,38.348140,-122.378430,
156.800000,1935.332000,38.348170,-122.378660,
157.300000,1942.296000,38.348200,-122.378730,
157.400000,1945.126000,38.348220,-122.378750,
157.500000,1947.197000,38.348230,-122.378770,
157.400000,1948.310000,38.348240,-122.378770,
158.400000,1974.443000,38.348470,-122.378830,
157.600000,2022.596000,38.348900,-122.378890,
157.600000,2024.988000,38.348920,-122.378900,
156.700000,2043.087000,38.349070,-122.378980,
156.700000,2044.502000,38.349080,-122.378990,
157.100000,2051.377000,38.349120,-122.379050,
157.600000,2057.589000,38.349150,-122.379110,
158.100000,2060.435000,38.349160,-122.379140,
160.400000,2092.177000,38.349200,-122.379500,
160.900000,2124.307000,38.349260,-122.379860,
160.800000,2149.588000,38.349360,-122.380120,
160.100000,2229.458000,38.349840,-122.380800,
161.600000,2264.826000,38.350000,-122.381150,
163.300000,2296.434000,38.350170,-122.381440,
163.400000,2301.600000,38.350210,-122.381470,
163.200000,2316.289000,38.350330,-122.381540,
162.700000,2329.676000,38.350450,-122.381550,
162.400000,2348.920000,38.350620,-122.381590,
161.600000,2379.027000,38.350890,-122.381570,
161.200000,2398.448000,38.351060,-122.381520,
161.100000,2407.396000,38.351140,-122.381510,
161.300000,2416.679000,38.351220,-122.381540,
161.500000,2425.610000,38.351290,-122.381590,
161.500000,2438.309000,38.351390,-122.381660,
163.400000,2497.404000,38.351800,-122.382090,
165.900000,2559.383000,38.352260,-122.382490,
168.600000,2615.770000,38.352700,-122.382810,
169.000000,2621.921000,38.352750,-122.382840,
169.600000,2634.443000,38.352860,-122.382870,
170.400000,2653.448000,38.353030,-122.382850,
171.400000,2667.255000,38.353150,-122.382810,
176.000000,2719.836000,38.353620,-122.382750,
179.200000,2738.781000,38.353790,-122.382740,
179.800000,2741.007000,38.353810,-122.382740,
179.900000,2743.398000,38.353830,-122.382750,
179.500000,2746.228000,38.353850,-122.382770,
178.700000,2753.102000,38.353890,-122.382830,
177.900000,2785.499000,38.354050,-122.383140,
179.100000,2806.861000,38.354180,-122.383320,
179.000000,2809.690000,38.354200,-122.383340,
179.100000,2833.693000,38.354390,-122.383470,
187.100000,2911.186000,38.355070,-122.383660,
187.900000,2919.725000,38.355140,-122.383700,
188.000000,2926.599000,38.355180,-122.383760,
188.000000,2937.698000,38.355230,-122.383870,
192.700000,2978.930000,38.355450,-122.384250,
192.300000,3035.394000,38.355790,-122.384730,
190.800000,3053.322000,38.355900,-122.384880,
189.800000,3059.534000,38.355930,-122.384940,
189.700000,3060.948000,38.355940,-122.384950,
189.800000,3063.340000,38.355960,-122.384960,
190.400000,3071.560000,38.356030,-122.384990,
190.200000,3077.126000,38.356080,-122.384990,
190.100000,3081.664000,38.356120,-122.384980,
190.200000,3101.835000,38.356290,-122.384900,
193.200000,3132.973000,38.356540,-122.384740,
193.900000,3145.495000,38.356650,-122.384710,
194.100000,3148.947000,38.356680,-122.384700,
193.900000,3158.022000,38.356760,-122.384720,
194.400000,3211.644000,38.357200,-122.384970,
197.200000,3233.983000,38.357350,-122.385140,
198.300000,3250.547000,38.357430,-122.385300,
197.400000,3282.784000,38.357560,-122.385630,
195.700000,3310.262000,38.357710,-122.385880,
196.300000,3323.550000,38.357800,-122.385980,
205.400000,3382.676000,38.358280,-122.386270,
204.400000,3417.510000,38.358530,-122.386510,
202.700000,3439.278000,38.358680,-122.386670,
199.100000,3466.756000,38.358830,-122.386920,
198.000000,3500.146000,38.359050,-122.387180,
199.900000,3533.885000,38.359220,-122.387500,
200.700000,3562.770000,38.359390,-122.387750,
202.200000,3614.239000,38.359750,-122.388120,
203.400000,3643.415000,38.359960,-122.388320,
204.100000,3658.553000,38.360050,-122.388450,
204.700000,3675.859000,38.360130,-122.388620,
205.900000,3701.511000,38.360200,-122.388900,
207.400000,3739.825000,38.360300,-122.389320,
207.600000,3765.019000,38.360380,-122.389590,
208.200000,3775.185000,38.360410,-122.389700,
208.400000,3778.622000,38.360430,-122.389730,
208.400000,3779.735000,38.360440,-122.389730,
208.900000,3787.714000,38.360500,-122.389780,
209.700000,3801.521000,38.360620,-122.389820,
210.900000,3820.942000,38.360790,-122.389870,
211.000000,3823.333000,38.360810,-122.389880,
211.900000,3838.034000,38.360910,-122.389990,
211.900000,3840.863000,38.360930,-122.390010,
212.300000,3860.837000,38.361030,-122.390200,
213.600000,3934.639000,38.361390,-122.390910,
219.400000,4003.830000,38.361650,-122.391630,
220.300000,4035.526000,38.361750,-122.391970,
222.400000,4068.187000,38.361830,-122.392330,
222.500000,4082.197000,38.361840,-122.392490,
223.100000,4097.035000,38.361840,-122.392660,
224.300000,4109.306000,38.361830,-122.392800,
224.200000,4121.495000,38.361790,-122.392930,
223.900000,4137.330000,38.361710,-122.393080,
223.900000,4145.595000,38.361660,-122.393150,
225.900000,4164.921000,38.361540,-122.393310,
228.100000,4191.268000,38.361350,-122.393490,
231.700000,4232.571000,38.361040,-122.393750,
232.800000,4239.141000,38.360990,-122.393790,
233.900000,4246.678000,38.360930,-122.393830,
