alt,dst,lat,lon,mdata
39.100000,0.000000,38.103990,-122.902800,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Vision-Marin.tcx
39.100000,26.785000,38.103790,-122.902630,
43.100000,50.865000,38.103620,-122.902460,
43.500000,53.258000,38.103600,-122.902450,
43.900000,55.650000,38.103580,-122.902440,
44.200000,57.877000,38.103560,-122.902440,
46.000000,83.719000,38.103330,-122.902480,
45.300000,121.484000,38.103000,-122.902580,
45.900000,141.664000,38.102830,-122.902660,
48.700000,174.126000,38.102560,-122.902800,
48.700000,175.542000,38.102550,-122.902810,
48.900000,177.935000,38.102530,-122.902820,
49.300000,180.161000,38.102510,-122.902820,
49.700000,181.578000,38.102500,-122.902810,
50.100000,184.411000,38.102480,-122.902790,
50.600000,187.855000,38.102460,-122.902760,
50.800000,191.359000,38.102460,-122.902720,
51.000000,194.213000,38.102470,-122.902690,
51.900000,225.890000,38.102640,-122.902400,
53.100000,254.305000,38.102820,-122.902170,
55.600000,273.274000,38.102950,-122.902030,
58.000000,303.343000,38.103180,-122.901850,
58.200000,307.593000,38.103210,-122.901820,
58.500000,309.668000,38.103220,-122.901800,
59.100000,313.345000,38.103230,-122.901760,
59.600000,315.973000,38.103230,-122.901730,
60.500000,319.649000,38.103220,-122.901690,
61.300000,323.093000,38.103200,-122.901660,
62.100000,327.878000,38.103160,-122.901640,
64.300000,369.589000,38.102810,-122.901470,
65.200000,383.283000,38.102700,-122.901400,
66.500000,394.616000,38.102620,-122.901320,
68.700000,411.178000,38.102520,-122.901180,
72.500000,446.351000,38.102340,-122.900850,
74.600000,471.850000,38.102190,-122.900630,
77.200000,491.212000,38.102070,-122.900470,
82.800000,522.652000,38.101860,-122.900230,
87.400000,569.944000,38.101530,-122.899890,
99.200000,698.848000,38.100620,-122.898980,
101.600000,711.597000,38.100530,-122.898890,
103.500000,722.409000,38.100450,-122.898820,
105.300000,736.518000,38.100340,-122.898740,
106.700000,752.235000,38.100210,-122.898670,
107.800000,760.734000,38.100150,-122.898610,
108.000000,766.401000,38.100110,-122.898570,
108.500000,782.963000,38.100010,-122.898430,
108.600000,796.741000,38.099930,-122.898310,
108.900000,814.092000,38.099850,-122.898140,
109.000000,830.900000,38.099780,-122.897970,
109.500000,841.930000,38.099750,-122.897850,
110.600000,855.488000,38.099720,-122.897700,
111.900000,867.952000,38.099700,-122.897560,
113.200000,877.588000,38.099700,-122.897450,
114.400000,884.684000,38.099710,-122.897370,
115.300000,888.361000,38.099720,-122.897330,
116.200000,891.194000,38.099740,-122.897310,
116.900000,893.420000,38.099760,-122.897310,
117.700000,895.647000,38.099780,-122.897310,
118.100000,898.480000,38.099800,-122.897330,
118.500000,901.313000,38.099820,-122.897350,
118.900000,908.891000,38.099860,-122.897420,
119.000000,915.874000,38.099890,-122.897490,
117.800000,939.163000,38.099980,-122.897730,
115.800000,962.804000,38.100060,-122.897980,
115.700000,980.026000,38.100160,-122.898130,
116.300000,991.772000,38.100250,-122.898200,
117.000000,1003.735000,38.100350,-122.898250,
118.300000,1017.122000,38.100470,-122.898260,
118.900000,1030.480000,38.100590,-122.898260,
120.300000,1053.923000,38.100800,-122.898240,
120.800000,1061.764000,38.100870,-122.898250,
121.900000,1070.840000,38.100950,-122.898270,
123.800000,1087.757000,38.101080,-122.898370,
126.700000,1106.594000,38.101240,-122.898440,
127.900000,1120.404000,38.101360,-122.898480,
129.900000,1132.649000,38.101470,-122.898480,
132.000000,1140.636000,38.101540,-122.898460,
134.600000,1151.249000,38.101630,-122.898420,
136.500000,1158.332000,38.101680,-122.898370,
140.600000,1216.655000,38.102080,-122.897940,
141.600000,1230.296000,38.102180,-122.897850,
142.200000,1238.839000,38.102250,-122.897810,
142.800000,1246.017000,38.102310,-122.897780,
143.300000,1249.461000,38.102330,-122.897750,
143.700000,1251.537000,38.102340,-122.897730,
144.600000,1256.909000,38.102330,-122.897670,
145.500000,1262.417000,38.102300,-122.897620,
146.000000,1267.202000,38.102260,-122.897600,
145.900000,1271.740000,38.102220,-122.897610,
146.300000,1290.986000,38.102050,-122.897650,
148.400000,1303.356000,38.101940,-122.897670,
152.000000,1317.854000,38.101810,-122.897680,
153.400000,1329.020000,38.101710,-122.897690,
153.900000,1340.289000,38.101610,-122.897670,
154.100000,1346.124000,38.101560,-122.897650,
153.800000,1353.029000,38.101500,-122.897630,
153.600000,1359.184000,38.101450,-122.897600,
154.700000,1388.065000,38.101250,-122.897390,
155.800000,1402.230000,38.101150,-122.897290,
156.300000,1422.948000,38.101000,-122.897150,
156.300000,1429.194000,38.100960,-122.897100,
156.300000,1432.638000,38.100940,-122.897070,
156.900000,1447.168000,38.100870,-122.896930,
157.600000,1453.692000,38.100850,-122.896860,
158.300000,1460.215000,38.100830,-122.896790,
158.700000,1464.735000,38.100820,-122.896740,
159.300000,1470.967000,38.100810,-122.896670,
160.200000,1476.339000,38.100820,-122.896610,
161.200000,1480.491000,38.100840,-122.896570,
161.800000,1483.324000,38.100860,-122.896550,
163.000000,1487.862000,38.100900,-122.896540,
163.700000,1491.315000,38.100930,-122.896550,
164.600000,1502.400000,38.101000,-122.896640,
165.300000,1517.123000,38.101100,-122.896750,
165.400000,1526.190000,38.101160,-122.896820,
166.300000,1543.106000,38.101290,-122.896920,
166.700000,1550.284000,38.101350,-122.896950,
