alt,dst,lat,lon,mdata
424.600000,0.000000,34.208580,-118.200140,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Wilson-Altadena.tcx
426.400000,30.056000,34.208850,-118.200140,
428.700000,66.803000,34.209180,-118.200130,
430.300000,95.746000,34.209440,-118.200130,
435.100000,173.674000,34.210140,-118.200120,
438.000000,220.428000,34.210560,-118.200120,
438.200000,224.975000,34.210600,-118.200130,
442.000000,280.642000,34.211100,-118.200120,
447.700000,364.131000,34.211850,-118.200120,
450.300000,405.330000,34.212220,-118.200130,
453.300000,448.754000,34.212610,-118.200120,
456.400000,492.168000,34.213000,-118.200120,
458.000000,514.432000,34.213200,-118.200120,
461.600000,567.873000,34.213680,-118.200110,
471.800000,717.040000,34.215020,-118.200110,
474.900000,763.794000,34.215440,-118.200110,
480.200000,823.913000,34.215980,-118.200100,
483.000000,853.969000,34.216250,-118.200100,
487.000000,900.732000,34.216670,-118.200090,
492.700000,970.863000,34.217300,-118.200090,
494.200000,988.769000,34.217460,-118.200070,
494.500000,992.233000,34.217490,-118.200060,
495.000000,998.975000,34.217550,-118.200050,
495.700000,1008.069000,34.217630,-118.200030,
496.300000,1017.163000,34.217710,-118.200010,
497.000000,1027.555000,34.217800,-118.199980,
497.600000,1036.174000,34.217870,-118.199940,
498.400000,1048.220000,34.217970,-118.199890,
499.100000,1058.893000,34.218060,-118.199850,
499.800000,1068.918000,34.218140,-118.199800,
500.200000,1075.131000,34.218190,-118.199770,
500.900000,1086.193000,34.218230,-118.199660,
501.100000,1088.602000,34.218250,-118.199650,
503.100000,1114.026000,34.218430,-118.199480,
503.400000,1118.997000,34.218460,-118.199440,
503.900000,1125.400000,34.218500,-118.199390,
504.400000,1133.915000,34.218550,-118.199320,
504.900000,1141.009000,34.218590,-118.199260,
505.700000,1152.383000,34.218660,-118.199170,
506.300000,1162.363000,34.218710,-118.199080,
507.100000,1173.120000,34.218760,-118.198980,
508.600000,1194.634000,34.218860,-118.198780,
509.400000,1206.543000,34.218900,-118.198660,
509.900000,1215.476000,34.218930,-118.198570,
510.400000,1224.054000,34.218950,-118.198480,
511.700000,1239.440000,34.218990,-118.198320,
512.800000,1249.807000,34.219010,-118.198210,
514.000000,1259.079000,34.219020,-118.198110,
515.000000,1267.438000,34.219030,-118.198020,
515.600000,1273.977000,34.219040,-118.197950,
515.800000,1277.659000,34.219040,-118.197910,
516.200000,1283.182000,34.219040,-118.197850,
517.000000,1300.671000,34.219040,-118.197660,
519.100000,1338.411000,34.219040,-118.197250,
523.200000,1411.138000,34.219050,-118.196460,
518.000000,1452.620000,34.219030,-118.196010,
514.100000,1461.825000,34.219030,-118.195910,
511.900000,1467.459000,34.219020,-118.195850,
510.500000,1472.982000,34.219020,-118.195790,
509.800000,1475.959000,34.219010,-118.195760,
509.500000,1478.721000,34.219010,-118.195730,
510.600000,1488.191000,34.218990,-118.195630,
513.500000,1496.550000,34.218980,-118.195540,
516.700000,1508.090000,34.218950,-118.195420,
518.000000,1514.045000,34.218930,-118.195360,
520.700000,1537.470000,34.218860,-118.195120,
521.000000,1541.317000,34.218850,-118.195080,
522.200000,1552.363000,34.218850,-118.194960,
527.600000,1594.475000,34.218700,-118.194540,
529.600000,1603.407000,34.218670,-118.194450,
529.900000,1629.803000,34.218570,-118.194190,
530.100000,1634.538000,34.218560,-118.194140,
530.200000,1642.624000,34.218530,-118.194060,
530.100000,1648.310000,34.218500,-118.194010,
530.400000,1655.567000,34.218470,-118.193940,
530.600000,1666.324000,34.218420,-118.193840,
530.400000,1674.839000,34.218370,-118.193770,
530.100000,1683.353000,34.218320,-118.193700,
529.600000,1692.020000,34.218260,-118.193640,
529.400000,1700.687000,34.218200,-118.193580,
529.300000,1703.576000,34.218180,-118.193560,
529.000000,1731.206000,34.217970,-118.193400,
529.300000,1746.037000,34.217850,-118.193330,
530.000000,1756.516000,34.217770,-118.193270,
530.800000,1768.950000,34.217680,-118.193190,
530.900000,1772.763000,34.217650,-118.193170,
531.500000,1783.755000,34.217570,-118.193100,
531.800000,1791.597000,34.217520,-118.193040,
531.800000,1797.374000,34.217480,-118.193000,
532.000000,1808.016000,34.217420,-118.192910,
532.100000,1810.168000,34.217410,-118.192890,
532.200000,1813.715000,34.217390,-118.192860,
531.900000,1826.492000,34.217320,-118.192750,
531.900000,1835.097000,34.217280,-118.192670,
532.000000,1840.210000,34.217260,-118.192620,
532.000000,1845.323000,34.217240,-118.192570,
532.000000,1853.409000,34.217210,-118.192490,
531.900000,1859.363000,34.217190,-118.192430,
531.800000,1868.834000,34.217170,-118.192330,
531.400000,1882.147000,34.217140,-118.192190,
531.000000,1893.415000,34.217120,-118.192070,
530.800000,1898.150000,34.217110,-118.192020,
530.700000,1901.832000,34.217110,-118.191980,
530.600000,1904.594000,34.217110,-118.191950,
530.500000,1909.196000,34.217110,-118.191900,
530.300000,1919.322000,34.217110,-118.191790,
530.200000,1921.163000,34.217110,-118.191770,
530.200000,1922.084000,34.217110,-118.191760,
530.000000,1929.448000,34.217110,-118.191680,
