alt,dst,lat,lon,mdata
47.200000,0.000000,37.892000,-122.570420,E:\Dropbox\website\dev2\climbing\climbs\Muir-Woods-to-Panoramic-Hwy-Marin.tcx
47.600000,4.787000,37.892040,-122.570440,
47.800000,5.900000,37.892050,-122.570440,
48.300000,10.154000,37.892080,-122.570410,
48.700000,13.840000,37.892090,-122.570370,
49.000000,16.701000,37.892100,-122.570340,
49.100000,22.089000,37.892090,-122.570280,
49.800000,40.837000,37.892060,-122.570070,
50.300000,59.267000,37.892010,-122.569870,
50.800000,66.383000,37.892000,-122.569790,
51.000000,69.018000,37.892000,-122.569760,
51.200000,70.775000,37.892000,-122.569740,
51.300000,72.532000,37.892000,-122.569720,
51.700000,74.612000,37.892010,-122.569700,
51.800000,76.369000,37.892010,-122.569680,
52.500000,79.819000,37.892030,-122.569650,
52.900000,81.899000,37.892040,-122.569630,
53.200000,83.317000,37.892050,-122.569620,
53.800000,85.711000,37.892070,-122.569610,
54.100000,87.129000,37.892080,-122.569600,
54.700000,89.522000,37.892100,-122.569590,
55.600000,92.862000,37.892130,-122.569590,
55.900000,93.975000,37.892140,-122.569590,
56.600000,96.368000,37.892160,-122.569600,
57.300000,98.762000,37.892180,-122.569610,
58.300000,102.535000,37.892210,-122.569630,
58.900000,105.371000,37.892230,-122.569650,
59.800000,110.889000,37.892260,-122.569700,
60.500000,119.963000,37.892300,-122.569790,
60.300000,137.129000,37.892360,-122.569970,
60.400000,142.647000,37.892390,-122.570020,
60.500000,149.547000,37.892430,-122.570080,
61.200000,172.790000,37.892590,-122.570250,
61.100000,179.045000,37.892630,-122.570300,
59.700000,190.081000,37.892690,-122.570400,
59.500000,195.005000,37.892710,-122.570450,
59.300000,200.727000,37.892730,-122.570510,
62.600000,222.276000,37.892770,-122.570750,
72.000000,252.025000,37.892830,-122.571080,
73.300000,267.143000,37.892880,-122.571240,
76.000000,285.131000,37.892990,-122.571390,
78.500000,306.566000,37.893120,-122.571570,
80.300000,329.810000,37.893280,-122.571740,
80.700000,339.981000,37.893370,-122.571760,
81.200000,343.434000,37.893400,-122.571750,
82.200000,346.884000,37.893420,-122.571720,
83.200000,350.334000,37.893440,-122.571690,
84.300000,354.020000,37.893430,-122.571650,
86.100000,365.941000,37.893380,-122.571530,
84.300000,384.099000,37.893260,-122.571390,
84.200000,396.579000,37.893200,-122.571270,
85.700000,404.792000,37.893180,-122.571180,
87.900000,413.577000,37.893180,-122.571080,
89.500000,423.240000,37.893180,-122.570970,
89.700000,436.604000,37.893200,-122.570820,
88.700000,446.521000,37.893220,-122.570710,
87.400000,458.778000,37.893260,-122.570580,
87.300000,467.857000,37.893320,-122.570510,
87.300000,489.683000,37.893470,-122.570350,
87.800000,510.380000,37.893630,-122.570230,
93.500000,530.610000,37.893780,-122.570100,
95.100000,538.276000,37.893830,-122.570040,
96.000000,543.997000,37.893850,-122.569980,
96.900000,549.268000,37.893850,-122.569920,
98.600000,554.192000,37.893830,-122.569870,
105.600000,585.694000,37.893590,-122.569680,
107.000000,600.765000,37.893480,-122.569580,
105.600000,616.096000,37.893380,-122.569460,
104.600000,628.017000,37.893330,-122.569340,
103.700000,641.381000,37.893310,-122.569190,
103.100000,651.981000,37.893320,-122.569070,
102.700000,660.195000,37.893340,-122.568980,
103.000000,671.942000,37.893400,-122.568870,
105.500000,718.835000,37.893660,-122.568450,
112.800000,747.799000,37.893820,-122.568190,
117.400000,769.178000,37.893940,-122.568000,
118.900000,792.065000,37.894020,-122.567760,
119.300000,797.335000,37.894020,-122.567700,
120.400000,802.606000,37.894020,-122.567640,
121.100000,805.467000,37.894010,-122.567610,
123.100000,811.722000,37.893970,-122.567560,
124.200000,815.495000,37.893940,-122.567540,
124.800000,821.130000,37.893890,-122.567530,
124.200000,845.636000,37.893670,-122.567540,
121.700000,862.357000,37.893520,-122.567530,
120.600000,869.263000,37.893460,-122.567510,
119.600000,875.422000,37.893410,-122.567480,
118.600000,882.512000,37.893360,-122.567430,
118.700000,890.726000,37.893340,-122.567340,
118.700000,896.113000,37.893330,-122.567280,
119.500000,906.713000,37.893340,-122.567160,
120.300000,914.085000,37.893360,-122.567080,
121.400000,926.790000,37.893410,-122.566950,
122.200000,932.939000,37.893410,-122.566880,
122.700000,935.800000,37.893400,-122.566850,
124.300000,939.960000,37.893380,-122.566810,
126.400000,948.508000,37.893310,-122.566770,
129.600000,960.181000,37.893210,-122.566730,
130.000000,963.634000,37.893180,-122.566720,
130.700000,966.470000,37.893160,-122.566700,
131.000000,972.143000,37.893120,-122.566660,
131.100000,979.140000,37.893090,-122.566590,
131.400000,983.672000,37.893080,-122.566540,
131.800000,988.064000,37.893080,-122.566490,
132.800000,996.849000,37.893080,-122.566390,
133.100000,1001.380000,37.893070,-122.566340,
133.700000,1005.772000,37.893070,-122.566290,
133.700000,1009.932000,37.893050,-122.566250,
133.900000,1013.618000,37.893040,-122.566210,
132.500000,1030.868000,37.892940,-122.566060,
131.700000,1037.768000,37.892900,-122.566000,
130.800000,1044.668000,37.892860,-122.565940,
129.400000,1050.390000,37.892840,-122.565880,
127.900000,1055.777000,37.892830,-122.565820,
126.000000,1061.048000,37.892830,-122.565760,
125.000000,1064.734000,37.892840,-122.565720,
124.700000,1068.988000,37.892870,-122.565690,
125.200000,1078.396000,37.892940,-122.565630,
127.600000,1091.727000,37.893050,-122.565570,
129.700000,1100.672000,37.893120,-122.565520,
131.700000,1109.181000,37.893180,-122.565460,
132.500000,1112.631000,37.893200,-122.565430,
133.300000,1116.790000,37.893220,-122.565390,
134.700000,1123.040000,37.893230,-122.565320,
136.100000,1128.311000,37.893230,-122.565260,
138.100000,1134.460000,37.893230,-122.565190,
140.300000,1146.959000,37.893210,-122.565050,
140.000000,1160.323000,37.893190,-122.564900,
139.900000,1168.229000,37.893190,-122.564810,
139.700000,1175.601000,37.893210,-122.564730,
139.000000,1182.973000,37.893230,-122.564650,
139.000000,1189.873000,37.893270,-122.564590,
138.700000,1198.838000,37.893320,-122.564510,
138.600000,1207.346000,37.893380,-122.564450,
138.700000,1214.893000,37.893440,-122.564410,
138.600000,1223.441000,37.893510,-122.564370,
138.700000,1230.178000,37.893570,-122.564360,
138.300000,1238.166000,37.893640,-122.564340,
138.300000,1245.958000,37.893710,-122.564340,
138.600000,1252.695000,37.893770,-122.564350,
138.900000,1259.432000,37.893830,-122.564360,
141.400000,1272.171000,37.893940,-122.564400,
146.700000,1284.696000,37.894050,-122.564430,
149.900000,1295.863000,37.894150,-122.564440,
150.500000,1307.029000,37.894250,-122.564430,
150.700000,1312.664000,37.894300,-122.564420,
151.100000,1318.299000,37.894350,-122.564410,
151.600000,1329.739000,37.894450,-122.564380,
151.200000,1339.668000,37.894530,-122.564330,
151.000000,1349.598000,37.894610,-122.564280,
149.800000,1358.543000,37.894680,-122.564230,
149.100000,1362.317000,37.894710,-122.564210,
148.500000,1367.103000,37.894750,-122.564190,
148.700000,1380.577000,37.894870,-122.564170,
150.600000,1393.964000,37.894990,-122.564160,
153.600000,1406.334000,37.895100,-122.564140,
154.800000,1411.969000,37.895150,-122.564130,
155.700000,1417.143000,37.895190,-122.564100,
156.100000,1421.303000,37.895210,-122.564060,
157.300000,1428.418000,37.895220,-122.563980,
161.300000,1439.192000,37.895200,-122.563860,
164.600000,1450.250000,37.895170,-122.563740,
166.100000,1461.694000,37.895130,-122.563620,
166.000000,1481.006000,37.895020,-122.563450,
164.900000,1493.419000,37.894950,-122.563340,
164.900000,1505.918000,37.894930,-122.563200,
165.400000,1513.902000,37.894940,-122.563110,
166.500000,1528.206000,37.894990,-122.562960,
170.900000,1546.832000,37.895090,-122.562790,
175.900000,1576.696000,37.895280,-122.562550,
176.900000,1588.604000,37.895360,-122.562460,
177.100000,1600.525000,37.895410,-122.562340,
176.500000,1617.288000,37.895460,-122.562160,
176.300000,1623.010000,37.895480,-122.562100,
175.500000,1630.791000,37.895510,-122.562020,
173.900000,1637.030000,37.895540,-122.561960,
171.900000,1644.696000,37.895590,-122.561900,
172.400000,1652.243000,37.895650,-122.561860,
172.600000,1657.417000,37.895690,-122.561830,
175.000000,1663.052000,37.895740,-122.561820,
178.500000,1670.894000,37.895810,-122.561810,
182.700000,1687.591000,37.895960,-122.561810,
183.800000,1699.868000,37.896070,-122.561800,
185.300000,1714.366000,37.896200,-122.561790,
185.100000,1722.354000,37.896270,-122.561770,
185.400000,1730.580000,37.896340,-122.561740,
186.100000,1737.760000,37.896400,-122.561710,
185.700000,1742.934000,37.896440,-122.561680,
186.000000,1748.108000,37.896480,-122.561650,
187.400000,1751.882000,37.896510,-122.561630,
188.600000,1755.332000,37.896530,-122.561600,
189.500000,1758.168000,37.896550,-122.561580,
190.700000,1761.854000,37.896560,-122.561540,
191.000000,1762.732000,37.896560,-122.561530,
191.900000,1765.593000,37.896570,-122.561500,
192.600000,1768.228000,37.896570,-122.561470,
193.200000,1771.914000,37.896560,-122.561430,
193.600000,1774.775000,37.896550,-122.561400,
194.400000,1778.461000,37.896540,-122.561360,
195.200000,1783.978000,37.896510,-122.561310,
