alt,dst,lat,lon,mdata
1062.300000,0.000000,34.492940,-117.765160,E:\Dropbox\website\dev2\climbing\climbs\N4-Table-MtPearblossom.tcx
1062.500000,5.566000,34.492890,-117.765160,
1064.000000,47.867000,34.492510,-117.765160,
1065.200000,77.923000,34.492240,-117.765160,
1067.100000,132.469000,34.491750,-117.765160,
1071.400000,250.482000,34.490690,-117.765140,
1075.300000,349.560000,34.489800,-117.765130,
1081.100000,485.372000,34.488580,-117.765120,
1086.500000,604.486000,34.487510,-117.765130,
1091.600000,733.629000,34.486350,-117.765110,
1092.300000,750.327000,34.486200,-117.765110,
1097.900000,872.781000,34.485100,-117.765120,
1102.600000,982.987000,34.484110,-117.765120,
1103.400000,1001.933000,34.483940,-117.765130,
1106.700000,1068.731000,34.483340,-117.765120,
1109.000000,1117.711000,34.482900,-117.765120,
1114.900000,1241.275000,34.481790,-117.765120,
1120.600000,1364.839000,34.480680,-117.765120,
1122.500000,1410.480000,34.480270,-117.765120,
1127.700000,1510.671000,34.479370,-117.765130,
1133.800000,1635.352000,34.478250,-117.765120,
1139.200000,1735.543000,34.477350,-117.765110,
1142.600000,1793.429000,34.476830,-117.765110,
1147.900000,1898.084000,34.475890,-117.765090,
1149.500000,1931.480000,34.475590,-117.765090,
1153.600000,2026.119000,34.474740,-117.765070,
1156.400000,2090.684000,34.474160,-117.765070,
1157.300000,2114.061000,34.473950,-117.765070,
1161.200000,2199.781000,34.473180,-117.765080,
1166.500000,2293.307000,34.472340,-117.765060,
1170.900000,2381.249000,34.471550,-117.765060,
1177.200000,2510.392000,34.470390,-117.765040,
1181.800000,2609.466000,34.469500,-117.765040,
1187.400000,2718.558000,34.468520,-117.765040,
1191.800000,2796.487000,34.467820,-117.765050,
1205.500000,3054.748000,34.465500,-117.765060,
1209.000000,3133.806000,34.464790,-117.765080,
1213.400000,3218.413000,34.464030,-117.765070,
1222.300000,3405.431000,34.462350,-117.765060,
1223.800000,3429.921000,34.462130,-117.765060,
1231.800000,3587.994000,34.460710,-117.765060,
1236.700000,3674.827000,34.459930,-117.765050,
1241.800000,3766.109000,34.459110,-117.765050,
1250.700000,3930.871000,34.457630,-117.765030,
1254.800000,4018.818000,34.456840,-117.765040,
1265.600000,4219.194000,34.455040,-117.765030,
1266.000000,4230.325000,34.454940,-117.765030,
1267.400000,4262.608000,34.454650,-117.765030,
1273.900000,4367.252000,34.453710,-117.765020,
1278.700000,4481.914000,34.452680,-117.765010,
1282.900000,4572.082000,34.451870,-117.765010,
1285.600000,4624.402000,34.451400,-117.765010,
1289.600000,4687.854000,34.450830,-117.765010,
1295.100000,4792.493000,34.449890,-117.765010,
1300.300000,4891.567000,34.449000,-117.765010,
1305.000000,4992.867000,34.448090,-117.765010,
1307.300000,5036.282000,34.447700,-117.765010,
1309.400000,5071.904000,34.447380,-117.765010,
1315.600000,5186.566000,34.446350,-117.765000,
1332.900000,5493.807000,34.443590,-117.764990,
1336.100000,5530.588000,34.443260,-117.765010,
1339.500000,5598.548000,34.442650,-117.765040,
1341.900000,5672.590000,34.441990,-117.765140,
1343.100000,5695.322000,34.441790,-117.765190,
1343.500000,5709.910000,34.441660,-117.765210,
1346.700000,5757.085000,34.441250,-117.765340,
1350.400000,5802.631000,34.440860,-117.765490,
1351.000000,5814.353000,34.440760,-117.765530,
1352.100000,5845.780000,34.440490,-117.765630,
1352.800000,5868.214000,34.440290,-117.765660,
1354.300000,5896.179000,34.440040,-117.765690,
1356.100000,5920.196000,34.439830,-117.765750,
1356.600000,5929.518000,34.439750,-117.765780,
1356.900000,5938.132000,34.439680,-117.765820,
1359.000000,5973.353000,34.439410,-117.766020,
1361.900000,6016.384000,34.439100,-117.766300,
1362.200000,6018.611000,34.439080,-117.766300,
1363.800000,6078.634000,34.438660,-117.766710,
1364.000000,6081.520000,34.438640,-117.766730,
1364.400000,6090.177000,34.438580,-117.766790,
1368.700000,6153.393000,34.438130,-117.767210,
1369.600000,6172.478000,34.437990,-117.767330,
1370.700000,6189.707000,34.437850,-117.767410,
1373.300000,6216.611000,34.437620,-117.767500,
1375.500000,6278.663000,34.437070,-117.767610,
1376.800000,6328.867000,34.436630,-117.767730,
1378.100000,6366.966000,34.436300,-117.767840,
1384.200000,6423.960000,34.435810,-117.768020,
1388.000000,6462.906000,34.435470,-117.768120,
1389.000000,6521.116000,34.434960,-117.768260,
1398.200000,6641.504000,34.433900,-117.768520,
1399.800000,6659.527000,34.433740,-117.768550,
1401.100000,6680.697000,34.433550,-117.768540,
1401.000000,6699.975000,34.433380,-117.768500,
1401.800000,6722.080000,34.433190,-117.768430,
1403.200000,6734.934000,34.433090,-117.768360,
1405.600000,6754.564000,34.432950,-117.768230,
1407.700000,6787.976000,34.432740,-117.767970,
1408.600000,6809.874000,34.432570,-117.767850,
1410.100000,6838.124000,34.432330,-117.767750,
1411.900000,6862.142000,34.432120,-117.767690,
1413.400000,6919.387000,34.431610,-117.767610,
1413.200000,6948.692000,34.431350,-117.767560,
1417.300000,7007.042000,34.430830,-117.767480,
1421.400000,7028.685000,34.430640,-117.767430,
1422.700000,7043.135000,34.430520,-117.767370,
1423.700000,7059.799000,34.430390,-117.767280,
1424.500000,7105.170000,34.430060,-117.766990,
1425.300000,7130.922000,34.429870,-117.766830,
1428.500000,7162.391000,34.429620,-117.766670,
1433.800000,7187.186000,34.429410,-117.766580,
1434.100000,7216.834000,34.429150,-117.766510,
1434.600000,7238.301000,34.428960,-117.766470,
1434.100000,7285.494000,34.428540,-117.766400,
1434.200000,7301.321000,34.428400,-117.766370,
1433.500000,7330.278000,34.428140,-117.766360,
1433.600000,7373.702000,34.427750,-117.766350,
1435.100000,7451.820000,34.427050,-117.766410,
1435.200000,7458.562000,34.426990,-117.766420,
1435.700000,7473.293000,34.426860,-117.766450,
1437.000000,7493.414000,34.426680,-117.766470,
1437.400000,7510.213000,34.426530,-117.766490,
1437.900000,7528.118000,34.426370,-117.766510,
1438.500000,7550.224000,34.426180,-117.766580,
1438.300000,7568.466000,34.426030,-117.766660,
1437.800000,7583.648000,34.425900,-117.766710,
1438.400000,7601.834000,34.425740,-117.766750,
1443.100000,7619.645000,34.425580,-117.766750,
1446.000000,7643.309000,34.425370,-117.766710,
1445.700000,7681.864000,34.425030,-117.766630,
1445.500000,7715.310000,34.424730,-117.766610,
1445.900000,7720.951000,34.424680,-117.766600,
1445.500000,7743.234000,34.424480,-117.766610,
1443.300000,7769.632000,34.424250,-117.766680,
1443.400000,7774.178000,34.424210,-117.766690,
1443.900000,7797.926000,34.424010,-117.766780,
1445.400000,7826.826000,34.423770,-117.766900,
1453.300000,7874.106000,34.423390,-117.767130,
1457.900000,7900.785000,34.423180,-117.767270,
1459.500000,7923.843000,34.422990,-117.767370,
1464.500000,7977.856000,34.422540,-117.767590,
1465.700000,8002.101000,34.422330,-117.767660,
1468.900000,8042.552000,34.421970,-117.767720,
1480.000000,8180.615000,34.420730,-117.767750,
1489.100000,8289.742000,34.419750,-117.767780,
1495.500000,8357.703000,34.419140,-117.767810,
1500.200000,8413.483000,34.418640,-117.767850,
1504.900000,8483.236000,34.418020,-117.767960,
1510.300000,8532.909000,34.417580,-117.768050,
1513.200000,8559.767000,34.417340,-117.768080,
1515.800000,8587.733000,34.417100,-117.768170,
1518.100000,8607.000000,34.416940,-117.768250,
1524.300000,8650.350000,34.416580,-117.768430,
1529.700000,8715.730000,34.416040,-117.768710,
1538.700000,8795.205000,34.415380,-117.769040,
1541.900000,8846.154000,34.414950,-117.769230,
1544.000000,8871.722000,34.414730,-117.769310,
1545.300000,8897.587000,34.414500,-117.769350,
1546.100000,8914.386000,34.414350,-117.769370,
1551.500000,8966.995000,34.413880,-117.769430,
1556.800000,9030.772000,34.413310,-117.769500,
1566.200000,9102.728000,34.412670,-117.769610,
1566.800000,9113.898000,34.412570,-117.769600,
1566.800000,9129.724000,34.412430,-117.769630,
1571.400000,9170.061000,34.412070,-117.769680,
1573.300000,9184.187000,34.411950,-117.769730,
1575.300000,9201.828000,34.411810,-117.769820,
1577.600000,9222.902000,34.411660,-117.769960,
1578.900000,9237.796000,34.411580,-117.770090,
1581.200000,9263.401000,34.411450,-117.770320,
1583.600000,9291.893000,34.411440,-117.770630,
1590.400000,9341.824000,34.411540,-117.771160,
1590.700000,9353.968000,34.411560,-117.771290,
1590.300000,9371.559000,34.411580,-117.771480,
1592.300000,9425.789000,34.411560,-117.772070,
1593.300000,9448.712000,34.411480,-117.772300,
1594.000000,9462.303000,34.411390,-117.772200,
1599.000000,9535.204000,34.410910,-117.771660,
1599.500000,9544.475000,34.410850,-117.771590,
