alt,dst,lat,lon,mdata
66.900000,0.000000,35.984710,-121.489770,E:\Dropbox\website\dev2\climbing\climbs\Nacimiento-Fergusson-Rd-Big-Sur.tcx
66.500000,9.971000,35.984700,-121.489660,
66.400000,23.528000,35.984710,-121.489510,
66.100000,33.499000,35.984720,-121.489400,
66.600000,44.863000,35.984770,-121.489290,
68.200000,83.378000,35.984990,-121.488960,
68.500000,104.422000,35.985100,-121.488770,
74.000000,131.383000,35.985220,-121.488510,
80.600000,182.409000,35.985450,-121.488020,
89.700000,209.794000,35.985590,-121.487770,
90.800000,224.879000,35.985630,-121.487610,
91.800000,238.252000,35.985670,-121.487470,
93.800000,256.241000,35.985740,-121.487290,
97.100000,275.300000,35.985830,-121.487110,
99.200000,297.789000,35.985970,-121.486930,
99.200000,306.260000,35.986010,-121.486850,
99.800000,312.613000,35.986040,-121.486790,
100.400000,317.637000,35.986060,-121.486740,
100.900000,324.040000,35.986070,-121.486670,
101.200000,330.443000,35.986080,-121.486600,
101.400000,340.413000,35.986090,-121.486490,
102.100000,354.107000,35.986110,-121.486340,
102.200000,399.268000,35.986140,-121.485840,
101.900000,407.674000,35.986160,-121.485750,
101.600000,412.314000,35.986170,-121.485700,
101.500000,416.085000,35.986180,-121.485660,
101.500000,419.586000,35.986200,-121.485630,
101.600000,423.882000,35.986230,-121.485600,
102.100000,428.425000,35.986270,-121.485590,
103.800000,443.581000,35.986400,-121.485540,
105.800000,452.581000,35.986470,-121.485490,
107.700000,457.494000,35.986500,-121.485450,
109.200000,462.518000,35.986520,-121.485400,
109.900000,468.036000,35.986530,-121.485340,
109.700000,474.341000,35.986530,-121.485270,
115.800000,552.776000,35.986500,-121.484400,
116.000000,560.068000,35.986510,-121.484320,
116.200000,563.839000,35.986520,-121.484280,
116.500000,568.863000,35.986540,-121.484230,
116.900000,572.364000,35.986560,-121.484200,
117.500000,579.367000,35.986600,-121.484140,
118.100000,585.095000,35.986640,-121.484100,
119.100000,590.733000,35.986690,-121.484090,
120.000000,596.371000,35.986740,-121.484080,
120.800000,600.824000,35.986780,-121.484080,
122.200000,606.462000,35.986830,-121.484090,
123.100000,609.921000,35.986860,-121.484100,
124.000000,612.785000,35.986880,-121.484120,
124.900000,615.187000,35.986900,-121.484130,
126.200000,620.099000,35.986930,-121.484170,
127.900000,627.102000,35.986970,-121.484230,
128.800000,632.947000,35.986990,-121.484290,
129.800000,640.489000,35.987010,-121.484370,
133.000000,657.043000,35.987040,-121.484550,
134.600000,673.408000,35.987060,-121.484730,
135.300000,690.558000,35.987070,-121.484920,
135.400000,701.367000,35.987070,-121.485040,
134.800000,712.680000,35.987040,-121.485160,
135.500000,721.756000,35.987030,-121.485260,
137.500000,732.622000,35.987040,-121.485380,
139.400000,747.205000,35.987060,-121.485540,
140.400000,759.124000,35.987080,-121.485670,
141.000000,767.307000,35.987090,-121.485760,
141.900000,777.277000,35.987100,-121.485870,
141.700000,785.684000,35.987080,-121.485960,
141.300000,798.489000,35.987060,-121.486100,
140.900000,812.046000,35.987050,-121.486250,
141.400000,824.705000,35.987060,-121.486390,
146.000000,855.220000,35.987150,-121.486710,
146.600000,861.065000,35.987170,-121.486770,
147.900000,868.607000,35.987190,-121.486850,
150.000000,879.473000,35.987200,-121.486970,
151.000000,891.393000,35.987180,-121.487100,
151.700000,903.920000,35.987140,-121.487230,
152.300000,909.765000,35.987120,-121.487290,
152.800000,916.099000,35.987080,-121.487340,
153.300000,928.765000,35.987000,-121.487440,
153.300000,940.221000,35.986920,-121.487520,
153.200000,945.429000,35.986880,-121.487550,
154.300000,957.804000,35.986780,-121.487610,
155.900000,966.804000,35.986710,-121.487660,
156.700000,971.717000,35.986680,-121.487700,
157.500000,977.562000,35.986660,-121.487760,
165.600000,1030.752000,35.986680,-121.488350,
166.500000,1033.675000,35.986690,-121.488380,
166.900000,1038.178000,35.986690,-121.488430,
167.300000,1043.583000,35.986690,-121.488490,
166.800000,1049.428000,35.986670,-121.488550,
166.500000,1055.035000,35.986640,-121.488600,
170.100000,1077.764000,35.986540,-121.488820,
170.500000,1081.999000,35.986520,-121.488860,
170.900000,1085.770000,35.986510,-121.488900,
171.200000,1089.541000,35.986500,-121.488940,
171.700000,1093.144000,35.986500,-121.488980,
172.300000,1097.648000,35.986500,-121.489030,
173.800000,1104.050000,35.986510,-121.489100,
175.300000,1109.568000,35.986520,-121.489160,
176.400000,1114.973000,35.986520,-121.489220,
177.100000,1118.576000,35.986520,-121.489260,
177.600000,1122.179000,35.986520,-121.489300,
