alt,dst,lat,lon,mdata
275.400000,0.000000,33.315990,-116.990300,E:\Dropbox\website\dev2\climbing\climbs\Nate-Harrison-Grade-Temecula.tcx
308.500000,550.185000,33.318590,-116.985270,
318.600000,738.172000,33.319490,-116.983560,
319.900000,774.233000,33.319660,-116.983230,
320.500000,782.905000,33.319700,-116.983150,
321.200000,794.357000,33.319760,-116.983050,
322.000000,807.970000,33.319830,-116.982930,
323.200000,833.193000,33.319950,-116.982700,
323.500000,837.529000,33.319970,-116.982660,
323.800000,842.685000,33.319990,-116.982610,
324.100000,847.467000,33.320000,-116.982560,
324.400000,852.624000,33.320020,-116.982510,
324.900000,860.148000,33.320030,-116.982430,
325.600000,870.620000,33.320050,-116.982320,
326.300000,880.852000,33.320050,-116.982210,
327.700000,903.287000,33.320070,-116.981970,
328.800000,920.996000,33.320080,-116.981780,
329.900000,938.810000,33.320100,-116.981590,
330.600000,956.796000,33.320130,-116.981400,
330.900000,966.164000,33.320140,-116.981300,
331.100000,973.932000,33.320160,-116.981220,
331.200000,979.941000,33.320180,-116.981160,
331.200000,985.097000,33.320200,-116.981110,
331.200000,989.433000,33.320220,-116.981070,
331.200000,993.003000,33.320240,-116.981040,
331.400000,1004.455000,33.320300,-116.980940,
332.200000,1028.018000,33.320440,-116.980750,
333.300000,1047.335000,33.320560,-116.980600,
333.900000,1055.901000,33.320610,-116.980530,
334.400000,1064.467000,33.320660,-116.980460,
334.700000,1069.466000,33.320690,-116.980420,
335.000000,1073.802000,33.320710,-116.980380,
335.200000,1076.807000,33.320720,-116.980350,
335.400000,1079.811000,33.320730,-116.980320,
335.600000,1084.147000,33.320750,-116.980280,
336.100000,1089.838000,33.320760,-116.980220,
336.900000,1099.721000,33.320790,-116.980120,
337.700000,1109.090000,33.320800,-116.980020,
339.000000,1122.301000,33.320820,-116.979880,
341.300000,1154.240000,33.320860,-116.979540,
342.000000,1163.804000,33.320880,-116.979440,
345.400000,1209.128000,33.320950,-116.978960,
349.700000,1268.580000,33.321040,-116.978330,
351.500000,1292.257000,33.321080,-116.978080,
354.100000,1320.713000,33.321130,-116.977780,
355.200000,1335.761000,33.321150,-116.977620,
356.000000,1354.498000,33.321170,-116.977420,
356.500000,1368.495000,33.321180,-116.977270,
357.000000,1375.936000,33.321180,-116.977190,
358.800000,1394.573000,33.321190,-116.976990,
360.800000,1413.177000,33.321190,-116.976790,
362.300000,1429.957000,33.321200,-116.976610,
363.400000,1444.840000,33.321200,-116.976450,
364.500000,1459.765000,33.321210,-116.976290,
366.000000,1479.425000,33.321230,-116.976080,
367.300000,1508.453000,33.321260,-116.975770,
368.300000,1528.271000,33.321290,-116.975560,
371.100000,1549.780000,33.321310,-116.975330,
372.100000,1557.305000,33.321320,-116.975250,
372.800000,1562.886000,33.321320,-116.975190,
373.300000,1567.537000,33.321320,-116.975140,
373.800000,1573.228000,33.321310,-116.975080,
374.200000,1577.879000,33.321310,-116.975030,
374.500000,1582.661000,33.321300,-116.974980,
374.900000,1588.352000,33.321290,-116.974920,
375.300000,1595.233000,33.321270,-116.974850,
376.000000,1609.580000,33.321240,-116.974700,
376.100000,1614.363000,33.321230,-116.974650,
376.300000,1619.145000,33.321220,-116.974600,
376.400000,1622.866000,33.321220,-116.974560,
376.600000,1627.648000,33.321230,-116.974510,
376.700000,1632.430000,33.321240,-116.974460,
376.800000,1636.000000,33.321260,-116.974430,
376.900000,1639.004000,33.321270,-116.974400,
376.900000,1644.004000,33.321300,-116.974360,
377.000000,1647.574000,33.321320,-116.974330,
377.000000,1650.475000,33.321340,-116.974310,
377.200000,1656.278000,33.321380,-116.974270,
377.200000,1661.104000,33.321420,-116.974250,
377.300000,1664.570000,33.321450,-116.974240,
377.300000,1666.983000,33.321470,-116.974230,
377.400000,1669.210000,33.321490,-116.974230,
377.400000,1670.323000,33.321500,-116.974230,
377.500000,1672.549000,33.321520,-116.974230,
377.500000,1676.016000,33.321550,-116.974240,
377.500000,1679.839000,33.321580,-116.974260,
377.700000,1683.661000,33.321610,-116.974280,
377.800000,1687.484000,33.321640,-116.974300,
377.900000,1691.054000,33.321660,-116.974330,
378.600000,1696.054000,33.321690,-116.974370,
379.600000,1701.779000,33.321720,-116.974420,
380.600000,1707.505000,33.321750,-116.974470,
381.700000,1716.518000,33.321780,-116.974560,
382.100000,1722.527000,33.321800,-116.974620,
382.400000,1728.253000,33.321830,-116.974670,
382.600000,1731.823000,33.321850,-116.974700,
382.700000,1736.158000,33.321870,-116.974740,
382.800000,1739.728000,33.321890,-116.974770,
382.900000,1745.454000,33.321920,-116.974820,
383.100000,1749.806000,33.321950,-116.974850,
383.400000,1754.158000,33.321980,-116.974880,
383.900000,1759.961000,33.322020,-116.974920,
385.300000,1770.115000,33.322090,-116.974990,
386.100000,1775.918000,33.322130,-116.975030,
386.800000,1783.058000,33.322170,-116.975090,
387.400000,1787.410000,33.322200,-116.975120,
387.400000,1789.578000,33.322210,-116.975140,
387.500000,1793.147000,33.322230,-116.975170,
387.000000,1797.031000,33.322240,-116.975210,
386.300000,1802.187000,33.322260,-116.975260,
385.700000,1806.071000,33.322270,-116.975300,
385.100000,1809.955000,33.322280,-116.975340,
384.800000,1812.123000,33.322290,-116.975360,
384.700000,1813.573000,33.322300,-116.975370,
384.400000,1815.741000,33.322310,-116.975390,
384.200000,1818.643000,33.322330,-116.975410,
384.100000,1820.093000,33.322340,-116.975420,
384.200000,1821.206000,33.322350,-116.975420,
384.200000,1823.619000,33.322370,-116.975430,
384.300000,1824.732000,33.322380,-116.975430,
384.400000,1826.959000,33.322400,-116.975430,
384.600000,1829.185000,33.322420,-116.975430,
384.700000,1830.298000,33.322430,-116.975430,
385.100000,1834.847000,33.322470,-116.975420,
385.800000,1840.102000,33.322510,-116.975390,
385.900000,1842.515000,33.322530,-116.975380,
386.400000,1846.085000,33.322550,-116.975350,
386.900000,1851.084000,33.322580,-116.975310,
387.400000,1855.420000,33.322600,-116.975270,
387.700000,1858.425000,33.322610,-116.975240,
388.200000,1862.308000,33.322620,-116.975200,
390.300000,1882.125000,33.322650,-116.974990,
390.900000,1886.776000,33.322650,-116.974940,
391.400000,1891.558000,33.322660,-116.974890,
391.700000,1894.563000,33.322670,-116.974860,
392.200000,1899.345000,33.322680,-116.974810,
392.500000,1904.127000,33.322690,-116.974760,
392.800000,1914.010000,33.322720,-116.974660,
393.400000,1930.323000,33.322780,-116.974500,
394.100000,1947.967000,33.322830,-116.974320,
395.600000,1965.611000,33.322880,-116.974140,
396.500000,1975.494000,33.322910,-116.974040,
396.900000,1979.377000,33.322920,-116.974000,
397.300000,1983.261000,33.322930,-116.973960,
397.500000,1987.597000,33.322950,-116.973920,
397.900000,1994.101000,33.322980,-116.973860,
398.000000,1998.437000,33.323000,-116.973820,
398.400000,2004.941000,33.323030,-116.973760,
398.800000,2011.444000,33.323060,-116.973700,
399.400000,2017.453000,33.323080,-116.973640,
399.800000,2021.337000,33.323090,-116.973600,
400.500000,2026.119000,33.323100,-116.973550,
401.300000,2029.840000,33.323100,-116.973510,
402.000000,2033.560000,33.323100,-116.973470,
403.500000,2040.166000,33.323090,-116.973400,
404.900000,2047.047000,33.323070,-116.973330,
405.600000,2059.592000,33.323040,-116.973200,
406.000000,2072.478000,33.323000,-116.973070,
406.300000,2082.042000,33.322980,-116.972970,
406.700000,2091.607000,33.322960,-116.972870,
406.900000,2100.052000,33.322950,-116.972780,
407.300000,2114.181000,33.322930,-116.972630,
407.700000,2127.251000,33.322920,-116.972490,
408.000000,2137.483000,33.322920,-116.972380,
408.500000,2147.775000,33.322910,-116.972270,
409.600000,2159.867000,33.322910,-116.972140,
410.300000,2166.473000,33.322920,-116.972070,
411.300000,2174.918000,33.322930,-116.971980,
413.000000,2186.569000,33.322960,-116.971860,
414.900000,2202.103000,33.323000,-116.971700,
416.200000,2213.754000,33.323030,-116.971580,
416.800000,2219.445000,33.323040,-116.971520,
417.400000,2225.136000,33.323050,-116.971460,
417.800000,2230.717000,33.323050,-116.971400,
418.300000,2236.408000,33.323060,-116.971340,
