alt,dst,lat,lon,mdata
119.000000,0.000000,38.392460,-122.517530,E:\Dropbox\website\dev2\climbing\climbs\Nelligan-Rd-Kenwood.tcx
119.300000,7.978000,38.392400,-122.517580,
122.500000,37.567000,38.392630,-122.517750,
123.000000,64.556000,38.392850,-122.517880,
128.100000,102.214000,38.393170,-122.518020,
131.300000,121.849000,38.393340,-122.518080,
133.400000,143.286000,38.393530,-122.518120,
133.800000,163.342000,38.393710,-122.518130,
134.000000,171.183000,38.393780,-122.518120,
134.200000,177.862000,38.393840,-122.518120,
134.500000,190.384000,38.393950,-122.518090,
134.600000,210.497000,38.394130,-122.518070,
136.000000,237.270000,38.394370,-122.518050,
137.800000,249.547000,38.394480,-122.518060,
139.400000,260.678000,38.394580,-122.518060,
140.900000,271.845000,38.394680,-122.518070,
143.200000,291.088000,38.394850,-122.518110,
144.200000,303.457000,38.394960,-122.518130,
144.900000,312.739000,38.395040,-122.518160,
145.900000,330.518000,38.395190,-122.518230,
146.500000,338.054000,38.395250,-122.518270,
147.200000,344.205000,38.395300,-122.518300,
148.600000,353.592000,38.395370,-122.518360,
149.500000,358.423000,38.395400,-122.518400,
150.400000,366.686000,38.395450,-122.518470,
150.900000,373.558000,38.395490,-122.518530,
150.900000,378.455000,38.395510,-122.518580,
151.200000,386.988000,38.395540,-122.518670,
152.400000,404.887000,38.395630,-122.518840,
152.100000,409.784000,38.395650,-122.518890,
151.800000,413.924000,38.395670,-122.518930,
151.700000,416.752000,38.395690,-122.518950,
151.400000,420.189000,38.395710,-122.518980,
151.400000,422.580000,38.395730,-122.518990,
151.300000,424.971000,38.395750,-122.519000,
151.100000,427.362000,38.395770,-122.519010,
151.100000,429.589000,38.395790,-122.519010,
150.900000,436.268000,38.395850,-122.519010,
150.800000,446.437000,38.395940,-122.518990,
150.900000,451.602000,38.395980,-122.518960,
151.000000,466.290000,38.396100,-122.518890,
151.200000,483.188000,38.396230,-122.518790,
151.300000,500.086000,38.396360,-122.518690,
151.800000,517.947000,38.396490,-122.518570,
152.800000,537.222000,38.396630,-122.518440,
153.400000,549.432000,38.396720,-122.518360,
153.400000,553.200000,38.396750,-122.518340,
153.500000,556.029000,38.396770,-122.518320,
153.300000,563.203000,38.396830,-122.518290,
153.000000,567.740000,38.396870,-122.518280,
153.000000,570.131000,38.396890,-122.518270,
152.800000,573.471000,38.396920,-122.518270,
152.500000,577.924000,38.396960,-122.518270,
152.200000,583.490000,38.397010,-122.518270,
151.600000,590.393000,38.397070,-122.518290,
151.400000,592.784000,38.397090,-122.518300,
151.100000,601.859000,38.397170,-122.518320,
151.000000,607.493000,38.397220,-122.518330,
151.400000,615.713000,38.397290,-122.518360,
151.800000,622.887000,38.397350,-122.518390,
152.300000,636.570000,38.397460,-122.518460,
152.700000,645.500000,38.397530,-122.518510,
153.400000,661.455000,38.397650,-122.518610,
154.100000,674.740000,38.397740,-122.518710,
154.500000,681.811000,38.397790,-122.518760,
155.100000,693.545000,38.397880,-122.518830,
155.500000,703.461000,38.397960,-122.518880,
155.800000,710.635000,38.398020,-122.518910,
156.200000,723.367000,38.398130,-122.518950,
156.300000,730.103000,38.398190,-122.518960,
157.100000,757.947000,38.398440,-122.518950,
158.300000,774.667000,38.398590,-122.518940,
159.200000,792.500000,38.398750,-122.518950,
159.500000,800.292000,38.398820,-122.518950,
159.800000,808.277000,38.398890,-122.518970,
160.100000,815.451000,38.398950,-122.519000,
160.300000,821.284000,38.399000,-122.519020,
160.500000,835.336000,38.399120,-122.519070,
160.700000,846.772000,38.399220,-122.519100,
161.000000,863.510000,38.399360,-122.519170,
161.600000,894.596000,38.399620,-122.519300,
162.600000,919.020000,38.399810,-122.519440,
163.100000,925.170000,38.399860,-122.519470,
163.400000,931.403000,38.399900,-122.519520,
164.200000,939.381000,38.399960,-122.519570,
164.800000,948.308000,38.400010,-122.519650,
165.800000,963.782000,38.400070,-122.519810,
166.400000,977.056000,38.400090,-122.519960,
166.600000,988.613000,38.400110,-122.520090,
166.600000,990.358000,38.400110,-122.520110,
166.700000,994.021000,38.400120,-122.520150,
167.100000,998.918000,38.400140,-122.520200,
168.600000,1016.971000,38.400220,-122.520380,
169.600000,1029.332000,38.400290,-122.520490,
169.800000,1032.769000,38.400310,-122.520520,
170.200000,1039.641000,38.400350,-122.520580,
170.800000,1054.131000,38.400440,-122.520700,
170.800000,1060.364000,38.400480,-122.520750,
170.800000,1071.162000,38.400560,-122.520820,
170.900000,1080.727000,38.400640,-122.520860,
171.200000,1085.510000,38.400680,-122.520880,
171.500000,1090.292000,38.400720,-122.520900,
172.100000,1095.074000,38.400760,-122.520920,
172.900000,1098.414000,38.400790,-122.520920,
173.800000,1101.753000,38.400820,-122.520920,
175.500000,1107.319000,38.400870,-122.520920,
177.000000,1111.772000,38.400910,-122.520920,
177.800000,1115.112000,38.400940,-122.520920,
178.500000,1119.649000,38.400980,-122.520930,
178.900000,1122.040000,38.401000,-122.520940,
179.200000,1124.431000,38.401020,-122.520950,
179.300000,1125.545000,38.401030,-122.520950,
179.400000,1126.959000,38.401040,-122.520960,
179.400000,1129.029000,38.401050,-122.520980,
179.500000,1131.098000,38.401060,-122.521000,
179.400000,1131.971000,38.401060,-122.521010,
179.300000,1132.843000,38.401060,-122.521020,
179.400000,1133.715000,38.401060,-122.521030,
179.400000,1136.559000,38.401050,-122.521060,
179.500000,1138.304000,38.401050,-122.521080,
179.400000,1146.567000,38.401000,-122.521150,
179.600000,1162.364000,38.400910,-122.521290,
180.000000,1170.642000,38.400870,-122.521370,
180.900000,1182.019000,38.400830,-122.521490,
182.400000,1193.414000,38.400820,-122.521620,
185.000000,1205.678000,38.400830,-122.521760,
188.800000,1217.501000,38.400860,-122.521890,
191.200000,1229.919000,38.400920,-122.522010,
191.400000,1244.409000,38.401010,-122.522130,
191.500000,1256.142000,38.401100,-122.522200,
191.800000,1267.446000,38.401190,-122.522260,
192.200000,1279.747000,38.401290,-122.522320,
196.400000,1308.134000,38.401530,-122.522430,
203.200000,1334.915000,38.401760,-122.522520,
204.700000,1345.244000,38.401840,-122.522580,
206.400000,1356.042000,38.401920,-122.522650,
207.400000,1369.134000,38.402000,-122.522760,
208.000000,1376.775000,38.402050,-122.522820,
208.300000,1394.069000,38.402160,-122.522960,
207.400000,1406.536000,38.402240,-122.523060,
207.100000,1410.779000,38.402270,-122.523090,
207.100000,1415.561000,38.402310,-122.523110,
207.300000,1417.952000,38.402330,-122.523120,
207.700000,1422.490000,38.402370,-122.523130,
208.100000,1425.829000,38.402400,-122.523130,
208.900000,1434.049000,38.402470,-122.523100,
209.500000,1444.379000,38.402550,-122.523040,
209.900000,1452.356000,38.402610,-122.522990,
210.700000,1473.571000,38.402760,-122.522840,
213.000000,1495.544000,38.402880,-122.522640,
217.000000,1521.320000,38.402990,-122.522380,
221.000000,1555.028000,38.403100,-122.522020,
222.400000,1568.533000,38.403130,-122.521870,
