alt,dst,lat,lon,mdata
786.600000,0.000000,35.841890,-117.874830,E:\Dropbox\website\dev2\climbing\climbs\Nine-Mile-Rd-Ridgecrest.tcx
786.500000,28.063000,35.842140,-117.874790,
787.800000,67.768000,35.842140,-117.875230,
791.200000,181.474000,35.842130,-117.876490,
808.700000,742.761000,35.842120,-117.882710,
809.700000,773.763000,35.842080,-117.883050,
810.200000,792.352000,35.842040,-117.883250,
810.700000,810.066000,35.842000,-117.883440,
811.400000,833.083000,35.841930,-117.883680,
812.300000,865.358000,35.841840,-117.884020,
813.300000,903.002000,35.841720,-117.884410,
814.700000,954.884000,35.841560,-117.884950,
818.800000,1107.942000,35.841060,-117.886530,
822.700000,1234.264000,35.840660,-117.887840,
833.900000,1532.489000,35.839710,-117.890930,
868.400000,2272.384000,35.837340,-117.898590,
871.200000,2321.735000,35.837180,-117.899100,
874.200000,2372.773000,35.837020,-117.899630,
876.400000,2411.747000,35.836910,-117.900040,
878.100000,2439.632000,35.836850,-117.900340,
879.300000,2458.876000,35.836820,-117.900550,
880.600000,2476.345000,35.836790,-117.900740,
882.000000,2495.426000,35.836770,-117.900950,
883.300000,2512.609000,35.836760,-117.901140,
885.700000,2543.312000,35.836750,-117.901480,
888.000000,2573.114000,35.836760,-117.901810,
905.400000,2779.642000,35.836920,-117.904090,
906.700000,2803.211000,35.836940,-117.904350,
907.600000,2827.678000,35.836960,-117.904620,
908.500000,2836.973000,35.836980,-117.904720,
909.100000,2846.066000,35.836990,-117.904820,
909.900000,2860.886000,35.837020,-117.904980,
910.600000,2872.219000,35.837050,-117.905100,
912.100000,2891.053000,35.837120,-117.905290,
913.700000,2908.018000,35.837200,-117.905450,
918.000000,2953.598000,35.837450,-117.905850,
921.400000,2999.177000,35.837700,-117.906250,
925.800000,3059.465000,35.838040,-117.906770,
932.700000,3128.867000,35.838430,-117.907370,
938.800000,3196.164000,35.838810,-117.907950,
945.200000,3253.652000,35.839140,-117.908440,
949.400000,3315.354000,35.839480,-117.908980,
951.600000,3359.540000,35.839720,-117.909370,
952.300000,3374.269000,35.839800,-117.909500,
952.600000,3383.050000,35.839830,-117.909590,
953.100000,3390.605000,35.839850,-117.909670,
959.000000,3434.562000,35.840050,-117.910090,
960.400000,3461.349000,35.840150,-117.910360,
962.000000,3499.839000,35.840290,-117.910750,
963.600000,3547.108000,35.840460,-117.911230,
970.500000,3616.526000,35.840700,-117.911940,
972.300000,3659.600000,35.840850,-117.912380,
974.000000,3717.748000,35.841060,-117.912970,
976.300000,3802.235000,35.841360,-117.913830,
984.200000,3862.039000,35.841570,-117.914440,
991.100000,3978.289000,35.841970,-117.915630,
996.600000,4040.185000,35.842170,-117.916270,
1000.500000,4118.800000,35.842430,-117.917080,
1002.800000,4139.290000,35.842500,-117.917290,
1009.400000,4185.382000,35.842680,-117.917750,
1021.500000,4343.785000,35.843300,-117.919330,
1023.200000,4381.924000,35.843450,-117.919710,
1028.100000,4462.753000,35.843760,-117.920520,
1031.100000,4493.753000,35.843880,-117.920830,
1032.200000,4513.610000,35.843970,-117.921020,
1032.800000,4525.574000,35.844030,-117.921130,
1033.100000,4533.302000,35.844070,-117.921200,
1033.600000,4547.322000,35.844150,-117.921320,
1034.200000,4558.577000,35.844220,-117.921410,
1034.800000,4570.041000,35.844300,-117.921490,
1036.200000,4596.413000,35.844480,-117.921680,
1038.000000,4613.608000,35.844600,-117.921800,
1041.300000,4639.980000,35.844780,-117.921990,
1043.600000,4665.515000,35.844950,-117.922180,
1045.600000,4692.942000,35.845120,-117.922400,
1046.300000,4703.564000,35.845190,-117.922480,
1046.900000,4714.079000,35.845250,-117.922570,
1047.500000,4723.914000,35.845310,-117.922650,
1048.200000,4735.836000,35.845380,-117.922750,
1049.000000,4752.038000,35.845460,-117.922900,
1049.800000,4765.537000,35.845520,-117.923030,
1050.500000,4778.521000,35.845570,-117.923160,
1053.400000,4806.163000,35.845650,-117.923450,
1058.600000,4839.296000,35.845740,-117.923800,
1059.500000,4863.163000,35.845810,-117.924050,
1059.900000,4880.332000,35.845860,-117.924230,
1060.500000,4902.916000,35.845940,-117.924460,
1060.900000,4915.900000,35.845990,-117.924590,
1062.500000,4937.877000,35.846090,-117.924800,
1064.000000,4946.359000,35.846130,-117.924880,
1072.600000,5007.348000,35.846470,-117.925410,
1073.600000,5024.921000,35.846560,-117.925570,
1074.600000,5047.680000,35.846660,-117.925790,
1078.000000,5070.264000,35.846740,-117.926020,
1079.500000,5096.398000,35.846800,-117.926300,
1080.400000,5122.531000,35.846860,-117.926580,
1081.300000,5146.228000,35.846890,-117.926840,
1086.500000,5215.717000,35.846880,-117.927610,
1090.400000,5237.487000,35.846900,-117.927850,
1093.900000,5258.359000,35.846920,-117.928080,
1096.300000,5287.427000,35.846950,-117.928400,
1099.500000,5326.357000,35.847030,-117.928820,
1107.300000,5389.077000,35.847180,-117.929490,
1110.000000,5440.234000,35.847320,-117.930030,
1111.300000,5459.984000,35.847370,-117.930240,
1116.300000,5487.620000,35.847420,-117.930540,
1118.800000,5513.882000,35.847440,-117.930830,
1120.000000,5539.147000,35.847440,-117.931110,
1122.200000,5605.956000,35.847420,-117.931850,
1125.100000,5626.740000,35.847430,-117.932080,
1127.100000,5652.611000,35.847480,-117.932360,
1128.200000,5674.412000,35.847540,-117.932590,
1129.400000,5697.172000,35.847640,-117.932810,
1130.100000,5708.426000,35.847710,-117.932900,
1130.600000,5721.045000,35.847780,-117.933010,
1130.900000,5726.777000,35.847820,-117.933050,
1131.100000,5732.509000,35.847860,-117.933090,
1131.300000,5736.808000,35.847890,-117.933120,
1131.900000,5750.911000,35.847980,-117.933230,
1133.000000,5771.352000,35.848110,-117.933390,
1136.900000,5796.708000,35.848270,-117.933590,
1144.100000,5832.500000,35.848460,-117.933910,
1145.100000,5846.582000,35.848530,-117.934040,
1155.000000,5899.880000,35.848820,-117.934510,
1155.700000,5916.082000,35.848900,-117.934660,
1155.800000,5921.113000,35.848920,-117.934710,
1156.100000,5926.967000,35.848940,-117.934770,
1156.100000,5930.744000,35.848950,-117.934810,
1155.900000,5934.353000,35.848950,-117.934850,
1155.700000,5940.669000,35.848950,-117.934920,
1155.900000,5946.196000,35.848940,-117.934980,
1156.200000,5951.227000,35.848920,-117.935030,
1156.400000,5954.732000,35.848900,-117.935060,
1156.900000,5958.973000,35.848880,-117.935100,
1158.800000,5966.737000,35.848830,-117.935160,
1160.800000,5973.371000,35.848780,-117.935200,
1164.200000,5994.740000,35.848610,-117.935310,
1164.900000,6008.008000,35.848510,-117.935390,
1165.600000,6020.904000,35.848420,-117.935480,
1166.600000,6037.027000,35.848330,-117.935620,
1167.400000,6048.735000,35.848290,-117.935740,
1167.700000,6058.356000,35.848260,-117.935840,
1168.100000,6076.709000,35.848230,-117.936040,
1168.100000,6098.479000,35.848210,-117.936280,
1167.900000,6115.623000,35.848210,-117.936470,
1168.000000,6129.340000,35.848230,-117.936620,
1168.000000,6145.921000,35.848260,-117.936800,
1168.600000,6173.100000,35.848350,-117.937080,
1173.700000,6218.618000,35.848550,-117.937520,
1175.300000,6225.763000,35.848580,-117.937590,
1177.300000,6261.237000,35.848740,-117.937930,
1178.100000,6280.864000,35.848850,-117.938100,
1178.700000,6301.205000,35.848970,-117.938270,
1179.700000,6321.266000,35.849110,-117.938410,
1181.400000,6350.164000,35.849330,-117.938580,
1183.500000,6367.737000,35.849470,-117.938670,
1187.700000,6389.106000,35.849640,-117.938780,
1195.000000,6464.380000,35.850250,-117.939140,
1198.000000,6479.156000,35.850370,-117.939210,
1200.500000,6495.328000,35.850500,-117.939290,
1201.200000,6501.517000,35.850550,-117.939320,
1201.500000,6506.435000,35.850580,-117.939360,
1201.800000,6513.444000,35.850620,-117.939420,
1201.700000,6519.298000,35.850640,-117.939480,
1201.200000,6523.809000,35.850640,-117.939530,
1200.600000,6530.125000,35.850640,-117.939600,
1200.400000,6540.727000,35.850590,-117.939700,
1201.600000,6549.325000,35.850530,-117.939760,
1202.200000,6562.090000,35.850420,-117.939800,
1206.600000,6597.197000,35.850120,-117.939920,
1214.600000,6658.392000,35.849600,-117.940140,
1219.100000,6710.286000,35.849160,-117.940330,
1223.000000,6736.386000,35.848940,-117.940430,
1225.100000,6765.938000,35.848700,-117.940570,
1226.900000,6794.488000,35.848470,-117.940710,
1229.000000,6829.546000,35.848200,-117.940910,
1232.300000,6867.444000,35.847910,-117.941130,
1239.800000,6928.286000,35.847470,-117.941530,
1242.100000,6975.298000,35.847150,-117.941870,
1248.300000,7023.314000,35.846840,-117.942240,
1249.600000,7037.396000,35.846770,-117.942370,
1252.000000,7054.127000,35.846710,-117.942540,
1253.800000,7078.380000,35.846630,-117.942790,
1255.500000,7125.432000,35.846510,-117.943290,
1264.300000,7176.088000,35.846360,-117.943820,
1264.800000,7201.182000,35.846280,-117.944080,
1265.400000,7215.817000,35.846230,-117.944230,
1265.300000,7220.057000,35.846210,-117.944270,
1265.400000,7224.298000,35.846190,-117.944310,
1265.100000,7230.637000,35.846150,-117.944360,
1264.800000,7243.534000,35.846060,-117.944450,
1265.000000,7259.706000,35.845930,-117.944530,
1267.200000,7274.890000,35.845810,-117.944610,
1271.800000,7285.808000,35.845730,-117.944680,
1274.400000,7294.227000,35.845680,-117.944750,
1275.800000,7305.453000,35.845620,-117.944850,
1276.400000,7315.926000,35.845590,-117.944960,
1276.800000,7335.167000,35.845560,-117.945170,
1277.300000,7360.458000,35.845570,-117.945450,
1277.300000,7370.446000,35.845580,-117.945560,
1277.600000,7383.513000,35.845610,-117.945700,
1278.100000,7402.756000,35.845670,-117.945900,
1279.300000,7421.588000,35.845740,-117.946090,
1280.700000,7437.907000,35.845790,-117.946260,
1284.300000,7453.015000,35.845830,-117.946420,
1288.700000,7464.347000,35.845860,-117.946540,
1290.600000,7477.028000,35.845870,-117.946680,
1292.500000,7493.309000,35.845880,-117.946860,
1293.400000,7501.430000,35.845880,-117.946950,
1293.300000,7508.984000,35.845860,-117.947030,
1292.700000,7516.938000,35.845830,-117.947110,
1292.400000,7527.540000,35.845780,-117.947210,
1293.300000,7548.744000,35.845680,-117.947410,
1297.000000,7562.243000,35.845620,-117.947540,
1300.800000,7578.150000,35.845560,-117.947700,
1302.800000,7612.489000,35.845460,-117.948060,
1303.200000,7638.069000,35.845390,-117.948330,
1303.600000,7653.768000,35.845360,-117.948500,
1304.000000,7683.676000,35.845290,-117.948820,
1306.100000,7709.162000,35.845260,-117.949100,
1311.300000,7726.343000,35.845270,-117.949290,
1313.500000,7740.951000,35.845290,-117.949450,
1315.400000,7776.114000,35.845360,-117.949830,
1316.100000,7791.223000,35.845400,-117.949990,
1315.900000,7813.886000,35.845460,-117.950230,
1316.200000,7823.508000,35.845490,-117.950330,
1316.600000,7831.236000,35.845530,-117.950400,
1316.600000,7838.381000,35.845560,-117.950470,
1317.200000,7849.607000,35.845620,-117.950570,
1326.600000,7898.781000,35.845920,-117.950970,
1327.800000,7924.998000,35.846040,-117.951220,
1328.700000,7953.074000,35.846150,-117.951500,
1329.200000,7975.658000,35.846230,-117.951730,
1329.000000,7995.316000,35.846300,-117.951930,
1333.000000,8019.665000,35.846400,-117.952170,
1340.600000,8090.832000,35.846750,-117.952830,
1342.700000,8146.676000,35.846980,-117.953380,
1343.800000,8158.850000,35.847030,-117.953500,
1350.900000,8199.440000,35.847180,-117.953910,
1352.000000,8247.865000,35.847390,-117.954380,
1352.100000,8283.340000,35.847550,-117.954720,
1352.700000,8299.463000,35.847640,-117.954860,
1353.800000,8314.992000,35.847740,-117.954980,
1354.100000,8334.009000,35.847860,-117.955130,
1354.500000,8354.071000,35.848000,-117.955270,
1357.100000,8374.915000,35.848160,-117.955390,
1362.800000,8404.777000,35.848410,-117.955510,
1363.900000,8422.629000,35.848560,-117.955580,
1365.400000,8449.201000,35.848770,-117.955720,
1370.100000,8489.469000,35.849080,-117.955950,
1375.000000,8519.561000,35.849290,-117.956160,
1376.900000,8570.919000,35.849660,-117.956500,
1376.500000,8613.048000,35.849950,-117.956800,
1376.300000,8655.178000,35.850240,-117.957100,
1378.300000,8705.054000,35.850580,-117.957460,
1385.800000,8748.616000,35.850880,-117.957770,
1387.800000,8777.275000,35.851080,-117.957970,
1389.400000,8859.523000,35.851650,-117.958550,
1393.600000,8916.070000,35.852060,-117.958920,
1400.700000,8990.159000,35.852600,-117.959400,
1403.700000,9043.724000,35.853000,-117.959730,
1411.300000,9071.199000,35.853210,-117.959890,
1413.700000,9089.207000,35.853350,-117.959990,
1415.000000,9101.051000,35.853440,-117.960060,
1415.300000,9106.664000,35.853470,-117.960110,
1416.700000,9113.673000,35.853510,-117.960170,
1418.100000,9118.704000,35.853530,-117.960220,
1419.800000,9123.735000,35.853550,-117.960270,
1421.400000,9128.765000,35.853570,-117.960320,
1422.400000,9133.412000,35.853580,-117.960370,
1422.700000,9138.059000,35.853570,-117.960420,
1423.600000,9147.150000,35.853560,-117.960520,
1423.400000,9153.510000,35.853530,-117.960580,
1423.400000,9159.364000,35.853510,-117.960640,
