alt,dst,lat,lon,mdata
70.400000,0.000000,38.424480,-122.411910,E:\Dropbox\website\dev2\climbing\climbs\Oakville-Grade-Oakville.tcx
70.700000,12.998000,38.424370,-122.411960,
72.200000,47.995000,38.424070,-122.412080,
73.800000,74.297000,38.423850,-122.412190,
74.300000,81.200000,38.423790,-122.412210,
75.300000,96.589000,38.423660,-122.412270,
75.600000,101.753000,38.423620,-122.412300,
75.800000,107.904000,38.423570,-122.412330,
76.900000,120.204000,38.423470,-122.412390,
78.200000,128.181000,38.423410,-122.412440,
79.100000,133.345000,38.423370,-122.412470,
80.000000,139.002000,38.423330,-122.412510,
80.900000,147.263000,38.423280,-122.412580,
81.900000,155.524000,38.423230,-122.412650,
82.800000,161.017000,38.423200,-122.412700,
83.500000,165.155000,38.423180,-122.412740,
84.900000,171.363000,38.423150,-122.412800,
85.800000,177.049000,38.423130,-122.412860,
86.700000,182.736000,38.423110,-122.412920,
89.900000,211.201000,38.423030,-122.413230,
90.700000,220.202000,38.423010,-122.413330,
91.500000,226.409000,38.422980,-122.413390,
92.800000,234.939000,38.422950,-122.413480,
93.900000,240.432000,38.422920,-122.413530,
94.900000,247.390000,38.422890,-122.413600,
95.900000,254.261000,38.422850,-122.413660,
96.400000,258.399000,38.422830,-122.413700,
97.600000,274.922000,38.422730,-122.413840,
98.400000,283.183000,38.422680,-122.413910,
99.300000,290.823000,38.422630,-122.413970,
99.900000,295.987000,38.422590,-122.414000,
100.700000,307.300000,38.422510,-122.414080,
101.600000,316.687000,38.422440,-122.414140,
105.100000,351.008000,38.422170,-122.414330,
106.500000,366.041000,38.422060,-122.414430,
106.900000,373.112000,38.422010,-122.414480,
107.100000,378.769000,38.421970,-122.414520,
107.300000,385.001000,38.421930,-122.414570,
107.700000,389.897000,38.421910,-122.414620,
108.300000,396.768000,38.421870,-122.414680,
108.900000,401.664000,38.421850,-122.414730,
109.300000,405.803000,38.421830,-122.414770,
110.100000,411.489000,38.421810,-122.414830,
110.700000,416.386000,38.421790,-122.414880,
111.400000,421.735000,38.421780,-122.414940,
111.900000,427.085000,38.421770,-122.415000,
112.300000,430.747000,38.421760,-122.415040,
113.000000,436.852000,38.421760,-122.415110,
113.400000,441.213000,38.421760,-122.415160,
113.800000,445.574000,38.421760,-122.415210,
114.300000,450.806000,38.421760,-122.415270,
114.900000,457.012000,38.421770,-122.415340,
115.500000,462.699000,38.421790,-122.415400,
116.300000,470.022000,38.421810,-122.415480,
117.000000,475.709000,38.421830,-122.415540,
117.800000,481.396000,38.421850,-122.415600,
118.900000,490.420000,38.421890,-122.415690,
120.300000,506.403000,38.421960,-122.415850,
120.800000,515.427000,38.422000,-122.415940,
121.300000,526.800000,38.422040,-122.416060,
121.700000,534.535000,38.422070,-122.416140,
122.400000,543.874000,38.422100,-122.416240,
123.200000,551.198000,38.422120,-122.416320,
124.000000,557.696000,38.422140,-122.416390,
124.500000,562.929000,38.422140,-122.416450,
125.000000,567.429000,38.422150,-122.416500,
125.200000,570.918000,38.422150,-122.416540,
125.700000,576.268000,38.422140,-122.416600,
