alt,dst,lat,lon,mdata
34.300000,0.000000,38.504670,-123.031960,E:\Dropbox\website\dev2\climbing\climbs\Old-Caz-Cazadero.tcx
34.500000,8.481000,38.504730,-123.031900,
34.900000,13.308000,38.504760,-123.031860,
35.300000,17.803000,38.504770,-123.031810,
35.600000,21.461000,38.504780,-123.031770,
36.100000,25.119000,38.504790,-123.031730,
36.700000,29.615000,38.504780,-123.031680,
37.800000,33.971000,38.504780,-123.031630,
39.000000,38.326000,38.504780,-123.031580,
39.800000,42.682000,38.504780,-123.031530,
40.500000,47.038000,38.504780,-123.031480,
40.800000,50.522000,38.504780,-123.031440,
41.600000,55.018000,38.504790,-123.031390,
42.300000,58.676000,38.504800,-123.031350,
44.200000,67.198000,38.504830,-123.031260,
45.000000,71.693000,38.504840,-123.031210,
45.600000,75.351000,38.504850,-123.031170,
46.000000,79.707000,38.504850,-123.031120,
46.100000,82.320000,38.504850,-123.031090,
46.300000,84.934000,38.504850,-123.031060,
46.100000,87.774000,38.504840,-123.031030,
45.800000,95.090000,38.504820,-123.030950,
46.200000,100.317000,38.504820,-123.030890,
46.400000,103.802000,38.504820,-123.030850,
46.200000,106.642000,38.504810,-123.030820,
46.500000,110.127000,38.504810,-123.030780,
46.600000,112.740000,38.504810,-123.030750,
47.100000,114.808000,38.504820,-123.030730,
47.200000,116.550000,38.504820,-123.030710,
47.200000,118.292000,38.504820,-123.030690,
48.200000,122.427000,38.504840,-123.030650,
48.100000,124.170000,38.504840,-123.030630,
48.500000,125.583000,38.504850,-123.030620,
48.900000,127.651000,38.504860,-123.030600,
49.200000,129.718000,38.504870,-123.030580,
49.500000,131.132000,38.504880,-123.030570,
49.900000,132.545000,38.504890,-123.030560,
50.100000,134.613000,38.504900,-123.030540,
51.000000,136.839000,38.504920,-123.030540,
51.300000,138.907000,38.504930,-123.030520,
52.600000,142.673000,38.504960,-123.030500,
53.900000,146.440000,38.504990,-123.030480,
54.300000,147.854000,38.505000,-123.030470,
55.300000,150.681000,38.505020,-123.030450,
