alt,dst,lat,lon,mdata
72.800000,0.000000,38.513490,-122.450760,E:\Dropbox\website\dev2\climbing\climbs\Old-Howell-Mt-Napa.tcx
72.600000,36.735000,38.513460,-122.450340,
76.000000,75.700000,38.513320,-122.449930,
77.400000,83.969000,38.513280,-122.449850,
87.600000,152.137000,38.513040,-122.449130,
87.700000,193.202000,38.512930,-122.448680,
93.900000,261.370000,38.512880,-122.447900,
96.200000,286.630000,38.512880,-122.447610,
97.000000,302.466000,38.512860,-122.447430,
97.900000,328.594000,38.512800,-122.447140,
99.000000,350.218000,38.512710,-122.446920,
102.700000,412.239000,38.512410,-122.446320,
102.900000,435.719000,38.512300,-122.446090,
103.300000,447.398000,38.512240,-122.445980,
103.600000,454.264000,38.512200,-122.445920,
102.100000,484.771000,38.512210,-122.445570,
101.000000,520.640000,38.512240,-122.445160,
100.000000,586.119000,38.512280,-122.444410,
99.500000,614.782000,38.512340,-122.444090,
99.700000,624.619000,38.512360,-122.443980,
100.500000,652.605000,38.512450,-122.443680,
104.100000,720.688000,38.512860,-122.443100,
105.100000,731.664000,38.512920,-122.443000,
106.000000,741.501000,38.512940,-122.442890,
107.400000,758.088000,38.512930,-122.442700,
108.500000,778.245000,38.512910,-122.442470,
108.700000,791.499000,38.512890,-122.442320,
108.600000,806.506000,38.512840,-122.442160,
109.400000,849.753000,38.512660,-122.441720,
111.700000,866.917000,38.512570,-122.441560,
113.200000,884.949000,38.512490,-122.441380,
113.400000,894.786000,38.512470,-122.441270,
114.000000,912.766000,38.512510,-122.441070,
115.400000,936.293000,38.512590,-122.440820,
116.800000,948.697000,38.512650,-122.440700,
117.900000,962.102000,38.512700,-122.440560,
118.500000,978.132000,38.512730,-122.440380,
118.500000,990.327000,38.512730,-122.440240,
119.600000,1005.334000,38.512780,-122.440080,
120.200000,1014.324000,38.512800,-122.439980,
122.900000,1043.266000,38.512870,-122.439660,
123.500000,1050.132000,38.512910,-122.439600,
123.800000,1054.372000,38.512940,-122.439570,
124.300000,1059.535000,38.512980,-122.439540,
124.900000,1065.169000,38.513030,-122.439530,
125.200000,1069.706000,38.513070,-122.439520,
125.700000,1074.487000,38.513110,-122.439540,
126.800000,1086.441000,38.513210,-122.439590,
128.300000,1100.785000,38.513330,-122.439650,
129.700000,1116.467000,38.513470,-122.439670,
132.400000,1171.342000,38.513940,-122.439480,
132.000000,1209.771000,38.514160,-122.439140,
132.500000,1217.304000,38.514220,-122.439100,
132.500000,1254.356000,38.514500,-122.438870,
135.400000,1288.864000,38.514780,-122.438700,
139.100000,1318.997000,38.515020,-122.438540,
140.300000,1363.048000,38.515380,-122.438330,
146.600000,1418.763000,38.515830,-122.438610,
149.400000,1456.414000,38.516150,-122.438750,
151.300000,1478.033000,38.516320,-122.438870,
151.700000,1480.860000,38.516340,-122.438890,
154.200000,1497.821000,38.516460,-122.439010,
154.800000,1509.256000,38.516560,-122.439040,
154.600000,1520.523000,38.516660,-122.439020,
153.300000,1535.636000,38.516790,-122.438970,
153.100000,1540.173000,38.516830,-122.438980,
152.400000,1546.908000,38.516890,-122.438990,
151.700000,1555.444000,38.516960,-122.439030,
151.500000,1565.743000,38.517020,-122.439120,
154.000000,1584.030000,38.517070,-122.439320,
158.500000,1603.375000,38.517160,-122.439510,
161.800000,1621.377000,38.517320,-122.439540,
162.400000,1635.953000,38.517450,-122.439560,
162.100000,1645.971000,38.517540,-122.439560,
161.600000,1656.140000,38.517630,-122.439580,
162.400000,1667.193000,38.517700,-122.439670,
165.100000,1687.536000,38.517780,-122.439880,
167.300000,1703.415000,38.517880,-122.440010,
169.800000,1718.903000,38.518000,-122.440100,
172.400000,1734.965000,38.518130,-122.440180,
174.300000,1751.926000,38.518250,-122.440300,
176.100000,1773.261000,38.518380,-122.440480,
181.500000,1788.978000,38.518370,-122.440660,
185.800000,1801.621000,38.518340,-122.440800,
191.000000,1820.814000,38.518330,-122.441020,
195.100000,1842.617000,38.518320,-122.441270,
196.300000,1857.088000,38.518390,-122.441410,
192.600000,1877.295000,38.518570,-122.441440,
190.500000,1892.407000,38.518700,-122.441490,
189.400000,1911.331000,38.518830,-122.441630,
190.200000,1927.149000,38.518880,-122.441800,
190.700000,1943.392000,38.518940,-122.441970,
192.900000,1975.237000,38.518990,-122.442330,
192.700000,1990.303000,38.519110,-122.442410,
192.200000,2009.307000,38.519280,-122.442430,
195.100000,2036.376000,38.519520,-122.442480,
198.600000,2050.848000,38.519650,-122.442480,
200.600000,2067.546000,38.519800,-122.442480,
201.700000,2077.900000,38.519890,-122.442510,
202.100000,2082.437000,38.519930,-122.442520,
203.300000,2097.549000,38.520060,-122.442570,
204.000000,2110.070000,38.520170,-122.442600,
203.900000,2120.126000,38.520260,-122.442590,
203.200000,2133.440000,38.520370,-122.442530,
202.100000,2148.928000,38.520490,-122.442440,
203.200000,2184.720000,38.520810,-122.442400,
204.100000,2223.691000,38.521160,-122.442390,
204.100000,2230.427000,38.521220,-122.442380,
204.300000,2254.206000,38.521430,-122.442330,
205.700000,2278.160000,38.521640,-122.442270,
205.400000,2304.487000,38.521830,-122.442090,
207.200000,2316.690000,38.521920,-122.442010,
209.200000,2332.393000,38.522050,-122.441940,
211.000000,2348.575000,38.522190,-122.441990,
213.000000,2373.231000,38.522400,-122.442080,
213.600000,2395.563000,38.522600,-122.442060,
213.500000,2420.158000,38.522800,-122.441940,
213.100000,2472.939000,38.523270,-122.441860,
212.600000,2485.308000,38.523380,-122.441880,
213.200000,2502.268000,38.523500,-122.442000,
214.100000,2526.279000,38.523630,-122.442220,
217.500000,2546.373000,38.523720,-122.442420,
225.800000,2574.595000,38.523760,-122.442740,
227.500000,2583.923000,38.523790,-122.442840,
228.300000,2590.788000,38.523830,-122.442900,
229.300000,2602.095000,38.523910,-122.442980,
229.600000,2616.145000,38.524030,-122.443030,
229.400000,2631.030000,38.524160,-122.443070,
229.400000,2641.199000,38.524250,-122.443090,
230.200000,2654.810000,38.524370,-122.443120,
230.700000,2668.197000,38.524490,-122.443130,
230.300000,2678.551000,38.524580,-122.443100,
230.900000,2705.327000,38.524810,-122.443010,
232.200000,2717.280000,38.524910,-122.442960,
