alt,dst,lat,lon,mdata
120.000000,0.000000,37.395912,-122.247219,E:\Dropbox\website\dev2\climbing\climbs\Old-La-Honda.tcx
120.000000,1.652516,37.395900,-122.247230,
123.000000,36.822525,37.395750,-122.247580,
127.000000,121.258389,37.395130,-122.248130,
140.000000,252.312841,37.393990,-122.248500,
143.000000,315.986084,37.393420,-122.248440,
143.000000,342.834031,37.393180,-122.248470,
150.000000,430.804612,37.392460,-122.248880,
149.000000,468.215005,37.392130,-122.248960,
152.000000,486.023592,37.391980,-122.248890,
155.000000,525.066131,37.392110,-122.248480,
157.000000,591.446421,37.392540,-122.247960,
164.000000,624.532613,37.392680,-122.247630,
163.000000,659.894433,37.392890,-122.247330,
164.000000,674.433834,37.392920,-122.247170,
170.000000,718.765372,37.392680,-122.246770,
173.000000,781.296550,37.392410,-122.246150,
178.000000,836.363410,37.392060,-122.245710,
182.000000,929.859646,37.391300,-122.245260,
186.000000,965.525567,37.390980,-122.245240,
188.000000,1003.763224,37.390650,-122.245120,
195.000000,1093.800160,37.389950,-122.244610,
196.000000,1112.909472,37.389780,-122.244580,
202.000000,1181.387549,37.389170,-122.244680,
204.000000,1216.387272,37.388890,-122.244500,
205.000000,1222.023049,37.388840,-122.244510,
210.000000,1257.643811,37.388610,-122.244790,
211.000000,1271.263051,37.388490,-122.244820,
211.000000,1288.060320,37.388380,-122.244690,
211.000000,1321.147989,37.388240,-122.244360,
213.000000,1335.727153,37.388110,-122.244340,
216.000000,1353.732324,37.388010,-122.244500,
219.000000,1404.485279,37.388140,-122.245050,
220.000000,1420.464131,37.388220,-122.245200,
229.000000,1535.879554,37.389100,-122.245890,
233.000000,1583.697116,37.389380,-122.246300,
236.000000,1616.398012,37.389610,-122.246530,
239.000000,1692.024521,37.390240,-122.246850,
240.000000,1708.045379,37.390360,-122.246950,
241.000000,1728.129932,37.390470,-122.247130,
243.000000,1771.792474,37.390590,-122.247600,
247.000000,1793.931582,37.390600,-122.247850,
247.000000,1829.294139,37.390530,-122.248240,
249.000000,1847.817372,37.390460,-122.248430,
255.000000,1881.275759,37.390210,-122.248640,
254.000000,1909.054935,37.390070,-122.248900,
260.000000,1961.737431,37.389610,-122.249040,
262.000000,1983.625256,37.389460,-122.249200,
264.000000,2017.856593,37.389180,-122.249360,
264.000000,2033.837748,37.389040,-122.249320,
267.000000,2061.159547,37.388860,-122.249110,
271.000000,2110.782463,37.388420,-122.249020,
273.000000,2170.505499,37.388020,-122.248570,
273.000000,2216.995346,37.387610,-122.248670,
275.000000,2249.691336,37.387450,-122.248980,
276.000000,2273.381647,37.387300,-122.249170,
276.000000,2282.674056,37.387220,-122.249200,
276.000000,2287.857474,37.387180,-122.249170,
282.000000,2398.877625,37.386840,-122.247990,
284.000000,2405.472838,37.386790,-122.247950,
288.000000,2430.793644,37.386580,-122.248060,
291.000000,2451.576256,37.386460,-122.248240,
295.000000,2499.917510,37.386120,-122.248580,
295.000000,2518.052751,37.385970,-122.248660,
301.000000,2589.647348,37.385330,-122.248580,
304.000000,2621.548486,37.385140,-122.248310,
308.000000,2661.321247,37.384820,-122.248110,
313.000000,2732.838799,37.384230,-122.248430,
314.000000,2740.025742,37.384170,-122.248400,
319.000000,2787.811555,37.383900,-122.247980,
320.000000,2797.103998,37.383820,-122.247950,
321.000000,2815.999920,37.383670,-122.248050,
327.000000,2853.037216,37.383430,-122.248340,
328.000000,2905.414038,37.383390,-122.248930,
333.000000,2955.863837,37.383270,-122.249480,
333.000000,2970.980598,37.383150,-122.249560,
334.000000,2983.257577,37.383040,-122.249550,
339.000000,3012.048704,37.382830,-122.249360,
343.000000,3059.475527,37.382410,-122.249450,
347.000000,3104.302032,37.382040,-122.249650,
347.000000,3117.492703,37.381940,-122.249730,
346.000000,3126.947593,37.381910,-122.249830,
349.000000,3145.803627,37.381770,-122.249950,
357.000000,3199.306143,37.381570,-122.250500,
353.000000,3247.025647,37.381650,-122.251030,
353.000000,3266.612685,37.381630,-122.251250,
379.000000,3350.530621,37.381130,-122.251960,
378.000000,3376.182978,37.381070,-122.252240,
367.000000,3410.715341,37.381190,-122.252600,
372.000000,3433.954980,37.381160,-122.252860,
374.000000,3442.588066,37.381190,-122.252950,
372.000000,3480.301276,37.381510,-122.253090,
374.000000,3499.016079,37.381620,-122.253250,
377.000000,3547.119203,37.381770,-122.253760,
379.000000,3570.695687,37.381910,-122.253960,
