alt,dst,lat,lon,mdata
133.700000,0.000000,38.607800,-122.590800,E:\Dropbox\website\dev2\climbing\climbs\Old-Lawley-Toll-Rd-Hwy-29.tcx
133.700000,13.387000,38.607920,-122.590810,
133.900000,46.605000,38.608210,-122.590900,
134.300000,94.707000,38.608630,-122.591030,
135.100000,140.870000,38.609030,-122.591170,
134.700000,173.721000,38.609320,-122.591240,
135.000000,194.225000,38.609500,-122.591290,
135.900000,209.609000,38.609630,-122.591350,
136.600000,220.215000,38.609720,-122.591390,
138.200000,246.837000,38.609940,-122.591510,
140.500000,285.483000,38.610250,-122.591710,
141.400000,318.640000,38.610530,-122.591840,
141.500000,353.460000,38.610820,-122.591990,
146.200000,444.937000,38.611580,-122.592390,
145.100000,490.043000,38.611960,-122.592570,
144.800000,529.326000,38.612290,-122.592730,
145.100000,559.810000,38.612550,-122.592840,
145.100000,577.065000,38.612700,-122.592890,
146.300000,626.057000,38.613130,-122.593010,
154.500000,795.597000,38.614610,-122.593470,
154.800000,855.563000,38.615130,-122.593650,
155.400000,881.402000,38.615360,-122.593690,
156.100000,902.713000,38.615550,-122.593720,
156.900000,941.684000,38.615900,-122.593730,
157.900000,996.237000,38.616390,-122.593720,
161.100000,1071.979000,38.617070,-122.593690,
162.500000,1177.861000,38.618020,-122.593630,
166.000000,1223.510000,38.618430,-122.593620,
166.300000,1243.716000,38.618610,-122.593590,
166.400000,1262.720000,38.618780,-122.593570,
166.000000,1287.593000,38.619000,-122.593520,
166.500000,1305.426000,38.619160,-122.593510,
166.600000,1323.321000,38.619320,-122.593490,
166.500000,1343.658000,38.619500,-122.593450,
166.300000,1347.424000,38.619530,-122.593430,
166.300000,1353.571000,38.619580,-122.593400,
166.100000,1359.222000,38.619620,-122.593360,
165.900000,1362.652000,38.619640,-122.593330,
166.000000,1366.082000,38.619660,-122.593300,
166.000000,1369.561000,38.619660,-122.593260,
166.600000,1375.750000,38.619670,-122.593190,
167.200000,1380.099000,38.619670,-122.593140,
167.500000,1382.164000,38.619660,-122.593120,
168.000000,1385.001000,38.619650,-122.593090,
168.200000,1387.826000,38.619630,-122.593070,
168.500000,1390.651000,38.619610,-122.593050,
169.000000,1401.257000,38.619520,-122.593010,
169.300000,1408.159000,38.619460,-122.592990,
169.500000,1422.656000,38.619330,-122.592980,
170.100000,1444.091000,38.619140,-122.592940,
170.200000,1448.628000,38.619100,-122.592930,
170.600000,1453.789000,38.619060,-122.592900,
171.100000,1458.950000,38.619020,-122.592870,
171.900000,1468.328000,38.618950,-122.592810,
173.300000,1478.775000,38.618880,-122.592730,
175.800000,1490.452000,38.618810,-122.592630,
178.200000,1499.363000,38.618760,-122.592550,
180.900000,1507.624000,38.618720,-122.592470,
181.800000,1511.054000,38.618700,-122.592440,
182.700000,1515.292000,38.618670,-122.592410,
182.400000,1557.485000,38.618350,-122.592150,
182.200000,1562.308000,38.618320,-122.592110,
182.300000,1570.026000,38.618290,-122.592030,
182.600000,1572.635000,38.618290,-122.592000,
182.600000,1574.700000,38.618280,-122.591980,
183.100000,1579.189000,38.618290,-122.591930,
183.700000,1582.842000,38.618300,-122.591890,
186.000000,1592.613000,38.618340,-122.591790,
189.600000,1602.218000,38.618390,-122.591700,
191.000000,1606.348000,38.618410,-122.591660,
191.700000,1609.828000,38.618410,-122.591620,
192.700000,1614.176000,38.618410,-122.591570,
193.200000,1618.665000,38.618400,-122.591520,
193.600000,1624.339000,38.618380,-122.591460,
194.700000,1637.727000,38.618330,-122.591320,
199.300000,1662.142000,38.618270,-122.591050,
201.800000,1672.695000,38.618230,-122.590940,
202.500000,1678.369000,38.618210,-122.590880,
203.600000,1687.066000,38.618210,-122.590780,
203.500000,1693.154000,38.618210,-122.590710,
203.100000,1696.807000,38.618220,-122.590670,
202.900000,1699.644000,38.618230,-122.590640,
202.500000,1703.074000,38.618250,-122.590610,
202.300000,1706.504000,38.618270,-122.590580,
202.200000,1709.329000,38.618290,-122.590560,
202.400000,1712.780000,38.618320,-122.590550,
205.000000,1739.402000,38.618540,-122.590430,
208.600000,1764.252000,38.618730,-122.590280,
211.800000,1781.205000,38.618850,-122.590160,
214.100000,1792.882000,38.618920,-122.590060,
215.200000,1803.848000,38.618980,-122.589960,
215.100000,1814.815000,38.619040,-122.589860,
214.000000,1824.419000,38.619090,-122.589770,
213.700000,1828.657000,38.619120,-122.589740,
213.400000,1834.308000,38.619160,-122.589700,
213.500000,1839.089000,38.619200,-122.589680,
213.900000,1843.625000,38.619240,-122.589670,
214.700000,1850.361000,38.619300,-122.589660,
216.900000,1859.435000,38.619380,-122.589680,
220.500000,1874.497000,38.619500,-122.589760,
222.300000,1888.580000,38.619610,-122.589840,
222.800000,1893.361000,38.619650,-122.589860,
223.500000,1899.192000,38.619700,-122.589880,
224.500000,1904.826000,38.619750,-122.589890,
225.800000,1911.561000,38.619810,-122.589880,
226.600000,1916.342000,38.619850,-122.589860,
227.100000,1918.732000,38.619870,-122.589850,
227.700000,1921.557000,38.619890,-122.589830,
228.300000,1924.987000,38.619910,-122.589800,
228.500000,1928.640000,38.619920,-122.589760,
228.900000,1936.778000,38.619940,-122.589670,
229.100000,1943.825000,38.619950,-122.589590,
228.700000,1957.785000,38.619940,-122.589430,
227.200000,1977.208000,38.619910,-122.589210,
227.100000,1980.687000,38.619910,-122.589170,
227.100000,1985.176000,38.619920,-122.589120,
227.200000,1988.829000,38.619930,-122.589080,
228.900000,2001.961000,38.619990,-122.588950,
230.100000,2012.513000,38.620030,-122.588840,
231.000000,2023.472000,38.620060,-122.588720,
232.200000,2029.954000,38.620080,-122.588650,
235.400000,2039.270000,38.620110,-122.588550,
237.400000,2044.944000,38.620130,-122.588490,
238.400000,2049.433000,38.620140,-122.588440,
238.500000,2052.042000,38.620140,-122.588410,
238.300000,2057.378000,38.620130,-122.588350,
237.500000,2065.888000,38.620100,-122.588260,
236.400000,2075.659000,38.620060,-122.588160,
235.900000,2079.312000,38.620050,-122.588120,
235.600000,2081.921000,38.620050,-122.588090,
235.600000,2084.758000,38.620060,-122.588060,
235.500000,2087.594000,38.620070,-122.588030,
235.700000,2090.420000,38.620090,-122.588010,
236.100000,2096.070000,38.620130,-122.587970,
236.600000,2104.041000,38.620190,-122.587920,
237.800000,2127.951000,38.620370,-122.587770,
238.700000,2142.631000,38.620490,-122.587700,
239.600000,2156.972000,38.620610,-122.587640,
240.000000,2168.923000,38.620710,-122.587590,
240.600000,2174.489000,38.620760,-122.587590,
241.400000,2182.330000,38.620830,-122.587600,
242.100000,2189.232000,38.620890,-122.587620,
242.900000,2196.763000,38.620950,-122.587660,
243.800000,2205.012000,38.621000,-122.587730,
245.900000,2241.368000,38.621190,-122.588070,
245.700000,2276.523000,38.621410,-122.588360,
246.800000,2302.824000,38.621580,-122.588570,
249.400000,2319.490000,38.621690,-122.588700,
252.000000,2343.125000,38.621900,-122.588740,
254.800000,2378.842000,38.622220,-122.588710,
258.400000,2401.174000,38.622420,-122.588690,
260.100000,2411.779000,38.622510,-122.588650,
260.600000,2415.545000,38.622540,-122.588630,
261.100000,2420.367000,38.622570,-122.588590,
261.500000,2427.996000,38.622620,-122.588530,
261.300000,2437.885000,38.622690,-122.588460,
260.700000,2448.490000,38.622780,-122.588420,
260.700000,2459.757000,38.622880,-122.588440,
261.300000,2466.928000,38.622940,-122.588470,
262.700000,2475.177000,38.622990,-122.588540,
264.300000,2482.806000,38.623040,-122.588600,
265.700000,2490.776000,38.623100,-122.588650,
267.100000,2501.129000,38.623190,-122.588680,
268.100000,2510.203000,38.623270,-122.588660,
269.100000,2520.525000,38.623350,-122.588600,
269.700000,2532.248000,38.623440,-122.588530,
269.600000,2544.978000,38.623550,-122.588490,
269.500000,2553.883000,38.623630,-122.588490,
269.900000,2562.101000,38.623700,-122.588520,
271.300000,2585.108000,38.623880,-122.588650,
276.800000,2618.483000,38.624120,-122.588880,
284.500000,2638.962000,38.624290,-122.588970,
288.600000,2679.272000,38.624650,-122.589020,
289.200000,2691.792000,38.624760,-122.588990,
290.700000,2713.995000,38.624940,-122.588880,
291.300000,2734.661000,38.625090,-122.588740,
292.300000,2756.143000,38.625230,-122.588570,
292.200000,2768.340000,38.625320,-122.588490,
292.000000,2778.945000,38.625410,-122.588450,
292.300000,2786.786000,38.625480,-122.588440,
292.500000,2800.173000,38.625600,-122.588450,
292.400000,2806.852000,38.625660,-122.588450,
293.000000,2810.617000,38.625690,-122.588470,
297.300000,2849.545000,38.625990,-122.588700,
307.400000,2902.116000,38.626400,-122.589000,
310.700000,2966.340000,38.626940,-122.589260,
312.100000,2983.780000,38.627080,-122.589350,
313.300000,2994.385000,38.627170,-122.589390,
313.600000,2997.836000,38.627200,-122.589400,
313.900000,3002.289000,38.627240,-122.589400,
314.000000,3006.826000,38.627280,-122.589390,
313.700000,3011.987000,38.627320,-122.589360,
312.900000,3020.463000,38.627380,-122.589300,
312.000000,3034.589000,38.627480,-122.589200,
313.100000,3059.558000,38.627680,-122.589070,
310.600000,3129.280000,38.628280,-122.588840,
326.300000,3221.894000,38.629100,-122.589020,
328.400000,3279.062000,38.629600,-122.588870,
326.500000,3338.469000,38.630130,-122.588790,
335.100000,3398.739000,38.630670,-122.588840,
345.800000,3477.753000,38.631340,-122.589140,
356.500000,3563.791000,38.632100,-122.589320,
362.400000,3733.758000,38.633500,-122.590100,
371.600000,3855.445000,38.634480,-122.590720,
394.700000,4080.261000,38.636390,-122.591560,
402.800000,4123.630000,38.636770,-122.591670,
402.900000,4163.010000,38.637070,-122.591910,
402.600000,4189.063000,38.637220,-122.592140,
404.100000,4224.480000,38.637280,-122.592540,
401.900000,4264.002000,38.637230,-122.592990,
407.600000,4298.427000,38.637120,-122.593360,
411.800000,4342.793000,38.636830,-122.593710,
406.800000,4407.763000,38.636280,-122.593960,
406.900000,4446.176000,38.636080,-122.594320,
408.900000,4463.996000,38.636020,-122.594510,
409.300000,4481.854000,38.636110,-122.594680,
412.500000,4504.860000,38.636290,-122.594810,
420.300000,4537.329000,38.636580,-122.594850,
423.900000,4564.271000,38.636820,-122.594890,
424.300000,4587.596000,38.637020,-122.594970,
424.800000,4623.224000,38.637290,-122.595190,
426.600000,4650.606000,38.637480,-122.595390,
428.900000,4676.410000,38.637670,-122.595560,
431.100000,4695.531000,38.637830,-122.595640,
439.100000,4735.451000,38.638180,-122.595540,
444.400000,4770.654000,38.638490,-122.595460,
445.800000,4795.390000,38.638710,-122.595500,
446.800000,4822.594000,38.638920,-122.595660,
450.400000,4852.135000,38.639140,-122.595850,
454.300000,4871.376000,38.639310,-122.595890,
456.000000,4878.907000,38.639370,-122.595850,
460.200000,4892.636000,38.639440,-122.595720,
462.700000,4900.895000,38.639480,-122.595640,
463.700000,4905.675000,38.639520,-122.595620,
464.100000,4910.128000,38.639560,-122.595620,
463.500000,4925.929000,38.639700,-122.595650,
462.000000,4967.126000,38.640070,-122.595640,
462.100000,4971.663000,38.640110,-122.595650,
462.200000,4975.429000,38.640140,-122.595670,
462.400000,4980.209000,38.640180,-122.595690,
462.200000,4992.358000,38.640220,-122.595820,
462.600000,5003.313000,38.640250,-122.595940,
463.100000,5019.983000,38.640270,-122.596130,
463.000000,5028.678000,38.640270,-122.596230,
462.800000,5033.025000,38.640270,-122.596280,
463.100000,5035.861000,38.640280,-122.596310,
463.200000,5038.697000,38.640290,-122.596340,
463.700000,5041.522000,38.640310,-122.596360,
466.000000,5052.956000,38.640410,-122.596390,
466.300000,5060.000000,38.640400,-122.596310,
466.500000,5065.217000,38.640400,-122.596250,
466.600000,5066.956000,38.640400,-122.596230,
467.000000,5070.608000,38.640410,-122.596190,
467.500000,5078.512000,38.640420,-122.596100,
468.900000,5093.119000,38.640460,-122.595940,
469.200000,5098.453000,38.640470,-122.595880,
469.500000,5102.105000,38.640480,-122.595840,
469.700000,5105.757000,38.640490,-122.595800,
469.600000,5108.365000,38.640490,-122.595770,
469.600000,5110.974000,38.640490,-122.595740,
469.500000,5113.582000,38.640490,-122.595710,
469.400000,5116.191000,38.640490,-122.595680,
469.300000,5117.930000,38.640490,-122.595660,
469.000000,5121.581000,38.640480,-122.595620,
468.700000,5128.062000,38.640460,-122.595550,
468.500000,5132.192000,38.640440,-122.595510,
468.300000,5137.014000,38.640410,-122.595470,
468.000000,5142.664000,38.640370,-122.595430,
467.900000,5146.429000,38.640340,-122.595410,
467.900000,5151.589000,38.640300,-122.595380,
