alt,dst,lat,lon,mdata
269.700000,0.000000,37.814340,-120.308390,E:\Dropbox\website\dev2\climbing\climbs\Old-Priest-Grade-Moccasin.tcx
272.900000,55.562000,37.814210,-120.307780,
287.900000,127.568000,37.814040,-120.306990,
297.100000,175.209000,37.813920,-120.306470,
299.500000,213.480000,37.813830,-120.306050,
305.400000,238.725000,37.813780,-120.305770,
306.900000,257.493000,37.813750,-120.305560,
305.400000,278.204000,37.813710,-120.305330,
302.000000,310.039000,37.813680,-120.304970,
304.500000,336.515000,37.813660,-120.304670,
307.400000,355.017000,37.813650,-120.304460,
307.400000,372.605000,37.813650,-120.304260,
305.300000,391.953000,37.813650,-120.304040,
303.700000,411.332000,37.813660,-120.303820,
301.400000,436.933000,37.813680,-120.303530,
304.800000,517.339000,37.813750,-120.302620,
305.100000,576.523000,37.813800,-120.301950,
308.400000,665.791000,37.813880,-120.300940,
309.800000,692.384000,37.813910,-120.300640,
309.700000,716.362000,37.813940,-120.300370,
309.400000,734.505000,37.813980,-120.300170,
309.400000,746.416000,37.814010,-120.300040,
309.600000,758.685000,37.814050,-120.299910,
310.600000,775.059000,37.814110,-120.299740,
312.500000,791.918000,37.814180,-120.299570,
314.200000,807.239000,37.814250,-120.299420,
316.000000,825.236000,37.814340,-120.299250,
317.700000,841.109000,37.814430,-120.299110,
319.200000,853.531000,37.814500,-120.299000,
320.300000,865.445000,37.814580,-120.298910,
321.700000,879.372000,37.814670,-120.298800,
323.600000,896.396000,37.814790,-120.298680,
326.700000,910.857000,37.814760,-120.298520,
330.500000,929.458000,37.814740,-120.298310,
333.500000,949.807000,37.814720,-120.298080,
335.200000,959.545000,37.814710,-120.297970,
337.200000,968.339000,37.814710,-120.297870,
339.600000,977.746000,37.814740,-120.297770,
342.600000,989.501000,37.814800,-120.297660,
344.600000,998.584000,37.814860,-120.297590,
345.800000,1007.134000,37.814930,-120.297550,
346.000000,1011.587000,37.814970,-120.297550,
346.200000,1016.039000,37.815010,-120.297550,
346.600000,1041.520000,37.815230,-120.297630,
347.900000,1049.362000,37.815300,-120.297620,
349.200000,1056.099000,37.815360,-120.297610,
350.200000,1063.280000,37.815420,-120.297580,
351.400000,1073.631000,37.815500,-120.297520,
352.600000,1083.987000,37.815560,-120.297430,
353.600000,1090.991000,37.815590,-120.297360,
359.700000,1120.035000,37.815680,-120.297050,
