alt,dst,lat,lon,mdata
49.800000,0.000000,34.459370,-119.795450,E:\Dropbox\website\dev2\climbing\climbs\Old-San-Marcos-Painted-Rd-Santa-Barbara.tcx
50.100000,3.340000,34.459400,-119.795450,
51.400000,13.730000,34.459490,-119.795480,
53.400000,66.698000,34.459960,-119.795570,
53.300000,84.280000,34.460110,-119.795630,
53.300000,90.490000,34.460160,-119.795660,
53.300000,96.700000,34.460210,-119.795690,
53.300000,103.368000,34.460260,-119.795730,
53.500000,111.198000,34.460310,-119.795790,
53.800000,119.698000,34.460360,-119.795860,
54.100000,127.528000,34.460410,-119.795920,
55.200000,136.742000,34.460460,-119.796000,
61.600000,152.322000,34.460550,-119.796130,
63.400000,160.823000,34.460600,-119.796200,
64.200000,168.653000,34.460650,-119.796260,
64.800000,177.696000,34.460720,-119.796310,
65.200000,182.024000,34.460750,-119.796340,
65.700000,188.234000,34.460800,-119.796370,
65.900000,190.642000,34.460820,-119.796380,
66.500000,198.488000,34.460890,-119.796390,
67.300000,205.230000,34.460950,-119.796400,
68.500000,211.909000,34.461010,-119.796400,
69.600000,218.651000,34.461070,-119.796390,
71.300000,242.046000,34.461280,-119.796380,
75.200000,304.446000,34.461840,-119.796350,
77.500000,332.336000,34.462090,-119.796330,
77.600000,339.263000,34.462150,-119.796310,
78.300000,351.813000,34.462260,-119.796280,
79.300000,360.766000,34.462340,-119.796270,
80.400000,367.508000,34.462400,-119.796280,
81.000000,373.369000,34.462450,-119.796300,
81.300000,379.230000,34.462500,-119.796320,
81.000000,384.465000,34.462540,-119.796350,
81.500000,390.859000,34.462580,-119.796400,
81.800000,398.689000,34.462630,-119.796460,
83.000000,408.073000,34.462670,-119.796550,
85.600000,422.324000,34.462740,-119.796680,
87.300000,430.141000,34.462780,-119.796750,
88.100000,439.354000,34.462830,-119.796830,
88.600000,448.568000,34.462880,-119.796910,
88.500000,457.225000,34.462940,-119.796970,
88.400000,468.767000,34.463020,-119.797050,
88.300000,476.871000,34.463080,-119.797100,
88.300000,481.199000,34.463110,-119.797130,
89.400000,489.699000,34.463160,-119.797200,
90.800000,496.781000,34.463200,-119.797260,
92.700000,504.598000,34.463240,-119.797330,
93.100000,517.479000,34.463300,-119.797450,
93.500000,540.019000,34.463390,-119.797670,
93.900000,556.992000,34.463450,-119.797840,
94.500000,570.158000,34.463500,-119.797970,
96.300000,583.324000,34.463550,-119.798100,
97.800000,589.844000,34.463560,-119.798170,
98.700000,598.399000,34.463580,-119.798260,
99.200000,607.644000,34.463590,-119.798360,
99.500000,614.069000,34.463590,-119.798430,
99.900000,622.329000,34.463590,-119.798520,
100.500000,631.507000,34.463590,-119.798620,
101.600000,644.405000,34.463580,-119.798760,
102.700000,654.501000,34.463580,-119.798870,
103.400000,661.843000,34.463580,-119.798950,
104.400000,672.000000,34.463590,-119.799060,
105.300000,682.157000,34.463600,-119.799170,
105.800000,691.067000,34.463630,-119.799260,
106.300000,702.101000,34.463670,-119.799370,
106.600000,713.452000,34.463730,-119.799470,
106.800000,719.893000,34.463760,-119.799530,
107.200000,737.642000,34.463870,-119.799670,
109.100000,771.836000,34.464090,-119.799930,
111.500000,790.371000,34.464210,-119.800070,
112.200000,805.674000,34.464320,-119.800170,
112.700000,821.380000,34.464440,-119.800260,
112.700000,832.050000,34.464530,-119.800300,
112.800000,843.771000,34.464630,-119.800340,
113.900000,861.794000,34.464790,-119.800370,
115.700000,873.261000,34.464890,-119.800400,
118.200000,886.338000,34.465000,-119.800450,
118.100000,905.603000,34.465160,-119.800530,
117.900000,918.456000,34.465260,-119.800600,
118.100000,932.318000,34.465360,-119.800690,
117.900000,972.464000,34.465630,-119.800980,
118.100000,984.611000,34.465710,-119.801070,
118.300000,997.596000,34.465800,-119.801160,
118.500000,1013.301000,34.465920,-119.801250,
123.100000,1050.439000,34.466200,-119.801470,
123.500000,1055.674000,34.466240,-119.801500,
123.900000,1061.350000,34.466270,-119.801550,
124.100000,1066.313000,34.466300,-119.801590,
124.600000,1075.526000,34.466350,-119.801670,
125.000000,1090.007000,34.466410,-119.801810,
125.500000,1104.489000,34.466470,-119.801950,
126.000000,1114.449000,34.466520,-119.802040,
126.700000,1129.337000,34.466600,-119.802170,
127.100000,1137.167000,34.466650,-119.802230,
128.500000,1159.219000,34.466790,-119.802400,
