alt,dst,lat,lon,mdata
20.500000,0.000000,38.040560,-122.787710,E:\Dropbox\website\dev2\climbing\climbs\Olema-Marin.tcx
24.100000,40.784000,38.040840,-122.787410,
26.700000,94.878000,38.041210,-122.787010,
27.200000,124.335000,38.041410,-122.786790,
28.100000,157.475000,38.041640,-122.786550,
36.800000,213.838000,38.042030,-122.786140,
39.700000,245.561000,38.042250,-122.785910,
40.200000,275.018000,38.042450,-122.785690,
41.200000,297.399000,38.042600,-122.785520,
41.900000,309.298000,38.042680,-122.785430,
42.700000,318.983000,38.042740,-122.785350,
43.400000,328.668000,38.042800,-122.785270,
44.200000,336.953000,38.042850,-122.785200,
45.200000,344.535000,38.042890,-122.785130,
46.000000,351.426000,38.042930,-122.785070,
47.400000,361.259000,38.042970,-122.784970,
48.700000,372.394000,38.043020,-122.784860,
49.500000,380.162000,38.043050,-122.784780,
50.500000,390.546000,38.043100,-122.784680,
51.500000,405.296000,38.043160,-122.784530,
52.700000,424.184000,38.043240,-122.784340,
53.800000,448.282000,38.043330,-122.784090,
55.400000,475.714000,38.043440,-122.783810,
56.900000,492.850000,38.043500,-122.783630,
59.000000,506.327000,38.043550,-122.783490,
60.400000,517.750000,38.043590,-122.783370,
61.400000,527.132000,38.043620,-122.783270,
61.900000,535.330000,38.043640,-122.783180,
62.400000,544.375000,38.043660,-122.783080,
62.700000,550.612000,38.043670,-122.783010,
63.100000,558.502000,38.043670,-122.782920,
63.500000,567.269000,38.043670,-122.782820,
64.200000,585.713000,38.043680,-122.782610,
64.600000,598.863000,38.043680,-122.782460,
64.800000,610.314000,38.043690,-122.782330,
65.100000,618.204000,38.043690,-122.782240,
65.400000,626.403000,38.043710,-122.782150,
65.900000,638.015000,38.043730,-122.782020,
66.300000,645.373000,38.043750,-122.781940,
66.800000,657.249000,38.043780,-122.781810,
67.800000,671.966000,38.043820,-122.781650,
69.300000,687.057000,38.043870,-122.781490,
71.200000,701.773000,38.043910,-122.781330,
73.100000,720.536000,38.043970,-122.781130,
74.600000,745.008000,38.044050,-122.780870,
74.900000,765.418000,38.044110,-122.780650,
75.100000,776.842000,38.044150,-122.780530,
75.300000,789.078000,38.044190,-122.780400,
75.700000,802.961000,38.044230,-122.780250,
76.200000,813.166000,38.044260,-122.780140,
76.900000,825.886000,38.044290,-122.780000,
77.900000,840.305000,38.044320,-122.779840,
79.800000,858.701000,38.044370,-122.779640,
82.400000,885.836000,38.044430,-122.779340,
84.200000,915.797000,38.044500,-122.779010,
84.600000,922.034000,38.044510,-122.778940,
85.600000,931.415000,38.044540,-122.778840,
86.100000,937.943000,38.044560,-122.778770,
86.400000,944.174000,38.044590,-122.778710,
86.600000,951.160000,38.044620,-122.778640,
86.800000,956.671000,38.044650,-122.778590,
86.900000,963.563000,38.044690,-122.778530,
87.000000,970.454000,38.044730,-122.778470,
87.100000,977.539000,38.044780,-122.778420,
87.100000,981.790000,38.044810,-122.778390,
87.600000,998.265000,38.044930,-122.778280,
87.900000,1007.206000,38.045000,-122.778230,
88.500000,1024.125000,38.045130,-122.778130,
88.600000,1040.608000,38.045260,-122.778040,
88.600000,1055.175000,38.045370,-122.777950,
88.600000,1064.115000,38.045440,-122.777900,
88.600000,1072.104000,38.045500,-122.777850,
88.900000,1078.683000,38.045550,-122.777810,
89.000000,1086.341000,38.045600,-122.777750,
89.400000,1094.843000,38.045660,-122.777690,
89.700000,1101.734000,38.045700,-122.777630,
90.500000,1110.804000,38.045760,-122.777560,
90.900000,1121.825000,38.045820,-122.777460,
91.300000,1133.555000,38.045890,-122.777360,
91.500000,1147.338000,38.045970,-122.777240,
91.900000,1170.796000,38.046110,-122.777040,
93.500000,1202.539000,38.046300,-122.776770,
95.500000,1217.002000,38.046380,-122.776640,
101.000000,1253.585000,38.046600,-122.776330,
99.300000,1298.380000,38.046860,-122.775940,
98.900000,1330.781000,38.047050,-122.775660,
98.800000,1357.684000,38.047210,-122.775430,
98.900000,1368.705000,38.047270,-122.775330,
99.200000,1379.042000,38.047330,-122.775240,
99.600000,1386.624000,38.047370,-122.775170,
100.200000,1395.684000,38.047410,-122.775080,
100.800000,1403.882000,38.047430,-122.774990,
101.900000,1412.079000,38.047450,-122.774900,
102.000000,1413.833000,38.047450,-122.774880,
102.500000,1418.216000,38.047450,-122.774830,
103.000000,1423.476000,38.047450,-122.774770,
103.500000,1429.712000,38.047440,-122.774700,
104.000000,1434.095000,38.047440,-122.774650,
104.500000,1440.623000,38.047420,-122.774580,
105.000000,1446.335000,38.047400,-122.774520,
105.400000,1452.047000,38.047380,-122.774460,
105.700000,1456.963000,38.047360,-122.774410,
106.100000,1465.916000,38.047310,-122.774330,
106.700000,1484.518000,38.047210,-122.774160,
107.700000,1496.978000,38.047150,-122.774040,
108.000000,1501.132000,38.047130,-122.774000,
108.600000,1507.363000,38.047100,-122.773940,
110.000000,1520.839000,38.047050,-122.773800,
112.100000,1541.249000,38.046990,-122.773580,
113.300000,1561.322000,38.046940,-122.773360,
116.100000,1628.380000,38.046760,-122.772630,
118.400000,1657.813000,38.046680,-122.772310,
119.300000,1682.732000,38.046610,-122.772040,
119.200000,1690.930000,38.046590,-122.771950,
119.100000,1703.165000,38.046550,-122.771820,
118.900000,1715.401000,38.046510,-122.771690,
118.600000,1725.233000,38.046470,-122.771590,
118.700000,1727.863000,38.046470,-122.771560,
