alt,dst,lat,lon,mdata
1202.700000,0.000000,36.801590,-118.201970,E:\Dropbox\website\dev2\climbing\climbs\Onion-Valley-Rd-Independence.tcx
1204.300000,60.028000,36.801330,-118.202560,
1205.300000,118.519000,36.801100,-118.203150,
1210.300000,291.750000,36.800440,-118.204910,
1211.000000,307.753000,36.800350,-118.205050,
1211.800000,330.749000,36.800230,-118.205260,
1213.600000,369.476000,36.799930,-118.205480,
1214.300000,385.236000,36.799800,-118.205550,
1216.700000,430.933000,36.799410,-118.205710,
1220.500000,504.668000,36.798750,-118.205780,
1222.400000,563.933000,36.798260,-118.206040,
1223.800000,599.841000,36.797980,-118.206240,
1226.100000,655.111000,36.797550,-118.206550,
1231.700000,790.733000,36.796490,-118.207300,
1234.600000,855.513000,36.795980,-118.207650,
1237.700000,922.675000,36.795450,-118.208010,
1239.000000,954.308000,36.795210,-118.208200,
1258.900000,1372.529000,36.791940,-118.210510,
1260.400000,1419.288000,36.791590,-118.210800,
1265.000000,1489.847000,36.791080,-118.211270,
1271.100000,1593.693000,36.790380,-118.212040,
1273.300000,1640.488000,36.790090,-118.212420,
1275.100000,1678.161000,36.789860,-118.212730,
1276.700000,1712.258000,36.789670,-118.213030,
1279.600000,1769.011000,36.789400,-118.213570,
1280.700000,1787.363000,36.789320,-118.213750,
1281.900000,1810.538000,36.789240,-118.213990,
1290.300000,1960.172000,36.788860,-118.215600,
1300.800000,2116.109000,36.788470,-118.217280,
1314.700000,2362.780000,36.787860,-118.219940,
1321.800000,2463.004000,36.787610,-118.221020,
1323.400000,2501.213000,36.787510,-118.221430,
1324.400000,2516.525000,36.787460,-118.221590,
1326.200000,2548.391000,36.787350,-118.221920,
1327.300000,2567.528000,36.787270,-118.222110,
1330.200000,2616.633000,36.787040,-118.222580,
1331.700000,2638.912000,36.786920,-118.222780,
1333.400000,2663.340000,36.786770,-118.222980,
1340.000000,2763.696000,36.786120,-118.223760,
1343.200000,2822.808000,36.785730,-118.224210,
1363.200000,3115.931000,36.783810,-118.226460,
1366.100000,3175.214000,36.783450,-118.226950,
1367.800000,3209.312000,36.783260,-118.227250,
1371.500000,3279.039000,36.782900,-118.227890,
1380.400000,3417.951000,36.782250,-118.229220,
1383.100000,3474.126000,36.781990,-118.229760,
1384.300000,3501.134000,36.781880,-118.230030,
1386.100000,3536.342000,36.781750,-118.230390,
1388.000000,3572.760000,36.781630,-118.230770,
