alt,dst,lat,lon,mdata
816.900000,0.000000,34.079180,-117.047960,E:\Dropbox\website\dev2\climbing\climbs\Onyx-Summit-West-Redlands.tcx
817.500000,14.295000,34.079290,-117.047880,
818.000000,23.851000,34.079360,-117.047820,
818.300000,29.633000,34.079400,-117.047780,
818.600000,39.190000,34.079470,-117.047720,
819.700000,58.418000,34.079590,-117.047570,
821.200000,78.435000,34.079720,-117.047420,
822.400000,94.793000,34.079820,-117.047290,
824.800000,123.215000,34.079990,-117.047060,
827.100000,145.982000,34.080130,-117.046880,
828.400000,169.429000,34.080270,-117.046690,
828.400000,185.769000,34.080360,-117.046550,
828.600000,206.393000,34.080470,-117.046370,
828.600000,222.075000,34.080550,-117.046230,
828.900000,241.300000,34.080650,-117.046060,
829.500000,261.283000,34.080750,-117.045880,
832.300000,286.957000,34.080880,-117.045650,
836.400000,305.437000,34.080980,-117.045490,
838.700000,323.918000,34.081080,-117.045330,
839.500000,339.540000,34.081170,-117.045200,
840.000000,362.306000,34.081310,-117.045020,
840.800000,395.135000,34.081520,-117.044770,
841.200000,435.694000,34.081770,-117.044450,
841.400000,455.595000,34.081890,-117.044290,
842.600000,471.216000,34.081980,-117.044160,
844.500000,483.360000,34.082040,-117.044050,
847.400000,499.809000,34.082120,-117.043900,
849.800000,516.258000,34.082200,-117.043750,
851.400000,532.941000,34.082270,-117.043590,
851.900000,550.173000,34.082350,-117.043430,
852.100000,562.962000,34.082420,-117.043320,
852.300000,574.347000,34.082480,-117.043220,
852.500000,585.730000,34.082550,-117.043130,
852.700000,597.902000,34.082630,-117.043040,
852.900000,608.020000,34.082700,-117.042970,
853.200000,623.746000,34.082820,-117.042880,
853.400000,633.302000,34.082890,-117.042820,
853.300000,647.144000,34.083000,-117.042750,
853.200000,659.192000,34.083100,-117.042700,
853.300000,676.783000,34.083250,-117.042640,
853.800000,692.798000,34.083390,-117.042600,
854.700000,706.439000,34.083510,-117.042570,
857.200000,735.906000,34.083770,-117.042510,
863.600000,826.330000,34.084570,-117.042340,
872.500000,979.134000,34.085920,-117.042040,
874.000000,1028.813000,34.086360,-117.041950,
874.900000,1056.096000,34.086600,-117.041890,
876.000000,1074.746000,34.086760,-117.041830,
877.500000,1093.000000,34.086910,-117.041750,
879.300000,1110.656000,34.087050,-117.041660,
881.100000,1127.815000,34.087180,-117.041560,
882.100000,1143.142000,34.087290,-117.041460,
882.800000,1159.499000,34.087390,-117.041330,
883.600000,1179.400000,34.087510,-117.041170,
883.700000,1202.846000,34.087650,-117.040980,
884.300000,1234.800000,34.087830,-117.040710,
885.100000,1249.003000,34.087910,-117.040590,
885.900000,1257.525000,34.087960,-117.040520,
887.200000,1265.365000,34.088000,-117.040450,
891.700000,1287.499000,34.088110,-117.040250,
892.500000,1306.100000,34.088200,-117.040080,
893.200000,1325.324000,34.088300,-117.039910,
893.500000,1336.708000,34.088360,-117.039810,
894.200000,1350.240000,34.088430,-117.039690,
895.400000,1370.863000,34.088540,-117.039510,
896.700000,1391.487000,34.088650,-117.039330,
897.700000,1412.110000,34.088760,-117.039150,
898.300000,1432.703000,34.088880,-117.038980,
898.600000,1452.603000,34.089000,-117.038820,
898.900000,1470.394000,34.089110,-117.038680,
899.200000,1486.751000,34.089210,-117.038550,
899.200000,1500.366000,34.089300,-117.038450,
899.300000,1520.601000,34.089440,-117.038310,
899.300000,1537.104000,34.089550,-117.038190,
899.100000,1546.659000,34.089620,-117.038130,
898.800000,1566.319000,34.089760,-117.038000,
898.700000,1589.758000,34.089930,-117.037850,
898.700000,1613.592000,34.090110,-117.037710,
898.800000,1633.128000,34.090260,-117.037600,
897.800000,1697.461000,34.090750,-117.037230,
899.600000,1715.132000,34.090880,-117.037120,
901.000000,1729.586000,34.090980,-117.037020,
902.300000,1741.149000,34.091060,-117.036940,
903.200000,1752.712000,34.091140,-117.036860,
903.200000,1765.720000,34.091230,-117.036770,
903.900000,1779.334000,34.091320,-117.036670,
908.600000,1793.590000,34.091410,-117.036560,
910.500000,1807.086000,34.091490,-117.036450,
911.900000,1839.799000,34.091690,-117.036190,
912.500000,1879.561000,34.091920,-117.035860,
913.000000,1922.171000,34.092170,-117.035510,
912.500000,1959.112000,34.092390,-117.035210,
913.600000,1991.078000,34.092580,-117.034950,
915.200000,2016.643000,34.092730,-117.034740,
915.300000,2037.307000,34.092860,-117.034580,
915.500000,2049.478000,34.092940,-117.034490,
915.800000,2059.596000,34.093010,-117.034420,
916.900000,2069.152000,34.093080,-117.034360,
921.700000,2090.118000,34.093240,-117.034240,
