alt,dst,lat,lon,mdata
205.900000,0.000000,39.180690,-123.234080,E:\Dropbox\website\dev2\climbing\climbs\Orr-Springs-Rd-East-Ukiah.tcx
206.500000,7.504000,39.180730,-123.234150,
211.400000,31.563000,39.180840,-123.234390,
212.800000,48.940000,39.180910,-123.234570,
212.200000,67.598000,39.180990,-123.234760,
210.900000,97.078000,39.181130,-123.235050,
211.700000,114.842000,39.181220,-123.235220,
217.300000,157.163000,39.181440,-123.235620,
225.000000,185.326000,39.181570,-123.235900,
226.100000,192.995000,39.181600,-123.235980,
227.200000,208.325000,39.181640,-123.236150,
228.000000,220.858000,39.181670,-123.236290,
229.000000,237.589000,39.181700,-123.236480,
229.100000,260.052000,39.181710,-123.236740,
229.100000,266.092000,39.181710,-123.236810,
228.900000,285.970000,39.181700,-123.237040,
228.300000,294.881000,39.181680,-123.237140,
227.700000,303.335000,39.181650,-123.237230,
228.000000,319.046000,39.181570,-123.237380,
230.800000,341.272000,39.181420,-123.237550,
235.600000,368.288000,39.181240,-123.237760,
237.300000,379.894000,39.181180,-123.237870,
239.000000,392.216000,39.181120,-123.237990,
242.300000,411.636000,39.181040,-123.238190,
244.300000,424.652000,39.180960,-123.238300,
245.900000,434.511000,39.180890,-123.238370,
248.300000,450.192000,39.180760,-123.238440,
251.000000,467.439000,39.180610,-123.238490,
251.200000,468.552000,39.180600,-123.238490,
254.200000,483.126000,39.180470,-123.238510,
257.100000,493.292000,39.180380,-123.238530,
257.900000,503.458000,39.180290,-123.238550,
258.700000,516.123000,39.180190,-123.238620,
259.600000,528.290000,39.180100,-123.238700,
259.800000,541.389000,39.180000,-123.238780,
260.300000,556.882000,39.179890,-123.238890,
261.200000,575.482000,39.179770,-123.239040,
263.600000,600.045000,39.179640,-123.239270,
267.000000,664.943000,39.179310,-123.239890,
276.000000,708.615000,39.179080,-123.240300,
279.800000,725.226000,39.179010,-123.240470,
283.200000,743.379000,39.178940,-123.240660,
283.700000,759.537000,39.178900,-123.240840,
284.500000,769.094000,39.178910,-123.240950,
284.900000,777.723000,39.178910,-123.241050,
286.000000,790.257000,39.178940,-123.241190,
287.800000,813.263000,39.179030,-123.241430,
288.400000,823.748000,39.179070,-123.241540,
288.200000,834.340000,39.179090,-123.241660,
288.200000,841.332000,39.179100,-123.241740,
288.500000,848.235000,39.179100,-123.241820,
289.100000,855.489000,39.179080,-123.241900,
290.700000,864.742000,39.179050,-123.242000,
294.600000,879.750000,39.178970,-123.242140,
295.000000,884.553000,39.178940,-123.242180,
295.700000,896.834000,39.178870,-123.242290,
296.500000,920.025000,39.178740,-123.242500,
297.300000,941.254000,39.178610,-123.242680,
298.800000,952.258000,39.178560,-123.242790,
299.800000,959.511000,39.178540,-123.242870,
300.000000,965.949000,39.178520,-123.242940,
299.800000,971.989000,39.178520,-123.243010,
299.300000,977.167000,39.178520,-123.243070,
298.900000,985.246000,39.178540,-123.243160,
299.500000,992.148000,39.178570,-123.243230,
300.100000,1004.429000,39.178640,-123.243340,
299.900000,1014.672000,39.178700,-123.243430,
300.100000,1024.028000,39.178770,-123.243490,
300.400000,1035.967000,39.178870,-123.243540,
300.900000,1046.133000,39.178960,-123.243560,
301.300000,1056.189000,39.179050,-123.243570,
302.100000,1081.850000,39.179280,-123.243590,
303.600000,1118.676000,39.179610,-123.243620,
