alt,dst,lat,lon,mdata
279.400000,0.000000,39.230550,-123.366380,E:\Dropbox\website\dev2\climbing\climbs\Orr-Springs-Road-West-Ukiah.tcx
279.300000,17.303000,39.230420,-123.366270,
279.100000,28.579000,39.230330,-123.366210,
279.300000,38.878000,39.230250,-123.366150,
279.900000,49.636000,39.230170,-123.366080,
280.300000,53.861000,39.230140,-123.366050,
282.100000,63.411000,39.230090,-123.365960,
284.700000,72.961000,39.230040,-123.365870,
286.500000,80.625000,39.230010,-123.365790,
288.200000,92.226000,39.229950,-123.365680,
289.000000,105.878000,39.229870,-123.365560,
288.100000,123.317000,39.229750,-123.365430,
288.400000,131.765000,39.229690,-123.365370,
288.500000,138.928000,39.229630,-123.365340,
289.300000,149.275000,39.229540,-123.365310,
290.800000,159.441000,39.229450,-123.365290,
293.300000,167.281000,39.229380,-123.365280,
295.200000,174.179000,39.229320,-123.365260,
296.800000,182.390000,39.229250,-123.365230,
296.900000,193.297000,39.229160,-123.365180,
296.200000,200.814000,39.229100,-123.365140,
296.000000,205.615000,39.229070,-123.365100,
296.000000,209.720000,39.229050,-123.365060,
296.200000,211.445000,39.229050,-123.365040,
296.400000,213.169000,39.229050,-123.365020,
297.000000,216.619000,39.229050,-123.364980,
297.900000,220.243000,39.229060,-123.364940,
299.200000,224.348000,39.229080,-123.364900,
300.400000,227.761000,39.229100,-123.364870,
301.600000,231.520000,39.229130,-123.364850,
302.700000,234.969000,39.229160,-123.364840,
303.800000,241.704000,39.229220,-123.364850,
304.700000,247.336000,39.229270,-123.364860,
305.200000,254.234000,39.229330,-123.364880,
306.400000,264.400000,39.229420,-123.364900,
306.700000,267.849000,39.229450,-123.364910,
307.200000,271.298000,39.229480,-123.364900,
307.500000,273.686000,39.229500,-123.364890,
308.000000,276.502000,39.229520,-123.364870,
308.300000,277.910000,39.229530,-123.364860,
308.600000,279.963000,39.229540,-123.364840,
308.800000,281.371000,39.229550,-123.364830,
309.100000,283.096000,39.229550,-123.364810,
309.600000,285.683000,39.229550,-123.364780,
310.200000,289.307000,39.229540,-123.364740,
310.400000,292.123000,39.229520,-123.364720,
310.500000,294.939000,39.229500,-123.364700,
310.600000,300.089000,39.229460,-123.364670,
310.600000,307.606000,39.229400,-123.364630,
310.400000,312.381000,39.229360,-123.364610,
310.200000,317.531000,39.229320,-123.364580,
310.200000,321.755000,39.229290,-123.364550,
310.300000,325.168000,39.229270,-123.364520,
310.500000,331.994000,39.229230,-123.364460,
311.100000,342.901000,39.229170,-123.364360,
312.000000,350.566000,39.229140,-123.364280,
312.900000,358.230000,39.229110,-123.364200,
316.600000,384.371000,39.229020,-123.363920,
323.600000,433.027000,39.228870,-123.363390,
332.900000,529.727000,39.228610,-123.362320,
344.300000,597.356000,39.228460,-123.361560,
345.700000,617.683000,39.228420,-123.361330,
346.000000,631.659000,39.228400,-123.361170,
346.400000,642.869000,39.228400,-123.361040,
346.900000,655.145000,39.228420,-123.360900,
347.200000,663.219000,39.228440,-123.360810,
347.900000,670.883000,39.228470,-123.360730,
349.500000,682.484000,39.228530,-123.360620,
350.300000,691.348000,39.228580,-123.360540,
351.200000,696.123000,39.228620,-123.360520,
352.200000,700.576000,39.228660,-123.360520,
