alt,dst,lat,lon,mdata
111.200000,0.000000,37.375740,-122.166710,E:\Dropbox\website\dev2\climbing\climbs\Page-Mill-Road.tcx
119.600000,109.096055,37.374760,-122.166720,
123.200000,194.439287,37.374010,-122.166520,
133.100000,287.171707,37.373240,-122.166120,
138.300000,321.589325,37.373010,-122.165860,
139.000000,338.657986,37.372860,-122.165820,
136.400000,357.184811,37.372790,-122.166010,
136.000000,411.560463,37.372850,-122.166620,
146.500000,505.755702,37.372770,-122.167680,
147.100000,535.971378,37.372700,-122.168010,
151.200000,587.276065,37.372430,-122.168480,
153.300000,606.910544,37.372300,-122.168630,
157.700000,642.906773,37.372010,-122.168810,
166.200000,681.411194,37.371670,-122.168890,
168.700000,708.499837,37.371440,-122.168790,
172.400000,756.973464,37.371230,-122.168310,
171.300000,776.628000,37.371060,-122.168370,
173.100000,815.486607,37.370860,-122.168730,
174.900000,832.447985,37.370730,-122.168830,
179.000000,881.294289,37.370300,-122.168940,
174.500000,918.792477,37.370110,-122.169290,
177.500000,948.110570,37.369900,-122.169490,
187.100000,977.592711,37.369650,-122.169600,
192.400000,1006.549128,37.369390,-122.169610,
202.700000,1101.861620,37.368570,-122.169300,
205.900000,1119.300940,37.368440,-122.169190,
209.500000,1156.702129,37.368230,-122.168860,
209.200000,1170.424175,37.368120,-122.168790,
206.100000,1186.033905,37.367980,-122.168780,
203.200000,1239.602990,37.367510,-122.168910,
203.200000,1268.667332,37.367250,-122.168880,
206.400000,1294.419389,37.367030,-122.168790,
210.300000,1322.133781,37.366870,-122.168550,
219.200000,1372.310701,37.366760,-122.168000,
230.600000,1461.034410,37.366240,-122.167240,
231.300000,1492.157257,37.366010,-122.167040,
228.500000,1514.491232,37.365810,-122.167060,
225.100000,1581.318652,37.365270,-122.167390,
228.800000,1644.776561,37.364700,-122.167400,
229.500000,1666.815242,37.364510,-122.167470,
230.600000,1687.869327,37.364370,-122.167630,
234.200000,1712.955781,37.364250,-122.167870,
243.000000,1778.562067,37.364080,-122.168580,
241.000000,1802.169617,37.363960,-122.168800,
239.400000,1815.515873,37.363850,-122.168860,
240.800000,1884.737414,37.363230,-122.168800,
242.900000,1905.268693,37.363060,-122.168890,
243.700000,1940.595222,37.362860,-122.169200,
252.600000,1974.674143,37.362810,-122.169580,
259.900000,2152.637353,37.362980,-122.171580,
260.300000,2161.554806,37.362970,-122.171680,
261.400000,2183.073549,37.362840,-122.171860,
261.400000,2203.188925,37.362660,-122.171840,
261.200000,2224.848048,37.362520,-122.171670,
268.900000,2350.028293,37.362210,-122.170310,
270.200000,2375.660319,37.362070,-122.170080,
272.300000,2395.547906,37.361910,-122.169980,
281.900000,2432.453214,37.361580,-122.169940,
281.700000,2470.785168,37.361260,-122.169780,
285.500000,2492.393464,37.361070,-122.169830,
291.800000,2527.729138,37.360800,-122.170040,
292.600000,2547.473852,37.360740,-122.170250,
293.900000,2576.329222,37.360790,-122.170570,
306.400000,2637.420713,37.360770,-122.171260,
309.800000,2670.517813,37.360910,-122.171590,
