alt,dst,lat,lon,mdata
814.100000,0.000000,33.240620,-116.767630,E:\Dropbox\website\dev2\climbing\climbs\Palomar-Mountain-East-Grade.tcx
814.600000,12.897000,33.240660,-116.767500,
815.400000,38.907000,33.240720,-116.767230,
817.400000,64.019000,33.240780,-116.766970,
821.300000,91.587000,33.240830,-116.766680,
822.600000,117.116000,33.240870,-116.766410,
823.100000,138.645000,33.240890,-116.766180,
828.000000,172.181000,33.240900,-116.765820,
828.600000,192.785000,33.240920,-116.765600,
830.100000,206.240000,33.240950,-116.765460,
830.000000,216.561000,33.240990,-116.765360,
828.800000,225.859000,33.241040,-116.765280,
829.500000,235.157000,33.241090,-116.765200,
830.700000,244.489000,33.241150,-116.765130,
832.300000,255.525000,33.241230,-116.765060,
832.900000,267.980000,33.241330,-116.765000,
832.200000,282.312000,33.241440,-116.764920,
832.700000,293.348000,33.241520,-116.764850,
833.600000,302.680000,33.241580,-116.764780,
835.500000,314.138000,33.241640,-116.764680,
836.900000,328.533000,33.241710,-116.764550,
837.400000,377.509000,33.241890,-116.764070,
839.500000,403.809000,33.242000,-116.763820,
841.900000,418.836000,33.242080,-116.763690,
843.400000,429.551000,33.242140,-116.763600,
845.400000,441.161000,33.242220,-116.763520,
847.500000,452.196000,33.242300,-116.763450,
848.200000,464.651000,33.242400,-116.763390,
848.300000,476.390000,33.242500,-116.763350,
848.100000,486.790000,33.242590,-116.763320,
847.700000,499.035000,33.242700,-116.763320,
846.900000,507.941000,33.242780,-116.763320,
845.600000,518.131000,33.242870,-116.763340,
843.900000,527.229000,33.242950,-116.763360,
841.700000,540.329000,33.243060,-116.763410,
839.400000,575.883000,33.243350,-116.763570,
846.300000,627.702000,33.243770,-116.763810,
847.800000,660.462000,33.244040,-116.763950,
847.000000,679.129000,33.244200,-116.764010,
850.000000,694.641000,33.244330,-116.764070,
854.400000,731.460000,33.244650,-116.764170,
857.700000,760.269000,33.244900,-116.764250,
859.000000,785.611000,33.245120,-116.764320,
859.200000,801.444000,33.245260,-116.764350,
859.000000,819.352000,33.245420,-116.764370,
859.000000,832.710000,33.245540,-116.764370,
860.000000,846.069000,33.245660,-116.764370,
861.100000,856.130000,33.245750,-116.764360,
861.800000,866.321000,33.245840,-116.764340,
863.600000,891.092000,33.246060,-116.764300,
863.900000,906.788000,33.246200,-116.764280,
863.900000,912.354000,33.246250,-116.764280,
863.900000,921.259000,33.246330,-116.764280,
863.900000,929.107000,33.246400,-116.764290,
864.000000,936.041000,33.246460,-116.764310,
864.000000,945.374000,33.246540,-116.764340,
863.900000,958.474000,33.246650,-116.764390,
863.800000,971.933000,33.246760,-116.764450,
863.600000,981.586000,33.246840,-116.764490,
863.400000,996.787000,33.246970,-116.764540,
863.800000,1014.395000,33.247120,-116.764600,
868.200000,1061.170000,33.247530,-116.764710,
874.000000,1097.563000,33.247850,-116.764790,
875.300000,1120.516000,33.248050,-116.764850,
875.700000,1140.248000,33.248220,-116.764910,
883.800000,1226.799000,33.248950,-116.765230,
886.000000,1261.275000,33.249240,-116.765360,
886.000000,1275.754000,33.249360,-116.765420,
890.600000,1319.553000,33.249730,-116.765580,
892.600000,1334.755000,33.249860,-116.765630,
894.300000,1348.214000,33.249970,-116.765690,
895.800000,1363.077000,33.250090,-116.765760,
898.100000,1380.771000,33.250230,-116.765850,
901.500000,1403.749000,33.250400,-116.765990,
903.100000,1415.700000,33.250490,-116.766060,
903.900000,1423.347000,33.250550,-116.766100,
904.400000,1431.625000,33.250620,-116.766130,
904.500000,1442.911000,33.250720,-116.766150,
903.900000,1456.270000,33.250840,-116.766150,
902.900000,1465.368000,33.250920,-116.766130,
902.100000,1475.768000,33.251010,-116.766100,
901.800000,1485.421000,33.251090,-116.766060,
901.500000,1492.677000,33.251140,-116.766010,
901.800000,1502.681000,33.251200,-116.765930,
904.000000,1512.739000,33.251250,-116.765840,
907.000000,1523.906000,33.251290,-116.765730,
909.500000,1534.677000,33.251320,-116.765620,
910.900000,1544.052000,33.251330,-116.765520,
912.700000,1556.206000,33.251320,-116.765390,
913.800000,1564.875000,33.251300,-116.765300,
914.400000,1576.530000,33.251250,-116.765190,
914.900000,1590.924000,33.251180,-116.765060,
915.500000,1603.939000,33.251120,-116.764940,
916.300000,1615.106000,33.251080,-116.764830,
916.600000,1624.594000,33.251040,-116.764740,
916.900000,1635.073000,33.251020,-116.764630,
917.000000,1646.245000,33.251020,-116.764510,
916.800000,1655.554000,33.251020,-116.764410,
916.100000,1668.108000,33.251050,-116.764280,
914.600000,1678.879000,33.251080,-116.764170,
913.700000,1688.938000,33.251130,-116.764080,
914.700000,1700.396000,33.251190,-116.763980,
916.000000,1709.727000,33.251250,-116.763910,
917.100000,1718.434000,33.251310,-116.763850,
917.700000,1727.511000,33.251380,-116.763800,
918.200000,1737.163000,33.251460,-116.763760,
919.500000,1755.829000,33.251620,-116.763700,
925.000000,1795.332000,33.251970,-116.763630,
929.600000,1868.854000,33.252620,-116.763490,
931.600000,1890.511000,33.252810,-116.763440,
932.200000,1900.163000,33.252890,-116.763400,
932.900000,1910.212000,33.252970,-116.763350,
933.500000,1920.370000,33.253040,-116.763280,
