alt,dst,lat,lon,mdata
316.400000,0.000000,33.288550,-116.958180,E:\Dropbox\website\dev2\climbing\climbs\Palomar-Mt-Temecula.tcx
317.600000,17.650000,33.288600,-116.958000,
319.600000,40.427000,33.288670,-116.957770,
320.300000,47.954000,33.288680,-116.957690,
320.400000,50.122000,33.288690,-116.957670,
321.200000,57.892000,33.288710,-116.957590,
321.700000,63.586000,33.288720,-116.957530,
322.200000,69.279000,33.288730,-116.957470,
322.800000,75.887000,33.288740,-116.957400,
323.200000,81.470000,33.288740,-116.957340,
323.800000,87.163000,33.288750,-116.957280,
324.300000,93.677000,33.288750,-116.957210,
324.700000,98.461000,33.288740,-116.957160,
325.000000,102.183000,33.288740,-116.957120,
326.100000,116.185000,33.288730,-116.956970,
327.500000,140.785000,33.288690,-116.956710,
328.400000,160.453000,33.288670,-116.956500,
328.800000,170.749000,33.288660,-116.956390,
329.100000,180.121000,33.288650,-116.956290,
329.300000,187.565000,33.288650,-116.956210,
329.600000,195.009000,33.288650,-116.956130,
329.900000,200.593000,33.288650,-116.956070,
330.300000,206.286000,33.288660,-116.956010,
330.600000,211.869000,33.288660,-116.955950,
331.100000,218.752000,33.288680,-116.955880,
331.600000,225.361000,33.288690,-116.955810,
332.000000,230.519000,33.288710,-116.955760,
332.600000,240.003000,33.288750,-116.955670,
333.100000,247.323000,33.288780,-116.955600,
333.400000,253.051000,33.288810,-116.955550,
333.900000,259.556000,33.288840,-116.955490,
334.400000,266.698000,33.288880,-116.955430,
335.000000,274.588000,33.288920,-116.955360,
335.500000,282.471000,33.288970,-116.955300,
336.200000,291.801000,33.289030,-116.955230,
337.000000,301.130000,33.289090,-116.955160,
338.200000,315.965000,33.289200,-116.955070,
339.800000,336.585000,33.289350,-116.954940,
344.000000,415.915000,33.289950,-116.954480,
344.200000,424.620000,33.290010,-116.954420,
344.600000,438.012000,33.290110,-116.954340,
344.800000,446.151000,33.290170,-116.954290,
345.000000,451.152000,33.290200,-116.954250,
345.200000,457.848000,33.290250,-116.954210,
345.400000,462.848000,33.290280,-116.954170,
345.800000,469.990000,33.290320,-116.954110,
346.400000,479.285000,33.290370,-116.954030,
347.100000,488.579000,33.290420,-116.953950,
347.600000,494.590000,33.290440,-116.953890,
348.400000,501.910000,33.290470,-116.953820,
349.500000,513.565000,33.290500,-116.953700,
350.600000,525.865000,33.290520,-116.953570,
351.500000,539.081000,33.290540,-116.953430,
352.200000,554.134000,33.290560,-116.953270,
358.800000,686.112000,33.290750,-116.951870,
359.300000,696.587000,33.290770,-116.951760,
363.500000,774.966000,33.290890,-116.950930,
365.800000,825.080000,33.290970,-116.950400,
366.500000,836.466000,33.290990,-116.950280,
367.000000,843.993000,33.291000,-116.950200,
367.600000,852.441000,33.291010,-116.950110,
368.000000,858.452000,33.291030,-116.950050,
368.400000,863.235000,33.291040,-116.950000,
368.900000,871.005000,33.291060,-116.949920,
369.500000,880.021000,33.291090,-116.949830,
370.000000,886.527000,33.291120,-116.949770,
370.500000,894.686000,33.291150,-116.949690,
