alt,dst,lat,lon,mdata
36.200000,0.000000,37.896330,-122.636500,E:\Dropbox\website\dev2\climbing\climbs\Panoramic-Hwy-Mt-Tamalpias.tcx
36.800000,6.997000,37.896360,-122.636430,
37.100000,24.385000,37.896440,-122.636260,
37.400000,39.693000,37.896510,-122.636110,
38.900000,54.877000,37.896590,-122.635970,
42.100000,79.835000,37.896710,-122.635730,
44.400000,106.764000,37.896850,-122.635480,
42.800000,135.219000,37.897030,-122.635250,
41.200000,162.902000,37.897200,-122.635020,
45.100000,200.651000,37.897470,-122.634760,
46.800000,243.028000,37.897780,-122.634480,
47.000000,254.349000,37.897870,-122.634420,
46.400000,262.897000,37.897940,-122.634380,
45.500000,272.954000,37.898030,-122.634370,
46.000000,281.902000,37.898110,-122.634380,
47.200000,290.980000,37.898190,-122.634400,
49.100000,301.919000,37.898280,-122.634450,
53.200000,325.853000,37.898480,-122.634550,
56.000000,355.612000,37.898730,-122.634670,
58.100000,384.543000,37.898980,-122.634760,
60.400000,419.760000,37.899290,-122.634840,
61.700000,429.817000,37.899380,-122.634850,
62.700000,437.609000,37.899450,-122.634850,
63.500000,445.597000,37.899520,-122.634830,
64.200000,454.105000,37.899580,-122.634770,
64.900000,462.399000,37.899630,-122.634700,
65.300000,467.786000,37.899640,-122.634640,
65.600000,472.178000,37.899640,-122.634590,
66.000000,478.427000,37.899630,-122.634520,
66.400000,485.798000,37.899610,-122.634440,
67.700000,509.291000,37.899490,-122.634220,
69.000000,532.066000,37.899370,-122.634010,
72.600000,578.748000,37.899160,-122.633550,
74.900000,596.008000,37.899070,-122.633390,
76.100000,616.006000,37.898960,-122.633210,
77.300000,636.179000,37.898830,-122.633050,
80.000000,677.649000,37.898580,-122.632700,
80.700000,706.562000,37.898380,-122.632490,
80.100000,712.197000,37.898330,-122.632480,
80.100000,718.933000,37.898270,-122.632470,
80.800000,724.499000,37.898220,-122.632470,
82.400000,730.134000,37.898170,-122.632480,
87.900000,760.560000,37.897920,-122.632620,
88.200000,765.098000,37.897880,-122.632630,
88.300000,769.637000,37.897840,-122.632640,
88.300000,775.272000,37.897790,-122.632630,
88.200000,780.059000,37.897750,-122.632610,
88.100000,787.239000,37.897690,-122.632580,
88.200000,793.821000,37.897640,-122.632540,
88.500000,799.493000,37.897600,-122.632500,
95.300000,903.838000,37.896900,-122.631710,
95.700000,918.579000,37.896800,-122.631600,
96.600000,934.101000,37.896680,-122.631510,
97.100000,939.275000,37.896640,-122.631480,
97.700000,946.012000,37.896580,-122.631470,
