alt,dst,lat,lon,mdata
965.700000,0.000000,41.435630,-122.461790,E:\Dropbox\website\dev2\climbing\climbs\Parks-Creek-Summit-E-Mt.-Shasta.tcx
966.000000,14.467000,41.435680,-122.461950,
966.400000,42.110000,41.435800,-122.462240,
966.900000,76.847000,41.435980,-122.462580,
966.500000,98.318000,41.436080,-122.462800,
965.600000,111.058000,41.436140,-122.462930,
965.700000,122.786000,41.436180,-122.463060,
965.500000,136.072000,41.436220,-122.463210,
966.300000,149.028000,41.436250,-122.463360,
968.600000,169.547000,41.436290,-122.463600,
969.500000,200.923000,41.436340,-122.463970,
970.200000,234.600000,41.436380,-122.464370,
970.700000,258.073000,41.436400,-122.464650,
971.100000,285.703000,41.436420,-122.464980,
971.600000,313.266000,41.436410,-122.465310,
972.200000,341.007000,41.436380,-122.465640,
972.600000,363.976000,41.436340,-122.465910,
973.000000,381.571000,41.436290,-122.466110,
973.400000,399.991000,41.436220,-122.466310,
973.900000,420.753000,41.436120,-122.466520,
974.600000,447.468000,41.435980,-122.466780,
975.200000,471.543000,41.435860,-122.467020,
975.600000,499.742000,41.435730,-122.467310,
975.600000,518.660000,41.435650,-122.467510,
975.500000,536.638000,41.435590,-122.467710,
975.400000,553.844000,41.435530,-122.467900,
974.900000,581.664000,41.435460,-122.468220,
976.100000,611.804000,41.435350,-122.468550,
977.700000,638.927000,41.435240,-122.468840,
978.100000,664.573000,41.435130,-122.469110,
978.600000,687.951000,41.435000,-122.469330,
979.300000,711.336000,41.434880,-122.469560,
979.800000,730.255000,41.434800,-122.469760,
980.400000,748.441000,41.434720,-122.469950,
981.000000,768.765000,41.434660,-122.470180,
981.500000,793.374000,41.434620,-122.470470,
983.400000,878.717000,41.434500,-122.471480,
984.300000,907.440000,41.434460,-122.471820,
985.000000,931.744000,41.434400,-122.472100,
986.200000,964.684000,41.434320,-122.472480,
987.300000,1003.554000,41.434230,-122.472930,
991.300000,1050.786000,41.434130,-122.473480,
994.400000,1086.952000,41.434050,-122.473900,
996.600000,1119.609000,41.433980,-122.474280,
997.500000,1146.684000,41.433940,-122.474600,
998.100000,1171.116000,41.433910,-122.474890,
998.100000,1201.161000,41.433910,-122.475250,
1000.100000,1291.405000,41.433950,-122.476330,
1001.300000,1333.983000,41.433960,-122.476840,
1002.600000,1362.359000,41.433960,-122.477180,
1004.900000,1384.058000,41.433960,-122.477440,
1007.100000,1405.041000,41.433940,-122.477690,
1008.600000,1423.536000,41.433920,-122.477910,
1009.900000,1443.020000,41.433890,-122.478140,
1010.800000,1463.539000,41.433850,-122.478380,
1011.400000,1479.744000,41.433820,-122.478570,
1012.800000,1505.170000,41.433750,-122.478860,
1014.800000,1521.976000,41.433700,-122.479050,
1015.800000,1539.571000,41.433650,-122.479250,
1017.500000,1570.052000,41.433550,-122.479590,
1019.000000,1596.247000,41.433460,-122.479880,
1020.600000,1623.991000,41.433370,-122.480190,
1021.500000,1639.231000,41.433320,-122.480360,
1022.600000,1663.461000,41.433240,-122.480630,
1023.500000,1684.576000,41.433180,-122.480870,
1026.000000,1703.332000,41.433120,-122.481080,
1028.400000,1741.250000,41.433010,-122.481510,
1028.500000,1769.403000,41.432930,-122.481830,
1027.500000,1806.379000,41.432850,-122.482260,
1027.100000,1846.864000,41.432760,-122.482730,
1029.600000,1890.860000,41.432660,-122.483240,
1032.800000,1941.881000,41.432540,-122.483830,
1033.400000,1951.328000,41.432520,-122.483940,
1033.900000,1963.065000,41.432510,-122.484080,
1034.200000,1978.088000,41.432510,-122.484260,
1034.400000,1994.817000,41.432520,-122.484460,
1034.800000,2023.280000,41.432540,-122.484800,
1037.500000,2089.363000,41.432580,-122.485590,
1038.300000,2141.156000,41.432600,-122.486210,
1038.600000,2167.887000,41.432610,-122.486530,
1038.800000,2186.281000,41.432600,-122.486750,
1039.000000,2203.010000,41.432590,-122.486950,
1041.200000,2278.481000,41.432470,-122.487840,
1043.200000,2347.648000,41.432380,-122.488660,
1043.700000,2376.371000,41.432340,-122.489000,
1043.500000,2395.599000,41.432330,-122.489230,
1042.700000,2415.661000,41.432320,-122.489470,
1041.900000,2429.892000,41.432330,-122.489640,
1041.900000,2441.630000,41.432340,-122.489780,
1043.600000,2462.760000,41.432370,-122.490030,
1047.100000,2484.095000,41.432410,-122.490280,
1048.900000,2500.116000,41.432460,-122.490460,
1050.200000,2517.039000,41.432530,-122.490640,
1051.200000,2535.796000,41.432620,-122.490830,
1051.800000,2547.254000,41.432670,-122.490950,
1052.500000,2565.441000,41.432750,-122.491140,
1053.000000,2582.364000,41.432820,-122.491320,
1053.400000,2603.479000,41.432880,-122.491560,
1053.400000,2624.814000,41.432920,-122.491810,
1053.900000,2646.627000,41.432940,-122.492070,
1055.100000,2668.355000,41.432950,-122.492330,
1057.500000,2690.916000,41.432940,-122.492600,
1060.300000,2712.871000,41.432910,-122.492860,
1063.500000,2737.480000,41.432870,-122.493150,
1064.300000,2761.503000,41.432820,-122.493430,
1065.700000,2787.292000,41.432740,-122.493720,
1066.400000,2811.136000,41.432670,-122.493990,
1067.300000,2832.297000,41.432590,-122.494220,
1068.900000,2855.212000,41.432490,-122.494460,
1070.900000,2880.591000,41.432350,-122.494700,
1072.000000,2904.799000,41.432200,-122.494910,
1072.700000,2928.646000,41.432040,-122.495100,
1073.100000,2965.528000,41.431790,-122.495390,
1073.400000,2999.636000,41.431560,-122.495660,
1079.900000,3052.607000,41.431210,-122.496090,
1084.800000,3122.503000,41.430750,-122.496660,
1085.000000,3150.838000,41.430550,-122.496870,
1085.500000,3173.078000,41.430380,-122.497010,
1086.500000,3199.864000,41.430160,-122.497140,
1091.000000,3233.774000,41.429880,-122.497300,
1092.800000,3264.987000,41.429620,-122.497440,
1094.600000,3301.989000,41.429310,-122.497600,
1096.100000,3338.992000,41.429000,-122.497760,
1098.800000,3398.732000,41.428500,-122.498020,
1105.900000,3469.952000,41.427910,-122.498350,
1107.500000,3497.942000,41.427670,-122.498450,
1108.100000,3526.768000,41.427420,-122.498540,
1108.500000,3548.326000,41.427230,-122.498590,
1109.300000,3577.377000,41.426970,-122.498620,
1113.700000,3625.426000,41.426540,-122.498670,
1118.000000,3652.774000,41.426300,-122.498740,
1119.300000,3681.024000,41.426060,-122.498850,
1120.100000,3708.832000,41.425830,-122.498980,
1120.700000,3735.967000,41.425610,-122.499120,
1121.200000,3759.024000,41.425420,-122.499230,
1122.600000,3798.364000,41.425100,-122.499430,
1126.900000,3825.150000,41.424880,-122.499560,
1130.100000,3850.295000,41.424680,-122.499700,
1131.800000,3877.430000,41.424460,-122.499840,
1132.600000,3914.400000,41.424160,-122.500030,
1133.400000,3957.620000,41.423820,-122.500280,
1140.900000,4021.989000,41.423340,-122.500710,
1148.700000,4056.266000,41.423080,-122.500930,
1155.900000,4128.096000,41.422530,-122.501380,
1160.400000,4162.890000,41.422260,-122.501590,
1164.100000,4196.492000,41.421990,-122.501770,
1165.600000,4216.927000,41.421830,-122.501890,
1166.700000,4237.361000,41.421670,-122.502010,
1163.600000,4255.759000,41.421680,-122.502230,
1162.000000,4269.161000,41.421670,-122.502390,
1161.100000,4281.732000,41.421660,-122.502540,
1161.700000,4295.966000,41.421670,-122.502710,
1163.700000,4307.696000,41.421710,-122.502840,
1166.000000,4318.433000,41.421760,-122.502950,
1168.000000,4331.224000,41.421840,-122.503060,
1170.100000,4344.205000,41.421940,-122.503140,
1172.300000,4355.827000,41.422040,-122.503180,
1174.000000,4365.984000,41.422130,-122.503200,
1174.000000,4376.141000,41.422220,-122.503180,
1173.200000,4383.274000,41.422280,-122.503150,
1173.000000,4390.407000,41.422340,-122.503120,
1172.000000,4402.614000,41.422440,-122.503060,
1171.900000,4415.844000,41.422550,-122.503000,
1173.100000,4434.865000,41.422710,-122.502920,
1177.400000,4451.894000,41.422860,-122.502880,
1179.500000,4472.207000,41.423040,-122.502840,
1179.800000,4485.977000,41.423160,-122.502800,
1180.500000,4498.250000,41.423270,-122.502790,
1180.800000,4513.924000,41.423410,-122.502770,
1181.300000,4531.754000,41.423570,-122.502760,
1181.800000,4548.473000,41.423720,-122.502750,
1182.800000,4570.737000,41.423920,-122.502750,
1183.100000,4587.456000,41.424070,-122.502760,
1183.000000,4601.951000,41.424200,-122.502770,
1183.500000,4618.670000,41.424350,-122.502780,
1185.800000,4633.165000,41.424480,-122.502790,
1189.500000,4646.550000,41.424600,-122.502780,
1191.800000,4656.603000,41.424690,-122.502770,
1193.000000,4667.859000,41.424790,-122.502750,
1193.200000,4678.186000,41.424880,-122.502720,
1192.800000,4688.747000,41.424970,-122.502680,
1191.900000,4700.635000,41.425070,-122.502630,
1191.300000,4712.045000,41.425170,-122.502600,
1190.700000,4724.404000,41.425280,-122.502580,
1190.300000,4734.457000,41.425370,-122.502570,
1189.900000,4747.815000,41.425490,-122.502570,
1189.900000,4762.383000,41.425620,-122.502590,
1190.400000,4776.152000,41.425740,-122.502630,
1191.300000,4790.418000,41.425860,-122.502690,
1192.200000,4801.619000,41.425950,-122.502750,
1192.900000,4815.885000,41.426070,-122.502810,
1193.400000,4830.151000,41.426190,-122.502870,
1194.900000,4844.417000,41.426310,-122.502930,
1200.100000,4864.223000,41.426480,-122.503000,
1202.500000,4883.553000,41.426640,-122.503090,
1204.800000,4918.179000,41.426930,-122.503240,
1205.600000,4948.543000,41.427190,-122.503350,
1207.200000,4974.416000,41.427410,-122.503450,
1208.400000,4982.292000,41.427470,-122.503500,
1209.500000,4990.361000,41.427520,-122.503570,
1210.300000,4997.707000,41.427560,-122.503640,
1210.800000,5004.746000,41.427580,-122.503720,
1211.300000,5013.995000,41.427590,-122.503830,
1211.600000,5022.341000,41.427590,-122.503930,
1211.500000,5032.899000,41.427560,-122.504050,
1211.200000,5041.632000,41.427520,-122.504140,
1211.200000,5049.701000,41.427470,-122.504210,
1211.200000,5058.575000,41.427410,-122.504280,
1211.300000,5067.838000,41.427340,-122.504340,
1211.800000,5079.436000,41.427250,-122.504410,
1212.200000,5090.087000,41.427170,-122.504480,
1217.000000,5153.993000,41.426690,-122.504900,
1219.100000,5167.907000,41.426590,-122.505000,
1220.500000,5183.212000,41.426480,-122.505110,
1221.200000,5196.614000,41.426400,-122.505230,
1222.500000,5212.649000,41.426310,-122.505380,
1223.400000,5231.408000,41.426220,-122.505570,
1223.400000,5244.351000,41.426170,-122.505710,
1222.500000,5259.223000,41.426130,-122.505880,
1222.000000,5274.906000,41.426070,-122.506050,
1222.900000,5289.073000,41.425980,-122.506170,
1223.900000,5303.892000,41.425870,-122.506270,
1225.200000,5320.197000,41.425740,-122.506360,
1226.500000,5337.152000,41.425600,-122.506440,
1227.400000,5362.197000,41.425420,-122.506620,
1227.500000,5374.887000,41.425350,-122.506740,
1228.600000,5393.075000,41.425270,-122.506930,
1230.800000,5415.267000,41.425170,-122.507160,
1233.500000,5438.296000,41.425020,-122.507350,
1235.200000,5461.598000,41.424860,-122.507530,
1236.100000,5487.041000,41.424710,-122.507760,
1237.200000,5518.133000,41.424510,-122.508020,
1239.700000,5553.085000,41.424270,-122.508290,
1241.100000,5568.478000,41.424180,-122.508430,
1241.200000,5579.036000,41.424150,-122.508550,
1241.200000,5589.888000,41.424150,-122.508680,
1241.300000,5602.457000,41.424160,-122.508830,
1241.000000,5617.390000,41.424220,-122.508990,
1241.400000,5629.429000,41.424280,-122.509110,
1242.900000,5641.468000,41.424340,-122.509230,
1244.500000,5659.657000,41.424420,-122.509420,
1245.600000,5675.340000,41.424480,-122.509590,
1247.000000,5689.106000,41.424510,-122.509750,
1248.200000,5701.002000,41.424530,-122.509890,
1249.500000,5712.898000,41.424550,-122.510030,
1250.400000,5723.457000,41.424580,-122.510150,
1251.800000,5735.962000,41.424620,-122.510290,
1253.900000,5752.770000,41.424670,-122.510480,
1254.300000,5763.731000,41.424710,-122.510600,
1255.800000,5776.448000,41.424730,-122.510750,
1257.700000,5793.179000,41.424740,-122.510950,
1259.000000,5805.896000,41.424720,-122.511100,
1260.600000,5822.704000,41.424670,-122.511290,
1262.000000,5841.462000,41.424580,-122.511480,
1262.300000,5847.482000,41.424550,-122.511540,
1262.600000,5862.174000,41.424470,-122.511680,
1262.700000,5877.417000,41.424420,-122.511850,
1262.800000,5892.483000,41.424410,-122.512030,
1262.600000,5906.022000,41.424430,-122.512190,
1263.400000,5920.100000,41.424470,-122.512350,
1267.900000,5998.695000,41.424830,-122.513160,
1268.500000,6024.344000,41.424940,-122.513430,
1270.600000,6044.865000,41.424980,-122.513670,
1274.400000,6074.935000,41.424990,-122.514030,
1277.800000,6096.892000,41.424960,-122.514290,
1282.700000,6139.126000,41.424840,-122.514770,
1283.300000,6152.892000,41.424810,-122.514930,
1284.200000,6168.914000,41.424760,-122.515110,
1284.400000,6182.681000,41.424730,-122.515270,
1284.800000,6193.758000,41.424710,-122.515400,
1285.500000,6209.773000,41.424690,-122.515590,
1285.700000,6223.851000,41.424730,-122.515750,
1286.200000,6235.890000,41.424790,-122.515870,
1286.800000,6248.095000,41.424870,-122.515970,
1287.400000,6299.023000,41.425320,-122.516080,
1287.600000,6310.645000,41.425420,-122.516120,
1287.800000,6320.480000,41.425500,-122.516170,
1288.400000,6335.845000,41.425580,-122.516320,
1288.900000,6348.561000,41.425600,-122.516470,
1289.500000,6359.914000,41.425570,-122.516600,
1290.800000,6375.307000,41.425480,-122.516740,
1292.200000,6385.867000,41.425390,-122.516780,
1294.000000,6398.141000,41.425280,-122.516790,
1296.400000,6423.757000,41.425060,-122.516700,
1297.100000,6467.600000,41.424690,-122.516520,
1297.100000,6484.555000,41.424550,-122.516440,
1297.400000,6503.611000,41.424400,-122.516330,
1297.200000,6514.434000,41.424330,-122.516240,
1297.900000,6525.171000,41.424280,-122.516130,
1301.300000,6538.873000,41.424230,-122.515980,
1304.600000,6553.451000,41.424200,-122.515810,
