alt,dst,lat,lon,mdata
1005.000000,0.000000,41.234310,-122.645790,E:\Dropbox\website\dev2\climbing\climbs\Parks-Creek-Summit-W.-Mt.-Shasta.tcx
1005.800000,20.073000,41.234420,-122.645600,
1006.300000,28.155000,41.234470,-122.645530,
1006.900000,37.905000,41.234540,-122.645460,
1007.300000,43.017000,41.234580,-122.645430,
1009.600000,63.332000,41.234760,-122.645390,
1011.400000,115.219000,41.235220,-122.645290,
1011.100000,141.684000,41.235450,-122.645210,
1011.000000,165.594000,41.235660,-122.645150,
1009.500000,204.357000,41.236000,-122.645050,
1008.800000,217.949000,41.236120,-122.645020,
1007.800000,229.574000,41.236220,-122.644980,
1007.400000,237.761000,41.236290,-122.644950,
1006.900000,241.939000,41.236320,-122.644920,
1005.400000,258.321000,41.236430,-122.644790,
1004.700000,270.544000,41.236510,-122.644690,
1004.200000,284.472000,41.236610,-122.644590,
1004.100000,291.943000,41.236670,-122.644550,
1004.200000,297.756000,41.236720,-122.644530,
1004.300000,304.641000,41.236780,-122.644510,
1004.400000,310.454000,41.236830,-122.644490,
1004.800000,319.399000,41.236910,-122.644480,
1005.000000,327.236000,41.236980,-122.644470,
1005.400000,338.399000,41.237080,-122.644480,
1006.500000,381.846000,41.237470,-122.644500,
1006.800000,462.274000,41.238190,-122.644580,
1006.200000,519.201000,41.238700,-122.644630,
1005.900000,567.134000,41.239130,-122.644660,
1006.100000,618.402000,41.239590,-122.644690,
1006.900000,672.955000,41.240080,-122.644700,
1008.100000,716.402000,41.240470,-122.644680,
1008.500000,751.163000,41.240780,-122.644630,
1011.000000,799.757000,41.241210,-122.644530,
1014.200000,831.472000,41.241490,-122.644460,
1016.100000,884.596000,41.241960,-122.644350,
1016.600000,908.506000,41.242170,-122.644290,
1017.200000,931.329000,41.242370,-122.644230,
1017.600000,957.493000,41.242590,-122.644120,
1017.900000,975.812000,41.242740,-122.644030,
1018.400000,997.236000,41.242910,-122.643910,
1018.900000,1016.304000,41.243060,-122.643800,
1020.800000,1060.822000,41.243400,-122.643520,
1023.000000,1096.515000,41.243670,-122.643290,
1025.000000,1125.763000,41.243880,-122.643080,
1026.200000,1152.736000,41.244070,-122.642880,
1026.100000,1187.059000,41.244320,-122.642640,
1028.800000,1222.307000,41.244590,-122.642420,
1030.700000,1259.472000,41.244880,-122.642200,
1033.100000,1292.102000,41.245140,-122.642020,
1035.100000,1324.675000,41.245410,-122.641870,
1035.700000,1358.484000,41.245700,-122.641750,
1036.100000,1395.495000,41.246020,-122.641630,
1035.800000,1433.931000,41.246360,-122.641550,
1036.600000,1441.723000,41.246430,-122.641550,
1038.500000,1453.997000,41.246540,-122.641560,
1039.100000,1461.967000,41.246610,-122.641580,
1039.100000,1469.102000,41.246670,-122.641610,
1038.700000,1477.987000,41.246730,-122.641680,
1038.100000,1488.054000,41.246790,-122.641770,
1038.300000,1498.281000,41.246830,-122.641880,
1039.400000,1512.897000,41.246860,-122.642050,
1040.800000,1544.316000,41.246940,-122.642410,
1041.500000,1558.050000,41.246990,-122.642560,
1041.500000,1564.761000,41.247030,-122.642620,
1041.300000,1577.341000,41.247130,-122.642690,
1041.500000,1588.548000,41.247220,-122.642750,
1041.200000,1612.458000,41.247430,-122.642810,
1041.100000,1638.401000,41.247660,-122.642860,
1041.700000,1669.582000,41.247940,-122.642850,
1042.800000,1698.717000,41.248200,-122.642810,
1044.000000,1726.260000,41.248440,-122.642730,
1047.500000,1753.186000,41.248680,-122.642690,
