alt,dst,lat,lon,mdata
149.900000,0.000000,37.681820,-121.768070,E:\Dropbox\website\dev2\climbing\climbs\Patterson-Pass.tcx
149.800000,18.671832,37.681930,-121.768230,
149.700000,33.888402,37.682020,-121.768360,
149.700000,52.720463,37.682160,-121.768240,
149.700000,63.227303,37.682230,-121.768160,
149.700000,74.584301,37.682310,-121.768080,
149.800000,95.597957,37.682450,-121.767920,
150.000000,149.001343,37.682830,-121.767550,
150.100000,160.118314,37.682900,-121.767460,
150.600000,240.754957,37.683410,-121.766810,
150.700000,249.841703,37.683430,-121.766710,
150.700000,261.198631,37.683510,-121.766630,
150.700000,273.122293,37.683590,-121.766540,
150.800000,298.881105,37.683710,-121.766290,
151.000000,327.479997,37.683840,-121.766010,
151.200000,364.435353,37.683940,-121.765610,
151.600000,452.918207,37.684220,-121.764670,
152.100000,512.312658,37.684410,-121.764040,
153.200000,633.144699,37.684800,-121.762760,
153.200000,732.318367,37.685100,-121.761700,
153.400000,760.995815,37.685200,-121.761400,
153.700000,836.804097,37.685470,-121.760610,
154.300000,883.087782,37.685620,-121.760120,
155.500000,925.293201,37.685770,-121.759680,
156.100000,958.638802,37.685930,-121.759360,
156.100000,993.585670,37.686160,-121.759090,
155.900000,1040.664974,37.686510,-121.758790,
155.900000,1047.252585,37.686560,-121.758750,
155.800000,1062.659104,37.686690,-121.758690,
156.900000,1155.008690,37.687480,-121.758370,
157.400000,1192.216062,37.687770,-121.758160,
157.800000,1220.903081,37.687960,-121.757940,
158.400000,1261.038563,37.688200,-121.757600,
161.000000,1437.168174,37.689070,-121.755930,
163.300000,1592.586850,37.689830,-121.754450,
164.000000,1684.882950,37.690280,-121.753570,
164.600000,1784.171671,37.690760,-121.752620,
164.600000,1798.977195,37.690820,-121.752470,
164.000000,1906.466658,37.691350,-121.751450,
164.500000,1961.043718,37.691660,-121.750970,
164.100000,2042.811301,37.692160,-121.750290,
163.200000,2124.478389,37.692650,-121.749600,
163.100000,2147.964701,37.692780,-121.749390,
163.000000,2172.832923,37.692920,-121.749170,
162.200000,2425.752841,37.694380,-121.746970,
162.200000,2465.543880,37.694120,-121.746660,
161.900000,2496.131963,37.693890,-121.746470,
161.500000,2559.130194,37.693380,-121.746160,
161.700000,2652.413239,37.692650,-121.745640,
163.700000,2781.775119,37.691620,-121.744960,
163.100000,2800.126443,37.691480,-121.744850,
162.800000,2810.061579,37.691400,-121.744800,
162.800000,2830.935514,37.691230,-121.744700,
162.900000,2862.130688,37.690980,-121.744540,
163.000000,2871.546364,37.690910,-121.744480,
163.100000,2881.483294,37.690840,-121.744410,
163.400000,2935.770583,37.690450,-121.744040,
163.600000,2967.289544,37.690240,-121.743800,
163.800000,2996.417919,37.690060,-121.743560,
164.000000,3034.447607,37.689860,-121.743210,
164.100000,3053.203791,37.689770,-121.743030,
164.100000,3060.223953,37.689829,-121.743002,
164.400000,3126.385058,37.689520,-121.742360,
164.500000,3212.937898,37.689130,-121.741510,
164.700000,3309.347040,37.688700,-121.740560,
164.700000,3327.698557,37.688840,-121.740450,
164.500000,3370.083168,37.689170,-121.740210,
164.300000,3449.239768,37.689790,-121.739770,
164.200000,3517.073389,37.690320,-121.739390,
164.000000,3569.305241,37.690723,-121.739086,
163.700000,3658.720756,37.691400,-121.738540,
163.500000,3713.863500,37.691760,-121.738110,
163.000000,3806.766797,37.692220,-121.737230,
163.000000,3864.421103,37.692460,-121.736650,
162.600000,3949.105243,37.692830,-121.735810,
163.400000,4079.998685,37.693370,-121.734490,
163.900000,4171.413611,37.693750,-121.733570,
164.200000,4195.430027,37.693720,-121.733300,
164.700000,4299.053877,37.694050,-121.732200,
164.800000,4322.946059,37.694150,-121.731960,
167.700000,4798.806213,37.695190,-121.726720,
168.100000,4845.267875,37.695260,-121.726200,
168.800000,4933.358624,37.695270,-121.725200,
168.900000,4951.819678,37.695340,-121.725010,
169.600000,5034.648225,37.695320,-121.724070,
170.000000,5086.327614,37.695250,-121.723490,
