alt,dst,lat,lon,mdata
1414.000000,0.000000,37.419560,-118.583540,E:\Dropbox\website\dev2\climbing\climbs\Pine-Creek-Rd-Bishop.tcx
1414.700000,17.682000,37.419560,-118.583740,
1420.400000,190.970000,37.419570,-118.585700,
1421.400000,213.956000,37.419570,-118.585960,
1423.600000,267.887000,37.419570,-118.586570,
1424.800000,289.105000,37.419570,-118.586810,
1426.500000,315.651000,37.419560,-118.587110,
1427.800000,338.665000,37.419550,-118.587370,
1429.000000,357.265000,37.419540,-118.587580,
1430.100000,375.086000,37.419520,-118.587780,
1431.100000,387.662000,37.419500,-118.587920,
1432.300000,402.856000,37.419480,-118.588090,
1433.700000,421.090000,37.419440,-118.588290,
1434.200000,434.766000,37.419410,-118.588440,
1435.700000,469.522000,37.419330,-118.588820,
1436.900000,504.580000,37.419240,-118.589200,
1444.600000,639.337000,37.418920,-118.590670,
1451.000000,739.340000,37.418680,-118.591760,
1453.500000,789.227000,37.418550,-118.592300,
1456.200000,854.478000,37.418390,-118.593010,
1458.400000,904.906000,37.418270,-118.593560,
1467.400000,1076.127000,37.417870,-118.595430,
1472.400000,1149.640000,37.417690,-118.596230,
1483.700000,1339.684000,37.417230,-118.598300,
1489.800000,1511.500000,37.416810,-118.600170,
1492.400000,1573.897000,37.416660,-118.600850,
1497.500000,1691.581000,37.416370,-118.602130,
1502.800000,1785.327000,37.416140,-118.603150,
1505.400000,1816.382000,37.416070,-118.603490,
1508.700000,1860.256000,37.415970,-118.603970,
1516.100000,1961.115000,37.415730,-118.605070,
1520.600000,2051.465000,37.415500,-118.606050,
1522.000000,2110.158000,37.415360,-118.606690,
1522.900000,2151.473000,37.415260,-118.607140,
1526.700000,2218.733000,37.415090,-118.607870,
1531.600000,2263.464000,37.414990,-118.608360,
1532.600000,2289.960000,37.414930,-118.608650,
1533.100000,2306.486000,37.414890,-118.608830,
1534.500000,2332.511000,37.414850,-118.609120,
1535.600000,2348.580000,37.414830,-118.609300,
1536.700000,2365.526000,37.414810,-118.609490,
1538.100000,2391.263000,37.414790,-118.609780,
1539.300000,2411.630000,37.414780,-118.610010,
1542.300000,2451.432000,37.414770,-118.610460,
1544.800000,2494.756000,37.414770,-118.610950,
1547.300000,2534.543000,37.414770,-118.611400,
1550.400000,2581.417000,37.414760,-118.611930,
1554.300000,2630.942000,37.414750,-118.612490,
1558.300000,2665.424000,37.414750,-118.612880,
1559.700000,2675.214000,37.414740,-118.612990,
1562.200000,2698.202000,37.414740,-118.613250,
1562.900000,2717.653000,37.414740,-118.613470,
1568.200000,2807.865000,37.414720,-118.614490,
1578.400000,2914.872000,37.414700,-118.615700,
1582.200000,3019.208000,37.414690,-118.616880,
1590.900000,3115.588000,37.414680,-118.617970,
1596.300000,3196.961000,37.414660,-118.618890,
1601.500000,3258.009000,37.414640,-118.619580,
1603.400000,3294.328000,37.414620,-118.619990,
1613.500000,3414.620000,37.414590,-118.621350,
1615.700000,3457.958000,37.414580,-118.621840,
