alt,dst,lat,lon,mdata
67.900000,0.000000,38.678040,-122.805170,E:\Dropbox\website\dev2\climbing\climbs\Pine-Flat-Rd-Geyserville.tcx
71.000000,43.763000,38.678330,-122.804830,
71.300000,51.731000,38.678390,-122.804780,
71.700000,59.699000,38.678450,-122.804730,
72.100000,67.667000,38.678510,-122.804680,
72.500000,77.576000,38.678590,-122.804630,
72.700000,90.096000,38.678700,-122.804600,
72.800000,94.633000,38.678740,-122.804590,
72.900000,99.085000,38.678780,-122.804590,
73.200000,105.821000,38.678840,-122.804580,
74.400000,119.207000,38.678960,-122.804590,
75.100000,128.155000,38.679040,-122.804580,
75.000000,137.061000,38.679120,-122.804580,
74.700000,141.513000,38.679160,-122.804580,
74.000000,147.147000,38.679210,-122.804590,
73.600000,154.987000,38.679280,-122.804580,
73.600000,158.438000,38.679310,-122.804570,
73.400000,161.778000,38.679340,-122.804570,
74.000000,168.948000,38.679400,-122.804540,
75.800000,177.421000,38.679460,-122.804480,
78.200000,189.093000,38.679530,-122.804380,
78.600000,226.893000,38.679760,-122.804060,
77.800000,312.523000,38.680240,-122.803290,
77.900000,328.964000,38.680330,-122.803140,
78.200000,343.411000,38.680400,-122.803000,
78.000000,367.596000,38.680510,-122.802760,
78.700000,392.693000,38.680590,-122.802490,
79.100000,409.942000,38.680670,-122.802320,
79.900000,422.960000,38.680740,-122.802200,
80.700000,436.673000,38.680820,-122.802080,
81.000000,448.525000,38.680900,-122.801990,
81.100000,454.174000,38.680940,-122.801950,
80.800000,461.704000,38.681000,-122.801910,
80.600000,471.264000,38.681080,-122.801870,
80.800000,488.329000,38.681220,-122.801790,
80.300000,502.376000,38.681340,-122.801740,
79.300000,519.105000,38.681480,-122.801670,
78.300000,537.388000,38.681620,-122.801560,
76.800000,557.159000,38.681760,-122.801420,
74.600000,571.281000,38.681860,-122.801320,
73.000000,586.534000,38.681960,-122.801200,
72.500000,605.061000,38.682070,-122.801040,
72.900000,622.199000,38.682160,-122.800880,
73.900000,640.048000,38.682250,-122.800710,
78.500000,666.083000,38.682390,-122.800470,
78.800000,695.183000,38.682580,-122.800240,
78.700000,718.888000,38.682740,-122.800060,
81.000000,744.851000,38.682920,-122.799870,
88.300000,772.060000,38.683120,-122.799690,
91.100000,795.039000,38.683290,-122.799540,
90.700000,812.533000,38.683410,-122.799410,
89.800000,829.794000,38.683520,-122.799270,
89.900000,847.644000,38.683610,-122.799100,
90.400000,864.345000,38.683680,-122.798930,
90.900000,888.755000,38.683780,-122.798680,
97.500000,948.755000,38.684060,-122.798090,
97.700000,980.632000,38.684200,-122.797770,
95.700000,993.586000,38.684240,-122.797630,
97.500000,1002.347000,38.684250,-122.797530,
100.300000,1011.107000,38.684260,-122.797430,
100.400000,1014.757000,38.684270,-122.797390,
101.300000,1021.235000,38.684290,-122.797320,
102.300000,1024.884000,38.684300,-122.797280,
103.400000,1030.364000,38.684330,-122.797230,
107.000000,1042.036000,38.684400,-122.797130,
112.000000,1058.696000,38.684510,-122.797000,
111.500000,1068.071000,38.684580,-122.796940,
112.200000,1081.196000,38.684680,-122.796860,
113.600000,1091.515000,38.684760,-122.796800,
114.000000,1096.295000,38.684800,-122.796780,
114.500000,1102.126000,38.684850,-122.796760,
115.100000,1105.891000,38.684880,-122.796740,
115.000000,1109.230000,38.684910,-122.796740,
115.300000,1119.287000,38.685000,-122.796730,
115.800000,1169.380000,38.685450,-122.796730,
115.300000,1180.647000,38.685550,-122.796710,
112.300000,1187.548000,38.685610,-122.796690,
107.700000,1197.717000,38.685700,-122.796670,
106.100000,1206.996000,38.685780,-122.796640,
104.800000,1216.556000,38.685860,-122.796600,
104.500000,1225.931000,38.685930,-122.796540,
104.500000,1232.992000,38.685980,-122.796490,
105.400000,1241.897000,38.686030,-122.796410,
106.200000,1252.182000,38.686090,-122.796320,
107.400000,1262.501000,38.686140,-122.796220,
107.500000,1272.141000,38.686200,-122.796140,
108.000000,1279.767000,38.686250,-122.796080,
108.000000,1286.828000,38.686300,-122.796030,
108.200000,1299.121000,38.686400,-122.795970,
110.500000,1310.415000,38.686490,-122.795910,
112.100000,1319.694000,38.686570,-122.795880,
111.600000,1328.767000,38.686650,-122.795860,
109.600000,1337.673000,38.686730,-122.795860,
108.300000,1349.949000,38.686840,-122.795850,
107.800000,1361.114000,38.686940,-122.795840,
106.600000,1373.390000,38.687050,-122.795830,
105.700000,1385.910000,38.687160,-122.795800,
105.500000,1399.713000,38.687280,-122.795760,
106.500000,1416.442000,38.687420,-122.795690,
113.100000,1440.671000,38.687620,-122.795580,
115.600000,1457.401000,38.687760,-122.795510,
115.200000,1467.309000,38.687840,-122.795460,
114.700000,1475.277000,38.687900,-122.795410,
114.800000,1482.903000,38.687950,-122.795350,
114.700000,1491.808000,38.688000,-122.795270,
115.200000,1511.672000,38.688110,-122.795090,
115.400000,1525.519000,38.688200,-122.794980,
115.600000,1535.159000,38.688260,-122.794900,
114.400000,1544.719000,38.688340,-122.794860,
112.900000,1553.998000,38.688420,-122.794830,
116.200000,1567.608000,38.688540,-122.794800,
125.400000,1587.944000,38.688720,-122.794760,
128.400000,1603.529000,38.688860,-122.794760,
131.200000,1620.227000,38.689010,-122.794760,
133.600000,1645.963000,38.689240,-122.794790,
131.800000,1669.404000,38.689450,-122.794810,
130.000000,1681.649000,38.689560,-122.794810,
128.600000,1689.490000,38.689630,-122.794800,
127.400000,1696.391000,38.689690,-122.794780,
126.600000,1702.537000,38.689740,-122.794750,
126.200000,1708.186000,38.689780,-122.794710,
126.200000,1712.313000,38.689800,-122.794670,
126.100000,1717.195000,38.689820,-122.794620,
125.800000,1722.864000,38.689840,-122.794560,
125.800000,1729.047000,38.689850,-122.794490,
125.800000,1741.263000,38.689860,-122.794350,
126.000000,1770.805000,38.689860,-122.794010,
127.400000,1793.423000,38.689850,-122.793750,
127.800000,1810.943000,38.689870,-122.793550,
128.000000,1828.639000,38.689900,-122.793350,
128.800000,1842.718000,38.689920,-122.793190,
129.900000,1857.316000,38.689960,-122.793030,
131.600000,1869.458000,38.690000,-122.792900,
136.300000,1884.643000,38.690070,-122.792750,
139.200000,1903.139000,38.690170,-122.792580,
139.500000,1913.683000,38.690210,-122.792470,
139.200000,1930.284000,38.690260,-122.792290,
139.100000,1952.708000,38.690310,-122.792040,
140.300000,1964.486000,38.690340,-122.791910,
