alt,dst,lat,lon,mdata
118.600000,0.000000,38.826590,-122.996580,E:\Dropbox\website\dev2\climbing\climbs\Pine-Mountain.tcx
121.500000,19.874000,38.826760,-122.996650,
121.900000,31.534000,38.826860,-122.996610,
123.300000,59.592000,38.827020,-122.996360,
125.300000,73.297000,38.827090,-122.996230,
126.300000,84.326000,38.827160,-122.996140,
128.200000,98.437000,38.827260,-122.996040,
129.900000,114.202000,38.827340,-122.995890,
131.300000,123.788000,38.827390,-122.995800,
132.300000,128.022000,38.827420,-122.995770,
133.800000,134.580000,38.827470,-122.995730,
135.200000,140.146000,38.827520,-122.995730,
136.500000,148.109000,38.827580,-122.995780,
137.300000,159.153000,38.827630,-122.995890,
138.700000,171.275000,38.827670,-122.996020,
140.400000,181.802000,38.827710,-122.996130,
142.300000,195.659000,38.827770,-122.996270,
143.700000,205.964000,38.827820,-122.996370,
145.800000,219.668000,38.827890,-122.996500,
146.400000,226.954000,38.827910,-122.996580,
145.900000,234.838000,38.827900,-122.996670,
145.400000,242.955000,38.827880,-122.996760,
144.600000,253.999000,38.827830,-122.996870,
144.400000,267.704000,38.827760,-122.997000,
145.500000,278.231000,38.827720,-122.997110,
147.200000,289.160000,38.827690,-122.997230,
148.700000,298.764000,38.827680,-122.997340,
150.200000,309.406000,38.827700,-122.997460,
151.700000,324.807000,38.827740,-122.997630,
152.800000,334.393000,38.827790,-122.997720,
154.200000,345.339000,38.827850,-122.997820,
155.600000,355.644000,38.827900,-122.997920,
157.000000,366.171000,38.827940,-122.998030,
158.800000,377.100000,38.827970,-122.998150,
160.000000,384.386000,38.827990,-122.998230,
160.900000,391.315000,38.828020,-122.998300,
161.700000,397.498000,38.828050,-122.998360,
162.700000,404.666000,38.828110,-122.998390,
163.800000,415.268000,38.828200,-122.998350,
164.800000,424.185000,38.828270,-122.998300,
167.100000,436.865000,38.828370,-122.998230,
168.800000,444.848000,38.828440,-122.998210,
170.600000,455.015000,38.828530,-122.998190,
172.800000,463.963000,38.828610,-122.998180,
175.300000,474.880000,38.828700,-122.998230,
176.600000,483.905000,38.828760,-122.998300,
177.200000,491.434000,38.828800,-122.998370,
177.900000,500.328000,38.828850,-122.998450,
179.600000,511.617000,38.828930,-122.998530,
180.500000,521.890000,38.828990,-122.998620,
180.800000,537.648000,38.829040,-122.998790,
181.100000,552.764000,38.829070,-122.998960,
183.300000,570.543000,38.829130,-122.999150,
187.900000,593.580000,38.829200,-122.999400,
191.800000,619.506000,38.829300,-122.999670,
195.100000,636.181000,38.829370,-122.999840,
198.100000,657.235000,38.829450,-123.000060,
200.300000,680.077000,38.829550,-123.000290,
201.600000,705.542000,38.829670,-123.000540,
202.000000,720.780000,38.829770,-123.000660,
202.200000,734.891000,38.829870,-123.000760,
202.100000,748.965000,38.829980,-123.000840,
202.700000,764.646000,38.830120,-123.000860,
204.900000,779.753000,38.830250,-123.000810,
207.400000,797.520000,38.830400,-123.000740,
208.900000,814.390000,38.830530,-123.000640,
209.500000,827.090000,38.830620,-123.000550,
210.900000,837.395000,38.830670,-123.000450,
212.500000,846.348000,38.830690,-123.000350,
215.100000,860.619000,38.830660,-123.000190,
217.100000,885.517000,38.830550,-122.999940,
219.200000,911.845000,38.830480,-122.999650,
220.700000,926.754000,38.830460,-122.999480,
225.900000,971.903000,38.830440,-122.998960,
228.700000,1000.606000,38.830420,-122.998630,
231.000000,1029.417000,38.830390,-122.998300,
231.700000,1049.640000,38.830360,-122.998070,
232.400000,1061.780000,38.830360,-122.997930,
233.000000,1071.384000,38.830370,-122.997820,
233.600000,1077.044000,38.830390,-122.997760,
234.500000,1082.516000,38.830420,-122.997710,
235.100000,1085.941000,38.830440,-122.997680,
236.200000,1091.098000,38.830480,-122.997650,
237.300000,1095.550000,38.830520,-122.997650,
238.800000,1102.451000,38.830580,-122.997670,
239.800000,1110.070000,38.830630,-122.997730,
241.600000,1128.576000,38.830740,-122.997890,
242.400000,1136.195000,38.830790,-122.997950,
247.700000,1177.116000,38.831080,-122.998240,
248.500000,1180.567000,38.831110,-122.998250,
249.200000,1182.793000,38.831130,-122.998250,
251.700000,1190.412000,38.831180,-122.998190,
252.700000,1194.055000,38.831190,-122.998150,
253.800000,1198.532000,38.831200,-122.998100,
254.100000,1202.175000,38.831190,-122.998060,
254.200000,1207.049000,38.831170,-122.998010,
254.200000,1218.093000,38.831120,-122.997900,
253.500000,1229.038000,38.831060,-122.997800,
253.200000,1234.511000,38.831030,-122.997750,
253.300000,1240.171000,38.831010,-122.997690,
253.900000,1249.124000,38.830990,-122.997590,
255.500000,1263.907000,38.830980,-122.997420,
256.400000,1273.511000,38.830990,-122.997310,
257.700000,1288.627000,38.831020,-122.997140,
258.500000,1298.375000,38.831060,-122.997040,
259.600000,1307.269000,38.831110,-122.996960,
260.700000,1314.888000,38.831160,-122.996900,
265.000000,1339.980000,38.831330,-122.996710,
266.300000,1352.911000,38.831370,-122.996570,
