alt,dst,lat,lon,mdata
156.100000,0.000000,37.818577,-122.146678,E:\Dropbox\website\dev2\climbing\climbs\Pinehurst-Road.tcx
156.600000,2.566367,37.818600,-122.146680,
156.700000,14.927770,37.818610,-122.146820,
164.700000,486.954509,37.820570,-122.151580,
163.000000,525.800951,37.820650,-122.152010,
163.200000,609.056371,37.821050,-122.152810,
166.300000,672.545405,37.821410,-122.153370,
167.700000,697.902731,37.821490,-122.153640,
168.900000,748.467895,37.821550,-122.154210,
168.600000,769.323662,37.821620,-122.154430,
168.100000,880.877767,37.822310,-122.155350,
168.700000,911.221078,37.822520,-122.155570,
172.600000,1099.014045,37.823520,-122.157290,
176.000000,1277.662242,37.824660,-122.158720,
179.500000,1302.914018,37.824880,-122.158790,
180.300000,1314.020148,37.824950,-122.158880,
179.600000,1354.120156,37.825070,-122.159310,
171.800000,1406.046190,37.825050,-122.159900,
174.200000,1427.613869,37.825090,-122.160140,
176.900000,1456.172154,37.825220,-122.160420,
177.800000,1498.419050,37.825480,-122.160770,
181.500000,1589.000090,37.825830,-122.161700,
181.700000,1615.226177,37.825980,-122.161930,
181.500000,1689.539781,37.826480,-122.162490,
180.100000,1757.324247,37.826980,-122.162930,
184.800000,1846.407159,37.827450,-122.163750,
184.000000,1970.745490,37.828360,-122.164570,
187.500000,2017.841330,37.828650,-122.164960,
189.000000,2061.108831,37.828980,-122.165220,
189.000000,2151.438485,37.829740,-122.165580,
189.300000,2183.265878,37.829900,-122.165880,
189.200000,2248.317402,37.830450,-122.166130,
193.200000,2340.188457,37.830930,-122.166980,
203.900000,2552.731700,37.832340,-122.168610,
201.500000,2673.664192,37.833060,-122.169640,
201.400000,2801.998181,37.833780,-122.170780,
206.700000,2885.931735,37.834360,-122.171390,
210.300000,3024.381473,37.835250,-122.172490,
214.800000,3136.383081,37.836020,-122.173310,
218.100000,3186.284423,37.836330,-122.173720,
215.000000,3222.943503,37.836390,-122.174130,
220.300000,3418.933866,37.837100,-122.176170,
226.400000,3731.157819,37.838300,-122.179380,
229.700000,3794.807485,37.838620,-122.179980,
232.000000,3886.576449,37.839140,-122.180790,
230.200000,3915.236715,37.839330,-122.181010,
231.900000,3958.568753,37.839670,-122.181250,
234.700000,3990.319198,37.839840,-122.181540,
241.900000,4095.557692,37.840040,-122.182710,
240.900000,4129.843154,37.840040,-122.183100,
241.500000,4164.146263,37.840110,-122.183480,
245.500000,4258.127884,37.840540,-122.184400,
246.800000,4287.618983,37.840740,-122.184620,
248.000000,4297.849564,37.840770,-122.184730,
247.300000,4311.655188,37.840690,-122.184850,
247.000000,4320.943004,37.840610,-122.184820,
246.400000,4406.514556,37.840120,-122.184070,
244.300000,4478.183319,37.839790,-122.183370,
249.800000,4511.750002,37.839520,-122.183200,
248.800000,4546.053775,37.839510,-122.182810,
264.400000,4616.570111,37.839150,-122.182150,
254.100000,4662.769982,37.839090,-122.181630,
260.200000,4719.330524,37.838680,-122.181250,
267.100000,4758.186532,37.838340,-122.181150,
269.200000,4775.119068,37.838210,-122.181050,
269.800000,4791.199424,37.838140,-122.180890,
269.000000,4822.685802,37.838080,-122.180540,
269.100000,4839.955215,37.837990,-122.180380,
270.600000,4866.287746,37.837760,-122.180310,
270.800000,4880.997569,37.837630,-122.180340,
275.200000,4917.011039,37.837380,-122.180600,
278.600000,4971.128390,37.836960,-122.180910,
279.000000,4978.796791,37.836910,-122.180970,
286.900000,5047.926648,37.836700,-122.181710,
284.700000,5072.595446,37.836530,-122.181890,
285.000000,5085.605624,37.836420,-122.181940,
284.800000,5096.546247,37.836330,-122.181890,
284.600000,5105.625541,37.836290,-122.181800,
287.100000,5159.542326,37.836240,-122.181190,
286.900000,5181.101033,37.836140,-122.180980,
287.700000,5205.606954,37.835920,-122.180970,
288.500000,5223.118176,37.835770,-122.181030,
292.300000,5273.997281,37.835370,-122.181310,
295.500000,5297.345594,37.835170,-122.181230,
297.400000,5327.087625,37.834990,-122.180980,
300.400000,5360.529537,37.834690,-122.180960,
300.800000,5372.770591,37.834600,-122.180880,
302.300000,5390.494566,37.834580,-122.180680,
303.600000,5411.305646,37.834680,-122.180480,
310.100000,5508.753183,37.835480,-122.180030,
307.600000,5564.724353,37.835900,-122.179680,
307.000000,5572.714749,37.835910,-122.179590,
307.200000,5579.298561,37.835860,-122.179550,
312.400000,5670.305173,37.835120,-122.179990,
319.500000,5718.330773,37.834710,-122.180160,
318.200000,5739.074849,37.834560,-122.180300,
321.600000,5787.621887,37.834160,-122.180520,
327.200000,5826.780063,37.833900,-122.180820,
327.000000,5849.273436,37.833830,-122.181060,
329.700000,5875.039119,37.833920,-122.181330,
331.800000,5894.938891,37.834090,-122.181400,
328.700000,5939.544477,37.834490,-122.181430,
327.200000,5959.296014,37.834640,-122.181550,
332.300000,5972.530594,37.834650,-122.181700,
342.700000,6035.904781,37.834440,-122.182370,
342.300000,6057.267768,37.834470,-122.182610,
343.500000,6069.508829,37.834560,-122.182690,
347.400000,6135.210481,37.835150,-122.182710,
344.000000,6146.533035,37.835240,-122.182770,
344.200000,6154.752835,37.835260,-122.182860,
352.500000,6186.693071,37.835140,-122.183190,
355.200000,6201.680407,37.835150,-122.183360,
358.800000,6216.879148,37.835240,-122.183490,
359.500000,6255.509558,37.835560,-122.183660,
365.800000,6278.867317,37.835650,-122.183900,
370.300000,6331.303586,37.835940,-122.184370,
375.600000,6356.823610,37.835950,-122.184660,
