alt,dst,lat,lon,mdata
995.200000,0.000000,35.795050,-118.703750,E:\Dropbox\website\dev2\climbing\climbs\Portuguese-Pass-Wofford-Hts.tcx
995.900000,7.844000,35.795120,-118.703760,
997.100000,27.813000,35.795280,-118.703660,
998.000000,42.030000,35.795390,-118.703580,
998.600000,51.521000,35.795460,-118.703520,
998.800000,59.288000,35.795510,-118.703460,
999.200000,71.970000,35.795590,-118.703360,
999.400000,80.455000,35.795630,-118.703280,
999.900000,91.841000,35.795680,-118.703170,
1000.400000,97.698000,35.795700,-118.703110,
1000.700000,105.900000,35.795710,-118.703020,
1004.800000,153.180000,35.795760,-118.702500,
1004.800000,169.163000,35.795800,-118.702330,
1003.300000,205.774000,35.795890,-118.701940,
1002.900000,236.572000,35.795960,-118.701610,
1002.800000,276.172000,35.796030,-118.701180,
1005.100000,312.714000,35.796080,-118.700780,
1005.900000,375.928000,35.796070,-118.700080,
1006.700000,402.488000,35.796110,-118.699790,
1007.300000,433.587000,35.796190,-118.699460,
1007.300000,467.478000,35.796300,-118.699110,
1017.700000,566.395000,35.796940,-118.698350,
1020.100000,593.981000,35.797120,-118.698140,
1027.000000,632.838000,35.797420,-118.697920,
1029.200000,665.551000,35.797700,-118.697810,
1029.200000,696.823000,35.797940,-118.697630,
1028.700000,708.792000,35.798000,-118.697520,
1029.600000,717.889000,35.797990,-118.697420,
1030.500000,722.808000,35.797960,-118.697380,
1031.900000,729.974000,35.797910,-118.697330,
1032.700000,744.697000,35.797780,-118.697300,
1032.800000,789.371000,35.797380,-118.697260,
1033.300000,822.105000,35.797090,-118.697200,
1034.400000,862.303000,35.796750,-118.697050,
1034.200000,886.898000,35.796600,-118.696850,
1034.600000,899.588000,35.796590,-118.696710,
1035.900000,914.077000,35.796600,-118.696550,
1043.500000,961.484000,35.796910,-118.696190,
1044.900000,985.750000,35.796990,-118.695940,
1045.600000,1001.139000,35.797000,-118.695770,
1045.600000,1045.307000,35.796890,-118.695300,
1045.700000,1064.204000,35.796840,-118.695100,
1048.600000,1076.844000,35.796840,-118.694960,
1053.400000,1116.864000,35.797080,-118.694630,
1054.600000,1137.257000,35.797240,-118.694520,
1056.900000,1171.448000,35.797490,-118.694300,
1057.100000,1220.171000,35.797690,-118.693820,
1058.800000,1254.110000,35.797820,-118.693480,
1059.500000,1285.887000,35.797850,-118.693130,
1060.600000,1320.195000,35.797730,-118.692780,
1069.900000,1371.536000,35.797650,-118.692220,
1070.200000,1400.441000,35.797540,-118.691930,
1073.800000,1447.856000,35.797350,-118.691460,
1075.300000,1483.919000,35.797180,-118.691120,
1073.500000,1515.587000,35.797020,-118.690830,
1073.700000,1532.801000,35.796950,-118.690660,
1077.600000,1552.696000,35.796960,-118.690440,
1078.500000,1576.124000,35.797040,-118.690200,
1081.500000,1656.837000,35.797520,-118.689530,
1081.300000,1686.304000,35.797680,-118.689270,
1081.200000,1720.843000,35.797850,-118.688950,
1081.000000,1746.900000,35.797980,-118.688710,
1080.800000,1767.248000,35.798100,-118.688540,
1081.200000,1789.623000,35.798260,-118.688390,
1081.000000,1833.833000,35.798580,-118.688100,
1084.200000,1869.989000,35.798840,-118.687860,
1085.800000,1894.178000,35.799030,-118.687730,
1089.500000,1925.982000,35.799310,-118.687660,
1090.700000,2034.022000,35.800280,-118.687620,
1091.200000,2052.037000,35.800440,-118.687590,
1091.400000,2096.206000,35.800830,-118.687500,
1090.800000,2110.789000,35.800960,-118.687480,
1091.400000,2137.521000,35.801200,-118.687490,
1093.200000,2154.316000,35.801350,-118.687510,
1093.900000,2162.108000,35.801420,-118.687510,
1094.300000,2170.107000,35.801490,-118.687490,
1094.500000,2190.363000,35.801660,-118.687410,
1094.700000,2234.945000,35.802010,-118.687170,
1094.600000,2253.925000,35.802150,-118.687050,
1095.500000,2273.139000,35.802280,-118.686910,
1096.300000,2282.258000,35.802330,-118.686830,
1096.700000,2290.215000,35.802360,-118.686750,
1096.900000,2325.090000,35.802450,-118.686380,
1096.900000,2335.157000,35.802490,-118.686280,
1096.900000,2342.305000,35.802520,-118.686210,
1097.100000,2351.424000,35.802570,-118.686130,
1098.600000,2402.695000,35.802880,-118.685710,
1097.900000,2435.736000,35.803050,-118.685410,
1097.300000,2462.547000,35.803180,-118.685160,
1096.300000,2492.463000,35.803310,-118.684870,
1096.100000,2519.141000,35.803470,-118.684650,
1096.600000,2542.832000,35.803650,-118.684510,
1097.100000,2566.198000,35.803840,-118.684400,
1096.200000,2598.425000,35.804090,-118.684220,
1096.000000,2626.896000,35.804300,-118.684040,
1096.200000,2650.166000,35.804470,-118.683890,
1096.100000,2660.199000,35.804540,-118.683820,
1095.200000,2680.609000,35.804690,-118.683690,
1093.800000,2748.759000,35.805290,-118.683540,
1095.900000,2770.059000,35.805470,-118.683460,
1097.700000,2784.275000,35.805580,-118.683380,
1099.100000,2792.336000,35.805640,-118.683330,
1102.000000,2814.153000,35.805750,-118.683130,
1105.200000,2878.483000,35.806020,-118.682500,
1099.800000,2931.736000,35.806230,-118.681970,
1096.400000,2963.697000,35.806310,-118.681630,
1096.100000,2972.793000,35.806320,-118.681530,
1097.000000,2990.006000,35.806250,-118.681360,
1098.600000,3013.011000,35.806210,-118.681110,
1100.300000,3049.735000,35.806270,-118.680710,
1101.100000,3059.361000,35.806300,-118.680610,
1102.600000,3066.373000,35.806340,-118.680550,
1113.400000,3121.868000,35.806630,-118.680050,
1115.600000,3145.804000,35.806750,-118.679830,
1117.400000,3155.981000,35.806770,-118.679720,
1120.200000,3175.967000,35.806750,-118.679500,
1121.200000,3202.113000,35.806690,-118.679220,
1120.500000,3243.542000,35.806560,-118.678790,
1123.100000,3264.573000,35.806530,-118.678560,
1126.100000,3282.981000,35.806590,-118.678370,
1128.200000,3336.575000,35.806790,-118.677830,
1131.100000,3369.164000,35.806940,-118.677520,
1135.100000,3415.274000,35.807120,-118.677060,
1139.300000,3455.119000,35.807230,-118.676640,
1140.300000,3475.473000,35.807270,-118.676420,
1140.800000,3520.831000,35.807310,-118.675920,
1143.200000,3563.551000,35.807220,-118.675460,
1143.200000,3564.454000,35.807220,-118.675450,
1147.500000,3621.930000,35.806990,-118.674880,
1149.100000,3672.838000,35.806750,-118.674400,
1150.300000,3701.589000,35.806590,-118.674150,
1152.500000,3730.831000,35.806390,-118.673940,
1154.300000,3766.663000,35.806140,-118.673690,
1156.100000,3855.525000,35.805520,-118.673070,
1158.000000,3903.910000,35.805250,-118.672650,
1155.400000,3951.017000,35.804960,-118.672270,
1157.100000,3968.217000,35.804840,-118.672150,
1159.200000,3982.433000,35.804730,-118.672070,
1166.000000,4041.770000,35.804200,-118.672000,
1167.700000,4058.686000,35.804050,-118.671970,
1169.500000,4068.670000,35.803970,-118.671920,
1171.900000,4079.295000,35.803900,-118.671840,
1173.900000,4091.008000,35.803860,-118.671720,
1176.600000,4112.931000,35.803830,-118.671480,
1185.800000,4212.511000,35.804150,-118.670450,
1186.600000,4243.435000,35.804310,-118.670170,
1188.400000,4265.895000,35.804430,-118.669970,
1190.000000,4278.623000,35.804490,-118.669850,
