alt,dst,lat,lon,mdata
60.000000,0.000000,37.324840,-121.787000,E:\Dropbox\website\dev2\climbing\climbs\Quimby-Road-San-Jose.tcx
61.100000,43.390000,37.324850,-121.786510,
63.900000,125.723000,37.324860,-121.785580,
66.600000,187.698000,37.324870,-121.784880,
68.600000,234.615000,37.324870,-121.784350,
68.900000,240.911000,37.324880,-121.784280,
70.500000,276.319000,37.324880,-121.783880,
72.300000,306.417000,37.324880,-121.783540,
73.300000,325.040000,37.324890,-121.783330,
74.600000,345.400000,37.324890,-121.783100,
75.800000,362.547000,37.324860,-121.782910,
76.700000,375.826000,37.324860,-121.782760,
80.500000,423.071000,37.324910,-121.782230,
81.700000,435.514000,37.324920,-121.782090,
85.000000,521.560000,37.324970,-121.781120,
91.500000,699.288000,37.325110,-121.779120,
92.600000,733.973000,37.325140,-121.778730,
94.500000,766.015000,37.325170,-121.778370,
95.100000,776.472000,37.325220,-121.778270,
95.400000,782.668000,37.325220,-121.778200,
98.700000,856.444000,37.325280,-121.777370,
99.800000,875.951000,37.325290,-121.777150,
101.400000,903.595000,37.325320,-121.776840,
105.100000,981.779000,37.325380,-121.775960,
109.200000,1097.292000,37.325470,-121.774660,
109.600000,1122.103000,37.325480,-121.774380,
112.700000,1195.235000,37.325560,-121.773560,
118.500000,1287.088000,37.325660,-121.772530,
133.600000,1484.862000,37.325860,-121.770310,
135.700000,1510.916000,37.325900,-121.770020,
137.400000,1530.259000,37.325970,-121.769820,
139.700000,1556.870000,37.326090,-121.769560,
153.600000,1739.729000,37.326950,-121.767800,
154.100000,1755.717000,37.327030,-121.767650,
154.400000,1790.522000,37.327200,-121.767320,
154.900000,1815.617000,37.327320,-121.767080,
155.100000,1824.744000,37.327360,-121.766990,
155.700000,1860.901000,37.327540,-121.766650,
155.700000,1865.083000,37.327560,-121.766610,
155.600000,1869.350000,37.327590,-121.766580,
155.700000,1872.229000,37.327600,-121.766550,
155.700000,1875.695000,37.327620,-121.766520,
155.700000,1878.539000,37.327640,-121.766500,
155.700000,1882.004000,37.327660,-121.766470,
155.700000,1886.872000,37.327690,-121.766430,
155.600000,1891.138000,37.327720,-121.766400,
155.300000,1898.698000,37.327780,-121.766360,
155.000000,1907.659000,37.327850,-121.766310,
154.800000,1916.218000,37.327920,-121.766270,
154.600000,1922.059000,37.327970,-121.766250,
154.500000,1926.599000,37.328010,-121.766240,
154.400000,1933.787000,37.328070,-121.766210,
154.200000,1940.524000,37.328130,-121.766200,
153.800000,1950.698000,37.328220,-121.766180,
152.500000,1975.443000,37.328440,-121.766140,
152.300000,1995.558000,37.328620,-121.766120,
152.400000,2001.194000,37.328670,-121.766110,
152.500000,2010.100000,37.328750,-121.766110,
153.600000,2040.364000,37.329020,-121.766150,
155.300000,2052.641000,37.329130,-121.766160,
155.900000,2060.483000,37.329200,-121.766170,
156.100000,2067.162000,37.329260,-121.766170,
156.300000,2071.702000,37.329300,-121.766160,
156.900000,2094.036000,37.329500,-121.766140,
157.200000,2102.942000,37.329580,-121.766140,
157.500000,2112.960000,37.329670,-121.766140,
157.600000,2122.040000,37.329750,-121.766160,
157.600000,2133.722000,37.329850,-121.766200,
157.700000,2143.305000,37.329930,-121.766240,
157.900000,2154.258000,37.330020,-121.766290,
158.300000,2162.490000,37.330090,-121.766320,
159.500000,2170.723000,37.330160,-121.766350,
160.700000,2177.460000,37.330220,-121.766360,
161.500000,2183.096000,37.330270,-121.766370,
161.600000,2185.322000,37.330290,-121.766370,
161.700000,2186.436000,37.330300,-121.766370,
161.700000,2188.662000,37.330320,-121.766370,
161.800000,2190.888000,37.330340,-121.766370,
161.800000,2193.115000,37.330360,-121.766370,
161.800000,2196.570000,37.330390,-121.766360,
161.800000,2198.965000,37.330410,-121.766350,
161.700000,2202.420000,37.330440,-121.766340,
161.700000,2204.816000,37.330460,-121.766330,
161.600000,2207.212000,37.330480,-121.766320,
161.800000,2209.303000,37.330490,-121.766300,
162.000000,2212.148000,37.330510,-121.766280,
162.100000,2214.992000,37.330530,-121.766260,
162.100000,2217.388000,37.330550,-121.766250,
162.300000,2220.232000,37.330570,-121.766230,
162.900000,2225.777000,37.330600,-121.766180,
163.400000,2232.707000,37.330640,-121.766120,
165.400000,2247.346000,37.330710,-121.765980,
167.400000,2260.931000,37.330760,-121.765840,
169.300000,2279.008000,37.330850,-121.765670,
169.700000,2286.701000,37.330900,-121.765610,
