alt,dst,lat,lon,mdata
155.400000,0.000000,37.327420,-121.766880,E:\Dropbox\website\dev2\climbing\climbs\Quimby-Road.tcx
155.700000,22.259628,37.327530,-121.766670,
155.700000,26.442171,37.327550,-121.766630,
155.700000,30.624713,37.327570,-121.766590,
155.700000,34.090079,37.327590,-121.766560,
155.800000,37.555444,37.327610,-121.766530,
155.800000,40.434886,37.327620,-121.766500,
155.800000,44.701582,37.327650,-121.766470,
155.700000,49.568775,37.327680,-121.766430,
155.700000,54.435967,37.327710,-121.766390,
155.500000,61.995572,37.327770,-121.766350,
155.200000,70.957102,37.327840,-121.766300,
154.900000,79.516135,37.327910,-121.766260,
154.700000,85.356846,37.327960,-121.766240,
154.600000,89.896732,37.328000,-121.766230,
154.500000,97.084409,37.328060,-121.766200,
154.300000,103.821941,37.328120,-121.766190,
153.800000,115.093721,37.328220,-121.766170,
152.600000,139.838496,37.328440,-121.766130,
152.300000,159.953944,37.328620,-121.766110,
152.400000,165.589833,37.328670,-121.766100,
152.500000,174.495341,37.328750,-121.766100,
153.600000,204.759261,37.329020,-121.766140,
155.300000,217.131646,37.329130,-121.766160,
156.100000,224.923966,37.329200,-121.766160,
156.300000,231.603096,37.329260,-121.766160,
156.300000,236.055850,37.329300,-121.766160,
156.800000,250.635183,37.329430,-121.766140,
156.900000,256.201125,37.329480,-121.766140,
157.100000,261.837012,37.329530,-121.766130,
157.300000,266.289766,37.329570,-121.766130,
157.400000,272.968897,37.329630,-121.766130,
157.600000,277.421651,37.329670,-121.766130,
157.600000,281.961533,37.329710,-121.766140,
157.700000,285.416415,37.329740,-121.766150,
157.700000,287.642791,37.329760,-121.766150,
157.800000,291.097673,37.329790,-121.766160,
157.700000,295.889443,37.329830,-121.766180,
157.800000,299.344324,37.329860,-121.766190,
157.800000,301.740208,37.329880,-121.766200,
157.800000,306.531977,37.329920,-121.766220,
157.900000,312.698927,37.329970,-121.766250,
158.100000,321.257918,37.330040,-121.766290,
158.200000,325.797800,37.330080,-121.766300,
159.200000,332.985450,37.330140,-121.766330,
160.100000,338.826145,37.330190,-121.766350,
160.700000,342.281026,37.330220,-121.766360,
160.900000,344.676908,37.330240,-121.766370,
161.300000,346.903285,37.330260,-121.766370,
161.500000,348.016474,37.330270,-121.766370,
161.600000,350.242851,37.330290,-121.766370,
161.700000,351.356039,37.330300,-121.766370,
161.700000,354.695605,37.330330,-121.766370,
161.900000,357.091487,37.330350,-121.766360,
162.000000,359.317864,37.330370,-121.766360,
161.900000,362.772744,37.330400,-121.766350,
161.900000,365.168626,37.330420,-121.766340,
161.800000,369.960390,37.330460,-121.766320,
161.900000,372.804812,37.330480,-121.766300,
161.900000,375.200694,37.330500,-121.766290,
162.000000,378.045115,37.330520,-121.766270,
162.200000,380.889537,37.330540,-121.766250,
162.400000,385.156168,37.330570,-121.766220,
162.600000,386.578378,37.330580,-121.766210,
162.600000,388.000589,37.330590,-121.766200,
163.100000,392.183010,37.330610,-121.766160,
163.400000,395.648293,37.330630,-121.766130,
163.800000,399.830712,37.330650,-121.766090,
165.100000,408.957039,37.330690,-121.766000,
168.100000,427.492420,37.330760,-121.765810,
169.600000,445.570101,37.330850,-121.765640,
170.100000,453.899002,37.330900,-121.765570,
170.600000,462.432249,37.330960,-121.765510,
170.800000,465.276664,37.330980,-121.765490,
