alt,dst,lat,lon,mdata
60.400000,0.000000,38.660290,-123.325150,E:\Dropbox\website\dev2\climbing\climbs\Rancheria-Wall-Stewarts-Point.tcx
60.300000,6.479000,38.660310,-123.325220,
60.100000,14.107000,38.660360,-123.325280,
60.300000,19.756000,38.660400,-123.325320,
60.400000,25.588000,38.660450,-123.325340,
62.300000,31.419000,38.660500,-123.325360,
64.400000,35.871000,38.660540,-123.325360,
68.700000,49.258000,38.660660,-123.325350,
69.200000,57.099000,38.660730,-123.325340,
70.100000,68.230000,38.660830,-123.325340,
71.200000,80.506000,38.660940,-123.325350,
72.400000,90.675000,38.661030,-123.325370,
72.900000,100.731000,38.661120,-123.325380,
73.300000,110.899000,38.661210,-123.325400,
76.800000,126.009000,38.661340,-123.325450,
78.400000,138.303000,38.661440,-123.325510,
79.000000,147.338000,38.661500,-123.325580,
79.500000,158.379000,38.661570,-123.325670,
80.800000,176.194000,38.661670,-123.325830,
81.800000,185.795000,38.661720,-123.325920,
82.200000,195.437000,38.661780,-123.326000,
82.200000,202.498000,38.661830,-123.326050,
82.300000,208.148000,38.661870,-123.326090,
81.900000,220.834000,38.661970,-123.326160,
81.900000,230.211000,38.662040,-123.326220,
81.800000,242.897000,38.662140,-123.326290,
82.400000,255.608000,38.662230,-123.326380,
83.100000,262.670000,38.662280,-123.326430,
84.700000,270.927000,38.662320,-123.326510,
88.500000,281.249000,38.662370,-123.326610,
92.100000,290.850000,38.662420,-123.326700,
94.800000,302.523000,38.662490,-123.326800,
95.300000,311.900000,38.662560,-123.326860,
95.500000,317.549000,38.662600,-123.326900,
95.600000,325.079000,38.662660,-123.326940,
95.800000,331.642000,38.662710,-123.326980,
98.600000,350.002000,38.662840,-123.327110,
103.100000,365.940000,38.662960,-123.327210,
104.900000,379.545000,38.663060,-123.327300,
105.200000,405.900000,38.663270,-123.327440,
105.600000,415.277000,38.663340,-123.327500,
106.200000,422.904000,38.663390,-123.327560,
107.500000,434.578000,38.663460,-123.327660,
111.500000,453.244000,38.663580,-123.327810,
115.200000,469.106000,38.663680,-123.327940,
118.200000,491.725000,38.663810,-123.328140,
120.400000,514.345000,38.663940,-123.328340,
123.600000,542.441000,38.664100,-123.328590,
125.700000,550.688000,38.664150,-123.328660,
126.300000,552.752000,38.664160,-123.328680,
127.100000,555.359000,38.664160,-123.328710,
127.900000,557.967000,38.664160,-123.328740,
129.000000,561.444000,38.664160,-123.328780,
130.200000,565.572000,38.664140,-123.328820,
132.000000,572.430000,38.664100,-123.328880,
133.900000,580.904000,38.664040,-123.328940,
137.000000,596.959000,38.663910,-123.329020,
139.400000,616.778000,38.663750,-123.329120,
140.300000,626.058000,38.663670,-123.329150,
142.200000,638.351000,38.663570,-123.329210,
143.600000,649.649000,38.663490,-123.329290,
144.200000,656.711000,38.663440,-123.329340,
145.900000,674.550000,38.663310,-123.329460,
151.000000,706.059000,38.663060,-123.329630,
158.500000,724.420000,38.662930,-123.329760,
162.800000,742.490000,38.662810,-123.329900,
166.500000,752.811000,38.662760,-123.330000,
167.900000,761.068000,38.662720,-123.330080,
167.700000,766.739000,38.662700,-123.330140,
168.200000,785.930000,38.662590,-123.330310,
167.800000,798.316000,38.662530,-123.330430,
167.400000,803.987000,38.662510,-123.330490,
166.700000,811.288000,38.662490,-123.330570,
166.600000,813.352000,38.662480,-123.330590,
166.300000,818.236000,38.662460,-123.330640,
167.100000,824.798000,38.662410,-123.330680,
168.600000,834.358000,38.662330,-123.330720,
172.500000,844.377000,38.662240,-123.330720,
177.500000,853.451000,38.662160,-123.330740,
178.800000,859.100000,38.662120,-123.330780,
178.600000,861.164000,38.662110,-123.330800,
178.500000,863.229000,38.662100,-123.330820,
177.300000,865.836000,38.662100,-123.330850,
176.200000,868.444000,38.662100,-123.330880,
172.100000,878.875000,38.662100,-123.331000,
169.300000,887.638000,38.662110,-123.331100,
168.100000,893.723000,38.662110,-123.331170,
167.700000,899.055000,38.662100,-123.331230,
168.900000,907.962000,38.662050,-123.331310,
171.400000,916.437000,38.661990,-123.331370,
175.600000,926.346000,38.661910,-123.331420,
177.900000,931.827000,38.661880,-123.331470,
179.500000,938.768000,38.661850,-123.331540,
180.000000,945.247000,38.661830,-123.331610,
180.300000,954.220000,38.661810,-123.331710,
181.000000,961.521000,38.661790,-123.331790,
182.500000,969.655000,38.661770,-123.331880,
184.400000,976.957000,38.661750,-123.331960,
186.200000,985.958000,38.661710,-123.332050,
186.500000,991.439000,38.661680,-123.332100,
187.000000,997.662000,38.661640,-123.332150,
187.200000,1005.908000,38.661590,-123.332220,
187.500000,1014.943000,38.661530,-123.332290,
187.500000,1021.165000,38.661490,-123.332340,
187.400000,1028.023000,38.661450,-123.332400,
187.200000,1032.844000,38.661420,-123.332440,
187.100000,1039.066000,38.661380,-123.332490,
187.400000,1044.226000,38.661340,-123.332520,
187.700000,1047.991000,38.661310,-123.332540,
