alt,dst,lat,lon,mdata
62.800000,0.000000,34.491370,-120.065710,E:\Dropbox\website\dev2\climbing\climbs\Refugio-Rd-Santa-Barbara.tcx
64.100000,24.524000,34.491540,-120.065880,
65.900000,44.035000,34.491690,-120.065990,
66.600000,56.585000,34.491800,-120.066020,
67.600000,75.598000,34.491970,-120.066040,
68.200000,110.217000,34.492280,-120.066010,
69.800000,168.566000,34.492800,-120.065930,
70.700000,204.482000,34.493120,-120.065880,
75.600000,236.972000,34.493410,-120.065840,
76.400000,264.863000,34.493660,-120.065820,
74.400000,301.059000,34.493980,-120.065750,
73.800000,327.791000,34.494220,-120.065760,
73.800000,344.590000,34.494370,-120.065780,
74.000000,364.062000,34.494540,-120.065830,
75.200000,400.750000,34.494830,-120.066020,
75.800000,422.186000,34.494990,-120.066150,
76.500000,444.694000,34.495150,-120.066300,
77.900000,474.754000,34.495370,-120.066490,
76.800000,495.310000,34.495550,-120.066540,
73.800000,520.074000,34.495770,-120.066500,
73.600000,547.919000,34.496020,-120.066510,
74.400000,569.385000,34.496210,-120.066550,
76.500000,598.643000,34.496450,-120.066680,
77.400000,617.035000,34.496610,-120.066730,
77.300000,675.385000,34.497130,-120.066650,
78.800000,712.677000,34.497460,-120.066580,
81.100000,785.122000,34.498080,-120.066340,
81.800000,817.729000,34.498370,-120.066290,
82.700000,851.237000,34.498670,-120.066260,
83.700000,869.048000,34.498830,-120.066260,
86.800000,904.329000,34.499140,-120.066340,
87.100000,927.263000,34.499340,-120.066400,
87.200000,944.845000,34.499490,-120.066460,
87.900000,968.861000,34.499700,-120.066520,
88.800000,1006.322000,34.500030,-120.066600,
90.000000,1034.570000,34.500270,-120.066700,
91.200000,1051.293000,34.500420,-120.066710,
92.100000,1066.878000,34.500560,-120.066710,
92.600000,1080.517000,34.500680,-120.066680,
93.400000,1107.151000,34.500910,-120.066600,
96.000000,1195.651000,34.501660,-120.066280,
96.500000,1243.947000,34.502090,-120.066210,
96.800000,1259.958000,34.502230,-120.066170,
99.600000,1331.338000,34.502780,-120.065770,
100.000000,1350.390000,34.502930,-120.065670,
103.700000,1382.996000,34.503220,-120.065620,
106.400000,1424.225000,34.503590,-120.065600,
107.100000,1465.454000,34.503960,-120.065620,
107.200000,1504.513000,34.504310,-120.065590,
