alt,dst,lat,lon,mdata
187.500000,0.000000,36.488930,-121.810020,E:\Dropbox\website\dev2\climbing\climbs\Robinson-Canyon.tcx
187.800000,5.713372,36.488890,-121.809980,
188.300000,14.870808,36.488830,-121.809910,
189.000000,29.154249,36.488730,-121.809810,
189.600000,47.469142,36.488610,-121.809670,
190.200000,63.067948,36.488490,-121.809580,
190.800000,76.438710,36.488380,-121.809520,
191.200000,83.177536,36.488320,-121.809530,
191.900000,93.354875,36.488230,-121.809550,
192.800000,101.930193,36.488160,-121.809590,
193.600000,109.969819,36.488100,-121.809640,
198.700000,142.953971,36.487890,-121.809900,
201.100000,162.950885,36.487750,-121.810040,
201.700000,193.522321,36.487490,-121.810150,
204.400000,216.424541,36.487290,-121.810210,
204.400000,242.205331,36.487070,-121.810120,
204.900000,247.771273,36.487020,-121.810120,
205.300000,253.408713,36.486970,-121.810110,
207.000000,264.683593,36.486870,-121.810130,
208.400000,271.598422,36.486810,-121.810150,
211.300000,290.794713,36.486650,-121.810230,
211.800000,307.278578,36.486510,-121.810290,
211.800000,316.362199,36.486430,-121.810310,
210.900000,323.940274,36.486370,-121.810270,
211.100000,328.156102,36.486350,-121.810230,
211.500000,333.640281,36.486340,-121.810170,
211.600000,354.595297,36.486450,-121.809980,
210.700000,368.780058,36.486560,-121.809900,
210.300000,379.987338,36.486630,-121.809810,
210.300000,384.985569,36.486650,-121.809760,
210.800000,391.348687,36.486660,-121.809690,
213.800000,403.806608,36.486620,-121.809560,
216.200000,416.264535,36.486580,-121.809430,
217.400000,425.283491,36.486570,-121.809330,
219.300000,432.529504,36.486580,-121.809250,
222.000000,440.215670,36.486620,-121.809180,
223.300000,446.062362,36.486670,-121.809160,
224.300000,451.628304,36.486720,-121.809160,
224.400000,457.474995,36.486770,-121.809180,
223.800000,463.654711,36.486820,-121.809210,
223.400000,471.896640,36.486890,-121.809240,
223.500000,480.802148,36.486970,-121.809240,
223.800000,487.716976,36.487030,-121.809220,
224.300000,493.430402,36.487070,-121.809180,
224.400000,500.048250,36.487120,-121.809140,
224.400000,508.768037,36.487150,-121.809050,
225.100000,521.494193,36.487170,-121.808910,
228.000000,536.749734,36.487160,-121.808740,
232.400000,561.820608,36.487100,-121.808470,
233.700000,582.007669,36.487060,-121.808250,
237.100000,610.405537,36.486940,-121.807970,
245.100000,641.267703,36.486790,-121.807680,
247.700000,663.264948,36.486640,-121.807520,
249.100000,674.432449,36.486580,-121.807420,
247.600000,692.332434,36.486580,-121.807220,
247.000000,699.578447,36.486570,-121.807140,
247.500000,708.647365,36.486520,-121.807060,
248.600000,721.421132,36.486420,-121.806990,
249.100000,727.267825,36.486370,-121.806970,
248.200000,738.475125,36.486300,-121.806880,
248.200000,745.616936,36.486250,-121.806830,
248.800000,757.483837,36.486180,-121.806730,
252.000000,772.837952,36.486090,-121.806600,
255.000000,786.272152,36.486000,-121.806500,
257.500000,803.287632,36.485870,-121.806400,
259.400000,815.823627,36.485760,-121.806370,
260.000000,828.860799,36.485650,-121.806320,
260.300000,839.499923,36.485560,-121.806280,
260.900000,851.507952,36.485480,-121.806190,
261.800000,860.711854,36.485440,-121.806100,
262.300000,867.687865,36.485400,-121.806040,
263.400000,873.401340,36.485360,-121.806000,
265.300000,880.019232,36.485310,-121.805960,
271.000000,901.615118,36.485130,-121.805870,
271.600000,918.177374,36.485000,-121.805780,
271.900000,939.602953,36.484850,-121.805630,
272.400000,954.259955,36.484740,-121.805540,
273.800000,968.543691,36.484640,-121.805440,
275.500000,975.685562,36.484590,-121.805390,
277.600000,982.827435,36.484540,-121.805340,
279.000000,989.445348,36.484490,-121.805300,
282.000000,1002.816222,36.484380,-121.805240,
282.900000,1009.731066,36.484320,-121.805220,
286.500000,1028.739742,36.484150,-121.805200,
288.100000,1037.823373,36.484070,-121.805180,
289.100000,1058.757394,36.483900,-121.805080,
289.500000,1066.999357,36.483830,-121.805050,
290.900000,1080.370249,36.483720,-121.804990,
294.700000,1107.784842,36.483510,-121.804830,
295.300000,1115.362981,36.483450,-121.804790,
297.100000,1128.733883,36.483340,-121.804730,
296.900000,1138.730689,36.483300,-121.804630,
299.700000,1152.734432,36.483230,-121.804500,
300.300000,1157.934129,36.483190,-121.804470,
300.800000,1167.235630,36.483110,-121.804440,
301.000000,1174.813778,36.483050,-121.804480,
301.200000,1182.714594,36.483020,-121.804560,
301.900000,1190.846511,36.483010,-121.804650,
302.600000,1202.014343,36.483070,-121.804750,
303.800000,1219.534516,36.483180,-121.804890,
304.200000,1237.850010,36.483300,-121.805030,
302.900000,1254.990609,36.483420,-121.805150,
302.200000,1282.081841,36.483530,-121.805420,
309.000000,1306.164777,36.483450,-121.805670,
316.800000,1327.329823,36.483590,-121.805830,
318.600000,1347.001236,36.483760,-121.805890,
318.500000,1352.847948,36.483810,-121.805910,
318.500000,1372.044337,36.483970,-121.805990,
319.200000,1383.212080,36.484030,-121.806090,
320.400000,1397.046631,36.484060,-121.806240,
321.700000,1415.085122,36.484040,-121.806440,
323.000000,1433.913659,36.484030,-121.806650,
326.200000,1455.555745,36.484090,-121.806880,
328.100000,1463.687551,36.484080,-121.806970,
330.400000,1475.554642,36.484010,-121.807070,
332.700000,1492.631957,36.483860,-121.807110,
334.100000,1510.465446,36.483700,-121.807100,
334.000000,1524.553393,36.483580,-121.807150,
333.800000,1540.543964,36.483440,-121.807190,
334.300000,1559.803843,36.483270,-121.807230,
337.700000,1593.498012,36.482970,-121.807180,
343.600000,1613.849065,36.482810,-121.807070,
348.500000,1634.208466,36.482680,-121.806910,
350.900000,1660.880797,36.482510,-121.806700,
355.200000,1705.727178,36.482200,-121.806380,
360.800000,1739.828942,36.481930,-121.806200,
363.300000,1768.726866,36.481740,-121.805980,
363.400000,1785.289293,36.481610,-121.805890,
364.600000,1802.430050,36.481490,-121.805770,
370.600000,1823.229239,36.481410,-121.805560,
373.800000,1852.947496,36.481280,-121.805270,
374.500000,1872.471169,36.481210,-121.805070,
375.100000,1893.897160,36.481060,-121.804920,
376.700000,1919.057176,36.480880,-121.804750,
377.100000,1939.801772,36.480700,-121.804690,
378.200000,1969.844815,36.480440,-121.804600,
383.600000,2001.333743,36.480160,-121.804550,
386.000000,2034.400823,36.479870,-121.804470,
392.600000,2060.872950,36.479670,-121.804310,
398.800000,2077.764935,36.479560,-121.804180,
400.500000,2086.122653,36.479540,-121.804090,
401.400000,2097.091935,36.479520,-121.803970,
401.200000,2111.237262,36.479480,-121.803820,
401.200000,2116.235864,36.479460,-121.803770,
401.200000,2129.976816,36.479360,-121.803680,
401.000000,2149.830948,36.479210,-121.803560,
403.100000,2166.033409,36.479160,-121.803390,
402.000000,2183.554046,36.479050,-121.803250,
401.300000,2195.929285,36.478940,-121.803230,
405.500000,2213.740300,36.478780,-121.803230,
409.700000,2225.433795,36.478680,-121.803190,
412.200000,2238.060230,36.478600,-121.803090,
417.000000,2259.906134,36.478500,-121.802880,
418.800000,2277.878339,36.478360,-121.802780,
423.200000,2293.026036,36.478230,-121.802730,
423.100000,2306.384298,36.478110,-121.802730,
424.900000,2326.736700,36.477960,-121.802600,
426.100000,2337.905005,36.477900,-121.802500,
429.900000,2351.203987,36.477860,-121.802360,
430.000000,2368.919709,36.477740,-121.802230,
440.200000,2402.923918,36.477510,-121.801980,
436.700000,2433.823205,36.477260,-121.801830,
436.600000,2457.153325,36.477070,-121.801720,
437.900000,2471.810772,36.476960,-121.801630,
438.700000,2480.381350,36.476900,-121.801570,
439.900000,2490.846051,36.476840,-121.801480,
442.100000,2501.652313,36.476800,-121.801370,
442.100000,2512.820726,36.476740,-121.801270,
441.600000,2523.989144,36.476680,-121.801170,
440.000000,2536.615742,36.476600,-121.801070,
438.200000,2542.181684,36.476550,-121.801070,
437.500000,2546.723517,36.476510,-121.801080,
