alt,dst,lat,lon,mdata
1423.000000,0.000000,37.463320,-118.593160,E:\Dropbox\website\dev2\climbing\climbs\Rock-Creek-Bishop.tcx
1424.600000,21.224000,37.463510,-118.593180,
1427.300000,75.771000,37.464000,-118.593180,
1434.300000,231.627000,37.465400,-118.593160,
1434.800000,344.059000,37.466410,-118.593160,
1435.200000,348.512000,37.466450,-118.593160,
1437.300000,376.467000,37.466700,-118.593190,
1439.300000,400.110000,37.466910,-118.593230,
1440.300000,419.543000,37.467080,-118.593280,
1440.900000,440.270000,37.467260,-118.593340,
1441.500000,461.827000,37.467440,-118.593430,
1443.000000,499.205000,37.467740,-118.593620,
1444.000000,523.229000,37.467920,-118.593770,
1445.600000,560.528000,37.468190,-118.594020,
1452.100000,771.360000,37.469630,-118.595570,
1478.200000,1293.867000,37.473220,-118.599380,
1480.200000,1334.006000,37.473510,-118.599650,
1481.800000,1371.240000,37.473800,-118.599860,
1484.000000,1459.542000,37.474540,-118.600220,
1483.700000,1490.073000,37.474800,-118.600330,
1482.300000,1514.026000,37.475000,-118.600430,
1493.700000,1675.844000,37.476340,-118.601140,
1498.200000,1723.564000,37.476720,-118.601390,
1504.000000,1804.302000,37.477360,-118.601820,
1504.200000,1850.229000,37.477730,-118.602050,
1503.900000,1883.152000,37.478010,-118.602170,
1503.900000,1924.388000,37.478370,-118.602280,
1510.800000,2064.622000,37.479610,-118.602560,
1512.900000,2093.131000,37.479860,-118.602630,
1513.500000,2105.876000,37.479970,-118.602670,
1514.500000,2121.980000,37.480100,-118.602750,
1513.200000,2137.352000,37.480200,-118.602870,
1512.800000,2145.672000,37.480250,-118.602940,
1511.200000,2163.355000,37.480300,-118.603130,
1510.600000,2170.509000,37.480310,-118.603210,
1508.900000,2183.946000,37.480290,-118.603360,
1508.600000,2196.708000,37.480240,-118.603490,
1510.400000,2206.152000,37.480210,-118.603590,
1511.700000,2211.836000,37.480170,-118.603630,
1513.300000,2218.758000,37.480130,-118.603690,
1515.500000,2231.088000,37.480030,-118.603750,
1515.700000,2244.475000,37.479910,-118.603740,
1514.700000,2295.454000,37.479470,-118.603580,
