alt,dst,lat,lon,mdata
235.400000,0.000000,33.256000,-116.399410,E:\Dropbox\website\dev2\climbing\climbs\S22-Borrengo-Spg-Borrengo-Spg.tcx
236.800000,80.150000,33.255280,-116.399410,
237.300000,117.998000,33.254940,-116.399410,
238.700000,191.468000,33.254280,-116.399410,
239.200000,224.864000,33.253980,-116.399410,
239.500000,239.365000,33.253850,-116.399420,
239.700000,249.427000,33.253760,-116.399430,
239.900000,264.166000,33.253630,-116.399460,
240.300000,278.312000,33.253510,-116.399510,
240.700000,293.513000,33.253380,-116.399560,
241.100000,306.613000,33.253270,-116.399610,
242.000000,332.134000,33.253060,-116.399720,
243.100000,363.671000,33.252820,-116.399900,
243.900000,385.438000,33.252670,-116.400050,
244.300000,394.769000,33.252610,-116.400120,
244.600000,408.445000,33.252520,-116.400220,
245.000000,419.887000,33.252450,-116.400310,
245.500000,432.027000,33.252380,-116.400410,
246.400000,450.622000,33.252280,-116.400570,
247.100000,465.807000,33.252210,-116.400710,
248.300000,488.304000,33.252110,-116.400920,
249.400000,511.089000,33.252040,-116.401150,
252.200000,575.505000,33.251820,-116.401790,
252.900000,597.047000,33.251760,-116.402010,
254.700000,642.617000,33.251620,-116.402470,
257.700000,716.983000,33.251390,-116.403220,
260.800000,790.871000,33.251150,-116.403960,
263.900000,903.390000,33.250770,-116.405080,
264.200000,922.718000,33.250700,-116.405270,
264.700000,942.836000,33.250600,-116.405450,
264.900000,956.407000,33.250520,-116.405560,
265.100000,967.186000,33.250450,-116.405640,
265.300000,975.071000,33.250400,-116.405700,
265.800000,991.034000,33.250290,-116.405810,
266.300000,1013.975000,33.250110,-116.405930,
266.700000,1032.258000,33.249960,-116.406010,
267.000000,1049.593000,33.249810,-116.406060,
267.500000,1072.031000,33.249610,-116.406090,
267.900000,1088.832000,33.249460,-116.406110,
268.200000,1110.065000,33.249270,-116.406090,
268.500000,1130.636000,33.249090,-116.406040,
268.600000,1144.094000,33.248980,-116.405980,
268.600000,1159.965000,33.248850,-116.405910,
268.500000,1179.553000,33.248700,-116.405800,
267.200000,1217.054000,33.248450,-116.405530,
267.300000,1262.431000,33.248150,-116.405200,
272.000000,1311.190000,33.247840,-116.404830,
278.100000,1351.411000,33.247580,-116.404530,
283.600000,1390.184000,33.247330,-116.404240,
288.500000,1426.722000,33.247100,-116.403960,
291.700000,1465.057000,33.246840,-116.403690,
289.700000,1491.178000,33.246660,-116.403510,
292.500000,1526.611000,33.246420,-116.403260,
293.700000,1551.281000,33.246250,-116.403090,
295.200000,1577.402000,33.246070,-116.402910,
296.600000,1602.072000,33.245900,-116.402740,
296.200000,1633.152000,33.245690,-116.402520,
297.700000,1667.391000,33.245450,-116.402290,
298.500000,1695.826000,33.245250,-116.402100,
301.800000,1732.967000,33.244990,-116.401850,
303.100000,1754.734000,33.244840,-116.401700,
304.100000,1773.383000,33.244700,-116.401590,
304.700000,1785.335000,33.244610,-116.401520,
304.700000,1792.982000,33.244550,-116.401480,
304.500000,1800.993000,33.244480,-116.401460,
304.200000,1807.927000,33.244420,-116.401440,
304.200000,1812.380000,33.244380,-116.401440,
303.800000,1821.334000,33.244300,-116.401430,
303.200000,1834.692000,33.244180,-116.401430,
303.000000,1843.790000,33.244100,-116.401450,
303.100000,1857.658000,33.243980,-116.401490,
303.200000,1865.936000,33.243910,-116.401520,
303.200000,1871.192000,33.243870,-116.401550,
303.600000,1881.704000,33.243790,-116.401610,
304.100000,1891.863000,33.243720,-116.401680,
304.600000,1902.021000,33.243650,-116.401750,
305.500000,1924.307000,33.243540,-116.401950,
306.400000,1936.789000,33.243490,-116.402070,
308.000000,1968.140000,33.243380,-116.402380,
311.100000,2002.081000,33.243270,-116.402720,
315.400000,2076.844000,33.243030,-116.403470,
322.100000,2161.897000,33.242750,-116.404320,
321.100000,2222.453000,33.242540,-116.404920,
322.800000,2232.512000,33.242490,-116.405010,
324.600000,2239.656000,33.242450,-116.405070,
326.000000,2246.098000,33.242410,-116.405120,
327.000000,2252.795000,33.242360,-116.405160,
328.500000,2261.872000,33.242290,-116.405210,
330.100000,2270.508000,33.242220,-116.405250,
332.000000,2277.748000,33.242160,-116.405280,
333.700000,2284.491000,33.242100,-116.405290,
335.500000,2292.339000,33.242030,-116.405300,
337.000000,2300.132000,33.241960,-116.405300,
338.300000,2309.086000,33.241880,-116.405290,
339.300000,2317.097000,33.241810,-116.405270,
340.400000,2324.031000,33.241750,-116.405250,
341.600000,2333.108000,33.241680,-116.405200,
342.500000,2342.696000,33.241610,-116.405140,
342.700000,2352.854000,33.241540,-116.405070,
341.900000,2360.747000,33.241500,-116.405000,
341.400000,2368.641000,33.241460,-116.404930,
340.700000,2378.961000,33.241420,-116.404830,
340.400000,2389.442000,33.241400,-116.404720,
351.500000,2425.925000,33.241320,-116.404340,
354.600000,2450.763000,33.241270,-116.404080,
352.300000,2467.205000,33.241230,-116.403910,
350.600000,2475.368000,33.241200,-116.403830,
348.800000,2482.255000,33.241180,-116.403760,
346.100000,2496.079000,33.241120,-116.403630,
346.500000,2507.537000,33.241060,-116.403530,
346.800000,2514.681000,33.241020,-116.403470,
348.200000,2527.742000,33.240930,-116.403380,
350.000000,2543.705000,33.240820,-116.403270,
352.400000,2555.657000,33.240730,-116.403200,
353.400000,2566.705000,33.240640,-116.403150,
349.500000,2579.805000,33.240530,-116.403100,
344.100000,2591.282000,33.240430,-116.403070,
340.700000,2602.759000,33.240330,-116.403040,
341.100000,2614.045000,33.240230,-116.403020,
337.300000,2646.448000,33.239940,-116.402990,
338.600000,2658.694000,33.239830,-116.402990,
342.400000,2672.084000,33.239710,-116.402980,
347.500000,2686.586000,33.239580,-116.402990,
351.200000,2698.971000,33.239470,-116.403010,
352.900000,2706.983000,33.239400,-116.403030,
353.800000,2718.460000,33.239300,-116.403060,
352.400000,2729.149000,33.239210,-116.403100,
349.800000,2740.196000,33.239120,-116.403150,
348.200000,2750.245000,33.239040,-116.403200,
350.000000,2760.758000,33.238960,-116.403260,
352.100000,2768.014000,33.238910,-116.403310,
353.500000,2776.721000,33.238850,-116.403370,
355.800000,2794.581000,33.238750,-116.403520,
359.300000,2806.237000,33.238700,-116.403630,
364.100000,2820.884000,33.238640,-116.403770,
366.800000,2831.656000,33.238610,-116.403880,
369.200000,2844.212000,33.238580,-116.404010,
370.000000,2852.883000,33.238560,-116.404100,
368.800000,2865.037000,33.238550,-116.404230,
362.500000,2893.901000,33.238550,-116.404540,
382.000000,3000.973000,33.238550,-116.405690,
381.900000,3024.250000,33.238550,-116.405940,
379.800000,3036.405000,33.238540,-116.406070,
377.300000,3045.978000,33.238520,-116.406170,
374.300000,3051.707000,33.238490,-116.406220,
371.400000,3056.709000,33.238460,-116.406260,
368.200000,3062.439000,33.238430,-116.406310,
365.200000,3069.136000,33.238380,-116.406350,
363.300000,3075.833000,33.238330,-116.406390,
363.300000,3081.702000,33.238280,-116.406410,
363.700000,3089.714000,33.238210,-116.406430,
363.800000,3096.457000,33.238150,-116.406440,
365.500000,3104.250000,33.238080,-116.406440,
367.700000,3110.993000,33.238020,-116.406430,
371.000000,3121.682000,33.237930,-116.406390,
