alt,dst,lat,lon,mdata
32.200000,0.000000,37.692700,-122.406250,E:\Dropbox\website\dev2\climbing\climbs\San-Bruno.tcx
31.700000,2.839096,37.692680,-122.406270,
33.700000,33.262091,37.692840,-122.406550,
35.300000,43.628414,37.692900,-122.406640,
36.000000,49.891408,37.692940,-122.406690,
36.700000,61.247775,37.693020,-122.406770,
36.900000,63.331731,37.693030,-122.406790,
37.400000,72.421884,37.693090,-122.406860,
37.600000,81.837473,37.693160,-122.406920,
37.700000,93.164754,37.693250,-122.406980,
37.800000,100.716273,37.693310,-122.407020,
38.000000,124.997147,37.693510,-122.407130,
37.700000,284.445786,37.694810,-122.407890,
46.500000,315.252702,37.695060,-122.408040,
56.100000,346.713202,37.695320,-122.408180,
58.300000,355.265055,37.695390,-122.408220,
77.800000,431.590672,37.696010,-122.408590,
77.900000,435.366401,37.696040,-122.408610,
78.600000,447.800184,37.696110,-122.408720,
73.300000,489.333173,37.696440,-122.408940,
73.000000,502.507889,37.696540,-122.409020,
72.200000,520.858865,37.696680,-122.409130,
72.300000,527.956457,37.696730,-122.409180,
72.200000,535.054047,37.696780,-122.409230,
72.200000,545.559955,37.696850,-122.409310,
70.300000,569.999886,37.697010,-122.409500,
68.400000,586.612616,37.697110,-122.409640,
67.000000,604.571805,37.697210,-122.409800,
67.000000,621.242774,37.697290,-122.409960,
69.400000,649.081653,37.697420,-122.410230,
74.300000,672.972985,37.697520,-122.410470,
76.300000,684.918642,37.697570,-122.410590,
78.600000,700.070902,37.697620,-122.410750,
80.900000,720.232218,37.697670,-122.410970,
82.700000,742.092088,37.697720,-122.411210,
85.300000,761.755524,37.697750,-122.411430,
88.000000,775.014451,37.697760,-122.411580,
91.700000,789.988178,37.697760,-122.411750,
95.200000,806.723521,37.697760,-122.411940,
103.200000,849.060867,37.697740,-122.412420,
104.800000,889.639151,37.697720,-122.412880,
104.500000,912.648129,37.697700,-122.413140,
98.500000,965.543504,37.697680,-122.413740,
91.100000,990.206141,37.697680,-122.414020,
85.700000,1007.857446,37.697690,-122.414220,
83.300000,1028.389448,37.697720,-122.414450,
85.900000,1039.893934,37.697730,-122.414580,
88.400000,1050.695562,37.697750,-122.414700,
91.200000,1066.317325,37.697790,-122.414870,
94.000000,1079.944959,37.697820,-122.415020,
96.300000,1100.441487,37.697880,-122.415240,
108.800000,1157.045814,37.698040,-122.415850,
116.000000,1228.326016,37.698260,-122.416610,
109.500000,1317.236313,37.698530,-122.417560,
122.300000,1440.214206,37.698890,-122.418880,
124.500000,1451.982057,37.698950,-122.418990,
125.600000,1458.993956,37.698980,-122.419060,
128.600000,1487.320367,37.699090,-122.419350,
129.000000,1495.118027,37.699120,-122.419430,
129.500000,1507.403629,37.699160,-122.419560,
129.900000,1523.378097,37.699210,-122.419730,
130.400000,1537.861026,37.699240,-122.419890,
130.700000,1547.802225,37.699260,-122.420000,
131.100000,1561.060883,37.699270,-122.420150,
130.900000,1568.194589,37.699280,-122.420230,
130.400000,1577.002484,37.699280,-122.420330,
130.000000,1585.007369,37.699270,-122.420420,
129.000000,1598.266027,37.699260,-122.420570,
128.000000,1606.270915,37.699250,-122.420660,
127.000000,1618.801349,37.699230,-122.420800,
125.900000,1644.665243,37.699160,-122.421080,
126.200000,1659.469441,37.699100,-122.421230,
127.200000,1668.889213,37.699070,-122.421330,
128.300000,1685.559896,37.698990,-122.421490,
128.300000,1698.691346,37.698920,-122.421610,
128.100000,1711.124842,37.698850,-122.421720,
127.800000,1724.284624,37.698770,-122.421830,
127.500000,1731.382141,37.698720,-122.421880,
127.100000,1739.382506,37.698660,-122.421930,
127.200000,1749.319036,37.698590,-122.422000,
127.500000,1759.253984,37.698510,-122.422050,
130.000000,1778.559169,37.698360,-122.422160,
133.900000,1792.268893,37.698250,-122.422230,
143.800000,1973.122437,37.696840,-122.423250,
141.300000,1986.788529,37.696740,-122.423340,
140.400000,2003.822752,37.696620,-122.423460,
142.500000,2020.587595,37.696510,-122.423590,
148.700000,2040.005642,37.696390,-122.423750,
154.500000,2048.985296,37.696340,-122.423830,
158.800000,2057.320855,37.696300,-122.423910,
