alt,dst,lat,lon,mdata
998.900000,0.000000,41.310340,-122.769210,E:\Dropbox\website\dev2\climbing\climbs\Scott-Mt.-Summit-N.-(Rt-3)-Callahan.tcx
998.600000,16.047000,41.310390,-122.769030,
999.800000,38.356000,41.310460,-122.768780,
1000.600000,56.777000,41.310510,-122.768570,
998.900000,110.803000,41.310670,-122.767960,
999.600000,138.211000,41.310750,-122.767650,
997.700000,187.709000,41.310870,-122.767080,
996.600000,217.727000,41.310930,-122.766730,
997.500000,246.696000,41.310980,-122.766390,
999.400000,281.623000,41.311040,-122.765980,
1000.300000,305.455000,41.311080,-122.765700,
1000.300000,319.244000,41.311110,-122.765540,
996.300000,373.688000,41.311200,-122.764900,
997.300000,393.709000,41.311250,-122.764670,
996.200000,406.447000,41.311270,-122.764520,
994.100000,433.514000,41.311340,-122.764210,
988.500000,457.934000,41.311140,-122.764090,
988.300000,460.312000,41.311120,-122.764080,
988.800000,474.897000,41.311000,-122.764010,
989.200000,483.778000,41.310940,-122.763940,
989.700000,493.045000,41.310870,-122.763880,
990.300000,505.750000,41.310800,-122.763760,
990.800000,521.802000,41.310710,-122.763610,
990.700000,535.855000,41.310630,-122.763480,
991.300000,551.413000,41.310530,-122.763350,
993.100000,598.998000,41.310250,-122.762920,
993.400000,617.134000,41.310140,-122.762760,
994.100000,637.420000,41.310010,-122.762590,
994.600000,649.474000,41.309940,-122.762480,
994.900000,655.501000,41.309910,-122.762420,
995.500000,673.825000,41.309790,-122.762270,
995.900000,714.986000,41.309530,-122.761920,
996.000000,740.591000,41.309370,-122.761700,
996.000000,770.923000,41.309180,-122.761440,
996.500000,795.154000,41.309030,-122.761230,
997.500000,816.034000,41.308900,-122.761050,
999.000000,842.487000,41.308710,-122.760860,
999.900000,858.318000,41.308600,-122.760740,
1000.100000,862.495000,41.308570,-122.760710,
1001.000000,879.642000,41.308440,-122.760600,
1001.500000,893.595000,41.308330,-122.760520,
1003.000000,926.218000,41.308070,-122.760340,
1003.600000,954.371000,41.307840,-122.760200,
1006.000000,1023.638000,41.307260,-122.759900,
1007.900000,1098.337000,41.306660,-122.759500,
1008.500000,1135.493000,41.306370,-122.759280,
1008.800000,1165.756000,41.306130,-122.759110,
1009.000000,1170.513000,41.306090,-122.759090,
1009.300000,1175.043000,41.306050,-122.759080,
1009.700000,1180.672000,41.306000,-122.759070,
1010.200000,1186.238000,41.305950,-122.759070,
1010.600000,1190.690000,41.305910,-122.759070,
1011.300000,1196.319000,41.305860,-122.759080,
1012.400000,1205.571000,41.305780,-122.759110,
1013.000000,1209.748000,41.305750,-122.759140,
1013.600000,1213.766000,41.305730,-122.759180,
1014.300000,1218.503000,41.305710,-122.759230,
1014.800000,1222.684000,41.305710,-122.759280,
1015.100000,1227.011000,41.305720,-122.759330,
1015.100000,1231.737000,41.305750,-122.759370,
1015.200000,1238.446000,41.305790,-122.759430,
1015.600000,1247.919000,41.305830,-122.759530,
1016.300000,1257.705000,41.305860,-122.759640,
1017.500000,1268.633000,41.305870,-122.759770,
1018.500000,1277.069000,41.305880,-122.759870,
1019.300000,1284.677000,41.305890,-122.759960,
1019.900000,1291.728000,41.305910,-122.760040,
1020.100000,1299.764000,41.305950,-122.760120,
1020.600000,1307.997000,41.305980,-122.760210,
1020.900000,1316.742000,41.306020,-122.760300,
1021.100000,1323.481000,41.306050,-122.760370,
1021.700000,1329.440000,41.306060,-122.760440,
1022.700000,1338.705000,41.306070,-122.760550,
1024.500000,1352.921000,41.306070,-122.760720,
1025.900000,1381.277000,41.305870,-122.760510,
1026.500000,1402.674000,41.305720,-122.760350,
1029.200000,1470.173000,41.305250,-122.759840,
1034.400000,1544.302000,41.304740,-122.759270,
1036.200000,1569.012000,41.304570,-122.759080,
1038.300000,1594.024000,41.304410,-122.758870,
1040.200000,1619.631000,41.304250,-122.758650,
1043.900000,1650.449000,41.304070,-122.758370,
1046.600000,1680.538000,41.303910,-122.758080,
1048.700000,1709.365000,41.303770,-122.757790,
1051.200000,1741.620000,41.303620,-122.757460,
1064.200000,1879.867000,41.303010,-122.756020,
1069.500000,2016.494000,41.302390,-122.754610,
1083.900000,2148.733000,41.301810,-122.753230,
1090.500000,2280.793000,41.301220,-122.751860,
1097.300000,2340.724000,41.300950,-122.751240,
1103.000000,2455.560000,41.300410,-122.750070,
1116.300000,2584.731000,41.299820,-122.748740,
1115.900000,2605.681000,41.299730,-122.748520,
1116.500000,2625.662000,41.299660,-122.748300,
1120.500000,2646.023000,41.299600,-122.748070,
1123.400000,2674.228000,41.299520,-122.747750,
1124.000000,2704.251000,41.299460,-122.747400,
1126.000000,2734.274000,41.299400,-122.747050,
1131.100000,2807.638000,41.299270,-122.746190,
1136.200000,2827.662000,41.299220,-122.745960,
1136.900000,2846.085000,41.299170,-122.745750,
1136.600000,2862.554000,41.299110,-122.745570,
1137.300000,2880.252000,41.299040,-122.745380,
1137.300000,2899.749000,41.298950,-122.745180,
