alt,dst,lat,lon,mdata
982.500000,0.000000,41.226470,-122.647570,E:\Dropbox\website\dev2\climbing\climbs\Scott-Mt.-Summit-S.-(Rt-3)-Callahan.tcx
985.000000,44.535000,41.226870,-122.647560,
985.800000,73.527000,41.227130,-122.647540,
986.000000,81.319000,41.227200,-122.647540,
985.900000,96.993000,41.227340,-122.647520,
985.800000,114.883000,41.227500,-122.647500,
986.000000,132.772000,41.227660,-122.647480,
986.200000,149.658000,41.227810,-122.647450,
986.300000,161.070000,41.227910,-122.647420,
987.200000,190.600000,41.228170,-122.647350,
987.600000,205.665000,41.228300,-122.647300,
987.900000,219.664000,41.228420,-122.647250,
988.200000,233.662000,41.228540,-122.647200,
988.400000,247.934000,41.228660,-122.647140,
988.400000,277.109000,41.228900,-122.647000,
988.400000,305.957000,41.229140,-122.646870,
989.200000,315.797000,41.229220,-122.646820,
990.800000,328.010000,41.229320,-122.646760,
991.500000,336.491000,41.229390,-122.646720,
991.900000,345.337000,41.229460,-122.646670,
992.300000,361.283000,41.229590,-122.646590,
992.700000,372.490000,41.229680,-122.646530,
994.100000,399.290000,41.229900,-122.646400,
997.000000,444.409000,41.230270,-122.646180,
998.700000,473.257000,41.230510,-122.646050,
998.500000,488.870000,41.230640,-122.645980,
998.400000,502.105000,41.230750,-122.645920,
998.600000,511.358000,41.230830,-122.645890,
998.700000,519.545000,41.230900,-122.645860,
998.700000,534.610000,41.231030,-122.645810,
998.800000,547.110000,41.231140,-122.645780,
998.800000,556.171000,41.231220,-122.645760,
998.600000,569.764000,41.231340,-122.645730,
998.500000,582.123000,41.231450,-122.645710,
998.500000,594.482000,41.231560,-122.645690,
998.700000,607.866000,41.231680,-122.645680,
998.800000,644.754000,41.232010,-122.645640,
995.800000,708.404000,41.232580,-122.645580,
991.500000,738.565000,41.232850,-122.645550,
992.100000,751.949000,41.232970,-122.645540,
995.200000,794.325000,41.233350,-122.645510,
996.400000,805.488000,41.233450,-122.645500,
997.300000,812.220000,41.233510,-122.645510,
998.300000,821.125000,41.233590,-122.645510,
998.900000,825.656000,41.233630,-122.645520,
999.400000,830.109000,41.233670,-122.645520,
1000.100000,836.994000,41.233730,-122.645540,
1000.900000,846.056000,41.233810,-122.645560,
1001.600000,854.026000,41.233880,-122.645580,
1002.000000,860.132000,41.233930,-122.645610,
1002.600000,868.320000,41.234000,-122.645640,
1002.900000,875.455000,41.234060,-122.645670,
1003.300000,884.301000,41.234130,-122.645720,
1003.600000,889.872000,41.234170,-122.645760,
1004.900000,904.249000,41.234280,-122.645850,
1006.300000,916.785000,41.234370,-122.645940,
1007.000000,924.282000,41.234420,-122.646000,
1008.000000,933.167000,41.234480,-122.646070,
1009.100000,945.978000,41.234560,-122.646180,
1009.400000,951.332000,41.234590,-122.646230,
1009.800000,960.040000,41.234640,-122.646310,
1010.100000,966.072000,41.234670,-122.646370,
1010.200000,972.817000,41.234700,-122.646440,
1010.600000,985.791000,41.234750,-122.646580,
1010.900000,994.033000,41.234780,-122.646670,
1011.300000,1003.045000,41.234810,-122.646770,
1011.700000,1012.058000,41.234840,-122.646870,
1011.800000,1018.023000,41.234850,-122.646940,
1012.000000,1026.685000,41.234870,-122.647040,
1012.200000,1031.017000,41.234880,-122.647090,
1012.300000,1038.633000,41.234890,-122.647180,
1012.300000,1045.330000,41.234890,-122.647260,
1012.400000,1052.119000,41.234900,-122.647340,
1012.300000,1059.653000,41.234900,-122.647430,
1012.200000,1068.928000,41.234890,-122.647540,
1012.200000,1082.322000,41.234890,-122.647700,
1011.800000,1108.487000,41.234860,-122.648010,
1011.600000,1126.102000,41.234850,-122.648220,
1011.300000,1149.648000,41.234830,-122.648500,
1011.100000,1163.922000,41.234820,-122.648670,
1011.000000,1171.457000,41.234820,-122.648760,
1010.800000,1178.154000,41.234820,-122.648840,
1010.700000,1189.093000,41.234830,-122.648970,
1010.700000,1195.058000,41.234840,-122.649040,
1010.600000,1201.023000,41.234850,-122.649110,
1010.600000,1206.167000,41.234860,-122.649170,
1010.600000,1210.499000,41.234870,-122.649220,
1010.700000,1216.767000,41.234890,-122.649290,
1010.900000,1221.508000,41.234910,-122.649340,
1011.200000,1228.566000,41.234930,-122.649420,
1011.600000,1233.920000,41.234960,-122.649470,
1011.900000,1239.414000,41.234980,-122.649530,
1012.000000,1241.425000,41.234990,-122.649550,
1012.600000,1249.467000,41.235030,-122.649630,
1012.900000,1260.176000,41.235090,-122.649730,
1013.200000,1266.921000,41.235120,-122.649800,
1013.600000,1272.953000,41.235150,-122.649860,
1013.800000,1278.308000,41.235180,-122.649910,
1015.000000,1283.048000,41.235200,-122.649960,
1018.800000,1296.784000,41.235250,-122.650110,
1021.400000,1315.251000,41.235320,-122.650310,
1021.900000,1321.519000,41.235340,-122.650380,
1023.100000,1333.278000,41.235380,-122.650510,
1024.400000,1345.815000,41.235420,-122.650650,
1024.900000,1362.067000,41.235450,-122.650840,
1025.200000,1375.871000,41.235480,-122.651000,
1024.300000,1389.311000,41.235490,-122.651160,
