alt,dst,lat,lon,mdata
1162.600000,0.000000,35.967430,-118.485250,E:\Dropbox\website\dev2\climbing\climbs\Sherman-Pass-West-Kernville.tcx
1167.100000,14.740000,35.967340,-118.485130,
1172.400000,32.457000,35.967260,-118.484960,
1170.000000,53.373000,35.967200,-118.484740,
1168.800000,76.798000,35.967200,-118.484480,
1166.800000,102.415000,35.967240,-118.484200,
1167.500000,121.478000,35.967330,-118.484020,
1169.800000,149.662000,35.967510,-118.483800,
1171.100000,170.290000,35.967650,-118.483650,
1170.900000,193.567000,35.967800,-118.483470,
1167.500000,210.512000,35.967880,-118.483310,
1171.600000,241.820000,35.968110,-118.483110,
1176.100000,278.562000,35.968420,-118.482970,
1179.500000,300.916000,35.968600,-118.482860,
1181.300000,318.425000,35.968700,-118.482710,
1183.200000,346.177000,35.968820,-118.482440,
1183.700000,373.929000,35.968940,-118.482170,
1183.100000,396.483000,35.969020,-118.481940,
1185.300000,422.579000,35.969080,-118.481660,
1188.900000,440.579000,35.969130,-118.481470,
1192.000000,463.070000,35.969270,-118.481290,
1195.900000,489.166000,35.969330,-118.481010,
1199.400000,499.624000,35.969300,-118.480900,
1201.500000,533.239000,35.969110,-118.480610,
1197.200000,557.584000,35.968940,-118.480440,
1195.900000,575.797000,35.968840,-118.480280,
1194.700000,591.685000,35.968780,-118.480120,
1200.300000,612.879000,35.968740,-118.479890,
1205.900000,635.430000,35.968730,-118.479640,
1206.700000,655.531000,35.968700,-118.479420,
1205.900000,676.711000,35.968600,-118.479220,
1206.900000,706.321000,35.968410,-118.478990,
1206.800000,726.747000,35.968280,-118.478830,
1206.800000,755.288000,35.968050,-118.478690,
1210.100000,774.783000,35.967910,-118.478560,
1213.200000,791.728000,35.967800,-118.478430,
1214.100000,806.001000,35.967740,-118.478290,
1214.300000,820.798000,35.967710,-118.478130,
1214.500000,838.954000,35.967730,-118.477930,
1215.500000,874.470000,35.967860,-118.477570,
1215.100000,902.044000,35.967960,-118.477290,
1213.100000,919.732000,35.968000,-118.477100,
1212.200000,937.311000,35.968110,-118.476960,
1211.900000,956.764000,35.968280,-118.476910,
1216.100000,980.758000,35.968490,-118.476970,
1222.100000,1004.752000,35.968700,-118.477030,
1224.100000,1019.908000,35.968830,-118.476980,
1225.800000,1043.019000,35.968960,-118.476780,
1226.400000,1077.118000,35.969110,-118.476450,
1226.800000,1103.305000,35.969230,-118.476200,
1230.200000,1127.129000,35.969370,-118.476000,
1231.900000,1140.455000,35.969440,-118.475880,
1233.300000,1164.532000,35.969490,-118.475620,
1237.200000,1189.098000,35.969640,-118.475420,
1238.400000,1210.949000,35.969780,-118.475250,
1238.900000,1229.863000,35.969890,-118.475090,
1237.100000,1258.717000,35.970000,-118.474800,
1236.200000,1276.930000,35.970100,-118.474640,
1235.200000,1306.302000,35.970320,-118.474460,
1238.800000,1344.685000,35.970620,-118.474250,
1249.400000,1376.894000,35.970870,-118.474070,
1248.900000,1396.190000,35.970950,-118.473880,
1248.900000,1414.426000,35.971060,-118.473730,
1249.500000,1437.917000,35.971220,-118.473560,
1253.100000,1466.651000,35.971390,-118.473320,
1253.300000,1493.617000,35.971450,-118.473030,
1251.000000,1512.536000,35.971450,-118.472820,
1250.000000,1528.486000,35.971490,-118.472650,
1253.500000,1550.901000,35.971620,-118.472460,
1259.000000,1585.479000,35.971880,-118.472250,
1260.000000,1610.229000,35.972080,-118.472130,
1262.800000,1629.798000,35.972240,-118.472040,
1262.300000,1645.982000,35.972320,-118.471890,
1261.500000,1669.092000,35.972450,-118.471690,
1264.400000,1687.561000,35.972590,-118.471580,
1268.400000,1702.247000,35.972700,-118.471490,
1273.400000,1746.724000,35.972910,-118.471070,
1272.700000,1772.910000,35.973030,-118.470820,
1277.900000,1825.981000,35.973380,-118.470420,
1286.400000,1875.037000,35.973670,-118.470010,
1286.700000,1910.792000,35.973860,-118.469690,
1285.900000,1932.743000,35.973960,-118.469480,
1285.800000,1962.989000,35.974150,-118.469240,
1287.300000,1995.943000,35.974420,-118.469090,
1287.900000,2020.569000,35.974610,-118.468950,
1292.700000,2042.926000,35.974770,-118.468800,
1295.600000,2061.539000,35.974930,-118.468740,
1297.100000,2086.828000,35.975150,-118.468670,
1298.700000,2125.348000,35.975460,-118.468480,
1299.300000,2161.351000,35.975730,-118.468260,
1298.500000,2196.946000,35.975990,-118.468030,
1306.900000,2230.715000,35.976280,-118.467920,
1307.400000,2250.662000,35.976450,-118.467850,
1307.100000,2261.647000,35.976540,-118.467800,
1307.600000,2276.230000,35.976670,-118.467780,
1307.800000,2293.145000,35.976820,-118.467750,
1307.500000,2310.696000,35.976970,-118.467690,
1310.300000,2330.744000,35.977110,-118.467550,
1313.500000,2348.323000,35.977220,-118.467410,
1315.600000,2363.408000,35.977260,-118.467250,
1317.700000,2375.172000,35.977270,-118.467120,
1319.300000,2387.778000,35.977200,-118.467010,
1321.200000,2411.032000,35.977030,-118.466860,
1324.500000,2448.156000,35.976730,-118.466680,
1327.900000,2488.878000,35.976420,-118.466440,
1330.500000,2534.984000,35.976050,-118.466210,
1334.800000,2571.147000,35.975740,-118.466090,
1335.700000,2593.429000,35.975540,-118.466080,
1336.200000,2618.330000,35.975320,-118.466130,
1335.600000,2637.543000,35.975160,-118.466210,
1335.300000,2664.066000,35.974960,-118.466370,
1337.200000,2678.979000,35.974830,-118.466410,
1345.100000,2712.375000,35.974530,-118.466410,
1347.700000,2730.390000,35.974370,-118.466380,
1350.300000,2749.003000,35.974210,-118.466320,
1350.900000,2768.573000,35.974050,-118.466230,
1351.800000,2786.874000,35.973960,-118.466060,
1352.200000,2808.053000,35.973860,-118.465860,
1354.000000,2843.426000,35.973780,-118.465480,
1353.700000,2867.783000,35.973720,-118.465220,
1356.000000,2902.016000,35.973720,-118.464840,
1363.100000,2931.766000,35.973730,-118.464510,
1365.700000,2943.531000,35.973720,-118.464380,
1364.800000,2957.004000,35.973630,-118.464280,
1364.800000,2978.974000,35.973450,-118.464180,
1365.100000,3003.599000,35.973260,-118.464040,
1367.900000,3022.100000,35.973180,-118.463860,
1377.400000,3042.850000,35.973190,-118.463630,
1378.800000,3057.465000,35.973140,-118.463480,
1378.000000,3077.514000,35.973000,-118.463340,
1382.400000,3110.508000,35.972830,-118.463040,
1383.500000,3128.062000,35.972740,-118.462880,
1379.100000,3146.679000,35.972610,-118.462750,
1376.900000,3166.173000,35.972470,-118.462620,
1380.700000,3187.220000,35.972360,-118.462430,
1385.500000,3219.119000,35.972280,-118.462090,
1385.100000,3252.558000,35.972180,-118.461740,
1381.700000,3275.758000,35.972230,-118.461490,
1381.000000,3318.391000,35.972550,-118.461230,
1380.800000,3348.585000,35.972800,-118.461100,
1381.000000,3376.473000,35.973050,-118.461080,
1385.600000,3410.097000,35.973330,-118.461220,
1392.300000,3468.456000,35.973840,-118.461370,
1395.600000,3517.163000,35.974270,-118.461470,
1407.900000,3546.106000,35.974530,-118.461470,
1410.500000,3557.091000,35.974620,-118.461420,
1406.800000,3574.274000,35.974690,-118.461250,
1405.300000,3589.046000,35.974810,-118.461180,
1404.400000,3614.335000,35.975030,-118.461250,
1404.300000,3651.395000,35.975340,-118.461400,
1404.700000,3687.769000,35.975640,-118.461560,
1408.400000,3713.357000,35.975840,-118.461700,
1416.800000,3738.258000,35.976060,-118.461750,
1420.300000,3759.485000,35.976250,-118.461730,
1422.700000,3774.171000,35.976360,-118.461640,
1424.700000,3791.708000,35.976420,-118.461460,
1426.500000,3811.806000,35.976390,-118.461240,
1427.700000,3834.220000,35.976260,-118.461050,
1426.400000,3851.936000,35.976180,-118.460880,
1422.100000,3864.983000,35.976150,-118.460740,
1418.700000,3878.029000,35.976180,-118.460600,
1416.700000,3895.794000,35.976300,-118.460470,
1418.200000,3923.466000,35.976540,-118.460390,
1427.100000,3957.987000,35.976850,-118.460400,
1432.200000,3989.273000,35.977130,-118.460430,
1435.100000,4005.058000,35.977260,-118.460360,
1435.700000,4023.049000,35.977330,-118.460180,
1432.700000,4050.014000,35.977390,-118.459890,
1430.900000,4066.197000,35.977470,-118.459740,
1430.600000,4089.406000,35.977650,-118.459610,
1438.400000,4189.953000,35.978520,-118.459310,
1443.300000,4259.065000,35.979140,-118.459270,
1448.700000,4333.697000,35.979810,-118.459240,
1455.600000,4430.695000,35.980680,-118.459180,
1454.800000,4474.356000,35.981060,-118.459060,
1453.700000,4497.757000,35.981260,-118.458980,
1457.100000,4528.295000,35.981530,-118.459040,
1464.700000,4580.824000,35.981990,-118.459170,
1466.400000,4616.727000,35.982300,-118.459280,
1470.500000,4663.006000,35.982700,-118.459420,
1471.500000,4676.635000,35.982820,-118.459450,
1472.500000,4697.785000,35.983010,-118.459450,
1475.800000,4724.786000,35.983220,-118.459300,
1478.600000,4758.758000,35.983500,-118.459150,
1478.700000,4786.728000,35.983720,-118.459000,
1482.400000,4818.069000,35.983970,-118.458840,
1485.800000,4839.027000,35.984140,-118.458740,
1487.000000,4862.235000,35.984320,-118.458610,
1487.600000,4878.392000,35.984420,-118.458480,
1487.600000,4896.408000,35.984420,-118.458280,
1489.500000,4916.036000,35.984350,-118.458080,
1492.700000,4933.587000,35.984200,-118.458020,
1492.900000,4952.596000,35.984030,-118.458000,
1492.900000,4982.423000,35.983770,-118.457920,
1493.400000,5009.877000,35.983540,-118.457810,
1493.600000,5037.022000,35.983320,-118.457680,
1493.600000,5056.218000,35.983190,-118.457540,
1495.100000,5082.927000,35.983140,-118.457250,
1497.400000,5144.190000,35.983150,-118.456570,
1497.900000,5159.262000,35.983090,-118.456420,
1498.100000,5196.679000,35.982800,-118.456210,
1494.700000,5225.849000,35.982560,-118.456080,
1495.400000,5247.019000,35.982370,-118.456070,
1495.900000,5270.008000,35.982180,-118.456170,
1497.100000,5301.999000,35.981900,-118.456250,
1495.900000,5323.454000,35.981710,-118.456290,
1497.000000,5342.016000,35.981560,-118.456200,
1498.200000,5373.549000,35.981390,-118.455920,
1499.300000,5402.776000,35.981290,-118.455620,
1498.300000,5418.887000,35.981170,-118.455520,
1496.900000,5467.294000,35.980740,-118.455600,
1497.900000,5494.252000,35.980500,-118.455640,
1498.700000,5508.663000,35.980380,-118.455580,
1500.100000,5525.605000,35.980300,-118.455420,
1500.200000,5540.690000,35.980260,-118.455260,
1497.300000,5557.950000,35.980240,-118.455070,
1497.800000,5573.023000,35.980300,-118.454920,
1502.600000,5597.089000,35.980410,-118.454690,
1505.200000,5608.126000,35.980430,-118.454570,
1505.400000,5648.429000,35.980330,-118.454140,
1505.900000,5673.969000,35.980260,-118.453870,
1497.100000,5698.533000,35.980110,-118.453670,
1505.000000,5732.363000,35.979810,-118.453730,
1505.100000,5768.389000,35.979510,-118.453880,
1505.800000,5809.896000,35.979150,-118.454000,
1507.700000,5825.713000,35.979010,-118.453970,
1512.200000,5845.512000,35.978880,-118.453820,
1517.900000,5871.126000,35.978840,-118.453540,
1515.700000,5905.375000,35.978830,-118.453160,
1521.600000,5927.511000,35.978900,-118.452930,
1523.700000,5945.501000,35.978970,-118.452750,
1526.600000,5966.086000,35.979020,-118.452530,
1527.800000,5990.304000,35.978940,-118.452280,
1524.200000,6025.734000,35.978780,-118.451940,
1523.000000,6039.293000,35.978770,-118.451790,
1526.300000,6065.225000,35.978870,-118.451530,
1527.900000,6080.298000,35.978810,-118.451380,
1534.000000,6122.399000,35.978520,-118.451080,
1531.400000,6158.773000,35.978270,-118.450820,
1533.100000,6175.889000,35.978270,-118.450630,
1536.400000,6229.310000,35.978370,-118.450050,
1537.400000,6257.290000,35.978460,-118.449760,
1540.000000,6270.664000,35.978500,-118.449620,
1546.200000,6305.059000,35.978470,-118.449240,
1544.900000,6324.877000,35.978470,-118.449020,
1547.800000,6360.727000,35.978650,-118.448690,
1548.600000,6374.208000,35.978710,-118.448560,
1549.100000,6400.123000,35.978560,-118.448340,
1548.100000,6429.601000,35.978380,-118.448100,
1548.400000,6454.328000,35.978340,-118.447830,
1553.800000,6486.923000,35.978070,-118.447690,
1553.300000,6527.356000,35.977720,-118.447570,
1552.500000,6559.689000,35.977460,-118.447410,
1552.700000,6589.233000,35.977220,-118.447270,
1553.400000,6614.389000,35.977020,-118.447140,
1556.400000,6641.147000,35.976850,-118.446930,
1554.300000,6658.330000,35.976780,-118.446760,
1555.800000,6679.737000,35.976870,-118.446550,
1557.600000,6714.844000,35.977050,-118.446230,
1565.800000,6760.306000,35.977250,-118.445790,
1567.600000,6794.999000,35.977380,-118.445440,
1568.400000,6819.316000,35.977480,-118.445200,
1565.900000,6857.872000,35.977710,-118.444880,
1573.800000,6930.125000,35.978230,-118.444400,
1577.400000,6958.308000,35.978410,-118.444180,
1578.900000,7023.189000,35.978900,-118.443790,
1584.900000,7068.145000,35.979270,-118.443590,
1590.500000,7113.354000,35.979660,-118.443450,
1594.400000,7135.138000,35.979770,-118.443250,
1598.100000,7154.857000,35.979720,-118.443040,
1601.200000,7181.003000,35.979510,-118.442910,
