alt,dst,lat,lon,mdata
821.900000,0.000000,35.706760,-118.457020,E:\Dropbox\website\dev2\climbing\climbs\Shirley-Meadows-Wofford-Heights.tcx
824.000000,42.304000,35.706690,-118.457480,
825.400000,71.571000,35.706650,-118.457800,
825.800000,81.576000,35.706640,-118.457910,
826.100000,88.808000,35.706640,-118.457990,
826.700000,101.462000,35.706640,-118.458130,
827.000000,111.406000,35.706640,-118.458240,
827.400000,121.411000,35.706650,-118.458350,
827.700000,127.836000,35.706660,-118.458420,
828.100000,138.025000,35.706680,-118.458530,
828.500000,146.819000,35.706710,-118.458620,
829.000000,157.308000,35.706740,-118.458730,
829.400000,169.500000,35.706790,-118.458850,
829.600000,175.363000,35.706810,-118.458910,
830.400000,191.001000,35.706880,-118.459060,
831.400000,204.518000,35.706940,-118.459190,
832.800000,222.862000,35.707030,-118.459360,
833.300000,229.231000,35.707060,-118.459420,
838.600000,290.801000,35.707350,-118.460000,
841.500000,319.174000,35.707480,-118.460270,
843.800000,356.623000,35.707660,-118.460620,
845.400000,387.703000,35.707810,-118.460910,
846.200000,404.687000,35.707890,-118.461070,
846.600000,417.426000,35.707950,-118.461190,
846.900000,425.391000,35.707980,-118.461270,
847.300000,433.356000,35.708010,-118.461350,
847.700000,441.321000,35.708040,-118.461430,
848.000000,450.115000,35.708070,-118.461520,
848.100000,456.540000,35.708080,-118.461590,
848.200000,461.195000,35.708090,-118.461640,
849.400000,492.900000,35.708160,-118.461980,
850.100000,506.640000,35.708180,-118.462130,
852.600000,529.672000,35.708220,-118.462380,
854.600000,547.168000,35.708250,-118.462570,
856.000000,565.552000,35.708280,-118.462770,
856.700000,576.041000,35.708310,-118.462880,
857.300000,584.252000,35.708320,-118.462970,
857.700000,592.217000,35.708350,-118.463050,
858.400000,600.652000,35.708370,-118.463140,
859.400000,609.926000,35.708410,-118.463230,
860.900000,620.541000,35.708460,-118.463330,
862.300000,629.033000,35.708500,-118.463410,
863.800000,638.159000,35.708550,-118.463490,
865.200000,647.284000,35.708600,-118.463570,
866.300000,656.484000,35.708660,-118.463640,
867.600000,672.671000,35.708760,-118.463770,
868.700000,692.501000,35.708890,-118.463920,
869.000000,700.273000,35.708940,-118.463980,
869.600000,710.798000,35.709000,-118.464070,
870.000000,719.225000,35.709050,-118.464140,
870.500000,729.082000,35.709100,-118.464230,
871.300000,739.697000,35.709150,-118.464330,
872.100000,749.554000,35.709200,-118.464420,
873.900000,765.193000,35.709270,-118.464570,
875.600000,779.502000,35.709330,-118.464710,
876.700000,793.326000,35.709380,-118.464850,
877.300000,805.892000,35.709420,-118.464980,
878.200000,831.440000,35.709510,-118.465240,
879.700000,874.156000,35.709650,-118.465680,
885.300000,944.538000,35.709870,-118.466410,
886.400000,978.929000,35.709970,-118.466770,
888.500000,1020.884000,35.710090,-118.467210,
889.100000,1038.079000,35.710140,-118.467390,
889.700000,1053.576000,35.710190,-118.467550,
890.200000,1069.919000,35.710240,-118.467720,
890.200000,1080.813000,35.710280,-118.467830,
891.600000,1092.538000,35.710320,-118.467950,
893.500000,1103.432000,35.710360,-118.468060,
896.300000,1115.624000,35.710410,-118.468180,
897.900000,1130.485000,35.710480,-118.468320,
898.500000,1142.676000,35.710530,-118.468440,
899.100000,1155.414000,35.710590,-118.468560,
899.300000,1168.152000,35.710650,-118.468680,
899.300000,1178.009000,35.710700,-118.468770,
899.300000,1187.866000,35.710750,-118.468860,
899.300000,1197.723000,35.710800,-118.468950,
898.800000,1213.863000,35.710890,-118.469090,
899.200000,1228.607000,35.710970,-118.469220,
899.400000,1237.881000,35.711010,-118.469310,
899.700000,1255.641000,35.711090,-118.469480,
900.300000,1275.523000,35.711180,-118.469670,
902.200000,1326.681000,35.711410,-118.470160,
905.200000,1370.690000,35.711610,-118.470580,
908.100000,1384.206000,35.711670,-118.470710,
911.700000,1404.358000,35.711750,-118.470910,
913.000000,1424.510000,35.711830,-118.471110,
913.000000,1452.988000,35.711930,-118.471400,
912.900000,1463.476000,35.711960,-118.471510,
912.900000,1478.972000,35.712010,-118.471670,
913.900000,1503.123000,35.712060,-118.471930,
914.800000,1514.196000,35.712080,-118.472050,
915.600000,1525.268000,35.712100,-118.472170,
916.500000,1539.008000,35.712120,-118.472320,
917.200000,1552.611000,35.712130,-118.472470,
918.100000,1566.169000,35.712130,-118.472620,
919.100000,1580.631000,35.712130,-118.472780,
921.600000,1598.743000,35.712120,-118.472980,
923.000000,1607.849000,35.712110,-118.473080,
924.100000,1616.956000,35.712100,-118.473180,
924.600000,1621.476000,35.712100,-118.473230,
925.400000,1629.686000,35.712090,-118.473320,
926.600000,1640.759000,35.712070,-118.473440,
928.600000,1654.498000,35.712050,-118.473590,
930.700000,1671.107000,35.712020,-118.473770,
933.200000,1697.695000,35.711980,-118.474060,
935.100000,1713.419000,35.711950,-118.474230,
935.700000,1719.844000,35.711940,-118.474300,
936.100000,1726.268000,35.711930,-118.474370,
936.600000,1732.595000,35.711930,-118.474440,
936.800000,1740.805000,35.711920,-118.474530,
937.700000,1756.171000,35.711920,-118.474700,
