alt,dst,lat,lon,mdata
65.600000,0.000000,37.400440,-121.845500,E:\Dropbox\website\dev2\climbing\climbs\Sierra-Rd-Milpitas.tcx
68.000000,43.303000,37.400640,-121.845080,
73.100000,147.383000,37.401120,-121.844070,
76.400000,174.742000,37.401240,-121.843800,
87.600000,238.581000,37.401520,-121.843170,
95.200000,311.324000,37.401850,-121.842460,
109.400000,424.518000,37.402370,-121.841360,
113.400000,475.612000,37.402600,-121.840860,
126.100000,586.916000,37.403100,-121.839770,
131.800000,638.236000,37.403320,-121.839260,
133.800000,657.798000,37.403410,-121.839070,
136.300000,679.449000,37.403510,-121.838860,
138.000000,695.601000,37.403580,-121.838700,
140.000000,724.858000,37.403720,-121.838420,
141.300000,737.630000,37.403770,-121.838290,
142.500000,746.750000,37.403810,-121.838200,
143.000000,751.309000,37.403820,-121.838150,
145.000000,766.955000,37.403880,-121.837990,
147.600000,788.735000,37.403950,-121.837760,
148.300000,795.769000,37.403980,-121.837690,
149.100000,803.592000,37.404010,-121.837610,
149.800000,810.625000,37.404040,-121.837540,
150.500000,816.900000,37.404080,-121.837490,
150.700000,819.743000,37.404100,-121.837470,
150.900000,822.587000,37.404120,-121.837450,
151.400000,828.427000,37.404170,-121.837430,
151.700000,831.882000,37.404200,-121.837440,
151.800000,834.277000,37.404220,-121.837450,
151.900000,835.390000,37.404230,-121.837450,
152.000000,836.812000,37.404240,-121.837460,
152.000000,838.234000,37.404250,-121.837470,
152.100000,839.655000,37.404260,-121.837480,
152.300000,843.119000,37.404280,-121.837510,
152.300000,848.069000,37.404300,-121.837560,
152.500000,855.102000,37.404330,-121.837630,
152.700000,865.003000,37.404370,-121.837730,
152.800000,869.953000,37.404390,-121.837780,
153.000000,873.417000,37.404410,-121.837810,
153.200000,877.596000,37.404430,-121.837850,
153.400000,881.059000,37.404450,-121.837880,
153.400000,883.149000,37.404460,-121.837900,
153.700000,886.612000,37.404480,-121.837930,
154.300000,890.391000,37.404510,-121.837950,
154.600000,893.855000,37.404530,-121.837980,
154.900000,896.698000,37.404550,-121.838000,
155.800000,900.153000,37.404580,-121.838010,
156.500000,903.932000,37.404610,-121.838030,
157.600000,908.723000,37.404650,-121.838050,
158.400000,912.177000,37.404680,-121.838060,
159.600000,917.813000,37.404730,-121.838070,
160.700000,926.893000,37.404810,-121.838090,
161.000000,930.232000,37.404840,-121.838090,
161.300000,933.687000,37.404870,-121.838100,
161.600000,938.226000,37.404910,-121.838110,
161.800000,942.005000,37.404940,-121.838130,
162.100000,948.171000,37.404990,-121.838160,
162.200000,951.950000,37.405020,-121.838180,
162.400000,959.508000,37.405080,-121.838220,
162.500000,962.351000,37.405100,-121.838240,
163.000000,981.717000,37.405240,-121.838370,
165.600000,1026.666000,37.405560,-121.838680,
166.300000,1037.511000,37.405640,-121.838750,
166.600000,1042.694000,37.405680,-121.838780,
166.900000,1046.473000,37.405710,-121.838800,
167.300000,1051.264000,37.405750,-121.838820,
167.800000,1056.055000,37.405790,-121.838840,
168.300000,1060.846000,37.405830,-121.838860,
169.200000,1070.428000,37.405910,-121.838900,
170.900000,1083.447000,37.406020,-121.838950,
171.800000,1090.634000,37.406080,-121.838980,
173.200000,1100.998000,37.406170,-121.839010,
173.800000,1107.907000,37.406230,-121.839030,
174.300000,1114.817000,37.406290,-121.839050,
174.800000,1123.896000,37.406370,-121.839070,
175.200000,1131.688000,37.406440,-121.839070,
175.300000,1136.228000,37.406480,-121.839080,
175.500000,1142.907000,37.406540,-121.839080,
175.700000,1145.303000,37.406560,-121.839070,
175.900000,1150.869000,37.406610,-121.839070,
176.500000,1159.100000,37.406680,-121.839040,
176.800000,1162.555000,37.406710,-121.839030,
177.300000,1166.334000,37.406740,-121.839010,
177.700000,1170.113000,37.406770,-121.838990,
178.500000,1176.707000,37.406820,-121.838950,
179.300000,1182.394000,37.406860,-121.838910,
180.100000,1189.502000,37.406910,-121.838860,
181.000000,1196.429000,37.406950,-121.838800,
182.300000,1206.158000,37.407010,-121.838720,
183.300000,1213.782000,37.407050,-121.838650,
184.600000,1222.107000,37.407100,-121.838580,
185.500000,1228.382000,37.407140,-121.838530,
186.300000,1233.246000,37.407170,-121.838490,
187.100000,1238.933000,37.407210,-121.838450,
187.700000,1243.198000,37.407240,-121.838420,
188.300000,1247.463000,37.407270,-121.838390,
189.300000,1254.571000,37.407320,-121.838340,
189.900000,1259.754000,37.407360,-121.838310,
190.400000,1266.349000,37.407410,-121.838270,
190.400000,1270.613000,37.407440,-121.838240,
190.300000,1274.878000,37.407470,-121.838210,
190.200000,1277.722000,37.407490,-121.838190,
190.000000,1282.586000,37.407520,-121.838150,
190.300000,1285.463000,37.407530,-121.838120,
190.600000,1288.340000,37.407540,-121.838090,
190.800000,1291.803000,37.407560,-121.838060,
191.900000,1296.362000,37.407570,-121.838010,
192.500000,1299.239000,37.407580,-121.837980,
193.400000,1302.776000,37.407580,-121.837940,
194.300000,1307.335000,37.407590,-121.837890,
194.900000,1310.872000,37.407590,-121.837850,
195.400000,1315.293000,37.407590,-121.837800,
196.000000,1320.714000,37.407580,-121.837740,
197.000000,1333.144000,37.407570,-121.837600,
198.100000,1343.122000,37.407550,-121.837490,
199.600000,1354.831000,37.407530,-121.837360,
200.500000,1361.120000,37.407520,-121.837290,
201.500000,1366.541000,37.407510,-121.837230,
202.500000,1371.846000,37.407510,-121.837170,
203.400000,1376.268000,37.407510,-121.837120,
204.200000,1380.827000,37.407500,-121.837070,
205.300000,1387.901000,37.407500,-121.836990,
207.000000,1400.330000,37.407510,-121.836850,
207.900000,1405.636000,37.407510,-121.836790,
208.700000,1410.057000,37.407510,-121.836740,
209.900000,1415.362000,37.407510,-121.836680,
210.600000,1418.899000,37.407510,-121.836640,
211.400000,1422.436000,37.407510,-121.836600,
212.300000,1426.995000,37.407500,-121.836550,
213.000000,1431.175000,37.407480,-121.836510,
213.900000,1436.928000,37.407460,-121.836450,
214.900000,1443.962000,37.407430,-121.836380,
217.000000,1466.375000,37.407330,-121.836160,
217.200000,1476.086000,37.407280,-121.836070,
217.400000,1485.206000,37.407240,-121.835980,
217.900000,1500.589000,37.407170,-121.835830,
218.400000,1509.708000,37.407130,-121.835740,
219.300000,1515.462000,37.407110,-121.835680,
220.300000,1521.215000,37.407090,-121.835620,
220.900000,1524.752000,37.407090,-121.835580,
221.500000,1528.289000,37.407090,-121.835540,
222.000000,1530.942000,37.407090,-121.835510,
222.500000,1533.595000,37.407090,-121.835480,
223.000000,1537.132000,37.407090,-121.835440,
223.800000,1541.311000,37.407110,-121.835400,
224.400000,1545.019000,37.407120,-121.835360,
224.600000,1547.109000,37.407130,-121.835340,
224.900000,1550.572000,37.407150,-121.835310,
225.200000,1554.035000,37.407170,-121.835280,
225.200000,1557.499000,37.407190,-121.835250,
225.400000,1561.764000,37.407220,-121.835220,
225.800000,1565.543000,37.407250,-121.835200,
226.400000,1569.321000,37.407280,-121.835180,
227.100000,1576.508000,37.407340,-121.835150,
227.400000,1582.348000,37.407390,-121.835130,
227.900000,1594.029000,37.407490,-121.835090,
228.700000,1601.215000,37.407550,-121.835060,
229.200000,1606.006000,37.407590,-121.835040,
229.600000,1610.271000,37.407620,-121.835010,
230.000000,1614.050000,37.407650,-121.834990,
230.400000,1618.229000,37.407670,-121.834950,
230.700000,1621.073000,37.407690,-121.834930,
230.800000,1623.726000,37.407690,-121.834900,
231.100000,1626.602000,37.407700,-121.834870,
231.700000,1634.638000,37.407710,-121.834780,
233.700000,1651.585000,37.407730,-121.834590,
235.100000,1659.849000,37.407750,-121.834500,
235.900000,1665.270000,37.407760,-121.834440,
241.300000,1698.902000,37.407830,-121.834070,
241.300000,1702.439000,37.407830,-121.834030,
241.500000,1706.998000,37.407840,-121.833980,
241.800000,1711.178000,37.407860,-121.833940,
242.000000,1716.128000,37.407880,-121.833890,
242.200000,1721.078000,37.407900,-121.833840,
242.600000,1729.437000,37.407940,-121.833760,
243.600000,1742.731000,37.408000,-121.833630,
245.000000,1753.121000,37.408060,-121.833540,
245.500000,1756.829000,37.408070,-121.833500,
246.000000,1759.706000,37.408080,-121.833470,
246.600000,1762.583000,37.408090,-121.833440,
246.800000,1764.351000,37.408090,-121.833420,
247.400000,1767.228000,37.408100,-121.833390,
247.800000,1769.881000,37.408100,-121.833360,
248.100000,1771.649000,37.408100,-121.833340,
248.500000,1774.302000,37.408100,-121.833310,
248.700000,1776.391000,37.408090,-121.833290,
249.100000,1779.044000,37.408090,-121.833260,
249.400000,1781.921000,37.408080,-121.833230,
249.900000,1785.629000,37.408070,-121.833190,
250.300000,1789.337000,37.408060,-121.833150,
250.700000,1793.045000,37.408050,-121.833110,
251.600000,1798.350000,37.408050,-121.833050,
251.900000,1802.910000,37.408040,-121.833000,
252.400000,1807.331000,37.408040,-121.832950,
253.100000,1814.405000,37.408040,-121.832870,
253.700000,1818.826000,37.408040,-121.832820,
254.100000,1822.363000,37.408040,-121.832780,
254.600000,1825.240000,37.408050,-121.832750,
255.300000,1832.401000,37.408060,-121.832670,
256.000000,1841.313000,37.408070,-121.832570,
257.000000,1851.103000,37.408080,-121.832460,
257.700000,1858.925000,37.408110,-121.832380,
258.600000,1870.433000,37.408150,-121.832260,
259.200000,1878.255000,37.408180,-121.832180,
259.800000,1886.886000,37.408210,-121.832090,
261.200000,1901.270000,37.408260,-121.831940,
