alt,dst,lat,lon,mdata
62.600000,0.000000,37.400060,-121.846375,E:\Dropbox\website\dev2\climbing\climbs\Sierra-Road.tcx
62.600000,0.442166,37.400060,-121.846370,
138.000000,783.759880,37.403580,-121.838700,
149.300000,892.482152,37.404000,-121.837590,
150.600000,907.023798,37.404080,-121.837460,
151.500000,917.974745,37.404170,-121.837410,
152.300000,930.306384,37.404270,-121.837470,
153.900000,977.786710,37.404490,-121.837930,
157.200000,995.705302,37.404630,-121.838030,
162.300000,1036.744099,37.404990,-121.838130,
166.000000,1116.525585,37.405570,-121.838660,
174.200000,1199.336397,37.406260,-121.839010,
176.300000,1240.609709,37.406630,-121.839040,
178.300000,1260.812863,37.406800,-121.838960,
187.100000,1324.820337,37.407200,-121.838440,
190.800000,1377.117938,37.407560,-121.838060,
195.000000,1396.855872,37.407590,-121.837840,
201.900000,1453.456990,37.407500,-121.837210,
211.600000,1508.291456,37.407510,-121.836590,
220.400000,1606.755801,37.407090,-121.835610,
222.500000,1619.185244,37.407080,-121.835470,
224.900000,1642.370196,37.407180,-121.835240,
229.300000,1692.337148,37.407590,-121.835010,
230.900000,1707.716043,37.407690,-121.834890,
241.500000,1790.762271,37.407840,-121.833970,
246.700000,1846.029366,37.408090,-121.833430,
251.800000,1883.582135,37.408040,-121.833010,
257.000000,1932.418645,37.408080,-121.832460,
266.500000,2055.982728,37.408560,-121.831200,
267.800000,2080.257458,37.408490,-121.830940,
268.900000,2151.141627,37.407980,-121.830460,
273.100000,2184.576304,37.407820,-121.830140,
273.800000,2198.025477,37.407800,-121.829990,
275.200000,2225.639628,37.407830,-121.829680,
280.200000,2270.024924,37.407970,-121.829210,
293.200000,2354.209919,37.408090,-121.828270,
299.800000,2410.976054,37.408050,-121.827630,
301.000000,2438.023296,37.408190,-121.827380,
315.800000,2518.835669,37.408870,-121.827060,
327.500000,2587.074107,37.409350,-121.826580,
328.500000,2615.252804,37.409600,-121.826530,
337.800000,2676.503704,37.410150,-121.826550,
337.900000,2686.085842,37.410230,-121.826590,
340.600000,2710.813122,37.410400,-121.826770,
349.400000,2766.844497,37.410650,-121.827320,
349.900000,2781.960043,37.410770,-121.827400,
350.700000,2796.431493,37.410900,-121.827400,
357.500000,2844.583164,37.411250,-121.827080,
363.200000,2907.021452,37.411750,-121.826760,
372.200000,2982.704533,37.412250,-121.826180,
374.400000,2999.167379,37.412390,-121.826120,
387.400000,3157.911448,37.413750,-121.826660,
388.400000,3192.783651,37.414020,-121.826860,
388.800000,3238.312902,37.414320,-121.827210,
391.000000,3249.993090,37.414420,-121.827170,
397.100000,3275.722075,37.414580,-121.826960,
399.600000,3289.170064,37.414600,-121.826810,
407.000000,3363.847275,37.414530,-121.825970,
410.400000,3420.443248,37.414620,-121.825340,
418.600000,3482.277459,37.414170,-121.824930,
424.400000,3552.078677,37.413590,-121.824630,
425.800000,3629.374092,37.412990,-121.824190,
431.200000,3658.507094,37.412840,-121.823920,
433.000000,3685.125817,37.412820,-121.823620,
431.900000,3732.383171,37.412970,-121.823120,
438.100000,3804.587329,37.413410,-121.822520,
439.600000,3840.028080,37.413550,-121.822160,
446.800000,3897.671564,37.413590,-121.821510,
460.700000,3998.473415,37.413580,-121.820370,
461.600000,4014.921518,37.413520,-121.820200,
463.600000,4054.519991,37.413170,-121.820120,
466.300000,4072.464293,37.413040,-121.820000,
474.400000,4142.348932,37.412720,-121.819320,
484.100000,4237.372884,37.412150,-121.818520,
485.800000,4269.016432,37.412040,-121.818190,
497.300000,4377.823218,37.412010,-121.816960,
504.600000,4440.856158,37.411840,-121.816280,
519.000000,4619.000512,37.411730,-121.814270,
515.700000,4721.952939,37.411810,-121.813110,
523.700000,4778.752777,37.411560,-121.812550,
525.800000,4800.002675,37.411570,-121.812310,
532.500000,4909.757499,37.411790,-121.811100,
532.700000,4962.221050,37.411740,-121.810510,
540.700000,5029.232749,37.411610,-121.809770,
547.600000,5100.870341,37.411300,-121.809060,
555.100000,5167.462148,37.410900,-121.808500,
568.500000,5284.365237,37.410070,-121.807690,
572.700000,5335.060629,37.409760,-121.807270,
577.400000,5369.100796,37.409590,-121.806950,
584.600000,5416.981434,37.409470,-121.806430,
585.100000,5459.730440,37.409380,-121.805960,
595.500000,5529.619495,37.409360,-121.805170,
608.200000,5620.632700,37.409110,-121.804190,
608.300000,5639.234778,37.409100,-121.803980,
609.200000,5691.833290,37.409280,-121.803430,
613.500000,5757.941850,37.409440,-121.802710,
619.000000,5801.397239,37.409410,-121.802220,
620.600000,5883.667700,37.409170,-121.801340,
620.400000,5915.809730,37.409130,-121.800980,
614.000000,5970.260482,37.408910,-121.800430,
612.700000,6075.695428,37.408850,-121.799240,
612.300000,6100.453832,37.408850,-121.798960,
611.600000,6114.444741,37.408890,-121.798810,
607.100000,6176.994739,37.409200,-121.798220,
