alt,dst,lat,lon,mdata
76.700000,0.000000,38.715840,-123.000040,E:\Dropbox\website\dev2\climbing\climbs\Skaggs-Springs-East-1-Healdsburg.tcx
76.600000,0.869000,38.715840,-123.000030,
77.000000,12.718000,38.715760,-122.999940,
77.500000,23.756000,38.715690,-122.999850,
77.700000,33.352000,38.715640,-122.999760,
77.900000,42.948000,38.715590,-122.999670,
77.900000,56.067000,38.715530,-122.999540,
77.600000,65.373000,38.715500,-122.999440,
77.100000,92.090000,38.715420,-122.999150,
77.300000,124.098000,38.715330,-122.998800,
77.600000,155.283000,38.715240,-122.998460,
77.800000,182.481000,38.715170,-122.998160,
77.900000,212.184000,38.715100,-122.997830,
78.000000,247.791000,38.715030,-122.997430,
79.200000,279.765000,38.714970,-122.997070,
78.700000,301.932000,38.714930,-122.996820,
80.800000,344.564000,38.714850,-122.996340,
81.700000,356.339000,38.714820,-122.996210,
83.700000,396.195000,38.714750,-122.995760,
87.500000,410.488000,38.714720,-122.995600,
88.500000,418.616000,38.714700,-122.995510,
89.500000,427.922000,38.714670,-122.995410,
90.600000,436.918000,38.714630,-122.995320,
91.200000,445.419000,38.714600,-122.995230,
91.800000,451.609000,38.714570,-122.995170,
92.300000,457.087000,38.714540,-122.995120,
93.400000,475.579000,38.714440,-122.994950,
93.400000,487.248000,38.714370,-122.994850,
93.000000,496.281000,38.714310,-122.994780,
92.600000,503.340000,38.714260,-122.994730,
92.000000,514.636000,38.714180,-122.994650,
92.100000,524.011000,38.714110,-122.994590,
93.600000,540.458000,38.713980,-122.994500,
94.600000,550.018000,38.713900,-122.994460,
95.100000,556.163000,38.713850,-122.994430,
95.900000,564.147000,38.713780,-122.994410,
96.800000,574.499000,38.713690,-122.994380,
97.800000,585.932000,38.713590,-122.994350,
98.600000,598.208000,38.713480,-122.994340,
99.200000,607.113000,38.713400,-122.994340,
102.800000,623.834000,38.713250,-122.994350,
102.200000,638.538000,38.713120,-122.994380,
99.300000,649.971000,38.713020,-122.994410,
97.200000,672.835000,38.712830,-122.994510,
97.400000,680.005000,38.712770,-122.994540,
97.100000,686.151000,38.712720,-122.994570,
97.500000,699.273000,38.712620,-122.994650,
101.600000,717.108000,38.712490,-122.994770,
108.000000,729.548000,38.712410,-122.994870,
111.600000,740.586000,38.712340,-122.994960,
114.100000,752.915000,38.712270,-122.995070,
116.800000,768.097000,38.712200,-122.995220,
119.300000,779.155000,38.712150,-122.995330,
120.700000,792.105000,38.712110,-122.995470,
120.400000,803.050000,38.712080,-122.995590,
118.900000,817.644000,38.712040,-122.995750,
119.700000,828.991000,38.712030,-122.995880,
120.600000,842.933000,38.712020,-122.996040,
121.500000,875.149000,38.712000,-122.996410,
122.600000,923.906000,38.711970,-122.996970,
124.900000,947.386000,38.711960,-122.997240,
125.600000,955.282000,38.711950,-122.997330,
134.200000,1091.819000,38.711890,-122.998900,
130.800000,1104.896000,38.711880,-122.999050,
128.800000,1121.549000,38.711860,-122.999240,
128.800000,1131.360000,38.711840,-122.999350,
129.600000,1144.810000,38.711810,-122.999500,
131.000000,1152.520000,38.711780,-122.999580,
132.900000,1159.817000,38.711760,-122.999660,
135.400000,1170.875000,38.711710,-122.999770,
136.800000,1181.157000,38.711650,-122.999860,
137.000000,1190.061000,38.711600,-122.999940,
137.500000,1203.122000,38.711520,-123.000050,
139.200000,1214.418000,38.711440,-123.000130,
145.300000,1232.774000,38.711310,-123.000260,
149.500000,1248.024000,38.711210,-123.000380,
150.100000,1259.062000,38.711140,-123.000470,
150.000000,1273.443000,38.711060,-123.000600,
149.600000,1283.760000,38.711010,-123.000700,
149.100000,1295.418000,38.710950,-123.000810,
148.900000,1301.608000,38.710920,-123.000870,
148.500000,1311.924000,38.710870,-123.000970,
149.100000,1327.020000,38.710780,-123.001100,
149.600000,1337.461000,38.710710,-123.001180,
149.900000,1350.169000,38.710620,-123.001270,
150.600000,1366.103000,38.710500,-123.001370,
153.000000,1386.579000,38.710330,-123.001460,
155.400000,1408.842000,38.710140,-123.001540,
156.700000,1441.993000,38.709860,-123.001670,
157.400000,1470.367000,38.709620,-123.001780,
159.000000,1482.029000,38.709520,-123.001820,
164.300000,1502.851000,38.709350,-123.001920,
166.100000,1528.813000,38.709140,-123.002050,
166.900000,1537.734000,38.709070,-123.002100,
168.600000,1549.027000,38.708980,-123.002160,
170.200000,1562.150000,38.708880,-123.002240,
170.700000,1575.753000,38.708780,-123.002330,
170.500000,1584.785000,38.708720,-123.002400,
169.600000,1596.455000,38.708650,-123.002500,
169.200000,1612.211000,38.708560,-123.002640,
168.900000,1623.270000,38.708510,-123.002750,
