alt,dst,lat,lon,mdata
88.500000,0.000000,38.506970,-122.718960,E:\Dropbox\website\dev2\climbing\climbs\Skyfarm-North-Santa-Rosa.tcx
89.600000,15.067000,38.506850,-122.719040,
90.100000,27.524000,38.506770,-122.719140,
90.300000,40.606000,38.506690,-122.719250,
90.300000,51.583000,38.506630,-122.719350,
90.000000,59.853000,38.506590,-122.719430,
89.700000,67.581000,38.506560,-122.719510,
89.300000,74.072000,38.506540,-122.719580,
88.700000,84.220000,38.506510,-122.719690,
86.800000,103.895000,38.506470,-122.719910,
86.000000,114.868000,38.506440,-122.720030,
85.500000,122.184000,38.506420,-122.720110,
85.300000,129.137000,38.506390,-122.720180,
85.100000,136.089000,38.506360,-122.720250,
85.100000,145.105000,38.506320,-122.720340,
85.300000,153.375000,38.506280,-122.720420,
85.500000,160.242000,38.506240,-122.720480,
85.900000,167.309000,38.506190,-122.720530,
86.200000,173.538000,38.506150,-122.720580,
87.200000,184.331000,38.506070,-122.720650,
89.500000,206.931000,38.505890,-122.720770,
92.500000,241.075000,38.505610,-122.720930,
93.200000,253.029000,38.505510,-122.720980,
96.800000,307.746000,38.505070,-122.721260,
98.400000,324.186000,38.504950,-122.721370,
102.900000,344.524000,38.504810,-122.721520,
107.300000,363.740000,38.504700,-122.721690,
109.900000,377.487000,38.504630,-122.721820,
112.200000,391.959000,38.504560,-122.721960,
113.900000,407.415000,38.504500,-122.722120,
115.400000,424.054000,38.504450,-122.722300,
118.000000,439.235000,38.504420,-122.722470,
123.500000,464.013000,38.504350,-122.722740,
126.000000,480.747000,38.504280,-122.722910,
126.900000,487.614000,38.504240,-122.722970,
128.200000,496.658000,38.504180,-122.723040,
129.600000,506.553000,38.504110,-122.723110,
131.100000,517.853000,38.504020,-122.723170,
132.300000,526.780000,38.503950,-122.723220,
133.900000,539.148000,38.503840,-122.723240,
135.100000,549.317000,38.503750,-122.723260,
136.800000,564.902000,38.503610,-122.723260,
138.700000,582.904000,38.503450,-122.723230,
139.700000,592.467000,38.503370,-122.723190,
141.200000,602.380000,38.503290,-122.723140,
143.800000,617.870000,38.503170,-122.723050,
145.200000,631.733000,38.503080,-122.722940,
145.700000,645.480000,38.503010,-122.722810,
146.000000,658.519000,38.502940,-122.722690,
145.800000,670.870000,38.502870,-122.722580,
146.400000,680.764000,38.502800,-122.722510,
152.300000,703.278000,38.502630,-122.722370,
154.200000,708.441000,38.502590,-122.722340,
157.200000,737.256000,38.502430,-122.722600,
163.000000,774.891000,38.502160,-122.722860,
167.300000,804.160000,38.501900,-122.722910,
173.700000,844.102000,38.501570,-122.722730,
182.800000,896.986000,38.501260,-122.722270,
188.400000,942.959000,38.501000,-122.721860,
192.600000,980.065000,38.500710,-122.721650,
199.200000,1017.058000,38.500380,-122.721600,
211.300000,1055.236000,38.500130,-122.721900,
217.400000,1084.082000,38.499980,-122.722170,
220.300000,1118.709000,38.499920,-122.722560,
220.800000,1158.799000,38.499930,-122.723020,
221.900000,1195.993000,38.499990,-122.723440,
226.600000,1224.940000,38.499920,-122.723760,
237.300000,1262.048000,38.499700,-122.724080,
244.500000,1288.367000,38.499470,-122.724150,
249.500000,1303.976000,38.499330,-122.724160,
252.300000,1336.750000,38.499110,-122.723910,
255.200000,1361.346000,38.498910,-122.723790,
257.300000,1383.437000,38.498750,-122.723640,
265.400000,1438.658000,38.498270,-122.723480,
267.400000,1472.054000,38.498030,-122.723250,
269.600000,1500.131000,38.497920,-122.722960,
272.200000,1527.107000,38.497860,-122.722660,
275.200000,1560.863000,38.497770,-122.722290,
276.200000,1577.503000,38.497720,-122.722110,
