alt,dst,lat,lon,mdata
681.500000,0.000000,38.600280,-120.656550,E:\Dropbox\website\dev2\climbing\climbs\Slug-Gulch-Road.tcx
681.600000,5.219857,38.600280,-120.656490,
681.200000,24.318406,38.600230,-120.656280,
681.300000,45.463240,38.600200,-120.656040,
681.600000,63.731354,38.600150,-120.655840,
681.500000,74.059272,38.600100,-120.655740,
681.200000,91.882737,38.600000,-120.655580,
681.200000,110.421868,38.599890,-120.655420,
683.300000,137.178617,38.599750,-120.655170,
685.100000,157.256529,38.599660,-120.654970,
686.800000,180.841618,38.599600,-120.654710,
687.900000,199.940332,38.599550,-120.654500,
689.400000,219.486635,38.599470,-120.654300,
690.100000,233.341466,38.599380,-120.654190,
689.600000,253.560631,38.599220,-120.654080,
688.800000,280.333394,38.599010,-120.653930,
687.900000,308.942969,38.598790,-120.653760,
686.200000,339.497130,38.598570,-120.653550,
682.900000,371.992195,38.598340,-120.653320,
682.400000,405.768421,38.598090,-120.653100,
682.900000,418.397993,38.598060,-120.652960,
682.900000,422.027233,38.598046,-120.652922,
683.200000,433.837511,38.598000,-120.652800,
684.100000,449.283325,38.597960,-120.652630,
685.600000,461.514149,38.597950,-120.652490,
688.000000,478.956144,38.598000,-120.652300,
691.600000,504.319184,38.598140,-120.652070,
708.100000,521.583395,38.598220,-120.651900,
695.300000,535.317897,38.598290,-120.651770,
701.900000,570.301066,38.598430,-120.651410,
705.000000,590.229901,38.598530,-120.651220,
706.900000,612.835145,38.598690,-120.651060,
708.000000,627.177085,38.598810,-120.651000,
709.800000,649.861828,38.599010,-120.650950,
711.000000,665.245933,38.599140,-120.650890,
713.400000,686.452254,38.599310,-120.650780,
715.600000,704.347486,38.599420,-120.650630,
718.300000,729.307234,38.599530,-120.650380,
720.700000,753.616791,38.599610,-120.650120,
723.700000,813.151546,38.599670,-120.649440,
726.100000,844.648492,38.599700,-120.649080,
728.000000,863.820466,38.599710,-120.648860,
729.100000,880.684121,38.599740,-120.648670,
731.200000,918.881445,38.599840,-120.648250,
736.500000,963.899877,38.599970,-120.647760,
741.900000,1013.757989,38.600120,-120.647220,
745.200000,1051.969984,38.600190,-120.646790,
747.400000,1099.159292,38.600230,-120.646250,
750.900000,1161.955669,38.600270,-120.645530,
754.000000,1206.146904,38.600340,-120.645030,
756.400000,1236.553989,38.600430,-120.644700,
764.700000,1312.730436,38.600670,-120.643880,
767.300000,1332.380941,38.600710,-120.643660,
767.600000,1441.717686,38.600870,-120.642420,
767.200000,1461.649895,38.600920,-120.642200,
766.400000,1493.663225,38.601030,-120.641860,
768.100000,1523.839303,38.601190,-120.641580,
775.700000,1575.253689,38.601530,-120.641180,
777.600000,1591.753924,38.601630,-120.641040,
779.300000,1608.254146,38.601730,-120.640900,
783.900000,1639.402039,38.601870,-120.640590,
787.900000,1662.123054,38.601980,-120.640370,
792.200000,1684.840744,38.602120,-120.640180,
794.600000,1716.184149,38.602330,-120.639940,
795.800000,1740.590755,38.602520,-120.639800,
800.600000,1803.059781,38.603010,-120.639450,
820.200000,2019.596870,38.604770,-120.638390,
821.200000,2054.916391,38.605020,-120.638140,
821.700000,2078.631818,38.605180,-120.637960,
823.200000,2097.221134,38.605270,-120.637780,
824.700000,2110.611550,38.605320,-120.637640,
826.600000,2126.412846,38.605370,-120.637470,
828.300000,2143.853222,38.605420,-120.637280,
830.400000,2164.138028,38.605450,-120.637050,
830.500000,2165.007941,38.605450,-120.637040,
832.500000,2184.178384,38.605460,-120.636820,
836.400000,2223.324486,38.605460,-120.636370,
843.800000,2286.313393,38.605400,-120.635650,
850.700000,2329.859554,38.605320,-120.635160,
854.600000,2350.767173,38.605310,-120.634920,
854.900000,2352.507004,38.605310,-120.634900,
856.700000,2367.667942,38.605340,-120.634730,
859.200000,2389.139821,38.605410,-120.634500,
864.000000,2414.587403,38.605440,-120.634210,
869.000000,2457.213171,38.605440,-120.633720,
870.200000,2471.000694,38.605400,-120.633570,
875.300000,2518.506694,38.605170,-120.633110,
879.000000,2551.623448,38.605100,-120.632740,
881.600000,2580.169494,38.604980,-120.632450,
884.800000,2625.565637,38.604820,-120.631970,
886.200000,2655.546381,38.604720,-120.631650,
889.700000,2690.659737,38.604550,-120.631310,
892.700000,2715.511708,38.604360,-120.631160,
894.600000,2744.653861,38.604130,-120.631000,
895.500000,2764.980105,38.603990,-120.630850,
895.300000,2784.044014,38.603920,-120.630650,
898.100000,2838.902441,38.603830,-120.630030,
899.000000,2847.882149,38.603810,-120.629930,
907.200000,2910.820079,38.603640,-120.629240,
913.600000,2944.783628,38.603570,-120.628860,
917.800000,2994.817824,38.603510,-120.628290,
919.000000,3048.299740,38.603330,-120.627720,
917.500000,3071.352293,38.603290,-120.627460,
913.000000,3098.320423,38.603290,-120.627150,
908.000000,3114.547695,38.603350,-120.626980,
905.800000,3138.141323,38.603370,-120.626710,
906.600000,3167.383899,38.603320,-120.626380,
909.300000,3198.594350,38.603210,-120.626050,
910.200000,3221.491181,38.603110,-120.625820,
909.200000,3240.165312,38.602990,-120.625670,
906.100000,3270.387355,38.602730,-120.625570,
903.500000,3326.724187,38.602270,-120.625300,
905.000000,3372.901862,38.601900,-120.625060,
904.700000,3409.030585,38.601620,-120.624850,
904.400000,3420.754876,38.601530,-120.624780,
903.800000,3446.462056,38.601360,-120.624580,
904.400000,3509.506484,38.600910,-120.624140,
914.100000,3560.956911,38.600640,-120.623660,
919.800000,3633.398651,38.600300,-120.622950,
920.100000,3684.624865,38.600070,-120.622440,
920.000000,3711.114405,38.599960,-120.622170,
920.000000,3735.109120,38.599830,-120.621950,
920.500000,3798.192702,38.599470,-120.621390,
929.500000,3889.986438,38.598890,-120.620640,
933.000000,3917.768522,38.598770,-120.620360,
935.500000,3937.419532,38.598730,-120.620140,
937.100000,3956.559421,38.598730,-120.619920,
939.700000,3978.337765,38.598720,-120.619670,
944.500000,4017.906919,38.598630,-120.619230,
950.800000,4064.825555,38.598410,-120.618770,
954.800000,4100.203762,38.598320,-120.618380,
955.800000,4120.337239,38.598300,-120.618150,
957.000000,4156.802160,38.598180,-120.617760,
960.700000,4200.090670,38.597920,-120.617390,
967.000000,4255.702981,38.597710,-120.616810,
968.600000,4327.688644,38.597320,-120.616150,
970.100000,4374.303071,38.597060,-120.615730,
973.500000,4413.862602,38.596780,-120.615450,
978.500000,4465.278493,38.596500,-120.614980,
979.900000,4477.477607,38.596410,-120.614900,
981.100000,4486.551516,38.596330,-120.614920,
981.300000,4488.617177,38.596320,-120.614940,
982.100000,4497.624916,38.596280,-120.615030,
982.500000,4508.065212,38.596280,-120.615150,
981.900000,4530.352404,38.596350,-120.615390,
981.800000,4609.602087,38.596660,-120.616210,
