alt,dst,lat,lon,mdata
430.500000,0.000000,38.781750,-122.685650,E:\Dropbox\website\dev2\climbing\climbs\Socrates-Mine-Rd-Middletown.tcx
431.100000,7.169000,38.781690,-122.685680,
434.500000,45.724000,38.781370,-122.685850,
435.900000,63.562000,38.781230,-122.685950,
436.700000,76.265000,38.781140,-122.686040,
437.300000,86.542000,38.781080,-122.686130,
437.700000,92.017000,38.781050,-122.686180,
438.400000,101.007000,38.781010,-122.686270,
439.200000,107.939000,38.780980,-122.686340,
440.700000,119.265000,38.780940,-122.686460,
441.700000,126.555000,38.780920,-122.686540,
442.400000,133.025000,38.780900,-122.686610,
443.200000,140.056000,38.780890,-122.686690,
444.000000,147.087000,38.780900,-122.686770,
445.000000,155.836000,38.780910,-122.686870,
450.600000,203.430000,38.781020,-122.687400,
452.000000,215.782000,38.781040,-122.687540,
453.200000,227.981000,38.781050,-122.687680,
454.300000,240.181000,38.781040,-122.687820,
455.400000,251.680000,38.781020,-122.687950,
456.800000,264.619000,38.780980,-122.688090,
458.200000,277.199000,38.780930,-122.688220,
459.800000,290.309000,38.780870,-122.688350,
465.300000,342.325000,38.780580,-122.688820,
466.500000,356.035000,38.780510,-122.688950,
467.900000,370.469000,38.780440,-122.689090,
469.600000,386.663000,38.780380,-122.689260,
470.800000,396.465000,38.780360,-122.689370,
471.700000,404.586000,38.780340,-122.689460,
473.100000,416.085000,38.780320,-122.689590,
474.700000,429.101000,38.780320,-122.689740,
476.500000,443.854000,38.780320,-122.689910,
477.900000,458.980000,38.780350,-122.690080,
479.600000,473.260000,38.780380,-122.690240,
481.900000,489.028000,38.780430,-122.690410,
483.500000,504.435000,38.780490,-122.690570,
485.000000,518.808000,38.780570,-122.690700,
486.300000,531.814000,38.780640,-122.690820,
487.600000,547.057000,38.780740,-122.690940,
489.200000,562.583000,38.780850,-122.691050,
490.800000,585.578000,38.781030,-122.691180,
491.600000,600.958000,38.781160,-122.691240,
492.100000,611.309000,38.781250,-122.691270,
492.600000,619.293000,38.781320,-122.691290,
496.700000,659.964000,38.781680,-122.691370,
497.800000,670.567000,38.781770,-122.691410,
498.600000,677.736000,38.781830,-122.691440,
499.900000,688.654000,38.781920,-122.691490,
501.400000,701.773000,38.782020,-122.691570,
