alt,dst,lat,lon,mdata
214.900000,0.000000,37.183530,-121.980620,E:\Dropbox\website\dev2\climbing\climbs\Soda-Springs-Rd-Los-Gatos.tcx
215.500000,6.282000,37.183560,-121.980560,
215.800000,11.834000,37.183590,-121.980510,
216.000000,25.043000,37.183670,-121.980400,
215.600000,40.444000,37.183770,-121.980280,
215.500000,52.249000,37.183840,-121.980180,
215.600000,56.438000,37.183860,-121.980140,
215.800000,59.322000,37.183870,-121.980110,
216.100000,62.206000,37.183880,-121.980080,
216.100000,64.300000,37.183890,-121.980060,
216.400000,68.488000,37.183910,-121.980020,
216.500000,71.957000,37.183930,-121.979990,
216.600000,72.844000,37.183930,-121.979980,
216.700000,74.938000,37.183940,-121.979960,
216.600000,77.335000,37.183960,-121.979950,
216.600000,80.182000,37.183980,-121.979930,
216.700000,90.130000,37.184060,-121.979880,
216.800000,97.320000,37.184120,-121.979850,
217.000000,103.161000,37.184170,-121.979830,
217.400000,112.456000,37.184250,-121.979800,
217.800000,124.987000,37.184360,-121.979770,
218.100000,134.067000,37.184440,-121.979750,
218.700000,142.059000,37.184510,-121.979730,
220.700000,154.336000,37.184620,-121.979720,
222.100000,164.394000,37.184710,-121.979710,
222.200000,170.235000,37.184760,-121.979690,
222.400000,173.082000,37.184780,-121.979670,
222.300000,183.030000,37.184860,-121.979620,
222.000000,188.217000,37.184900,-121.979590,
221.800000,194.818000,37.184950,-121.979550,
221.200000,203.380000,37.185020,-121.979510,
220.800000,209.549000,37.185070,-121.979480,
220.800000,212.395000,37.185090,-121.979460,
220.600000,215.865000,37.185110,-121.979430,
220.500000,217.959000,37.185120,-121.979410,
220.400000,220.053000,37.185130,-121.979390,
220.500000,224.625000,37.185140,-121.979340,
220.300000,228.343000,37.185150,-121.979300,
220.700000,232.915000,37.185140,-121.979250,
220.500000,236.462000,37.185140,-121.979210,
220.700000,238.556000,37.185130,-121.979190,
221.200000,244.107000,37.185100,-121.979140,
222.000000,251.808000,37.185050,-121.979080,
223.300000,262.764000,37.184960,-121.979030,
224.600000,281.671000,37.184810,-121.978930,
225.400000,286.464000,37.184770,-121.978910,
225.500000,294.802000,37.184720,-121.978840,
225.500000,306.033000,37.184670,-121.978730,
226.200000,313.875000,37.184640,-121.978650,
227.200000,321.057000,37.184630,-121.978570,
228.900000,327.364000,37.184620,-121.978500,
231.500000,333.671000,37.184610,-121.978430,
234.500000,342.609000,37.184600,-121.978330,
235.500000,348.817000,37.184600,-121.978260,
236.200000,355.912000,37.184600,-121.978180,
236.100000,360.484000,37.184610,-121.978130,
236.100000,365.920000,37.184620,-121.978070,
234.000000,391.102000,37.184690,-121.977800,
233.300000,398.538000,37.184710,-121.977720,
233.200000,402.085000,37.184710,-121.977680,
232.700000,407.407000,37.184710,-121.977620,
232.400000,410.067000,37.184710,-121.977590,
232.100000,410.954000,37.184710,-121.977580,
232.100000,412.377000,37.184700,-121.977570,
231.800000,413.264000,37.184700,-121.977560,
