alt,dst,lat,lon,mdata
210.300000,0.000000,37.183490,-121.980900,E:\Dropbox\website\dev2\climbing\climbs\Soda-Springs-Road.tcx
212.200000,8.059188,37.183480,-121.980810,
213.500000,15.241039,37.183490,-121.980730,
215.500000,36.182438,37.183590,-121.980530,
215.800000,79.889162,37.183840,-121.980150,
216.700000,114.140615,37.184060,-121.979880,
217.400000,136.449491,37.184250,-121.979800,
218.600000,162.794723,37.184480,-121.979730,
221.100000,178.479974,37.184620,-121.979710,
222.400000,194.290090,37.184760,-121.979680,
222.000000,210.407189,37.184890,-121.979600,
221.000000,229.314073,37.185040,-121.979500,
220.600000,239.277006,37.185110,-121.979430,
220.400000,246.326292,37.185140,-121.979360,
220.100000,254.612742,37.185160,-121.979270,
220.100000,260.919794,37.185150,-121.979200,
220.200000,269.572032,37.185120,-121.979110,
221.100000,284.373672,37.185020,-121.979000,
221.900000,292.935488,37.184950,-121.978960,
225.500000,317.637536,37.184740,-121.978870,
227.500000,340.590095,37.184600,-121.978680,
233.900000,368.991722,37.184590,-121.978360,
235.300000,397.042403,37.184640,-121.978050,
233.100000,434.884947,37.184700,-121.977630,
232.800000,440.653134,37.184680,-121.977570,
232.000000,444.371164,37.184670,-121.977530,
232.300000,448.641001,37.184640,-121.977500,
233.000000,451.980567,37.184610,-121.977500,
236.900000,472.096313,37.184430,-121.977520,
237.800000,476.549066,37.184390,-121.977520,
240.300000,483.459707,37.184330,-121.977540,
243.500000,492.540138,37.184250,-121.977560,
244.700000,499.277893,37.184190,-121.977570,
245.500000,503.818109,37.184150,-121.977580,
246.400000,518.397856,37.184020,-121.977600,
246.300000,525.135611,37.183960,-121.977590,
246.400000,530.771768,37.183910,-121.977580,
246.700000,535.311984,37.183870,-121.977570,
246.900000,539.093374,37.183840,-121.977550,
246.900000,543.363229,37.183810,-121.977520,
247.400000,563.289231,37.183670,-121.977380,
245.400000,591.770498,37.183500,-121.977140,
243.800000,602.494336,37.183460,-121.977030,
242.900000,617.612374,37.183450,-121.976860,
257.900000,636.986171,37.183520,-121.976660,
259.600000,638.759934,37.183520,-121.976640,
273.900000,660.693201,37.183610,-121.976420,
276.800000,669.232921,37.183670,-121.976360,
277.800000,677.224570,37.183740,-121.976340,
275.900000,695.385438,37.183900,-121.976380,
273.200000,714.822238,37.184070,-121.976430,
273.400000,730.569098,37.184200,-121.976360,
274.700000,745.137350,37.184280,-121.976230,
