alt,dst,lat,lon,mdata
87.800000,0.000000,38.369120,-122.539830,E:\Dropbox\website\dev2\climbing\climbs\Sonoma-Mt-Rd-(East).tcx
86.000000,31.473000,38.368840,-122.539880,
85.600000,61.731000,38.368570,-122.539920,
85.800000,87.865000,38.368340,-122.539980,
85.800000,91.633000,38.368310,-122.540000,
85.900000,98.369000,38.368250,-122.540010,
86.600000,109.637000,38.368150,-122.540030,
87.000000,118.542000,38.368070,-122.540030,
88.200000,128.712000,38.367980,-122.540010,
89.300000,136.553000,38.367910,-122.540000,
90.500000,144.394000,38.367840,-122.539990,
92.000000,154.451000,38.367750,-122.539980,
93.100000,161.187000,38.367690,-122.539970,
93.500000,164.638000,38.367660,-122.539980,
93.900000,169.804000,38.367620,-122.540010,
94.300000,176.877000,38.367570,-122.540060,
94.500000,182.372000,38.367540,-122.540110,
94.200000,191.717000,38.367510,-122.540210,
93.600000,203.544000,38.367480,-122.540340,
93.100000,209.755000,38.367470,-122.540410,
92.300000,220.462000,38.367450,-122.540530,
91.900000,227.533000,38.367440,-122.540610,
91.700000,240.538000,38.367400,-122.540750,
93.900000,259.361000,38.367320,-122.540940,
96.600000,283.624000,38.367210,-122.541180,
99.300000,314.095000,38.367070,-122.541480,
101.600000,339.679000,38.366950,-122.541730,
103.700000,354.915000,38.366880,-122.541880,
106.000000,370.716000,38.366790,-122.542020,
106.800000,383.447000,38.366700,-122.542110,
107.200000,398.944000,38.366580,-122.542200,
107.100000,417.043000,38.366430,-122.542280,
107.000000,431.391000,38.366310,-122.542340,
107.200000,448.891000,38.366160,-122.542400,
108.200000,467.228000,38.366000,-122.542450,
109.300000,479.597000,38.365890,-122.542470,
110.300000,492.119000,38.365780,-122.542500,
110.200000,506.172000,38.365660,-122.542550,
110.100000,518.474000,38.365560,-122.542610,
111.000000,538.185000,38.365410,-122.542730,
112.300000,557.700000,38.365280,-122.542880,
112.900000,565.965000,38.365230,-122.542950,
113.600000,572.176000,38.365200,-122.543010,
116.600000,596.187000,38.365110,-122.543260,
119.000000,611.678000,38.365070,-122.543430,
122.100000,628.411000,38.365050,-122.543620,
125.800000,645.032000,38.365060,-122.543810,
128.000000,654.039000,38.365080,-122.543910,
130.500000,664.205000,38.365110,-122.544020,
132.300000,674.370000,38.365140,-122.544130,
133.700000,682.906000,38.365170,-122.544220,
134.800000,690.466000,38.365210,-122.544290,
135.800000,699.811000,38.365240,-122.544390,
138.400000,734.141000,38.365280,-122.544780,
141.500000,776.923000,38.365290,-122.545270,
146.400000,827.559000,38.365300,-122.545850,
155.900000,886.207000,38.365260,-122.546520,
160.600000,918.578000,38.365240,-122.546890,
161.800000,939.644000,38.365220,-122.547130,
162.800000,969.507000,38.365190,-122.547470,
166.100000,1013.162000,38.365180,-122.547970,
175.800000,1121.391000,38.365180,-122.549210,
179.200000,1195.656000,38.365150,-122.550060,
179.000000,1250.689000,38.365170,-122.550690,
178.700000,1278.313000,38.365120,-122.551000,
178.700000,1290.502000,38.365080,-122.551130,
179.500000,1307.196000,38.364970,-122.551260,
182.400000,1326.037000,38.364820,-122.551360,
184.300000,1351.081000,38.364600,-122.551420,
188.300000,1461.561000,38.363620,-122.551620,
191.000000,1515.250000,38.363140,-122.551680,
190.300000,1529.260000,38.363130,-122.551840,
189.000000,1563.374000,38.363110,-122.552230,
196.100000,1726.630000,38.363080,-122.554100,
198.500000,1743.214000,38.363080,-122.554290,
199.800000,1754.777000,38.363060,-122.554420,
200.700000,1766.124000,38.363060,-122.554550,
201.700000,1775.923000,38.363020,-122.554650,
202.600000,1787.324000,38.363010,-122.554780,
203.800000,1798.887000,38.362990,-122.554910,
204.800000,1806.628000,38.362960,-122.554990,
207.000000,1822.585000,38.362840,-122.555090,
210.500000,1857.949000,38.362590,-122.555340,
212.600000,1894.094000,38.362320,-122.555570,
213.800000,1922.976000,38.362170,-122.555840,
214.200000,1938.457000,38.362110,-122.556000,
215.000000,1945.530000,38.362060,-122.556050,
215.800000,1951.681000,38.362010,-122.556080,
215.800000,1963.901000,38.362010,-122.556220,
215.900000,1981.394000,38.362020,-122.556420,
216.000000,1995.404000,38.362030,-122.556580,
217.100000,2012.896000,38.362020,-122.556780,
216.900000,2021.926000,38.362060,-122.556870,
216.300000,2031.315000,38.362130,-122.556930,
216.900000,2049.705000,38.362260,-122.557060,
218.800000,2060.288000,38.362300,-122.557170,
221.200000,2076.852000,38.362380,-122.557330,
223.200000,2117.866000,38.362560,-122.557740,
223.000000,2175.681000,38.362780,-122.558340,
224.600000,2209.547000,38.362940,-122.558670,
226.800000,2290.815000,38.363300,-122.559480,
225.600000,2330.891000,38.363490,-122.559870,
225.300000,2390.216000,38.363690,-122.560500,
225.000000,2425.440000,38.363950,-122.560730,
225.300000,2471.508000,38.364220,-122.561130,
225.200000,2518.724000,38.364430,-122.561600,
225.300000,2530.420000,38.364490,-122.561710,
225.100000,2550.339000,38.364600,-122.561890,
225.000000,2562.762000,38.364660,-122.562010,
222.700000,2621.240000,38.364960,-122.562560,
219.000000,2652.174000,38.365140,-122.562830,
216.300000,2735.097000,38.365730,-122.563410,
213.000000,2762.521000,38.365920,-122.563610,
211.800000,2776.286000,38.365990,-122.563740,
213.400000,2825.459000,38.366160,-122.564260,
213.600000,2843.337000,38.366220,-122.564450,
214.700000,2860.069000,38.366240,-122.564640,
216.800000,2877.842000,38.366210,-122.564840,
218.100000,2896.472000,38.366180,-122.565050,
219.200000,2909.564000,38.366180,-122.565200,
220.500000,2919.230000,38.366190,-122.565310,
221.800000,2929.395000,38.366220,-122.565420,
223.100000,2941.584000,38.366260,-122.565550,
224.500000,2955.509000,38.366320,-122.565690,
225.300000,2960.746000,38.366320,-122.565750,
227.100000,2972.965000,38.366320,-122.565890,
228.100000,2981.693000,38.366320,-122.565990,
228.900000,2989.627000,38.366310,-122.566080,
229.300000,2995.737000,38.366310,-122.566150,
229.600000,3003.670000,38.366320,-122.566240,
229.900000,3014.378000,38.366340,-122.566360,
230.000000,3017.869000,38.366340,-122.566400,
230.000000,3022.010000,38.366360,-122.566440,
230.000000,3039.315000,38.366440,-122.566610,
230.800000,3054.795000,38.366500,-122.566770,
231.200000,3062.124000,38.366520,-122.566850,
231.500000,3066.627000,38.366530,-122.566900,
231.900000,3070.991000,38.366530,-122.566950,
232.600000,3077.101000,38.366530,-122.567020,
233.800000,3088.448000,38.366530,-122.567150,
235.100000,3100.010000,38.366510,-122.567280,
236.800000,3111.573000,38.366490,-122.567410,
240.300000,3130.435000,38.366450,-122.567620,
248.700000,3199.729000,38.366270,-122.568380,
251.100000,3216.058000,38.366230,-122.568560,
252.000000,3224.223000,38.366210,-122.568650,
252.600000,3232.504000,38.366170,-122.568730,
252.800000,3242.815000,38.366110,-122.568820,
253.000000,3250.793000,38.366050,-122.568870,
253.300000,3259.724000,38.365980,-122.568920,
253.600000,3275.909000,38.365840,-122.568970,
