alt,dst,lat,lon,mdata
51.300000,0.000000,38.278610,-122.618240,E:\Dropbox\website\dev2\climbing\climbs\Sonoma-Mt-Rd-(West)-Petaluma.tcx
51.500000,5.167000,38.278650,-122.618210,
52.700000,46.955000,38.278970,-122.617960,
52.900000,62.032000,38.279090,-122.617880,
52.700000,73.339000,38.279180,-122.617820,
52.900000,91.442000,38.279330,-122.617740,
57.500000,145.417000,38.279780,-122.617510,
58.300000,149.186000,38.279810,-122.617490,
59.100000,154.353000,38.279850,-122.617460,
59.900000,160.926000,38.279900,-122.617420,
60.600000,168.002000,38.279950,-122.617370,
61.200000,175.078000,38.280000,-122.617320,
62.100000,182.154000,38.280050,-122.617270,
64.000000,192.472000,38.280110,-122.617180,
65.700000,200.742000,38.280160,-122.617110,
66.900000,209.012000,38.280210,-122.617040,
67.800000,217.948000,38.280260,-122.616960,
68.400000,226.236000,38.280300,-122.616880,
68.400000,237.235000,38.280360,-122.616780,
68.200000,246.870000,38.280410,-122.616690,
67.700000,254.516000,38.280460,-122.616630,
67.400000,263.573000,38.280520,-122.616560,
67.100000,274.895000,38.280600,-122.616480,
66.500000,299.838000,38.280780,-122.616310,
65.700000,400.508000,38.281510,-122.615630,
72.000000,738.257000,38.283960,-122.613350,
72.400000,774.519000,38.284220,-122.613100,
72.400000,794.714000,38.284370,-122.612970,
72.400000,867.500000,38.284930,-122.612540,
73.600000,881.652000,38.285030,-122.612440,
74.000000,905.413000,38.285190,-122.612260,
76.200000,941.155000,38.285450,-122.612020,
76.200000,1005.062000,38.285920,-122.611600,
75.500000,1029.495000,38.286100,-122.611440,
75.100000,1039.829000,38.286180,-122.611380,
74.800000,1056.909000,38.286320,-122.611300,
74.800000,1066.476000,38.286400,-122.611260,
75.000000,1074.462000,38.286470,-122.611240,
75.700000,1092.564000,38.286620,-122.611160,
76.400000,1101.104000,38.286690,-122.611120,
77.000000,1107.257000,38.286740,-122.611090,
77.400000,1112.424000,38.286780,-122.611060,
77.600000,1115.863000,38.286800,-122.611030,
77.800000,1118.693000,38.286820,-122.611010,
78.300000,1124.354000,38.286860,-122.610970,
78.700000,1128.498000,38.286880,-122.610930,
79.500000,1133.997000,38.286910,-122.610880,
80.700000,1141.562000,38.286950,-122.610810,
81.900000,1149.850000,38.286990,-122.610730,
83.800000,1158.785000,38.287040,-122.610650,
84.100000,1162.224000,38.287060,-122.610620,
84.600000,1167.058000,38.287090,-122.610580,
85.000000,1170.498000,38.287110,-122.610550,
85.500000,1174.743000,38.287140,-122.610520,
86.000000,1178.989000,38.287170,-122.610490,
86.400000,1183.823000,38.287200,-122.610450,
87.300000,1193.214000,38.287270,-122.610390,
91.200000,1246.742000,38.287670,-122.610050,
92.900000,1267.441000,38.287820,-122.609910,
96.000000,1298.896000,38.288060,-122.609720,
100.800000,1353.353000,38.288470,-122.609380,
101.900000,1364.157000,38.288550,-122.609310,
106.900000,1391.415000,38.288750,-122.609130,
123.500000,1501.466000,38.289550,-122.608390,
124.700000,1506.004000,38.289590,-122.608380,
125.600000,1509.343000,38.289620,-122.608380,
126.400000,1512.795000,38.289650,-122.608390,
129.700000,1527.502000,38.289780,-122.608420,
131.900000,1538.770000,38.289880,-122.608440,
133.300000,1546.756000,38.289950,-122.608460,
134.800000,1555.705000,38.290030,-122.608470,
135.600000,1562.384000,38.290090,-122.608470,
135.800000,1569.120000,38.290150,-122.608460,
136.100000,1578.068000,38.290230,-122.608450,
137.900000,1614.746000,38.290550,-122.608350,
136.900000,1633.990000,38.290720,-122.608310,
136.200000,1639.824000,38.290770,-122.608290,
135.800000,1643.276000,38.290800,-122.608280,
135.200000,1651.262000,38.290870,-122.608260,
135.000000,1658.800000,38.290930,-122.608220,
134.900000,1664.634000,38.290980,-122.608200,
134.800000,1670.294000,38.291020,-122.608160,
134.800000,1674.063000,38.291050,-122.608140,
134.700000,1678.309000,38.291080,-122.608110,
134.700000,1681.748000,38.291100,-122.608080,
134.600000,1685.891000,38.291120,-122.608040,
134.600000,1687.963000,38.291130,-122.608020,
134.600000,1690.811000,38.291140,-122.607990,
134.500000,1696.507000,38.291160,-122.607930,
134.200000,1710.348000,38.291200,-122.607780,
133.800000,1727.031000,38.291250,-122.607600,
133.300000,1742.537000,38.291290,-122.607430,
132.600000,1765.925000,38.291340,-122.607170,
132.300000,1783.112000,38.291380,-122.606980,
131.500000,1792.978000,38.291400,-122.606870,
131.000000,1798.337000,38.291410,-122.606810,
130.200000,1804.845000,38.291430,-122.606740,
129.900000,1807.693000,38.291440,-122.606710,
129.600000,1810.541000,38.291450,-122.606680,
129.200000,1814.685000,38.291470,-122.606640,
128.900000,1818.124000,38.291490,-122.606610,
128.200000,1825.002000,38.291530,-122.606550,
127.100000,1845.937000,38.291670,-122.606390,
129.200000,1865.273000,38.291790,-122.606230,
131.400000,1879.774000,38.291880,-122.606110,
131.900000,1888.831000,38.291940,-122.606040,
132.000000,1894.491000,38.291980,-122.606000,
