alt,dst,lat,lon,mdata
2066.800000,0.000000,38.350560,-119.533010,E:\Dropbox\website\dev2\climbing\climbs\Sonora-Pass-E.-Bridgeport.tcx
2067.200000,15.753000,38.350570,-119.533190,
2068.600000,28.895000,38.350580,-119.533340,
2070.400000,40.461000,38.350600,-119.533470,
2072.400000,63.591000,38.350640,-119.533730,
2072.600000,83.946000,38.350670,-119.533960,
2072.500000,99.699000,38.350680,-119.534140,
2072.600000,111.972000,38.350690,-119.534280,
2072.700000,126.812000,38.350690,-119.534450,
2073.000000,144.272000,38.350690,-119.534650,
2073.400000,157.367000,38.350690,-119.534800,
2074.700000,167.902000,38.350680,-119.534920,
2077.300000,181.185000,38.350660,-119.535070,
2078.500000,188.515000,38.350640,-119.535150,
2079.900000,198.682000,38.350610,-119.535260,
2080.600000,208.029000,38.350580,-119.535360,
2081.100000,217.376000,38.350550,-119.535460,
2081.500000,228.759000,38.350510,-119.535580,
2081.900000,238.559000,38.350470,-119.535680,
2081.900000,248.912000,38.350420,-119.535780,
2082.300000,271.690000,38.350310,-119.536000,
2082.900000,290.326000,38.350220,-119.536180,
2083.100000,297.887000,38.350180,-119.536250,
2083.400000,305.448000,38.350140,-119.536320,
2083.600000,312.323000,38.350100,-119.536380,
2083.600000,321.376000,38.350040,-119.536450,
2083.600000,332.693000,38.349960,-119.536530,
2084.100000,345.982000,38.349870,-119.536630,
2084.400000,358.195000,38.349780,-119.536710,
2084.300000,373.269000,38.349660,-119.536790,
2084.000000,394.490000,38.349490,-119.536900,
2084.300000,430.020000,38.349200,-119.537070,
2084.200000,439.586000,38.349120,-119.537110,
2084.200000,444.369000,38.349080,-119.537130,
2084.500000,450.520000,38.349030,-119.537160,
2085.000000,458.499000,38.348970,-119.537210,
2085.800000,464.158000,38.348930,-119.537250,
2086.400000,469.324000,38.348890,-119.537280,
2088.200000,476.967000,38.348840,-119.537340,
2089.000000,481.211000,38.348810,-119.537370,
2089.800000,486.043000,38.348780,-119.537410,
2091.800000,499.793000,38.348700,-119.537530,
2091.600000,517.654000,38.348600,-119.537690,
2092.100000,539.639000,38.348480,-119.537890,
2093.300000,552.279000,38.348430,-119.538020,
2094.300000,562.079000,38.348390,-119.538120,
2095.000000,569.821000,38.348360,-119.538200,
2096.100000,589.742000,38.348290,-119.538410,
2096.200000,615.354000,38.348200,-119.538680,
2096.300000,641.422000,38.348100,-119.538950,
2097.400000,654.063000,38.348050,-119.539080,
2103.600000,682.921000,38.347960,-119.539390,
2104.400000,696.352000,38.347910,-119.539530,
2105.700000,708.992000,38.347860,-119.539660,
2105.900000,711.063000,38.347850,-119.539680,
2108.200000,727.826000,38.347780,-119.539850,
2109.800000,763.951000,38.347620,-119.540210,
2110.000000,771.692000,38.347590,-119.540290,
2110.300000,789.001000,38.347510,-119.540460,
2110.100000,796.562000,38.347470,-119.540530,
2110.100000,802.058000,38.347440,-119.540580,
2109.200000,809.701000,38.347390,-119.540640,
2109.200000,817.345000,38.347340,-119.540700,
2112.200000,865.037000,38.347040,-119.541090,
2116.200000,878.134000,38.346960,-119.541200,
2117.900000,892.630000,38.346870,-119.541320,
2118.000000,896.067000,38.346850,-119.541350,
2118.000000,898.897000,38.346830,-119.541370,
2118.100000,900.968000,38.346820,-119.541390,
2118.600000,905.472000,38.346810,-119.541440,
2118.900000,910.373000,38.346790,-119.541490,
2119.300000,913.865000,38.346790,-119.541530,
2119.900000,919.220000,38.346780,-119.541590,
2122.700000,932.363000,38.346790,-119.541740,
2124.600000,939.435000,38.346780,-119.541820,
2125.500000,942.054000,38.346780,-119.541850,
2126.300000,944.674000,38.346780,-119.541880,
2127.200000,948.339000,38.346770,-119.541920,
2127.700000,951.185000,38.346760,-119.541950,
2128.200000,954.031000,38.346750,-119.541980,
2128.400000,956.860000,38.346730,-119.542000,
2128.900000,961.002000,38.346710,-119.542040,
2128.900000,963.831000,38.346690,-119.542060,
2129.000000,968.075000,38.346660,-119.542090,
2129.300000,970.146000,38.346650,-119.542110,
2129.300000,971.560000,38.346640,-119.542120,
2129.200000,976.726000,38.346600,-119.542150,
2129.000000,990.412000,38.346490,-119.542220,
2129.200000,1000.744000,38.346410,-119.542280,
2129.700000,1016.305000,38.346300,-119.542390,
2130.300000,1023.181000,38.346260,-119.542450,
2130.800000,1032.845000,38.346200,-119.542530,
2131.300000,1048.960000,38.346090,-119.542650,
2132.000000,1069.316000,38.345950,-119.542800,
2132.100000,1078.705000,38.345880,-119.542860,
2132.300000,1098.418000,38.345730,-119.542980,
2132.900000,1128.012000,38.345500,-119.543150,
2133.900000,1136.500000,38.345440,-119.543210,
2135.900000,1145.890000,38.345370,-119.543270,
2138.500000,1156.202000,38.345310,-119.543360,
2140.300000,1165.133000,38.345260,-119.543440,
2142.100000,1175.719000,38.345220,-119.543550,
2143.800000,1195.320000,38.345140,-119.543750,
2144.700000,1221.389000,38.345040,-119.544020,
2144.900000,1229.927000,38.345010,-119.544110,
2145.000000,1239.727000,38.344970,-119.544210,
2145.500000,1247.894000,38.344950,-119.544300,
2145.900000,1254.398000,38.344930,-119.544370,
2146.900000,1262.334000,38.344920,-119.544460,
2148.100000,1268.446000,38.344920,-119.544530,
2149.100000,1272.811000,38.344920,-119.544580,
2150.500000,1278.167000,38.344930,-119.544640,
2152.600000,1288.702000,38.344940,-119.544760,
2154.000000,1299.238000,38.344950,-119.544880,
2154.000000,1306.311000,38.344940,-119.544960,
2154.100000,1313.383000,38.344930,-119.545040,
2153.800000,1321.666000,38.344890,-119.545120,
2154.200000,1325.332000,38.344880,-119.545160,
2154.400000,1328.769000,38.344860,-119.545190,
2155.200000,1337.801000,38.344820,-119.545280,
2156.000000,1350.858000,38.344750,-119.545400,
2157.800000,1372.185000,38.344640,-119.545600,
2160.800000,1391.426000,38.344530,-119.545770,
2162.700000,1401.739000,38.344470,-119.545860,
2163.800000,1409.382000,38.344420,-119.545920,
2164.500000,1417.361000,38.344360,-119.545970,
2164.800000,1423.932000,38.344310,-119.546010,
2164.700000,1434.542000,38.344220,-119.546050,
2164.600000,1446.209000,38.344120,-119.546090,
2165.400000,1463.709000,38.343970,-119.546150,
2166.700000,1478.399000,38.343850,-119.546220,
2167.900000,1504.705000,38.343630,-119.546330,
2168.000000,1515.634000,38.343540,-119.546380,
2168.100000,1524.916000,38.343460,-119.546410,
2168.900000,1540.307000,38.343330,-119.546470,
2172.500000,1557.807000,38.343180,-119.546530,
2175.000000,1567.090000,38.343100,-119.546560,
2177.100000,1575.629000,38.343030,-119.546600,
2179.000000,1590.319000,38.342910,-119.546670,
2179.500000,1597.493000,38.342850,-119.546700,
2179.700000,1605.714000,38.342780,-119.546730,
2179.700000,1618.236000,38.342670,-119.546760,
2179.700000,1629.672000,38.342570,-119.546790,
2179.700000,1638.955000,38.342490,-119.546820,
2179.800000,1647.175000,38.342420,-119.546850,
2179.800000,1655.396000,38.342350,-119.546880,
2180.300000,1674.863000,38.342190,-119.546970,
2180.700000,1696.720000,38.342010,-119.547070,
2180.800000,1708.678000,38.341910,-119.547120,
2181.000000,1723.368000,38.341790,-119.547190,
2182.200000,1748.358000,38.341590,-119.547320,
2190.000000,1792.049000,38.341250,-119.547570,
2190.400000,1801.439000,38.341180,-119.547630,
2190.500000,1809.418000,38.341120,-119.547680,
2191.000000,1817.684000,38.341070,-119.547750,
2191.300000,1822.517000,38.341040,-119.547790,
2192.000000,1827.417000,38.341020,-119.547840,
2193.500000,1841.913000,38.340950,-119.547980,
2194.700000,1850.945000,38.340910,-119.548070,
2195.200000,1853.016000,38.340900,-119.548090,
2196.100000,1857.848000,38.340870,-119.548130,
2198.600000,1866.902000,38.340810,-119.548200,
2200.900000,1874.545000,38.340760,-119.548260,
2203.200000,1889.247000,38.340660,-119.548370,
2203.900000,1903.744000,38.340570,-119.548490,
2204.600000,1929.861000,38.340420,-119.548720,
2204.800000,1941.564000,38.340350,-119.548820,
2205.200000,1948.439000,38.340310,-119.548880,
2205.500000,1957.492000,38.340250,-119.548950,
2205.700000,1961.737000,38.340220,-119.548980,
2205.500000,1966.903000,38.340180,-119.549010,
2205.500000,1972.069000,38.340140,-119.549040,
2205.300000,1979.243000,38.340080,-119.549070,
2205.100000,2007.250000,38.339850,-119.549200,
2205.700000,2026.381000,38.339690,-119.549280,
2206.300000,2048.993000,38.339510,-119.549400,
2206.200000,2057.532000,38.339440,-119.549440,
2206.200000,2065.069000,38.339380,-119.549480,
2206.000000,2074.001000,38.339310,-119.549530,
2205.600000,2085.958000,38.339210,-119.549580,
2204.900000,2119.439000,38.338930,-119.549720,
2203.900000,2133.788000,38.338810,-119.549780,
2203.600000,2140.962000,38.338750,-119.549810,
2203.600000,2144.731000,38.338720,-119.549830,
2203.800000,2150.365000,38.338670,-119.549840,
2204.400000,2156.198000,38.338620,-119.549860,
2205.500000,2178.214000,38.338430,-119.549930,
2205.500000,2188.570000,38.338340,-119.549960,
