alt,dst,lat,lon,mdata
1922.200000,0.000000,38.324831,-119.752204,E:\Dropbox\website\dev2\climbing\climbs\Sonora-Pass-West-Sonora.tcx
1922.700000,5.260000,38.324870,-119.752170,
1920.400000,77.084000,38.324320,-119.751740,
1919.900000,98.304000,38.324140,-119.751660,
1921.900000,144.773000,38.323730,-119.751560,
1931.400000,281.874000,38.322500,-119.751480,
1930.600000,302.381000,38.322320,-119.751430,
1929.000000,390.160000,38.321660,-119.750880,
1937.400000,438.261000,38.321390,-119.750450,
1939.500000,480.615000,38.321230,-119.750010,
1941.100000,519.652000,38.321110,-119.749590,
1947.300000,565.189000,38.321080,-119.749070,
1953.100000,629.855000,38.321100,-119.748330,
1956.700000,648.982000,38.321170,-119.748130,
1957.900000,664.941000,38.321290,-119.748030,
1960.900000,700.334000,38.321600,-119.747940,
1965.300000,715.375000,38.321710,-119.747840,
1971.400000,739.397000,38.321800,-119.747590,
1972.500000,762.348000,38.321770,-119.747330,
1975.000000,785.580000,38.321680,-119.747090,
1977.800000,817.815000,38.321460,-119.746850,
1989.500000,878.609000,38.320960,-119.746570,
1988.900000,905.864000,38.320760,-119.746390,
1999.300000,968.807000,38.320500,-119.745750,
2008.900000,1012.880000,38.320140,-119.745540,
2015.800000,1058.001000,38.319810,-119.745240,
2016.900000,1114.099000,38.319320,-119.745090,
2038.000000,1195.004000,38.318780,-119.744470,
2040.300000,1223.697000,38.318530,-119.744390,
2040.600000,1261.586000,38.318190,-119.744370,
2047.100000,1292.676000,38.317930,-119.744240,
2047.900000,1328.931000,38.317670,-119.743990,
2065.600000,1374.610000,38.317490,-119.743520,
2067.100000,1391.309000,38.317380,-119.743390,
2084.100000,1547.084000,38.316020,-119.742970,
2090.800000,1608.533000,38.315470,-119.743030,
2089.300000,1628.570000,38.315290,-119.743030,
2088.100000,1642.624000,38.315170,-119.742980,
2087.300000,1655.685000,38.315100,-119.742860,
2090.200000,1680.195000,38.315040,-119.742590,
2093.500000,1734.358000,38.315030,-119.741970,
2097.300000,1831.213000,38.314870,-119.740880,
2112.900000,1994.824000,38.314270,-119.739170,
2117.500000,2081.884000,38.314090,-119.738200,
2122.400000,2131.980000,38.314040,-119.737630,
2122.900000,2181.104000,38.313810,-119.737150,
2129.400000,2201.950000,38.313760,-119.736920,
2133.900000,2225.638000,38.313780,-119.736650,
2138.800000,2293.610000,38.314030,-119.735940,
2142.500000,2367.886000,38.314420,-119.735250,
2158.100000,2451.979000,38.314970,-119.734590,
2161.800000,2475.506000,38.315080,-119.734360,
2179.500000,2614.545000,38.315540,-119.732880,
2184.900000,2706.057000,38.316080,-119.732090,
2186.100000,2721.545000,38.316140,-119.731930,
2192.000000,2783.499000,38.316230,-119.731230,
2200.300000,2839.604000,38.316410,-119.730630,
2203.700000,2870.674000,38.316560,-119.730330,
2207.900000,2891.843000,38.316750,-119.730320,
2212.300000,2920.737000,38.316920,-119.730570,
2215.500000,2982.133000,38.317130,-119.731220,
2219.300000,3052.275000,38.317280,-119.732000,
2226.600000,3086.500000,38.317310,-119.732390,
2227.500000,3114.648000,38.317280,-119.732710,
2227.900000,3163.136000,38.316970,-119.733100,
2231.100000,3185.911000,38.316890,-119.733340,
2233.900000,3197.746000,38.316920,-119.733470,
2236.100000,3207.312000,38.317000,-119.733510,
2238.500000,3224.372000,38.317150,-119.733470,
2238.800000,3264.825000,38.317420,-119.733160,
2244.400000,3308.138000,38.317650,-119.732760,
2259.200000,3449.709000,38.318070,-119.731230,
2264.200000,3523.631000,38.318200,-119.730400,
2264.400000,3543.559000,38.318270,-119.730190,
2279.400000,3719.578000,38.319290,-119.728650,
2281.900000,3743.103000,38.319400,-119.728420,
2285.500000,3807.776000,38.319630,-119.727740,
2291.700000,3898.188000,38.319840,-119.726740,
2300.500000,3978.956000,38.320160,-119.725910,
2302.000000,4016.703000,38.320240,-119.725490,
2312.900000,4157.596000,38.320160,-119.723880,
2326.800000,4272.880000,38.320160,-119.722560,
2337.100000,4416.323000,38.320230,-119.720920,
2354.500000,4609.595000,38.320140,-119.718710,
2355.900000,4637.631000,38.320160,-119.718390,
2356.300000,4659.177000,38.320230,-119.718160,
2356.700000,4674.303000,38.320310,-119.718020,
2357.700000,4691.673000,38.320440,-119.717910,
2358.500000,4716.947000,38.320650,-119.717800,
